en,gu,translated
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site",સાઇટ પર સહભાગીઓની નોંધણી કરવા માટે તમે બહુવિધ ઇન્ટરનેટ પ્રોટોકોલ સરનામાં અથવા મોબાઇલ નંબરનો ઉપયોગ કરીને અથવા અન્ય કોઈપણ માધ્યમથી તમારી ઓળખ છુપાવવાનો પ્રયાસ કરશો નહીં,Do not try to hide your identity using multiple internet protocol address or mobile number or through any other means to register participants on the site
V. ACCESS PERMISSIONS,V. ઍક્સેસ પરવાનગીઓ,V. Access Permissions
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,તમે માત્ર દસ્તાવેજીકરણમાં વર્ણવેલ માધ્યમથી જ સાઇટને ઍક્સેસ કરશો (અથવા ઍક્સેસ કરવાનો પ્રયાસ કરશો) અને આ કરારના નિયમો અને શરતોનું પાલન કરશો.,You will only access the site (or try to access it) through the means described in the documentation and comply with the terms and conditions of the agreement.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","તમે તમામ કેન્દ્રીય અને રાજ્ય કાયદાઓ, નિયમો અને નિયમોનું પાલન કરશો જે તમને અને સાઇટના તમારા ઉપયોગને લાગુ પડે છે અને કોઈપણ તૃતીય-પક્ષ અધિકારોને અસર કરે છે.","You will comply with all central and state laws, rules and regulations that apply to you and to your use of the site and affect any third party rights."
VI. ACCESS RESTRICTIONS,VI. ઍક્સેસ પ્રતિબંધો,VI. Access Restrictions
"You shall not, either on your own or through any other person:","તમે, તમારી જાતે અથવા અન્ય કોઈ વ્યક્તિ દ્વારા નહીં:","Not by you, yourself or anyone else:"
Restrict or inhibit any other person from using the Site,કોઈપણ અન્ય વ્યક્તિને સાઇટનો ઉપયોગ કરવાથી પ્રતિબંધિત અથવા પ્રતિબંધિત કરો,Prevent or restrict any other person from using the site
Use the Site for any unlawful purpose,કોઈપણ ગેરકાયદેસર હેતુ માટે સાઇટનો ઉપયોગ કરો,Use the site for any illegal purpose
"Express or imply that any statements you make are endorsed by us, without our prior written consent","વ્યક્ત કરો અથવા સૂચિત કરો કે તમે કરો છો તે કોઈપણ નિવેદનો અમારી પૂર્વ લેખિત સંમતિ વિના, અમારા દ્વારા સમર્થન છે","Expression or suggestion that any statements you make are supported by us, without our prior written consent"
"Impersonate any person or entity, whether actual or fictitious","કોઈપણ વ્યક્તિ અથવા એન્ટિટીનો પાઠ ભજવવો, પછી ભલે તે વાસ્તવિક હોય કે કાલ્પનિક","To teach any person or entity, be it real or imagined"
Engage in spamming or flooding,સ્પામિંગ અથવા પૂરમાં વ્યસ્ત રહો,Stay busy with spamming or floods
Harvest or collect information about Site users,સાઇટ વપરાશકર્તાઓ વિશેની માહિતી લણણી અથવા એકત્રિત કરો,Collect or harvest information about site users
Open multiple accounts for yourself or any other individual using multiple mobile numbers,બહુવિધ મોબાઈલ નંબરનો ઉપયોગ કરીને તમારા અથવા અન્ય કોઈ વ્યક્તિ માટે બહુવિધ એકાઉન્ટ્સ ખોલો,Open multiple accounts for yourself or someone else using multiple mobile numbers
"Submit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive nature","કોઈપણ સોફ્ટવેર અથવા અન્ય સામગ્રી સબમિટ કરો જેમાં કોઈપણ વાયરસ, વોર્મ્સ, ટ્રોજન હોર્સ, ખામી, ડેટ બોમ્બ, ટાઈમ બોમ્બ અથવા વિનાશક પ્રકૃતિની અન્ય વસ્તુઓ હોય","Submit any software or other material containing any virus, worms, trojan horse, defect, date bomb, time bomb or other material of a destructive nature"
"Manipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submit","તમે સબમિટ કરો છો તે કોઈપણ પોસ્ટના મૂળને છૂપાવવા માટે, બનાવટી હેડરો સહિત ઓળખકર્તાઓની હેરફેર કરો","In order to hide the origin of any post you submit, you need to exchange identifiers, including fake headers"
Link to any portion of the Site other than the URL assigned to the home page of the Site,સાઇટના હોમ પેજને સોંપેલ URL સિવાય સાઇટના કોઈપણ ભાગ સાથે લિંક કરો,Link any part of the site except the URL assigned to the home page of the site
“Frame” or “Mirror” any part of the Site,"સાઇટનો કોઈપણ ભાગ ""ફ્રેમ"" અથવા ""મિરર""",Any part of the site called Frame or Mirror
"Modify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the Content","સાઇટના કોઈપણ ભાગને સંશોધિત, અનુકૂલન, પેટા-લાઈસન્સ, અનુવાદ, વેચાણ, રિવર્સ એન્જિનિયર, ડિકમ્પાઈલ અથવા ડિસએસેમ્બલ અથવા અન્યથા કોઈપણ સ્રોત કોડ અથવા સામગ્રીના કોઈપણ ભાગના અંતર્ગત વિચારો અથવા અલ્ગોરિધમ્સ મેળવવાનો પ્રયાસ કરો","Try to get ideas or algorithms to modify, optimize, sub-license, translate, sell, reverse engineer, decompile or disassemble any part of the site or otherwise within any source code or content"
"Remove any copyright, trademark or other proprietary rights notices contained on the Site","સાઇટ પર સમાવિષ્ટ કોઈપણ કૉપિરાઇટ, ટ્રેડમાર્ક અથવા અન્ય માલિકીના અધિકારોની સૂચનાઓને દૂર કરો","Remove references to any copyright, trademark or other proprietary rights included on the site"
"Use any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.","કોઈપણ કમ્પ્યુટર પ્રોગ્રામ, બોટ, રોબોટ, સ્પાઈડર, ઑફલાઈન રીડર, સાઇટ શોધ/પુનઃપ્રાપ્તિ એપ્લિકેશન અથવા અન્ય મેન્યુઅલ અથવા સ્વચાલિત ઉપકરણ, સાધન અથવા પ્રક્રિયાનો ઉપયોગ પુનઃપ્રાપ્ત કરવા, અનુક્રમણિકા, ડેટા માઈન, અથવા કોઈપણ રીતે પુનઃઉત્પાદન અથવા સુરક્ષા માળખું, નેવિગેશનલ. સાઇટ પર પ્રદર્શિત કોઈપણ કેપ્ચાના સંદર્ભમાં સહિત સામગ્રી અથવા સાઇટની રચના, અથવા પ્રસ્તુતિ.","Any computer program, boat, robot, spider, offline reader, site search / retrieval application or other manual or automated device, tool or process to retrieve, index, data mine, or in any way reproduce or safety structure, navigational."
Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is active,તમારા કોમ્પ્યુટરમાંથી અન્ય કોમ્પ્યુટર જ્યાં આવા સોફ્ટવેર અથવા સિસ્ટમ સક્રિય હોય ત્યાં માહિતી મોકલવા સહિત એપોઈન્ટમેન્ટ શોધવા અથવા બુક કરવા માટે કોઈપણ ઓટોમેટેડ સોફ્ટવેર અથવા કોમ્પ્યુટર સિસ્ટમનો ઉપયોગ કરો,"Use any automated software or computer system to find or book an appointment, including sending information from your computer to another computer where such software or system is active"
Take any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.,અમારા ઇન્ફ્રાસ્ટ્રક્ચર પર ગેરવાજબી અથવા અપ્રમાણસર રીતે મોટો ભાર (અમારી સંપૂર્ણ વિવેકબુદ્ધિમાં) લાદવામાં અથવા લાદવામાં આવી શકે તેવી કોઈપણ કાર્યવાહી કરો.,"Take any action that may be imposed on our infrastructure, whether it is an unreasonable or disproportionate burden (in our absolute discretion)."
"Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the Content","સાઇટનો ઉપયોગ કરો અથવા પુનઃઉત્પાદન કરો, સંશોધિત કરો, પ્રદર્શિત કરો, સાર્વજનિક રીતે કરો, વિતરિત કરો અથવા સાઇટ અથવા સામગ્રીના વ્યુત્પન્ન કાર્યો બનાવો","Use or reproduce, modify, display, publicly distribute or create derivative works of the site or content"
"The Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purpose","કોઈપણ તકનીકી માપદંડને અટકાવવા માટે રચાયેલ કોઈપણ ઉપકરણ, પ્રોગ્રામ અથવા સેવાના પ્રયાસમાં અથવા તેની સાથે જોડાણમાં સામગ્રી, જે કોઈપણ રીતે, કોઈપણ રીતે, મર્યાદા વિના, સહિત, સાઇટ અને/અથવા સામગ્રીની ઍક્સેસ અથવા તેના અધિકારોને અસરકારક રીતે નિયંત્રિત કરે છે. કોઈપણ હેતુ માટે મેન્યુઅલ ડીકોડ, ડિક્રિપ્ટ, સંશોધિત અથવા રિવર્સ એન્જિનિયર પ્રમાણપત્ર અથવા અંતર્ગત અલ્ગોરિધમ્સ અથવા સ્વચાલિત ઉપકરણ અથવા પ્રક્રિયા","Any device, program or service designed or associated with an attempt to block any technical criteria, including access to, or rights to, the site and / or content, in any manner, without limitation, the content, for any purpose, including access to, or authorization to access the site and / or the materials."
"You will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number","તમે સાઇટ દ્વારા સહભાગીઓની નોંધણી કરવા માટે બૉટ તકનીકનો ઉપયોગ કરશો નહીં; શંકાના નિવારણ માટે, આ તમને સાઇટ પર સ્વયંસંચાલિત સ્ક્રિપ્ટ આધારિત અથવા સ્વચાલિત સોફ્ટવેરનો ઉપયોગ કરવાથી વિશેષરૂપે પ્રતિબંધિત કરે છે, અને તમને કોઈપણ સુરક્ષા માપદંડ, એક્સેસ કંટ્રોલ સિસ્ટમ અથવા સાઇટ પર અન્ય તકનીકી નિયંત્રણ અથવા માપને અટકાવવાથી પ્રતિબંધિત કરે છે જેનો ઉપયોગ ભાગીદારીને લાગુ કરવા માટે થાય છે. મર્યાદા અથવા એક મોબાઇલ નંબર સાથે સંકળાયેલ સહભાગીઓના નિયમોની નોંધણીની અખંડિતતા જાળવવા","For the removal of doubts, it specifically prohibits you from using automated script-based or automated software on the site, and prohibits you from stopping any security measures, access control systems or other technical controls or measurements on the site that are used to enforce the partnership."
VII. INTELLECTUAL PROPERTY RIGHTS,VII. બૌદ્ધિક સંપત્તિ અધિકારો,Intellectual Property Rights
We own the intellectual property rights in the Site and Content. We may change the Content and features of the Site at any time.,અમે સાઇટ અને સામગ્રીમાં બૌદ્ધિક સંપદા અધિકારો ધરાવીએ છીએ. અમે કોઈપણ સમયે સાઇટની સામગ્રી અને સુવિધાઓ બદલી શકીએ છીએ.,We have intellectual property rights in the site and content. We can change the content and features of the site at any time.
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors. You may not use our trademarks, logos, and service marks in any way without our prior written permission.","સાઈટ પર પ્રદર્શિત થયેલ રજિસ્ટર્ડ અને અનરજિસ્ટર્ડ ટ્રેડમાર્ક્સ, લોગો અને સર્વિસ માર્કસ અમારી અથવા અમારા લાઇસન્સર્સની માલિકીના છે. તમે અમારી પૂર્વ લેખિત પરવાનગી વિના કોઈપણ રીતે અમારા ટ્રેડમાર્ક, લોગો અને સર્વિસ માર્કસનો ઉપયોગ કરી શકશો નહીં.","Registered and unregistered trademarks, logos and service marks displayed on the Site are owned by us or our licensees. You will not be able to use our trademarks, logos and service marks in any manner without our prior written permission."
"Material featured on this website may be reproduced free of charge. However, no part of the Site and no Content may be copied, republished, reproduced, uploaded, posted, displayed publicly, encoded, translated, transmitted or distributed in any way to any other computer, server, Web site or other medium for publication in a derogatory manner or in a misleading context.","આ વેબસાઈટ પર દર્શાવવામાં આવેલી સામગ્રીને મફતમાં પુનઃઉત્પાદિત કરી શકાય છે. જો કે, સાઇટના કોઈપણ ભાગ અને કોઈપણ સામગ્રીની નકલ, પુનઃપ્રકાશિત, પુનઃઉત્પાદન, અપલોડ, પોસ્ટ, સાર્વજનિક રૂપે પ્રદર્શિત, એન્કોડેડ, અનુવાદ, પ્રસારિત અથવા કોઈપણ રીતે કોઈપણ અન્ય કમ્પ્યુટર, સર્વર, વેબ સાઇટ અથવા પ્રકાશન માટેના અન્ય માધ્યમ પર વિતરિત કરી શકાશે નહીં. અપમાનજનક રીતે અથવા ભ્રામક સંદર્ભમાં.","The content displayed on this website can be reproduced free of cost however, it cannot be reproduced, republished, reproduced, uploaded, posted, publicly displayed, encoded, translated, circulated or otherwise distributed on any other computer, server, website or other medium for publication in a derogatory or misleading manner."
"You may use information available on the Site, provided that you will (1) use such information only for your personal, non-commercial informational purpose and do not copy or post such information on any networked computer or broadcast it in any media, (2) not make any modifications to any such information and any additional representations or warranties relating to such documents and Content.","તમે સાઇટ પર ઉપલબ્ધ માહિતીનો ઉપયોગ કરી શકો છો, જો તમે (1) આવી માહિતીનો ઉપયોગ ફક્ત તમારા વ્યક્તિગત, બિન-વ્યાવસાયિક માહિતીના હેતુ માટે કરશો અને આવી માહિતીને કોઈપણ નેટવર્ક કમ્પ્યુટર પર કૉપિ અથવા પોસ્ટ કરશો નહીં અથવા કોઈપણ મીડિયામાં પ્રસારિત કરશો નહીં, (2) આવી કોઈપણ માહિતી અને આવા દસ્તાવેજો અને સામગ્રીને લગતી કોઈપણ વધારાની રજૂઆતો અથવા વોરંટીઓમાં કોઈ ફેરફાર કરશો નહીં.","You can use the information available on the site, if (1) you use such information only for the purpose of your personal, non-commercial information and do not copy or post such information on any network computer or circulate it in any media."
"Wherever the material is being published or issued to others, the source must be prominently acknowledged. However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","જ્યાં પણ સામગ્રી પ્રકાશિત કરવામાં આવી રહી છે અથવા અન્યને જારી કરવામાં આવી રહી છે, ત્યાં સ્ત્રોતને સ્પષ્ટપણે સ્વીકારવું આવશ્યક છે. જો કે, આ સામગ્રીનું પુનઃઉત્પાદન કરવાની પરવાનગી એવી કોઈપણ સામગ્રી સુધી વિસ્તરશે નહીં કે જેને તૃતીય પક્ષના કોપીરાઈટ તરીકે ઓળખવામાં આવે.","Wherever the material is being published or released to others, the source has to be clearly accepted. however, the permission to reproduce this material will not extend to any material which is known as a third party copyright."
VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE,VIII. બહુભાષી ઇન્ટરફેસની મર્યાદાઓ,Limitations of Multilingual Interface
"Translations on the Poshan Tracker Portal & App Chabot are done by third party translators. While the translations are done on a best effort basis, some of the parts may be incorrect. Certain files and other items on the website cannot be translated. In addition, on translation, some applications and/or services may not function as expected, due to language barriers. We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","પોશન ટ્રેકર પોર્ટલ અને એપ ચાબોટ પરના અનુવાદો તૃતીય પક્ષ અનુવાદકો દ્વારા કરવામાં આવે છે. જ્યારે અનુવાદો શ્રેષ્ઠ પ્રયાસના આધારે કરવામાં આવે છે, ત્યારે કેટલાક ભાગો ખોટા હોઈ શકે છે. વેબસાઇટ પરની અમુક ફાઇલો અને અન્ય વસ્તુઓનું ભાષાંતર કરી શકાતું નથી. વધુમાં, ભાષાંતર પર, કેટલીક એપ્લિકેશનો અને/અથવા સેવાઓ ભાષા અવરોધોને લીધે, અપેક્ષા મુજબ કાર્ય કરી શકશે નહીં. અમે આ પોર્ટલ પર પ્રદાન કરવામાં આવેલ અનુવાદોમાં કોઈપણ ભૂલો, ભૂલો અથવા અસ્પષ્ટતાઓને સુધારવા માટે સતત કામ કરી રહ્યા છીએ.","Translations on the Potion Tracker Portal and App Chatbot are done by third party translators. When translations are made on the basis of best effort, some parts may be incorrect. Some files and other things on the website may not be translated. Further, on translation, some applications and / or services may not function as expected due to language barriers. We are constantly working to correct any errors, errors or ambiguities in the translations provided on this portal."
IX. LINKS,IX. લિંક્સ,IX. Links
"The Site may contain links to other websites that may not be owned, maintained, or operated by us. The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites. We are not responsible for these websites including any content or the privacy practices of these websites. We strongly encourage you to familiarize yourself with the terms of use of these websites. Your use of these websites is at your own risk and peril. It is solely up to you to take necessary precautions to ensure that the links you select or any software you may download is free of viruses, worms, Trojan horses, defects, date bombs, time bombs, and other or other computer programming routines which are of destructive nature","સાઇટમાં અન્ય વેબસાઇટ્સની લિંક્સ હોઈ શકે છે જે અમારી માલિકીની, જાળવણી અથવા સંચાલિત ન હોઈ શકે. હકીકત એ છે કે આ વેબસાઇટ્સ લિંક છે, અમારા તરફથી આ વેબસાઇટ્સનું કોઈ સમર્થન સૂચવતું નથી, કારણ કે આ વેબસાઇટ્સ પર અમારું કોઈ નિયંત્રણ છે. અમે કોઈપણ સામગ્રી અથવા આ વેબસાઇટ્સની પ્રાઇવસી પ્રથાઓ સહિત આ વેબસાઇટ્સ માટે જવાબદાર નથી. અમે તમને આ વેબસાઇટ્સના ઉપયોગની શરતોથી પોતાને પરિચિત કરવા માટે ભારપૂર્વક પ્રોત્સાહિત કરીએ છીએ. આ વેબસાઇટ્સનો તમારો ઉપયોગ તમારા પોતાના જોખમ અને જોખમ પર છે. તમે જે લિંક્સ પસંદ કરો છો અથવા તમે ડાઉનલોડ કરી શકો છો તે કોઈપણ સોફ્ટવેર વાયરસ, વોર્મ્સ, ટ્રોજન હોર્સ, ખામીઓ, ડેટ બોમ્બ, ટાઇમ બોમ્બ અને અન્ય અથવા અન્ય કમ્પ્યુટર પ્રોગ્રામિંગ દિનચર્યાઓથી મુક્ત છે તેની ખાતરી કરવા માટે તે ફક્ત તમારા પર નિર્ભર છે. વિનાશક પ્રકૃતિનું","The site may have links to other websites that are not owned, maintained or operated by us. The fact is that these websites are links, does not suggest any support from us, because we do not have any control over these websites. We are not responsible for these websites, including any content or privacy practices of these websites. We strongly encourage you to familiarize yourself with the terms of use of these websites. Your use of these websites is at your own risk and at risk. Any software viruses, worms, Trojan horses, vulnerabilities, bombs, time bombs and other computer programming that you choose or can download depends only on your nature to ensure that it is free from day-to-day activities."
X. ACCESS FROM OUTSIDE INDIA,એક્સ. ભારત બહારથી એક્સેસ,Access from outside India
"The Site is directed to the people residing in India. We do not represent that Content available on or through the Site is appropriate or available in other locations. We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time. If you choose to access the Site from outside India, you do so at your own risk.","આ સાઇટ ભારતમાં રહેતા લોકો માટે નિર્દેશિત છે. અમે એવું પ્રતિનિધિત્વ કરતા નથી કે સાઇટ પર અથવા તેના દ્વારા ઉપલબ્ધ સામગ્રી યોગ્ય છે અથવા અન્ય સ્થળોએ ઉપલબ્ધ છે. અમે કોઈપણ સમયે કોઈપણ વ્યક્તિ અથવા ભૌગોલિક વિસ્તાર માટે સાઇટ અથવા સાઇટ પર વર્ણવેલ કોઈપણ સેવા અથવા ઉત્પાદનની ઉપલબ્ધતાને મર્યાદિત કરી શકીએ છીએ. જો તમે ભારતની બહારથી સાઇટને એક્સેસ કરવાનું પસંદ કરો છો, તો તમે તમારા પોતાના જોખમે આમ કરો છો.","We do not represent that the content available on or by the site is appropriate or is available in other places. We may at any time limit the availability of any service or product described on the site for any person or geographical area. If you choose to access the site from outside India, you do so at your own risk."
XI. VIOLATION OF THESE TERMS,XI. આ શરતોનું ઉલ્લંઘન,XI. Violation of these conditions
"We may investigate any violation of these Terms, including unauthorized use of the Site. We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you. We may take legal action that we feel is appropriate. If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","અમે સાઇટના અનધિકૃત ઉપયોગ સહિત આ શરતોના કોઈપણ ઉલ્લંઘનની તપાસ કરી શકીએ છીએ. અમે કાયદાના અમલીકરણને તમારી કોઈપણ તપાસ અથવા કાર્યવાહીમાં મદદ કરવા માટે તમારા વ્યવહારોથી સંબંધિત તમે અમને પ્રદાન કરેલી માહિતી પ્રદાન કરી શકીએ છીએ. અમને યોગ્ય લાગે તે અમે કાનૂની પગલાં લઈ શકીએ છીએ. જો અમે નિર્ધારિત કરીએ કે તમે આ શરતો અથવા કાયદાનું ઉલ્લંઘન કર્યું છે, અથવા અન્ય કોઈ કારણસર અથવા કોઈ કારણસર, અમે તમારા એકાઉન્ટને અવરોધિત કરી શકીએ છીએ અને તમને સૂચના આપ્યા વિના કોઈપણ સમયે સાઇટને ઍક્સેસ કરવાથી અટકાવીશું.","We can investigate any violation of these conditions, including unauthorized use of the site. We can provide you with information related to your transactions to assist law enforcement in your investigation or action. We can take legal action if we find it appropriate. If we determine that you have violated these conditions or the law, or for any other reason or reason, we can block your account and prevent you from accessing the site at any time without notice."
XII. RE-DISTRIBUTION,XII. ફરી-વિતરણ,XII. Re-distribution
"Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker. Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","અધિકૃત સંસ્થાઓ એપીઆઈ/નો-કોડ વેબપેજ એકીકરણ દ્વારા ઍક્સેસ કરવામાં સક્ષમ હોય તેવા કોઈપણ ડેટાને ફરીથી વિતરિત કરશે નહીં અને ખાતરી કરશે કે આવા તમામ ડેટાનું એકીકરણ પોશન ટ્રેકર દ્વારા પ્રદાન કરવામાં આવતી ચોક્કસ સેવાઓ સુધી ફરજિયાતપણે મર્યાદિત હોવું જોઈએ. કોઈ પણ સંજોગોમાં, સંસ્થાએ સરકારના પોષણ અભિયાનના ભાગ રૂપે એકત્ર કરાયેલ ડેટાનો ઉપયોગ કોઈપણ હેતુ માટે કરવો જોઈએ નહીં.",The authorized entities shall not re-distribute any data capable of accessing through API / no-code webpage integration and ensure that the integration of all such data is mandatorily limited to specific services provided by the Potion Tracker.
"XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE","XIII. કાયદાનું પાલન, તૃતીય પક્ષના અધિકારો અને સેવાની અન્ય શરતો","Enforcement of laws, rights of third parties and other conditions of service."
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India. These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.","અધિકૃત સંસ્થાઓ ભારત સરકાર દ્વારા સ્થાપિત તમામ લાગુ કાયદાઓ, નિયમન, નીતિઓ અને તૃતીય-પક્ષ અધિકારો (જેમાં અને મર્યાદા વિના, ડેટા અથવા સૉફ્ટવેરની આયાત અથવા નિકાસ સંબંધિત કોઈપણ કાયદાઓ, પ્રાઇવસી અને સ્થાનિક કાયદાઓ સહિત) નું પાલન કરશે. આ સંસ્થાઓ પોશન ટ્રેકર સાથેની આ શરતો સહિતની ગેરકાયદેસર પ્રવૃત્તિ અથવા તૃતીય-પક્ષ અધિકારોના ઉલ્લંઘનને પ્રોત્સાહિત કરવા અથવા પ્રોત્સાહન આપવા APIs/ નો-કોડ વેબપેજ એકીકરણનો ઉપયોગ કરશે નહીં.","The authorized entities shall comply with all applicable laws, regulations, policies and third-party rights (including and without limitation, any law relating to import or export of data or software) set up by the Government of India."
XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS,XIV. તૃતીય પક્ષ સિસ્ટમો દ્વારા પ્રદાન કરવામાં આવેલ ડેટાની ચોકસાઈ,Accuracy of data provided by third party systems
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party. Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","પોશન ટ્રેકર પાસેથી ડેટા એકત્ર કરતા અને વપરાશકર્તાઓને પ્રદર્શિત કરતા ASP આવા ડેટાની શુદ્ધતા માટે અને આ રીતે પ્રદાન કરવામાં આવેલ કોઈપણ ડેટામાંથી ઉદ્ભવતી કોઈપણ જવાબદારી માટે સંપૂર્ણપણે જવાબદાર રહેશે, તે સંપૂર્ણપણે આવા તૃતીય પક્ષની સાથે રહેશે. કોઈપણ ખોટા ડેટાને કારણે ઉદ્ભવતી કોઈપણ જવાબદારીઓ સિવિલ અથવા ફોજદારી, ફક્ત સંબંધિત ASP પાસે જ રહેશે.","The ASP, which collects data from the Potion Tracker and displays it to the users, shall be solely responsible for the accuracy of such data and any liability arising out of any data so provided shall be solely with such third party."
XV. INDEMNITY AND LIMITATION OF LIABILITY,XV. ક્ષતિપૂર્તિ અને જવાબદારીની મર્યાદા,Indemnity and Limitation of Liability
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:","તમે હાનિકારક પોશન ટ્રેકર અને તેના આનુષંગિકો, તેના અધિકારીઓ, નિર્દેશકો, કર્મચારીઓ અને એજન્ટો, કોઈપણ અને તમામ દાવાઓ, નુકસાની, જવાબદારીઓ, નુકસાન, જવાબદારીઓ, ખર્ચ અથવા દેવું સહિત અને ખર્ચ સહિતની સામે અને તેની વિરુદ્ધમાં બચાવ, નુકસાન ભરપાઈ કરવા અને પકડી રાખવા માટે સંમત થાઓ છો, પરંતુ મર્યાદિત નથી. કોઈપણ આરોપ અથવા તૃતીય-પક્ષ કાનૂની કાર્યવાહીથી સંબંધિત એટર્ની ફી આનાથી ઉદ્ભવતા હદ સુધી:","You agree, but not limited, to protect, indemnify and hold against and against the harmful Poshan Tracker and its subsidiaries, its officers, directors, employees and agents, any and all claims, damages, liabilities, costs or liabilities, including costs."
Your use of and access to the Site and Service;,સાઇટ અને સેવાનો તમારો ઉપયોગ અને ઍક્સેસ;,Your access and use of the site and service
Your violation of any term of this Agreement;,આ કરારની કોઈપણ મુદતનું તમારું ઉલ્લંઘન;,Any violation of this agreement
"Your violation of any third party right, including without limitation, any copyright, property, or privacy right; or","કોઈપણ તૃતીય પક્ષના અધિકારનું તમારું ઉલ્લંઘન, જેમાં મર્યાદા વિના, કોઈપણ કોપીરાઈટ, મિલકત અથવા પ્રાઇવસી અધિકારનો સમાવેશ થાય છે; અથવા","Your infringement of the rights of any third party, including, without limitation, any copyright, property or privacy rights. or"
Any claim that your User Content caused damage to a third party. This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,કોઈપણ દાવો કે તમારી વપરાશકર્તા સામગ્રીએ તૃતીય પક્ષને નુકસાન પહોંચાડ્યું છે. આ સંરક્ષણ અને વળતરની જવાબદારી આ કરાર અને સેવા અને વેબસાઇટ/એપના તમારા ઉપયોગથી બચી જશે.,Any claim that your user content has caused damage to a third party. The liability for this protection and compensation will be avoided by this agreement and your use of the service and the website / app.
XVI. JURISDICTION,XVI. અધિકારક્ષેત્ર,XVI. jurisdiction
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,સાઇટનો તમારો ઉપયોગ અને સાઇટના આવા ઉપયોગથી ઉદ્ભવતા કોઈપણ વિવાદ ભારતના કાયદાને આધીન છે અને અધિકારક્ષેત્રનું સ્થાન નવી દિલ્હી હશે.,Your use of the site and any disputes arising out of such use of the site are subject to the law of India and the place of jurisdiction would be New Delhi.
20 December 2021,20 ડિસેમ્બર 2021,20 December 2021
