en,ta,translated_helsinki
"You shall not, either on your own or through any other person:",நீங்கள் சொந்தமாகவோ அல்லது வேறு எந்த நபர் மூலமாகவோ செய்யக்கூடாது:,You should not do it by yourself or by anyone else:
Restrict or inhibit any other person from using the Site,தளத்தைப் பயன்படுத்துவதற்கு நீங்கள் வேறு யாரையும் கட்டுப்படுத்தவோ அல்லது தடுக்கவோ கூடாது,You must not control or control anyone else to use the desktop
Use the Site for any unlawful purpose,எந்தவொரு சட்டவிரோத நோக்கத்திற்காகவும் தளத்தைப் பயன்படுத்தக்கூடாது,Do not use the desktop for any illegal purposes
"Express or imply that any statements you make are endorsed by us, without our prior written consent",எங்களின் முன் எழுத்துப்பூர்வ அனுமதியின்றி நீங்கள் வெளியிடும் எந்தவொரு அறிக்கையும் எங்களால் அங்கீகரிக்கப்பட்டவை என்பதை நீங்கள் வெளிப்படுத்தவோ அல்லது குறிக்கவோ கூடாது,You should either disclose or mark any report that you are issuing without the written permission before us
"Impersonate any person or entity, whether actual or fictitious",உண்மையான அல்லது கற்பனையான எந்தவொரு நபராகவோ அல்லது நிறுவனமாகவோ ஆள்மாறாட்டம் செய்யக்கூடாது,No real or imagined person or organization should change
Engage in spamming or flooding,ஸ்பேமிங் அல்லது வெள்ளத்தில் ஈடுபடக்கூடாது,Neither SpamAssassin nor White
Harvest or collect information about Site users,தள பயனர்கள் பற்றிய தகவல்களை நீங்கள் சேகரிக்கக்கூடாது,You are not allowed to store desktop user information
Open multiple accounts for yourself or any other individual using multiple mobile numbers,பல மொபைல் எண்களைப் பயன்படுத்தி உங்களுக்கோ அல்லது வேறு எந்த நபருக்கோ பல கணக்குகளைத் திறக்கக் கூடாது,Many mobile numbers should not be used to open multiple accounts for you or anyone else
"Submit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive nature","வைரஸ்கள், ட்ரோஜன் ஹார்ஸ்கள், குறைபாடுகள், தேதி வெடிகுண்டுகள், நேர குண்டுகள் அல்லது அழிவுகரமான பிற பொருட்களைக் கொண்ட எந்தவொரு மென்பொருளையும் அல்லது பிற பொருட்களையும் நீங்கள் சமர்ப்பிக்கக்கூடாது","You should not transport any software or other objects with viruses, trojan resins, discounts, date bombs, time zones or other destructive objects"
"Manipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submit","நீங்கள் சமர்ப்பிக்கும் எந்தவொரு இடுகையின் மூலத்தையும் மறைப்பதற்காக, போலி தலைப்புகள் உட்பட அடையாளங்காட்டிகளைக் கையாளக் கூடாது","To hide the source of any transports, you must not handle symbols including polynomial heads"
Link to any portion of the Site other than the URL assigned to the home page of the Site,"தளத்தின் முகப்புப் பக்கத்திற்கு ஒதுக்கப்பட்ட URL ஐத் தவிர, தளத்தின் எந்தப் பகுதியையும் நீங்கள் இணைக்கக் கூடாது","You must not attach any part of the desktop, except a URL that appears on the desktop page."
“Frame” or “Mirror” any part of the Site,"நீங்கள் தளத்தின் எந்தப் பகுதியையும் ""பிரேம்"" அல்லது ""மிரர்"" செய்யக்கூடாது","You can't make any parts of the screen ""frame"" or ""mir""."
"Modify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the Content","தளத்தின் எந்தப் பகுதியையும் மாற்றவோ, திருத்தவோ, துணை உரிமம் பெறவோ, மொழிபெயர்க்கவோ, விற்கவோ, தலைகீழ் பொறியியலாளரோ, சிதைக்கவோ அல்லது பிரிக்கவோ கூடாது, அல்லது உள்ளடக்கத்தின் எந்தப் பகுதியின் மூலக் குறியீடு அல்லது அடிப்படை யோசனைகள் அல்லது வழிமுறைகளைப் பெற முயற்சிக்கவும் கூடாது","Any part of the area should not change, edit, acquire partner, translate, sell, subpoena, signator, or distribution, nor any part of its content's source code or basic ideas or methods"
"Remove any copyright, trademark or other proprietary rights notices contained on the Site","தளத்தில் உள்ள எந்தவொரு பதிப்புரிமை, வர்த்தக முத்திரை அல்லது பிற தனியுரிம உரிமை அறிவிப்புகளை நீங்கள் அகற்றக்கூடாது","You should not remove any downgrade, commercial or other free/busy notifications on the desktop"
"Use any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.","எந்தவொரு கணினி நிரல், போட், ரோபோ, ஸ்பைடர், ஆஃப்லைன் ரீடர், தளத் தேடல்/மீட்டெடுக்கும் பயன்பாடு அல்லது பிற கையேடு அல்லது தானியங்கி சாதனம், கருவி அல்லது செயல்முறையை மீட்டெடுக்க, தளத்தில் காட்டப்படும் எந்த CAPTCHA உட்பட உள்ளடக்கம் அல்லது தளத்தின் கட்டமைப்பு, வழிசெலுத்தல் அமைப்பு அல்லது விளக்கக்காட்சி, குறியீட்டு, தரவுச் சுரங்கம் அல்லது எந்த வகையிலும் பாதுகாப்பை மீண்டும் உருவாக்கவோ அல்லது தவிர்க்கவோ நீங்கள் பயன்படுத்தக்கூடாது.","You may not use any system applications, such as Bot, Robo, Spyter, Offline, Desktop Reader, Desktop Search/Middle application, Handheld or other automatic device, tool or method to restore or disable any of the content or desktop configuration, router or description displayed on the desktop."
Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is active,அத்தகைய மென்பொருள் அல்லது சிஸ்டம் செயலில் உள்ள மற்றொரு கணினிக்கு உங்கள் கணினியில் இருந்து தகவலை அனுப்புவது உட்பட எந்த ஒரு தானியங்கி மென்பொருள் அல்லது கணினி அமைப்பைத் தேட அல்லது முன்பதிவு செய்ய நீங்கள் பயன்படுத்தக்கூடாது,You should not use any of the other programs or systems that are currently running on your system to search for or preview any software or software on your system.
Take any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.,எங்கள் உள்கட்டமைப்பில் நியாயமற்ற அல்லது விகிதாசாரமாக பெரிய சுமையை (எங்கள் சொந்த விருப்பப்படி) சுமத்தும் எந்த நடவடிக்கையையும் நீங்கள் எடுக்கக்கூடாது.,You should not take any action to carry a large cargo (as our own will) unjustly or deliberately in our system.
"Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the Content","நீங்கள் தளத்தைப் பயன்படுத்தவோ, மறுஉருவாக்கம் செய்யவோ, மாற்றவோ, காட்சிப்படுத்தவோ, பொதுவில் நிகழ்த்தவோ, விநியோகிக்கவோ அல்லது தளம் அல்லது உள்ளடக்கத்தின் வழித்தோன்றல் படைப்புகளை உருவாக்கவோ கூடாது","Whether you use the desktop, create it, modify it, display it, perform it in public, distribute it, or create creation creatures like the desktop or content"
"The Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purpose","எந்தவொரு சாதனம், நிரல் அல்லது சேவையின் முயற்சியில், அல்லது அதனுடன் இணைந்து, தளம் மற்றும்/அல்லது உள்ளடக்கத்திற்கான அணுகல் அல்லது உரிமைகளை திறம்பட கட்டுப்படுத்தும் எந்தவொரு தொழில்நுட்ப நடவடிக்கையையும் தவிர்க்க வடிவமைக்கப்பட்டுள்ளது. கையேடு டிகோட், டிக்ரிப்ட், மாற்றியமைத்தல் அல்லது தலைகீழ் பொறியாளர் சான்றிதழ் அல்லது அடிப்படை அல்காரிதம்கள் அல்லது தானியங்கி சாதனம் அல்லது செயல்முறை, எந்த நோக்கத்திற்காகவும் நீங்கள் செய்யக்கூடாது","Any device, program or service that is connected to it, or any software that controls access to or access to the desktop and/or content is configured to be used. For any purpose, you should not perform any purpose for this purpose."
"You will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number","தளத்தின் மூலம் பதிவு செய்யும் பங்கேற்பாளர்களைத் தேட நீங்கள் போட் தொழில்நுட்பத்தைப் பயன்படுத்த மாட்டீர்கள்; சந்தேகத்தைத் தவிர்ப்பதற்காக, தளத்தில் தானியங்கு ஸ்கிரிப்ட் அடிப்படையிலான அல்லது தானியங்கு மென்பொருளைப் பயன்படுத்துவதை இது குறிப்பாகத் தடைசெய்கிறது, மேலும் எந்தவொரு பாதுகாப்பு நடவடிக்கை, அணுகல் கட்டுப்பாட்டு அமைப்பு அல்லது பிற தொழில்நுட்பக் கட்டுப்பாடு அல்லது பங்கேற்பைச் செயல்படுத்தப் பயன்படும் தளத்தின் அளவைத் தவிர்ப்பதைத் தடுக்கிறது. வரம்புகள் அல்லது ஒரு மொபைல் எண்ணுடன் தொடர்புடைய பங்கேற்பாளர்களின் பதிவு விதிகளின் நேர்மையை பராமரிக்க வேண்டும்","You will not be able to use the Bottools you are looking for that desktop to log in. To avoid any doubt, this will prevent you from using the desktop automatically based or automatically built-in software, and will prevent any security operation, access control system or other tool management or toolkit from using the desktop. You need to ensure that the boundaries or domains with a mobile phone number are consistent with the requirements of the protocol."
VII. INTELLECTUAL PROPERTY RIGHTS,VII. அறிவுசார் சொத்து உரிமைகள்,VII. Advisor property rights
We own the intellectual property rights in the Site and Content. We may change the Content and features of the Site at any time.,தளம் மற்றும் உள்ளடக்கத்தில் அறிவுசார் சொத்துரிமைகளை நாங்கள் வைத்திருக்கிறோம். நாங்கள் எந்த நேரத்திலும் தளத்தின் உள்ளடக்கம் மற்றும் அம்சங்களை மாற்றலாம்.,We have intellectual property in the table and content. We can change the contents and components of the table at any time.
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors. You may not use our trademarks, logos, and service marks in any way without our prior written permission.","தளத்தில் காட்டப்படும் பதிவுசெய்யப்பட்ட மற்றும் பதிவுசெய்யப்படாத வர்த்தக முத்திரைகள், லோகோக்கள் மற்றும் சேவை முத்திரைகள் எங்களுக்கு அல்லது எங்கள் உரிமதாரர்களுக்கு சொந்தமானது. எங்களின் முன் எழுத்துப்பூர்வ அனுமதியின்றி எங்களின் வர்த்தக முத்திரைகள், லோகோக்கள் மற்றும் சேவை முத்திரைகளை நீங்கள் எந்த வகையிலும் பயன்படுத்தக்கூடாது.","The registered and unregistered business faces on the table belong to us or to our users. You should not use our business faces, logos and service faces in any way without our having written permission."
"Material featured on this website may be reproduced free of charge. However, no part of the Site and no Content may be copied, republished, reproduced, uploaded, posted, displayed publicly, encoded, translated, transmitted or distributed in any way to any other computer, server, Web site or other medium for publication in a derogatory manner or in a misleading context.","இந்த இணையதளத்தில் இடம்பெற்றுள்ள பொருள் இலவசமாக மீண்டும் உருவாக்கப்படலாம். எவ்வாறாயினும், தளத்தின் எந்தப் பகுதியும் மற்றும் உள்ளடக்கம் எதையும் நகலெடுக்கவோ, மறுபிரசுரம் செய்யவோ, மறுஉருவாக்கம் செய்யவோ, பதிவேற்றவோ, இடுகையிடவோ, பொதுவில் காட்டவோ, குறியிடவோ, மொழிபெயர்க்கவோ, அனுப்பவோ அல்லது எந்த வகையிலும் இழிவான முறையில் அல்லது தவறாக வழிநடத்தும் சூழலில் பிற கணினி, சர்வர், இணையதளம் அல்லது பிற ஊடகங்களில் வெளியிடப்படக்கூடாது.","The item located on this Internet can be restored free of charge. However, any part of the desktop and its contents should not be deleted from the system, server, Internet or other media in a weak or wrong way."
"You may use information available on the Site, provided that you will (1) use such information only for your personal, non-commercial informational purpose and do not copy or post such information on any networked computer or broadcast it in any media, (2) not make any modifications to any such information and any additional representations or warranties relating to such documents and Content.","(1)உங்கள் தனிப்பட்ட, வணிகம் சாராத தகவல் நோக்கங்களுக்காக மட்டுமே நீங்கள் அத்தகைய தகவலைப் பயன்படுத்தினால், எந்தவொரு நெட்வொர்க் கணினியிலும் அத்தகைய தகவலை நகலெடுக்கவோ அல்லது இடுகையிடவோ அல்லது எந்த ஊடகத்திலும் ஒளிபரப்பவோ கூடாது எனில், தளத்தில் கிடைக்கும் தகவலை நீங்கள் பயன்படுத்தலாம்.","(1) If you use such information only for your personal and non-commercial purposes, you can use the information available on the site if you do not have to copy it on any Internet account or download it or publish it on any medium."
VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE,(2)அத்தகைய தகவல்கள் மற்றும் அத்தகைய ஆவணங்கள் மற்றும் உள்ளடக்கம் தொடர்பான கூடுதல் பிரதிநிதித்துவங்கள் அல்லது உத்தரவாதங்களை நீங்கள் எந்த மாற்றங்களையும் செய்யக்கூடாது.,(2) You should not make any changes to such information and such documents and content-related additional representations or replies.
"Translations on the Poshan Tracker Portal & App Chabot are done by third party translators. While the translations are done on a best effort basis, some of the parts may be incorrect. Certain files and other items on the website cannot be translated. In addition, on translation, some applications and/or services may not function as expected, due to language barriers. We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","போஷன் டிராக்கர் போர்ட்டல் & ஆப் சாட்போட் இல் மொழிபெயர்ப்புகள் மூன்றாம் தரப்பு மொழிபெயர்ப்பாளர்களால் செய்யப்படுகின்றன. மொழிபெயர்ப்புகள் சிறந்த முயற்சியின் அடிப்படையில் செய்யப்பட்டாலும், சில பகுதிகள் தவறாக இருக்கலாம். இணையதளத்தில் உள்ள சில கோப்புகள் மற்றும் பிற உருப்படிகளை மொழிபெயர்க்க முடியாது. கூடுதலாக, மொழிபெயர்ப்பில், மொழி தடைகள் காரணமாக, சில பயன்பாடுகள் அல்லது சேவைகள் மொழி தடைகள் காரணமாக எதிர்பார்த்தபடி செயல்படாமல் போகலாம். இந்த போர்ட்டலில் வழங்கப்பட்டுள்ள மொழிபெயர்ப்புகளில் ஏதேனும் பிழைகள், தவறுகள் அல்லது தெளிவின்மைகள் இருந்தால் அவற்றைத் திருத்துவதற்கு நாங்கள் தொடர்ந்து பணியாற்றி வருகிறோம்.","Translations in the Poston Tractor Portal & Off Certificate are done by third-party translators. Although translations are being made on the basis of best effort, some parts may be wrong. In addition, some files and other items on the Internet may not be translated. Also, translations may not work because of language barriers, some applications or services are not available. If any of the translations in this module are incorrect, you may want to continue editing them."
IX. LINKS,IX. இணைப்புகள்,IX. Connections
"The Site may contain links to other websites that may not be owned, maintained, or operated by us. The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites. We are not responsible for these websites including any content or the privacy practices of these websites. We strongly encourage you to familiarize yourself with the terms of use of these websites. Your use of these websites is at your own risk and peril. It is solely up to you to take necessary precautions to ensure that the links you select or any software you may download is free of viruses, worms, Trojan horses, defects, date bombs, time bombs, and other or other computer programming routines which are of destructive nature","தளத்தில் எங்களுக்குச் சொந்தமான, பராமரிக்கப்படாத அல்லது இயக்கப்படாத பிற இணையதளங்களுக்கான இணைப்புகள் இருக்கலாம். இந்த இணையதளங்கள் இணைக்கப்பட்டிருப்பது, இந்த இணையதளங்களின் மீது எங்களிடம் எந்தக் கட்டுப்பாடும் இல்லாததால், இந்த இணையதளங்களுக்கு எங்களிடமிருந்து எந்த ஒப்புதலும் இல்லை. எந்தவொரு உள்ளடக்கம் அல்லது இந்த வலைத்தளங்களின் தனியுரிமை நடைமுறைகள் உட்பட இந்த வலைத்தளங்களுக்கு நாங்கள் பொறுப்பல்ல. இந்த வலைத்தளங்களின் பயன்பாட்டு விதிமுறைகளுடன் உங்களைப் பழக்கப்படுத்திக்கொள்ள நாங்கள் கடுமையாக ஊக்குவிக்கிறோம். இந்த இணையதளங்களைப் பயன்படுத்துவது உங்கள் சொந்த ஆபத்தில் உள்ளது. நீங்கள் தேர்ந்தெடுக்கும் இணைப்புகள் அல்லது நீங்கள் பதிவிறக்கம் செய்யும் எந்த மென்பொருளும் வைரஸ்கள், ட்ரோஜன் ஹார்ஸ்கள், குறைபாடுகள், தேதி குண்டுகள், நேர வெடிகுண்டுகள் மற்றும் பிற அல்லது பிற கணினி நிரலாக்க நடைமுறைகள் அழிக்கும் இயல்புடையது இல்லாமல் இருப்பதை உறுதிசெய்ய தேவையான முன்னெச்சரிக்கை நடவடிக்கைகளை எடுப்பது உங்களுடையது மட்டுமே","We may have connections for private, unattended or running other networks on the surface. Since these networks are connected, we have no control over these networks, there is no agreement between us and these networks. We have no responsibility for these networks, including any content or privacy methods of these networks. We strongly urge you to adopt the use of these networks with all kinds of resources. These networks are in your own risk of using these networks."
X. ACCESS FROM OUTSIDE INDIA,X. இந்தியாவிற்கு வெளியே இருந்து அணுகல்,Access out of X. India
"The Site is directed to the people residing in India. We do not represent that Content available on or through the Site is appropriate or available in other locations. We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time. If you choose to access the Site from outside India, you do so at your own risk.","இந்த தளம் இந்தியாவில் வசிக்கும் மக்களுக்கு மட்டுமே. தளத்தில் கிடைக்கும் உள்ளடக்கம் சரியானது அல்லது பிற இடங்களில் உள்ளது என்பதை நாங்கள் குறிப்பிடவில்லை. எந்த நேரத்திலும் எந்தவொரு நபருக்கும் அல்லது புவியியல் பகுதிக்கும் தளத்தில் விவரிக்கப்பட்டுள்ள தளம் அல்லது எந்தவொரு சேவை அல்லது தயாரிப்பின் கிடைக்கும் தன்மையை நாங்கள் கட்டுப்படுத்தலாம். இந்தியாவிற்கு வெளியே இருந்து தளத்தை அணுக நீங்கள் தேர்வுசெய்தால், உங்கள் சொந்த ஆபத்தில் அதைச் செய்கிறீர்கள்.","This area is only available to people living in India. We did not specify whether the content on the table is correct or where it is elsewhere. At any time, we can control the content of the area described by anyone or by any service or preparation. If you choose to access the area from outside India, you will do so at your own risk."
XI. VIOLATION OF THESE TERMS,XI. இந்த விதிமுறைகளை மீறுதல்,XI. Overstepping these rules
"We may investigate any violation of these Terms, including unauthorized use of the Site. We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you. We may take legal action that we feel is appropriate. If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","தளத்தின் அங்கீகரிக்கப்படாத பயன்பாடு உட்பட, இந்த விதிமுறைகளை மீறினால் நாங்கள் விசாரிக்கலாம். உங்கள் பரிவர்த்தனைகள் தொடர்பாக நீங்கள் எங்களுக்கு வழங்கிய தகவலை சட்ட அமலாக்கத்திற்கு நாங்கள் வழங்கலாம். பொருத்தமற்றதாக நாங்கள் கருதும் தகவலின் மீது சட்ட நடவடிக்கை எடுக்கலாம். வேறு எந்த காரணத்திற்காகவும் அல்லது காரணமின்றி நீங்கள் இந்த விதிமுறைகள் அல்லது சட்டத்தை மீறியுள்ளீர்கள் என்று நாங்கள் தீர்மானித்தால், நாங்கள் உங்கள் கணக்கைத் தடுக்கலாம் மற்றும் எந்த நேரத்திலும் உங்களுக்கு அறிவிப்பு இல்லாமல் தளத்தை அணுகுவதைத் தடுப்போம்.","We can investigate these rules if we break these rules, including unauthorised applications on the desktop. We can give you the information you gave us about your contributions to the legal application. We can also take action against the information. If we decide that you have violated these rules or the law for no other reason or for no reason, we can stop your account and at any time prevent you from accessing the board without notice."
XII. RE-DISTRIBUTION,XII. மறு விநியோகம்,XII. Redistribution
"Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker. Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","அங்கீகரிக்கப்பட்ட நிறுவனங்கள் ஏபிஐ/குறியீடு இல்லாத வலைப்பக்க ஒருங்கிணைப்பு மூலம் அணுகக்கூடிய எந்தத் தரவையும் மீண்டும் விநியோகிக்கக் கூடாது, மேலும் அத்தகைய அனைத்து தரவுகளின் ஒருங்கிணைப்பு போஷன் டிராக்கரால் வழங்கப்படும் குறிப்பிட்ட சேவைகளுடன் கட்டாயமாக வரையறுக்கப்படுவதை உறுதிசெய்யும். எந்தவொரு சூழ்நிலையிலும், அரசாங்கத்தின் போஷன் அபியானின் ஒரு பகுதியாக சேகரிக்கப்பட்ட தரவை இங்கு குறிப்பிடப்பட்டுள்ள நோக்கங்களுக்காக, அரசாங்கத்தால் அனுமதிக்கப்பட்ட நோக்கங்களுக்காகவும் மட்டுமே பயன் படுத்தவேண்டும். வேறு எந்த நோக்கங்களுக்காகவும் இந்த தரவை ஒரு நிறுவனம் பயன்படுத்தக்கூடாது.","Accredited entities should not re-distribute any data that is accessible through a network that is not free of AI/Birth, and shall ensure that such data is strictly defined with the specified services provided by the Bosnia and Herzegovina tractors. In any case, the data collected as part of the government's Gaza Strip should be used for the purposes specified here only for the purposes allowed by the Government. For any other purposes, this data should not be used by any other institution."
"XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE","XIII. சட்டம், மூன்றாம் தரப்பினரின் உரிமைகள் மற்றும் பிற சேவை விதிமுறைகளுடன் இணங்குதல்",XIII. Merged with third-party rights and other service rules
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India. These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.","அங்கீகரிக்கப்பட்ட நிறுவனங்கள், இந்திய அரசாங்கத்தால் நிறுவப்பட்ட அனைத்து பொருந்தக்கூடிய சட்டங்கள், ஒழுங்குமுறை, கொள்கைகள் மற்றும் மூன்றாம் தரப்பு உரிமைகள் (தரவு அல்லது மென்பொருள், தனியுரிமை மற்றும் உள்ளூர் சட்டங்களின் இறக்குமதி அல்லது ஏற்றுமதி தொடர்பான சட்டங்கள் உட்பட மற்றும் வரம்பு இல்லாமல்) இணங்கும். இந்த நிறுவனங்கள் போஷன் டிராக்கர் உடன் இந்த விதிமுறைகள் உட்பட சட்டவிரோத செயல்பாடு அல்லது மூன்றாம் தரப்பு உரிமைகளை மீறுவதை ஊக்குவிக்க APIகள்/குறியீடு இல்லாத வலைப்பக்க ஒருங்கிணைப்பைப் பயன்படுத்தாது.","All relevant laws, regulations, policies and third-party data rights (including data, software, privacy and local import or export related laws) established by the Government of India shall be incorporated. These institutions do not use the association of non-API/GUI networks to promote illegal activities or third-party data rights, including the post-shipment tractor."
XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS,XIV. மூன்றாம் தரப்பு அமைப்புகளால் வழங்கப்பட்ட தரவுகளின் சரியான தன்மை,XIV. The correct identity of the data provided by third-party data sets
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party. Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","போஷன் டிராக்கர் இலிருந்து தரவைச் சேகரித்து பயனர்களுக்குக் காண்பிக்கும் ASPகள் அத்தகைய தரவின் சரியான தன்மைக்கு அவர்கள் மட்டுமே பொறுப்பாவார்கள் மற்றும் அவ்வாறு வழங்கப்பட்ட எந்தவொரு தரவிலிருந்து எழும் எந்தவொரு பொறுப்பும் மூன்றாம் தரப்பினர் உடையதாக இருக்கும். தவறான தரவுகளிலிருந்து எழும், எந்தவொரு சிவில் அல்லது கிரிமினல் பொறுப்புகள், ஏதேனும் சம்பந்தப்பட்ட ஏஎஸ்பியிடம் மட்டுமே இருக்கும்.","The ASPs that collect and display data from the Bosun Tractor will only be responsible for the correct nature of such data and will have any third party responsible for any given data. From the wrong data, any data will have any functions in the body or in the brain, only to any ASPI associated with it."
XV. INDEMNITY AND LIMITATION OF LIABILITY,XV. இழப்பீடு மற்றும் பொறுப்பு வரம்பு,XV. lose and task limit
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:","பாதிப்பில்லாத போஷான் டிராக்கர் மற்றும் அதன் துணை நிறுவனங்கள், அதன் அதிகாரிகள், இயக்குநர்கள், ஊழியர்கள் மற்றும் முகவர்கள், எந்தவொரு மற்றும் அனைத்து உரிமைகோரல்கள், சேதங்கள், கடமைகள், இழப்புகள், பொறுப்புகள், செலவுகள் அல்லது கடன்கள் மற்றும் செலவுகள் உட்பட ஆனால் வரம்புக்குட்படுத்தப்படாத செலவுகளைப் பாதுகாக்கவும், இழப்பீடு வழங்கவும், வைத்திருக்கவும் ஒப்புக்கொள்கிறீர்கள். ஏதேனும் குற்றச்சாட்டு அல்லது மூன்றாம் தரப்பு சட்ட நடவடிக்கை தொடர்பான வழக்குரைஞர்களுக்கான கட்டணங்கள்:","You agree to protect, supply and maintain unlimited costs, including all rights, damages, liabilities, losses, liabilities, expenses or debts, and costs, including any crime or third-party legal action:"
Your use of and access to the Site and Service;,தளம் மற்றும் சேவைக்கான உங்கள் பயன்பாடு மற்றும் அணுகல்;,Access and access your desktop and services;
Your violation of any term of this Agreement;,இந்த ஒப்பந்தத்தின் எந்தவொரு விதிமுறையையும் நீங்கள் மீறுவது;,"And ye shall break any of the laws of this covenant,"
"Your violation of any third party right, including without limitation, any copyright, property, or privacy right; or","எந்தவொரு மூன்றாம் தரப்பு உரிமையையும் நீங்கள் மீறுவது, கட்டுப்பாடு இல்லாமல், எந்த பதிப்புரிமை, சொத்து அல்லது தனியுரிமை உரிமையும் உட்பட; அல்லது","No third party's right to transfer, no control, no jurisdiction, no property or right of privacy; or"
Any claim that your User Content caused damage to a third party. This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,உங்கள் பயனர் உள்ளடக்கம் மூன்றாம் தரப்பினருக்கு சேதம் விளைவித்தது. இந்த ஒப்பந்தம் மற்றும் சேவை இணையதளம்/ஆப்ஸின் உங்கள் பயன்பாட்டிலிருந்து இந்த பாதுகாப்பு மற்றும் இழப்பீட்டுக் கடமை நிலைத்திருக்கும்.,The content of your user has been damaged by third parties. This agreement and the service will be suspended from your use of this security and home.
XVI. JURISDICTION,XVI. அதிகார வரம்பு,Chapter XVI Limit
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,"நீங்கள் தளத்தைப் பயன்படுத்துவதும், அந்த தளத்தைப் பயன்படுத்துவதால் எழும் எந்தவொரு சர்ச்சையும் இந்தியாவின் சட்டங்களுக்கு உட்பட்டது மற்றும் அதிகார வரம்பிற்கு உட்பட்ட இடம் புது தில்லி.",You use the board and use it to write any church that is part of India’s laws and that has a new place within the limits of authority.
20 December 2021,20 டிசம்பர் 2021,"December 20, 2021"
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","போஷன் அபியான் என்பது தொழில்நுட்பம், இலக்கு அணுகுமுறை மற்றும் ஒருங்கிணைப்பு ஆகியவற்றின் மூலம் குழந்தைகள், இளம் பருவத்தினர், கர்ப்பிணிப் பெண்கள் மற்றும் பாலூட்டும் தாய்மார்களுக்கான ஊட்டச்சத்து விளைவுகளை மேம்படுத்துவதற்கான இந்தியாவின் முதன்மைத் திட்டமாகும்.","The main goal of India is to improve nutrition for children, young people, pregnant women, and pregnant mothers by means of industrial tools, targeted approaches, and cooperation."
