en,pa,translated_helsinki
How many beneficiaries got THR in 21 days,ਮਾਂ ਅਤੇ ਬੱਚੇ ਦੀ ਪੋਸ਼ਣ:,Mother and child labor:
How many children breastfed exclusively in the first hour after delivery,ਕਿੰਨੇ ਲਾਭਪਾਤਰੀਆਂ ਨੂੰ 21 ਦਿਨਾਂ ਵਿੱਚ THR ਮਿਲਿਆ,How many lawyers found the THR in 21 days
How many lactating mothers are given HCM,ਕਿੰਨੇ ਬੱਚੇ ਦੁੱਧ ਚੁੰਘਾਉਂਦੇ ਹਨ ਸਪੁਰਦਗੀ ਦੇ ਬਾਅਦ ਪਹਿਲੇ ਘੰਟੇ ਵਿੱਚ ਹੀ ਸਪੁਰਦਗੀ ਦੇ ਅੱਧੇ ਘੰਟੇ ਬਾਅਦ,How many children become pregnant within the first hour after conception
Average level of calcium in children aged 3-6 years,3-6 ਸਾਲ ਦੀ ਉਮਰ ਦੇ ਬੱਚਿਆਂ ਵਿੱਚ ਕੈਲਸ਼ੀਅਮ ਦਾ ਪੱਧਰ,Level of calcium in children between 3 and 6 years of age
Welcome! The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at ,"ਜੀ ਆਇਆਂ ਨੂੰ! ਹੇਠਾਂ ਦਿੱਤੀਆਂ ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ (""ਸ਼ਰਤਾਂ"") ਹਨ ਜੋ ","Come on! The following service conditions are ""conditions""):"
", and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”)."," 'ਤੇ ਹੋਸਟ ਕੀਤੇ ਪੋਸ਼ਣ ਟਰੈਕਰ ਪਲੇਟਫਾਰਮ ਦੀ ਤੁਹਾਡੀ ਵਰਤੋਂ ਨੂੰ ਨਿਯੰਤ੍ਰਿਤ ਕਰਦੀਆਂ ਹਨ, ਅਤੇ ਸਾਰੀਆਂ ਸੰਬੰਧਿਤ ਸਾਈਟਾਂ ਇਸ ਨੂੰ, ਇਸਦੀਆਂ ਸਹਾਇਕ ਕੰਪਨੀਆਂ ਨਾਲ ਲਿੰਕ ਕੀਤੀਆਂ ਹਨ (ਸਮੂਹਿਕ ਤੌਰ 'ਤੇ, ""ਸਾਈਟ"")।","The hosted feeds control your use of the tracker platform, and all related sites are connected to it, with its subsidiary companies (as a group, ""site"")."
I. OWNERSHIP,I. ਮਲਕੀਅਤ,I. Property
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","ਸਾਈਟ ਅਤੇ ਸਾਰਾ ਡਾਟਾ, ਲਿਖਤ, ਡਿਜ਼ਾਈਨ, ਪੰਨੇ, ਪ੍ਰਿੰਟ ਸਕ੍ਰੀਨ, ਚਿੱਤਰ, ਆਰਟਵਰਕ, ਫੋਟੋਆਂ, ਆਡੀਓ ਅਤੇ ਵੀਡੀਓ ਕਲਿੱਪ, HTML ਕੋਡ, ਸਰੋਤ ਕੋਡ, ਜਾਂ ਸੌਫਟਵੇਅਰ ਜੋ ਸਾਈਟ 'ਤੇ ਹਨ ਜਾਂ ਦੇਖਣਯੋਗ ਜਾਂ ਹੋਰ ਖੋਜਣ ਯੋਗ ਹਨ, ਅਤੇ ਸਾਈਟ ਤੋਂ ਬੁੱਕ ਕੀਤੇ ਸਾਰੇ ਭਾਗੀਦਾਰ, (ਸਮੂਹਿਕ ਤੌਰ 'ਤੇ, ""ਸਮੱਗਰੀ"" ਕਿਹਾ ਜਾਂਦਾ ਹੈ) ਮਹਿਲਾ ਅਤੇ ਬਾਲ ਵਿਕਾਸ ਮੰਤਰਾਲੇ ਅਤੇ ਉਹਨਾਂ ਦੇ ਅਧਿਕਾਰਤ ਸੇਵਾ ਪ੍ਰਦਾਤਾਵਾਂ ਦੀ ਮਲਕੀਅਤ ਹੈ।","Sites and all data, written, design, panes, print screens, images, artwork, photos, audio and video clips, HTML code, source code, or software capable of searching or searching the site, and all participants who are booked from the site are owned by the author and child development manager and their authorised service providers."
II. CONSENT,II. ਸਹਿਮਤੀ,II. CONCLUSION
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms. By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","ਸਾਡੀ ਗੋਪਨੀਅਤਾ ਨੀਤੀ, ਓਪਨ API ਨੀਤੀ ਅਤੇ ਕਈ ਹੋਰ ਨੀਤੀਆਂ, ਨਿਯਮ ਜਾਂ ਦਿਸ਼ਾ-ਨਿਰਦੇਸ਼ ਜੋ ਸਾਈਟ 'ਤੇ ਵਿਸ਼ੇਸ਼ ਪੇਸ਼ਕਸ਼ਾਂ ਜਾਂ ਵਿਸ਼ੇਸ਼ਤਾਵਾਂ 'ਤੇ ਲਾਗੂ ਹੋ ਸਕਦੇ ਹਨ, ਨੂੰ ਇਹਨਾਂ ਨਿਯਮਾਂ ਵਿੱਚ ਸ਼ਾਮਲ ਕੀਤਾ ਗਿਆ ਹੈ। ਸਾਈਟ 'ਤੇ ਜਾ ਕੇ ਜਾਂ ਇਸਦੀ ਵਰਤੋਂ ਕਰਕੇ, ਤੁਸੀਂ ਸਮੇਂ-ਸਮੇਂ 'ਤੇ ਅੱਪਡੇਟ ਕੀਤੇ ਗਏ ਇਨ੍ਹਾਂ ਨਿਯਮਾਂ ਨਾਲ ਸਪੱਸ਼ਟ ਤੌਰ 'ਤੇ ਸਹਿਮਤ ਹੁੰਦੇ ਹੋ।","These rules include our Privacy Policy, our open API policies and many other policies, regulations or directions that can be applied to specific offers or features of this site. By going to or using them, you are clearly in agreement with these rules."
"If you do not agree with any part of these terms, do not use the site. You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.","ਜੇਕਰ ਤੁਸੀਂ ਇਹਨਾਂ ਸ਼ਰਤਾਂ ਦੇ ਕਿਸੇ ਵੀ ਹਿੱਸੇ ਨਾਲ ਸਹਿਮਤ ਨਹੀਂ ਹੋ, ਤਾਂ ਸਾਈਟ ਦੀ ਵਰਤੋਂ ਨਾ ਕਰੋ। ਤੁਸੀਂ ਕਿਸੇ ਵੀ ਤਰੀਕੇ ਨਾਲ ਸਾਈਟ ਦੀ ਵਰਤੋਂ ਨਹੀਂ ਕਰ ਸਕਦੇ ਹੋ ਅਤੇ ਸ਼ਰਤਾਂ ਨੂੰ ਸਵੀਕਾਰ ਨਹੀਂ ਕਰ ਸਕਦੇ ਹੋ ਜੇਕਰ ਇੱਕ ਇਕਰਾਰਨਾਮਾ ਬਣਾਉਣ ਲਈ ਤੁਹਾਡੀ ਉਮਰ ਕਾਨੂੰਨਨ ਯੋਗ ਨਹੀਂ ਹੈ।","If you do not agree to any of these conditions, don't use the site. You cannot use the site in any way, and you can't accept the conditions if your life permit is not possible to create a contract."
III. NOTICE REGARDING FUTURE CHANGES TO TERMS:,III. ਸ਼ਰਤਾਂ ਵਿੱਚ ਭਵਿੱਖ'ਚ ਤਬਦੀਲੀਆਂ ਬਾਰੇ ਨੋਟਿਸ:,III. Note on future changes in conditions:
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You take the responsibility to check these Terms of Use periodically for changes. Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.","ਅਸੀਂ ਕਿਸੇ ਵੀ ਸਮੇਂ ਇਹਨਾਂ ਨਿਯਮਾਂ ਦੇ ਕਿਸੇ ਵੀ ਹਿੱਸੇ ਨੂੰ ਬਦਲਣ, ਸੰਸ਼ੋਧਿਤ ਕਰਨ, ਜੋੜਨ ਜਾਂ ਹਟਾਉਣ ਦਾ ਬਿਨਾਂ ਸ਼ਰਤ, ਖਾਸ ਤੌਰ 'ਤੇ ਤੁਹਾਨੂੰ ਅਜਿਹੀਆਂ ਤਬਦੀਲੀਆਂ ਬਾਰੇ ਸੂਚਿਤ ਕੀਤੇ ਬਿਨਾਂ, ਅਧਿਕਾਰ ਰਾਖਵਾਂ ਰੱਖਦੇ ਹਾਂ। ਕੋਈ ਵੀ ਬਦਲਾਅ ਜਾਂ ਅੱਪਡੇਟ ਤੁਰੰਤ ਪ੍ਰਭਾਵੀ ਹੋਣਗੇ। ਤੁਸੀਂ ਤਬਦੀਲੀਆਂ ਲਈ ਸਮੇਂ-ਸਮੇਂ 'ਤੇ ਵਰਤੋਂ ਦੀਆਂ ਇਨ੍ਹਾਂ ਸ਼ਰਤਾਂ ਦੀ ਜਾਂਚ ਕਰਨ ਦੀ ਜ਼ਿੰਮੇਵਾਰੀ ਲੈਂਦੇ ਹੋ। ਅਜਿਹੇ ਸੰਸ਼ੋਧਨ ਤੋਂ ਬਾਅਦ ਪਲੇਟਫਾਰਮ ਦੀ ਤੁਹਾਡੀ ਨਿਰੰਤਰ ਵਰਤੋਂ ਸੋਧੀਆਂ ਸ਼ਰਤਾਂ ਨੂੰ ਸਵੀਕਾਰ ਕਰੇਗੀ।","We have the power to change, modify, add or remove any part of these rules at any time, especially if you are not aware of such changes. Any change or update will have an immediate effect. You are obliged to check these conditions from time to time for changes. After such adjustments, the platform will allow you to make the changes without any changes or updates."
IV. ACCOUNT REGISTRATION,IV. ਖਾਤਾ ਰਜਿਸਟ੍ਰੇਸ਼ਨ,IV. Account registration
"You may browse the Site without registering for an account. You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","ਤੁਸੀਂ ਕਿਸੇ ਖਾਤੇ ਲਈ ਰਜਿਸਟਰ ਕੀਤੇ ਬਿਨਾਂ ਸਾਈਟ ਨੂੰ ਬ੍ਰਾਊਜ਼ ਕਰ ਸਕਦੇ ਹੋ। ਜੇਕਰ ਤੁਸੀਂ ਸਾਈਟ ਦੁਆਰਾ ਪੇਸ਼ ਕੀਤੀਆਂ ਗਈਆਂ ਕੁਝ ਵਿਸ਼ੇਸ਼ਤਾਵਾਂ ਜਾਂ ਸੇਵਾਵਾਂ ਦੀ ਵਰਤੋਂ ਕਰਨ ਦਾ ਇਰਾਦਾ ਰੱਖਦੇ ਹੋ, ਤਾਂ ਤੁਹਾਨੂੰ ਆਪਣੇ ਮੋਬਾਈਲ ਨੰਬਰ ਦੇ ਨਾਲ ਇੱਕ ਖਾਤੇ ਲਈ ਰਜਿਸਟਰ ਕਰਨ ਦੀ ਲੋੜ ਹੋਵੇਗੀ।","You can browse a site without registering for any account. If you intend to use some features or services provided by the site, you will need to register with your mobile phone number."
"By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.","ਇਹਨਾਂ ਸ਼ਰਤਾਂ ਨੂੰ ਸਵੀਕਾਰ ਕਰਕੇ, ਤੁਸੀਂ ਸਪੱਸ਼ਟ ਤੌਰ 'ਤੇ ਸਾਨੂੰ ਤੁਹਾਡੀ ਅਤੇ ਤੁਹਾਡੇ ਖਾਤੇ ਵਿੱਚ ਰਜਿਸਟਰ ਕੀਤੇ ਗਏ ਹੋਰ ਸਾਰੇ ਮੈਂਬਰਾਂ ਦੀ ਪਛਾਣ ਜਾਣਕਾਰੀ (ਆਧਾਰ ਵੇਰਵਿਆਂ ਸਮੇਤ) ਦੀ ਵਰਤੋਂ ਕਰਨ ਦੇ ਅਧਿਕਾਰ ਲਈ ਸਹਿਮਤੀ ਦਿੰਦੇ ਹੋ।","By accepting these conditions, you are clearly giving us permission to use the identity information of all the members registered in your account and your account."
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure. Your registration or mobile number shall be kept confidential,ਤੁਸੀਂ ਆਪਣੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਅਤੇ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਅਤੇ ਇਸ ਜਾਣਕਾਰੀ ਨੂੰ ਸੁਰੱਖਿਅਤ ਰੱਖਣ ਵਿੱਚ ਅਸਫਲ ਰਹਿਣ ਦੇ ਨਤੀਜੇ ਵਜੋਂ ਹੋਣ ਵਾਲੀਆਂ ਸਾਰੀਆਂ ਗਤੀਵਿਧੀਆਂ ਦੀ ਗੁਪਤਤਾ ਨੂੰ ਬਣਾਈ ਰੱਖਣ ਲਈ ਪੂਰੀ ਤਰ੍ਹਾਂ ਜ਼ਿੰਮੇਵਾਰ ਹੋ। ਤੁਹਾਡੀ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਜਾਂ ਮੋਬਾਈਲ ਨੰਬਰ ਨੂੰ ਗੁਪਤ ਰੱਖਿਆ ਜਾਵੇਗਾ,You are completely responsible for keeping your personal information and registration and this information confidential. Your registration or mobile phone number will be kept secret.
You undertake that:,ਤੁਸੀਂ ਇਹ ਮੰਨਦੇ ਹੋ:,You agree:
You have obtained consent from the concerned individuals for creating their records through your account.,ਤੁਸੀਂ ਆਪਣੇ ਖਾਤੇ ਰਾਹੀਂ ਆਪਣੇ ਰਿਕਾਰਡ ਬਣਾਉਣ ਲਈ ਸਬੰਧਤ ਵਿਅਕਤੀਆਂ ਤੋਂ ਸਹਿਮਤੀ ਪ੍ਰਾਪਤ ਕੀਤੀ ਹੈ।,You have received permission from the people associated with your account to create your own records.
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,ਤੁਹਾਡੇ ਖਾਤੇ ਜਾਂ ਮੋਬਾਈਲ ਨੰਬਰ ਵਿੱਚ ਉਸ ਵਿਅਕਤੀ ਦੀ ਨਕਲ ਕਰਨ ਦੇ ਇਰਾਦੇ ਵਾਲੇ ਕਿਸੇ ਹੋਰ ਵਿਅਕਤੀ ਦਾ ਨਾਮ ਸ਼ਾਮਲ ਨਹੀਂ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ।,The name of the other person who wants to copy that person should not be included in your account or mobile number.
You shall not use another user's account without their permission.,ਤੁਸੀਂ ਕਿਸੇ ਹੋਰ ਉਪਭੋਗਤਾ ਦੇ ਖਾਤੇ ਦੀ ਵਰਤੋਂ ਉਹਨਾਂ ਦੀ ਇਜਾਜ਼ਤ ਤੋਂ ਬਿਨਾਂ ਨਹੀਂ ਕਰੋਗੇ।,You will not be allowed to access any other user's account.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach. If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.","ਜੇਕਰ ਤੁਹਾਨੂੰ ਆਪਣੇ ਖਾਤੇ ਦੀ ਕੋਈ ਅਣਅਧਿਕਾਰਤ ਵਰਤੋਂ ਜਾਂ ਖਾਤਾ-ਸਬੰਧਤ ਸੁਰੱਖਿਆ ਉਲੰਘਣਾ ਦਾ ਪਤਾ ਲੱਗਦਾ ਹੈ ਤਾਂ ਤੁਸੀਂ ਸਾਨੂੰ ਤੁਰੰਤ ਲਿਖਤੀ ਰੂਪ ਵਿੱਚ ਸੂਚਿਤ ਕਰੋਗੇ। ਜੇਕਰ ਸਾਨੂੰ ਕੋਈ ਸ਼ਿਕਾਇਤ ਮਿਲਦੀ ਹੈ ਕਿ ਤੁਹਾਡਾ ਖਾਤਾ ਕਿਸੇ ਹੋਰ ਦੇ ਅਧਿਕਾਰਾਂ ਦੀ ਉਲੰਘਣਾ ਕਰਦਾ ਹੈ, ਜਾਂ ਸਾਡੀਆਂ ਨੀਤੀਆਂ ਦੀ ਉਲੰਘਣਾ ਕਰਦਾ ਹੈ ਤਾਂ ਅਸੀਂ ਤੁਹਾਡੇ ਖਾਤੇ ਨੂੰ ਰੱਦ ਜਾਂ ਬੰਦ ਕਰ ਸਕਦੇ ਹਾਂ।","If you find out that you are using your account unauthorised or account-related security, you will notify us in a fast writing format. If you suspect that your account violates another account or violates our policies, we can cancel or close your account."
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site","ਤੁਸੀਂ ਸਾਈਟ 'ਤੇ ਭਾਗੀਦਾਰਾਂ ਨੂੰ ਰਜਿਸਟਰ ਕਰਨ ਲਈ ਮਲਟੀਪਲ ਇੰਟਰਨੈਟ ਪ੍ਰੋਟੋਕੋਲ ਪਤੇ ਜਾਂ ਮੋਬਾਈਲ ਨੰਬਰ, ਜਾਂ ਕਿਸੇ ਹੋਰ ਤਰੀਕੇ ਨਾਲ ਆਪਣੀ ਪਛਾਣ ਛੁਪਾਉਣ ਦੀ ਕੋਸ਼ਿਸ਼ ਨਹੀਂ ਕਰੋਗੇ।",You will not try to hide your identity by multiple Internet protocol cards or mobile numbers to register attendees on the site.
V. ACCESS PERMISSIONS,V. ਪ੍ਰਵੇਸ਼ ਅਨੁਮਤੀਆਂ,V. Access Allowed
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,ਤੁਸੀਂ ਸਿਰਫ਼ ਦਸਤਾਵੇਜ਼ ਵਿੱਚ ਵਰਣਨ ਕੀਤੇ ਸਾਧਨਾਂ ਦੁਆਰਾ ਸਾਈਟ ਤੇ ਪ੍ਰਵੇਸ਼ (ਜਾਂ ਐਕਸੈਸ ਕਰਨ ਦੀ ਕੋਸ਼ਿਸ਼) ਕਰੋਗੇ ਅਤੇ ਇਸ ਸਮਝੌਤੇ ਦੇ ਨਿਯਮਾਂ ਅਤੇ ਸ਼ਰਤਾਂ ਦੀ ਪਾਲਣਾ ਕਰੋਗੇ।,You will only be able to access this site and access it (if you try to access it) and comply with the rules and conditions of this document.
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","ਤੁਸੀਂ ਸਾਰੇ ਕੇਂਦਰੀ ਅਤੇ ਰਾਜ ਦੇ ਕਾਨੂੰਨਾਂ, ਨਿਯਮਾਂ ਅਤੇ ਵਿਨਿਯਮਾਂ ਦੀ ਪਾਲਣਾ ਕਰੋਗੇ ਜੋ ਤੁਹਾਡੇ ਅਤੇ ਤੁਹਾਡੇ ਦੁਆਰਾ ਸਾਈਟ ਦੀ ਵਰਤੋਂ ਤੇ ਲਾਗੂ ਹੁੰਦੇ ਹਨ ਅਤੇ ਕਿਸੇ ਵੀ ਤੀਜੀ-ਧਿਰ ਦੇ ਅਧਿਕਾਰਾਂ ਨੂੰ ਪ੍ਰਭਾਵਿਤ ਕਰ ਸਕਦੇ ਹਨ।","You will comply with all the laws, regulations and regulations of the Centre and the Kingdom that apply to you and your site and may affect any third-party authority."
VI. ACCESS RESTRICTIONS,VI. ਪ੍ਰਵੇਸ਼ ਪਾਬੰਦੀਆਂ,VI. Access Restrictions
"You shall not, either on your own or through any other person:",ਤੁਸੀਂ ਆਪਣੇ ਆਪ ਜਾਂ ਕਿਸੇ ਹੋਰ ਵਿਅਕਤੀ ਦੁਆਰਾ ਇਹ ਨਹੀਂ ਕਰ ਸਕਦੇ:,You cannot do this by yourself or by someone else:
Restrict or inhibit any other person from using the Site,ਕਿਸੇ ਹੋਰ ਵਿਅਕਤੀ ਨੂੰ ਸਾਈਟ ਦੀ ਵਰਤੋਂ ਕਰਨ ਤੋਂ ਰੋਕਣਾ ਜਾਂ ਵਰਜਣਾ,Stop or rotate another person from using the site
Use the Site for any unlawful purpose,ਕਿਸੇ ਵੀ ਗੈਰ-ਕਾਨੂੰਨੀ ਉਦੇਸ਼ ਲਈ ਸਾਈਟ ਦੀ ਵਰਤੋਂ ਕਰਨਾ,Use site for any illegal purpose
"Express or imply that any statements you make are endorsed by us, without our prior written consent",ਸਾਡੀ ਪੂਰਵ ਲਿਖਤੀ ਸਹਿਮਤੀ ਤੋਂ ਬਿਨਾਂ ਜ਼ਾਹਰ ਕਰਨਾ ਜਾਂ ਸੰਕੇਤ ਕਰਨਾ ਕਿ ਤੁਹਾਡੇ ਕਿਸੇ ਵੀ ਬਿਆਨ ਨੂੰ ਸਾਡੇ ਦੁਆਰਾ ਤਸਦੀਕ ਕੀਤਾ ਗਿਆ ਹੈ,"Without our prior written agreement, let us make known or indicate that any of your comments has been supplied by us"
"Impersonate any person or entity, whether actual or fictitious","ਕਿਸੇ ਵੀ ਵਿਅਕਤੀ ਜਾਂ ਹਸਤੀ ਦੀ ਨਕਲ ਕਰਨਾ, ਭਾਵੇਂ ਅਸਲ ਜਾਂ ਕਾਲਪਨਿਕ ਹੋਵੇ","To copy any person or object, whether it is real or mythical"
Engage in spamming or flooding,ਸਪੈਮਿੰਗ ਜਾਂ ਫਲਡਿੰਗ ਵਿੱਚ ਸ਼ਾਮਿਲ ਹੋਣਾ,Whether to insert spaces instead of tabs.
Harvest or collect information about Site users,ਸਾਈਟ ਉਪਭੋਗਤਾਵਾਂ ਬਾਰੇ ਜਾਣਕਾਰੀ ਪ੍ਰਾਪਤ ਕਰਨਾ ਜਾਂ ਇਕੱਠੀ ਕਰਨਾ,Get or collect information about site users
Open multiple accounts for yourself or any other individual using multiple mobile numbers,ਕਈ ਮੋਬਾਈਲ ਨੰਬਰਾਂ ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਆਪਣੇ ਲਈ ਜਾਂ ਕਿਸੇ ਹੋਰ ਵਿਅਕਤੀ ਲਈ ਕਈ ਖਾਤੇ ਖੋਲ੍ਹਣਾ,Open multiple accounts for yourself or someone else using mobile numbers
"Submit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive nature","ਕੋਈ ਵੀ ਸੌਫਟਵੇਅਰ ਜਾਂ ਹੋਰ ਸਮੱਗਰੀ ਜਮ੍ਹਾਂ ਕਰਨਾ ਜਿਸ ਵਿੱਚ ਕੋਈ ਵੀ ਵਾਇਰਸ, ਵੋਰਮਜ, ਟਰੋਜਨ ਹਾਰਸ, ਨੁਕਸ, ਡੇਟ ਬੰਬ, ਟਾਈਮ ਬੰਬ ਜਾਂ ਵਿਨਾਸ਼ਕਾਰੀ ਸੁਭਾਹ ਦੀਆਂ ਹੋਰ ਚੀਜ਼ਾਂ ਸ਼ਾਮਲ ਹੋਣ।","Any software or other content that may include any of the following: viruses, worms, trojan viruses, Nuxes, Data Bombs, Time Bombs or other objects of a destructive nature."
"Manipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submit","ਤੁਹਾਡੇ ਦੁਆਰਾ ਜਮ੍ਹਾਂ ਕੀਤੀ ਕਿਸੇ ਵੀ ਪੋਸਟਿੰਗ ਦੇ ਮੂਲ ਨੂੰ ਛੁਪਾਉਣ ਲਈ, ਜਾਅਲੀ ਸਿਰਲੇਖਾਂ ਸਮੇਤ ਪਛਾਣਕਰਤਾਵਾਂ ਵਿੱਚ ਸੋਧ ਕਰਨੀ","To hide the value of any posting you have requested, you need to edit it in wild headers with identifiers"
Link to any portion of the Site other than the URL assigned to the home page of the Site,ਸਾਈਟ ਦੇ ਹੋਮ ਪੇਜ ਨੂੰ ਨਿਰਧਾਰਤ URL ਤੋਂ ਇਲਾਵਾ ਸਾਈਟ ਦੇ ਕਿਸੇ ਵੀ ਹਿੱਸੇ ਨਾਲ ਲਿੰਕ ਕਰਨਾ,The home page of the site should be linked to any part of the site other than the specified URL
“Frame” or “Mirror” any part of the Site,"ਸਾਈਟ ਦਾ ਕੋਈ ਵੀ ਹਿੱਸਾ ""ਫ੍ਰੇਮ"" ਜਾਂ ""ਮਿਰਰ"" ਕਰਨਾ","Any part of this site should be either ""frame"" or ""mir""."
"Modify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the Content","ਸਾਈਟ ਦੇ ਕਿਸੇ ਵੀ ਹਿੱਸੇ ਨੂੰ ਸੰਸ਼ੋਧਿਤ, ਅਨੁਕੂਲਿਤ, ਉਪ-ਲਾਇਸੈਂਸ, ਅਨੁਵਾਦ, ਵਿਕਰੀ, ਉਲਟ ਇੰਜੀਨੀਅਰ, ਅਲੱਗ ਜਾਂ ਵਿਘਟਿਤ ਕਰਨਾ, ਜਾਂ ਕਿਸੇ ਵੀ ਸਰੋਤ ਕੋਡ ਜਾਂ ਸਮੱਗਰੀ ਦੇ ਕਿਸੇ ਵੀ ਹਿੱਸੇ ਦੇ ਅੰਤਰੀਵ ਵਿਚਾਰ ਜਾਂ ਐਲਗੋਰਿਦਮ ਨੂੰ ਪ੍ਰਾਪਤ ਕਰਨ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰਨਾ।","Any part of this site should be modified, modified, modified, up-to-date, translated, sold, otherwise engineered, separate or detached, or try to obtain an internal idea or algorithm of any part of its source code or content."
"Remove any copyright, trademark or other proprietary rights notices contained on the Site","ਸਾਈਟ 'ਤੇ ਮੌਜੂਦ ਕਿਸੇ ਵੀ ਕਾਪੀਰਾਈਟ, ਟ੍ਰੇਡਮਾਰਕ ਜਾਂ ਹੋਰ ਮਲਕੀਅਤ ਅਧਿਕਾਰ ਨੋਟਿਸਾਂ ਨੂੰ ਹਟਾਓਣਾ","Delete any existing copyright, trademark or other copyright notes"
"Use any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.","ਕਿਸੇ ਵੀ ਕੰਪਿਊਟਰ ਪ੍ਰੋਗਰਾਮ, ਬੋਟ, ਰੋਬੋਟ, ਸਪਾਇਡਰ, ਔਫਲਾਈਨ ਰੀਡਰ, ਸਾਈਟ ਖੋਜ/ ਐਪਲੀਕੇਸ਼ਨ ਜਾਂ ਹੋਰ ਮੈਨੂਅਲ ਜਾਂ ਸਵੈਚਲਿਤ ਡਿਵਾਈਸ ਸੁਧਾਰ, ਟੂਲ, ਜਾਂ ਸੂਚਕਾਂਕ, ਡੇਟਾ ਮਾਈਨ ਪ੍ਰਕਿਰਿਆ ਵਿੱਚ ਸੁਧਾਰ ਕਰਨਾ, ਜਾਂ ਕਿਸੇ ਵੀ ਤਰੀਕੇ ਨਾਲ ਸੁਰੱਖਿਆ ਢਾਂਚਾ, ਨੇਵੀਗੇਸ਼ਨਲ ਢਾਂਚਾ, ਜਾਂ ਸਮੱਗਰੀ ਜਾਂ ਸਾਈਟ ਦੀ ਪੇਸ਼ਕਾਰੀ, ਜਿਸ ਵਿੱਚ ਸਾਈਟ 'ਤੇ ਪ੍ਰਦਰਸ਼ਿਤ ਕੈਪਚਾ ਵੀ ਸ਼ਾਮਲ ਹੈ ਦਾ ਪੁਨਰਗਠਨ ਜਾਂ ਇਸਨੂੰ ਨਾਕਾਮ ਕਰਨਾ।","Any computer program, bot, robot, Spider, Offline Reader, Site Search/ Application, or other manual or custom device improvement, tool, or indicator, or any way to fix a security structure, navigational structure, or content or site offer, including whether the site is a site's configuration or not."
Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is active,ਕਿਸੇ ਵੀ ਸਵੈਚਲਿਤ ਸੌਫਟਵੇਅਰ ਜਾਂ ਕੰਪਿਊਟਰ ਸਿਸਟਮ ਦੀ ਵਰਤੋਂ ਮੁਲਾਕਾਤ ਖੋਜਣ ਜਾਂ ਬੁੱਕ ਕਰਨ ਲਈ ਕਰਨਾ ਜਿਸ ਵਿੱਚ ਆਪਣੇ ਕੰਪਿਊਟਰ ਤੋਂ ਕਿਸੇ ਹੋਰ ਕੰਪਿਊਟਰ ਨੂੰ ਜਾਣਕਾਰੀ ਭੇਜਣਾ ਸ਼ਾਮਿਲ ਹੈ ਜਿੱਥੇ ਅਜਿਹਾ ਸਾਫਟਵੇਅਰ ਜਾਂ ਸਿਸਟਮ ਕਿਰਿਆਸ਼ੀਲ ਹੈ।,To access or write access to any automated software or computer system which includes sending information to another computer from your computer where the software or system is available.
