en,te,translated_helsinki
Use the Site for any unlawful purpose,ఏదైనా చట్టవ్యతిరేక ప్రయోజనం కొరకు సైట్ ని ఉపయోగించండి,Use site name for illegal purposes
"Express or imply that any statements you make are endorsed by us, without our prior written consent","మా ముందస్తు రాతపూర్వక సమ్మతి లేకుండా, మీరు చేసే ఏవైనా ప్రకటనలు మా ద్వారా ఆమోదించబడ్డాయని వ్యక్తీకరించండి లేదా సూచించండి","Without our prior agreement, express or indicate that any of the announcements you make have been approved by us"
"Impersonate any person or entity, whether actual or fictitious","వాస్తవమైన లేదా కల్పితమైనదైనా, ఏదైనా వ్యక్తి లేదా అస్తిత్వాన్ని అనుకరించడం","Imitating someone or property, whether real or imagined"
Engage in spamming or flooding,స్పామింగ్ లేదా ఫ్లూడింగ్ లో నిమగ్నం కావడం,Diminished in Spaming or Fluding
Harvest or collect information about Site users,సైట్ యూజర్ ల గురించి సమాచారాన్ని సంపాదించడం లేదా సేకరించడం,Getting or collecting information about site users
Open multiple accounts for yourself or any other individual using multiple mobile numbers,అనేక మొబైల్ నెంబర్లను ఉపయోగించి మీ కొరకు లేదా ఎవరైనా ఇతర వ్యక్తుల కొరకు బహుళ ఖాతాలను తెరవండి,Open multiple accounts for yourself or someone else using multiple mobile numbers
"Submit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive nature","ఏదైనా వైరస్ లు, వార్మ్ లు, ట్రోజన్ హార్స్ లు, డిఫెక్ట్స్, డేట్ బాంబులు, టైమ్ బాంబ్ లు లేదా విధ్వంసక స్వభావం కలిగిన ఇతర ఐటమ్ లను కలిగి ఉన్న ఏదైనా సాఫ్ట్ వేర్ లేదా ఇతర మెటీరియల్స్ ని సబ్మిట్ చేయండి","Submit something that has any virus, warms, trojan hair, defects, date bombs, time bombs or other educational properties"
"Manipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submit","మీరు సబ్మిట్ చేసే ఏదైనా పోస్టింగ్ యొక్క మూలాన్ని మరుగుపరచడం కొరకు, హెడ్డర్ లను ఫోర్జరీ చేయడం ద్వారా ఐడెంటిఫైయర్ లను మ్యానిపులేట్ చేయండి","To hide the source of any posting you submit, manipulating header by forceing header"
Link to any portion of the Site other than the URL assigned to the home page of the Site,సైట్ యొక్క హోమ్ పేజీకి అసైన్ చేయబడ్డ URL కాకుండా సైట్ యొక్క ఏదైనా భాగానికి లింక్ చేయండి,"Link the website's home page to a section of the site, not the URL"
“Frame” or “Mirror” any part of the Site,"సైట్ యొక్క ఏదైనా భాగాన్ని ""ఫ్రేమ్"" లేదా ""మిర్రర్""","Some parts of the site are ""frame"" or ""mirror"""
"Modify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the Content","సైట్ యొక్క ఏదైనా భాగాన్ని సవరించడం, స్వీకరించడం, సబ్-లైసెన్స్, అనువదించడం, అమ్మడం, రివర్స్ ఇంజినీర్, డీకంపైల్ చేయడం లేదా విడదీయడం, లేదా కంటెంట్ యొక్క ఏదైనా భాగం యొక్క ఏదైనా సోర్స్ కోడ్ లేదా అంతర్లీన ఆలోచనలు లేదా అల్గారిథమ్ లను పొందడానికి ప్రయత్నించడం","Trying to fix, accept, sub-licence, translate, sell, River Engineer, decode or release any part of a site, or get any source code or internal ideas or algorithms of any part of a site"
"Remove any copyright, trademark or other proprietary rights notices contained on the Site","సైట్ లో ఉన్న ఏదైనా కాపీరైట్, ట్రేడ్ మార్క్ లేదా ఇతర యాజమాన్య హక్కుల నోటీసులను తొలగించండి","Remove any copyright, trademark or other copyright notes on the site"
"Use any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.","ఏదైనా కంప్యూటర్ ప్రోగ్రామ్, బాట్, రోబోట్, స్పైడర్, ఆఫ్ లైన్ రీడర్, సైట్ సెర్చ్/రిట్రీవల్ అప్లికేషన్ లేదా ఇతర మాన్యువల్ లేదా ఆటోమేటిక్ పరికరం, టూల్ లేదా ప్రాసెస్ ని తిరిగి పొందడానికి, ఇండెక్స్ చేయడానికి, డేటా మైన్ కు, లేదా సైట్ లో ప్రదర్శించబడే ఏదైనా CAPTCHAకు సంబంధించి సహా, కంటెంట్ లేదా సైట్ యొక్క భద్రతా నిర్మాణం, నావిగేషనల్ స్ట్రక్చర్ లేదా ప్రజంటేషన్ ని పునరుత్పత్తి చేయడం లేదా దాటవేయడం కొరకు ఏదైనా కంప్యూటర్ ప్రోగ్రామ్ ఉపయోగించండి.","Use a computer program, such as a computer program, a boat, a robot, a Spider, an off-line reader, a site seeker/retrieval application or other manual or automatic device, a tool or process to retrieve, index, data to or use a computer program to build a site's security, or to rebuild or transfer a navigational structure or population."
Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is active,మీ కంప్యూటర్ నుంచి అటువంటి సాఫ్ట్ వేర్ లేదా సిస్టమ్ యాక్టివ్ గా ఉన్న మరో కంప్యూటర్ కు సమాచారాన్ని పంపడంతో సహా అపాయింట్ మెంట్ కొరకు శోధించడానికి లేదా బుక్ చేయడానికి ఏదైనా ఆటోమేటెడ్ సాఫ్ట్ వేర్ లేదా కంప్యూటర్ సిస్టమ్ ఉపయోగించండి,"Use an automated software or a computer system to test or book information about another computer, including the software on your computer."
Take any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.,మా మౌలిక సదుపాయాలపై అసమంజసమైన లేదా అసమానంగా పెద్ద భారాన్ని విధించే లేదా విధించే ఏదైనా చర్యను (మా స్వంత విచక్షణ మేరకు) తీసుకోండి.,Take any action (for our own self - examination) that is unfair or unjust on our part.
"Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the Content","సైట్ ఉపయోగించండి లేదా సైట్ లేదా కంటెంట్ యొక్క డెరివేటివ్ వర్క్ లను పునరుత్పత్తి చేయడం, సవరించడం, ప్రదర్శించడం, బహిరంగంగా నిర్వహించడం, పంపిణీ చేయడం లేదా సృష్టించడం","Reproduce, modify, display, manage, send or create remote works of site or county"
"The Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purpose","మాన్యువల్ డీకోడ్, డీక్రిప్ట్, మాడిఫై, లేదా రివర్స్ ఇంజినీర్ సర్టిఫికేట్ లేదా అంతర్లీన అల్గోరిథమ్ లు లేదా స్వయంచాలక పరికరం లేదా ప్రాసెస్ ద్వారా పరిమితి లేకుండా, సైట్ మరియు/లేదా కంటెంట్ యొక్క ప్రాప్యతను సమర్థవంతంగా నియంత్రించే ఏదైనా సాంకేతిక కొలతను లేదా దానిలోని హక్కులను అధిగమించడానికి రూపొందించబడ్డ ఏదైనా పరికరం, ప్రోగ్రామ్ లేదా సేవతో పాటుగా రూపొందించబడ్డ ఏదైనా పరికరం, ప్రోగ్రామ్ లేదా సేవతో పాటుగా కంటెంట్, ఏ ప్రయోజనానికైనా","Any device that is designed to control the presence of a site and/or client successfully, or any device that is formed with a program or service, program or service, program or service, software or service without having limitations."
"You will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number","సైట్ ద్వారా పాల్గొనేవారిని రిజిస్టర్ చేసుకోవడం కొరకు శోధించడం కొరకు మీరు బాట్ టెక్నాలజీని ఉపయోగించరు; సందేహాన్ని పరిహరించడం కొరకు, సైట్ లో ఆటోమేటెడ్ స్క్రిప్ట్ ఆధారిత లేదా ఆటోమేటెడ్ సాఫ్ట్ వేర్ ఉపయోగించడాన్ని ఇది ప్రత్యేకంగా నిషేధిస్తుంది మరియు పాల్గొనే పరిమితులను అమలు చేయడానికి లేదా ఒక మొబైల్ నెంబరుకు సంబంధించిన పాల్గొనేవారి నియమాలను రిజిస్టర్ చేయడం యొక్క సమగ్రతను మెయింటైన్ చేయడానికి ఉపయోగించే ఏదైనా భద్రతా కొలత, యాక్సెస్ కంట్రోల్ సిస్టమ్, లేదా ఇతర సాంకేతిక నియంత్రణ లేదా కొలతలను సైట్ లో దాటవేయకుండా మిమ్మల్ని నిషేధిస్తుంది","You do not use the boot technology to try to register those who are logged through a site; it specifically forbids the use of automated scripts based on or automated software on the site to prevent any security exploits from registering the peer's rules on a mobile number, restricting access control system, or restricting other communication controls."
VII. INTELLECTUAL PROPERTY RIGHTS,VII. మేధో సంపత్తి హక్కులు,VII. The Rights of the Meadows
We own the intellectual property rights in the Site and Content. We may change the Content and features of the Site at any time.,సైట్ మరియు కంటెంట్ లో మేధో సంపత్తి హక్కులను మేం స్వంతం చేసుకున్నాం. మేము ఏ సమయంలోనైనా సైట్ యొక్క కంటెంట్ మరియు ఫీచర్లను మార్చవచ్చు.,We have self-defensed property rights in the site and the county. We can change the site's quota and fixtures at any time.
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors. You may not use our trademarks, logos, and service marks in any way without our prior written permission.","సైట్ పై ప్రదర్శించబడే రిజిస్టర్డ్ మరియు రిజిస్టర్ కాని ట్రేడ్ మార్క్ లు, లోగోలు మరియు సర్వీస్ మార్క్ లు మా లేదా మా లైసెన్సర్ ల స్వంతం. మా ముందస్తు రాతపూర్వక అనుమతి లేకుండా మీరు మా ట్రేడ్ మార్క్ లు, లోగోలు మరియు సర్వీస్ మార్క్ లను ఏవిధంగానూ ఉపయోగించరాదు.","The registered and non-registered trademarks on the site are our own or our licensee. You will not use our trademarks, logos and service brands without our prior authorization."
"Material featured on this website may be reproduced free of charge. However, no part of the Site and no Content may be copied, republished, reproduced, uploaded, posted, displayed publicly, encoded, translated, transmitted or distributed in any way to any other computer, server, Web site or other medium for publication in a derogatory manner or in a misleading context.","ఈ వెబ్ సైట్ లో ఫీచర్ చేయబడ్డ మెటీరియల్ ని ఉచితంగా పునరుత్పత్తి చేయవచ్చు. అయితే, సైట్ యొక్క ఏ భాగం మరియు ఏ కంటెంట్ కూడా కాపీ చేయబడదు, తిరిగి ప్రచురించబడదు, పునరుత్పత్తి చేయబడదు, అప్ లోడ్ చేయబడదు, పోస్ట్ చేయబడదు, బహిరంగంగా ప్రదర్శించబడదు, ఎన్ కోడ్ చేయబడదు, అనువదించబడదు, ప్రసారం చేయబడదు లేదా ఏదైనా ఇతర కంప్యూటర్, సర్వర్, వెబ్ సైట్ లేదా ప్రచురణ కొరకు ఏదైనా ఇతర మాధ్యమానికి అభ్యంతరకరమైన రీతిలో లేదా తప్పుదారి పట్టించే సందర్భంలో పంపిణీ చేయబడదు.","This site is free software; however, any part of the site and any content can not be copied, reprinted, downloaded, downloaded, sent and shown on its site; no encoding, encoding, translation, distribution, or anything else will be forced on or forced on any other machine."
"You may use information available on the Site, provided that you will (1) use such information only for your personal, non-commercial informational purpose and do not copy or post such information on any networked computer or broadcast it in any media, (2) not make any modifications to any such information and any additional representations or warranties relating to such documents and Content.","మీరు (1) అటువంటి సమాచారాన్ని మీ వ్యక్తిగత, వాణిజ్యేతర సమాచార ప్రయోజనం కొరకు మాత్రమే ఉపయోగిస్తారు మరియు అటువంటి సమాచారాన్ని ఏదైనా నెట్ వర్క్ చేయబడ్డ కంప్యూటర్ లో కాపీ లేదా పోస్ట్ చేయరు లేదా ఏదైనా మాధ్యమంలో ప్రసారం చేయరు, (2) అటువంటి సమాచారం మరియు అటువంటి డాక్యుమెంట్ లు మరియు కంటెంట్ కు సంబంధించిన ఏవైనా అదనపు ప్రాతినిధ్యాలు లేదా వారెంటీలకు ఎలాంటి మార్పులు చేయనట్లయితే, సైట్ లో లభ్యం అయ్యే సమాచారాన్ని మీరు ఉపయోగించవచ్చు.","You (1) use such information only for your personal and personal use and do not copy or post any of these information on your computer, or in any of the media, and (2) you can use the information available on this site if you would like to make any changes to any additional information or information on this site."
"Wherever the material is being published or issued to others, the source must be prominently acknowledged. However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","ఎక్కడైతే ఆ సమాచార౦ ప్రచురి౦చబడుతు౦దో, లేదా ఇతరులకు అ౦ది౦చబడుతు౦దో అక్కడ మూల౦ ప్రముఖ౦గా అ౦గీకరి౦చబడాలి. అయితే, ఈ మెటీరియల్ ని పునరుత్పత్తి చేయడానికి అనుమతి తృతీయపక్షం యొక్క కాపీరైట్ గా గుర్తించబడ్డ ఏదైనా మెటీరియల్ కు విస్తరించబడదు.","Where this information is published, it should be published, or distributed to others. However, there is no need for a license to reproduce this metal."
VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE,VIII. బహుభాషా ఇంటర్ ఫేస్ యొక్క పరిమితులు,VIII. Multilingual Interface Limits
"Translations on the Poshan Tracker Portal & App Chabot are done by third party translators. While the translations are done on a best effort basis, some of the parts may be incorrect. Certain files and other items on the website cannot be translated. In addition, on translation, some applications and/or services may not function as expected, due to language barriers. We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","పోషణ్ ట్రాకర్ పోర్టల్ మరియు యాప్ చాబోట్ పై అనువాదాలు తృతీయపక్ష అనువాదకుల ద్వారా చేయబడతాయి. అనువాదాలు ఉత్తమ ప్రయత్న ప్రాతిపదికన చేయబడినప్పటికీ, కొన్ని భాగాలు తప్పుగా ఉండవచ్చు. వెబ్ సైట్ లోని నిర్దిష్ట ఫైళ్లు మరియు ఇతర అంశాలను అనువదించడం సాధ్యం కాదు. దీనికి అదనంగా, అనువాదంపై, భాషా అడ్డంకుల కారణంగా, కొన్ని అప్లికేషన్ లు మరియు/లేదా సర్వీసులు ఆశించిన విధంగా పనిచేయకపోవచ్చు. ఈ పోర్టల్ పై ఇవ్వబడ్డ అనువాదాల్లో ఏవైనా దోషాలు, మినహాయింపులు లేదా అస్పష్టతలను సరిదిద్దడం కొరకు మేం నిరంతరం పనిచేస్తున్నాం.","Translations on the postal transporter portal and on the Jap Chabot will be done by translators. Although translations are generally best tried, some parts may be wrong. It is not possible to translate certain files and other components on the web site. In addition, some applications and/or services may not work as expected by language barriers. In any case, there are errors, translations or failures on this site."
IX. LINKS,IX. లింక్ లు,IX. Link
"The Site may contain links to other websites that may not be owned, maintained, or operated by us. The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites. We are not responsible for these websites including any content or the privacy practices of these websites. We strongly encourage you to familiarize yourself with the terms of use of these websites. Your use of these websites is at your own risk and peril. It is solely up to you to take necessary precautions to ensure that the links you select or any software you may download is free of viruses, worms, Trojan horses, defects, date bombs, time bombs, and other or other computer programming routines which are of destructive nature","సైట్ మా ద్వారా స్వంతం చేసుకోబడని, నిర్వహించబడని లేదా ఆపరేట్ చేయబడని ఇతర వెబ్ సైట్ లకు లింక్ లను కలిగి ఉండవచ్చు. ఈ వెబ్ సైట్ లు లింక్ చేయబడ్డాయనే వాస్తవం, మా నుంచి ఈ వెబ్ సైట్ ల యొక్క ఎలాంటి ఎండార్స్ మెంట్ ని సూచించదు, ఎందుకంటే ఈ వెబ్ సైట్ లపై మాకు ఎలాంటి నియంత్రణ ఉంది. ఏదైనా కంటెంట్ లేదా ఈ వెబ్ సైట్ ల యొక్క గోప్యతా విధానాలతో సహా ఈ వెబ్ సైట్ లకు మేం బాధ్యత వహించం. ఈ వెబ్ సైట్ ల యొక్క ఉపయోగ నిబంధనలతో మిమ్మల్ని మీరు పరిచయం చేసుకోవాలని మేం మిమ్మల్ని బలంగా ప్రోత్సహిస్తున్నాం. ఈ వెబ్ సైట్ ల యొక్క మీ ఉపయోగం మీ స్వంత రిస్క్ మరియు ఆపదలో ఉంది. మీరు ఎంచుకున్న లింక్ లు లేదా మీరు డౌన్ లోడ్ చేసుకోగల ఏదైనా సాఫ్ట్ వేర్ లు వైరస్ లు, వార్మ్ లు, ట్రోజన్ హార్స్ లు, లోపాలు, తేదీ బాంబులు, టైమ్ బాంబ్ లు మరియు విధ్వంసక స్వభావం కలిగిన ఇతర లేదా ఇతర కంప్యూటర్ ప్రోగ్రామింగ్ రొటీన్ లు లేకుండా ఉండేలా ధృవీకరించుకోవడం కొరకు అవసరమైన జాగ్రత్తలు తీసుకోవడం అనేది మీపై మాత్రమే ఆధారపడి ఉంటుంది","The site may have links to other websites that are not self-contained, handled or operated by us. The fact that these websites are linked to us does not indicate any belonging to this site, because we have no control over this site. Some content or content of this site is subject to specific types of property, property, etc. We are responsible for all aspects of this site, including the properties of the property, properties and properties of the property, and properties of these websites. The use of these sites makes it possible for you to identify the properties of these sites and the properties of these sites."
X. ACCESS FROM OUTSIDE INDIA,X. భారతదేశం వెలుపల నుంచి యాక్సెస్,X. Extraordinary access from outside of country
"The Site is directed to the people residing in India. We do not represent that Content available on or through the Site is appropriate or available in other locations. We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time. If you choose to access the Site from outside India, you do so at your own risk.","ఈ సైట్ భారతదేశంలో నివసిస్తున్న ప్రజలకు నిర్దేశించబడింది. సైట్ లో లేదా దాని ద్వారా లభ్యం అయ్యే కంటెంట్ సముచితమైనది లేదా ఇతర లొకేషన్ ల్లో లభ్యం అవుతుందని మేం ప్రాతినిధ్యం వహించం. సైట్ లేదా సైట్ పై వివరించిన ఏదైనా సర్వీస్ లేదా ప్రొడక్ట్ యొక్క లభ్యతను ఏ సమయంలోనైనా ఏదైనా వ్యక్తి లేదా భౌగోళిక ప్రాంతానికి మేం పరిమితం చేయవచ్చు. ఒకవేళ మీరు భారతదేశం వెలుపల నుంచి సైట్ ని యాక్సెస్ చేసుకోవాలని ఎంచుకున్నట్లయితే, మీరు మీ స్వంత రిస్క్ తో అలా చేస్తారు.","This site is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the GNU General Public Licence for more details."
XI. VIOLATION OF THESE TERMS,XI. ఈ నిబంధనల ఉల్లంఘన,XI. The length of these covenants.
"We may investigate any violation of these Terms, including unauthorized use of the Site. We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you. We may take legal action that we feel is appropriate. If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","సైట్ యొక్క అనధీకృత ఉపయోగంతో సహా, ఈ నిబంధనల యొక్క ఏదైనా ఉల్లంఘనను మేము పరిశోధించవచ్చు. మీ యొక్క ఏదైనా ఇన్వెస్టిగేషన్ లేదా ప్రాసిక్యూషన్ లో సాయపడటం కొరకు మీ లావాదేవీలకు సంబంధించి మీరు మాకు అందించే సమాచారంతో మేం లా ఎన్ ఫోర్స్ మెంట్ ని అందించవచ్చు. సముచితమని మేము భావించే చట్టపరమైన చర్య తీసుకోవచ్చు. మీరు ఈ నిబంధనలు లేదా చట్టాన్ని ఉల్లంఘించారని లేదా ఏదైనా ఇతర కారణం వల్ల లేదా ఏ కారణం లేకుండా ఉల్లంఘించారని మేము నిర్ధారించినట్లయితే, మేము మీ ఖాతాను నిరోధించవచ్చు మరియు మీకు నోటీసు ఇవ్వకుండా ఏ సమయంలోనైనా సైట్ ని యాక్సెస్ చేసుకోకుండా మిమ్మల్ని నిరోధిస్తాము.","We can also investigate any distortions of these covenants by using the unsubstantiated use of the site. We can provide us with information about your ancestors that we can provide. We can take legal action that we think is appropriate. If you have violated these treaties or the law or have failed for any other reason or for no other reason, we can do nothing to prevent you from doing anything."
XII. RE-DISTRIBUTION,XII. పునః పంపిణీ,XII. Resend
"Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker. Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","అధీకృత సంస్థలు API/నో-కోడ్ వెబ్ పేజీ ఇంటిగ్రేషన్ ద్వారా యాక్సెస్ చేసుకోగల ఏదైనా డేటాను తిరిగి పంపిణీ చేయరాదు మరియు అటువంటి మొత్తం డేటా యొక్క ఇంటిగ్రేషన్ తప్పనిసరిగా పోషణ్ ట్రాకర్ ద్వారా అందించబడే నిర్ధిష్ట సేవలకు మాత్రమే పరిమితం చేయబడుతుందని ధృవీకరించాలి. ఎట్టి పరిస్థితుల్లోనూ, ప్రభుత్వం యొక్క పోషణ్ అభియాన్ లో భాగంగా సేకరించిన డేటాను, ఇక్కడ పేర్కొనబడ్డ ఉద్దేశ్యాలు కాకుండా, మరియు ప్రభుత్వం ద్వారా అనుమతించబడ్డ ఏదైనా ఇతర ప్రయోజనాల కొరకు ఒక సంస్థ ఉపయోగించరాదు.","The main organisations should ensure that no data can be returned by accessing the API/No-code web page by way of streaming, and that such data can only be restricted to certain services provided by the mailbox tracker. In such cases, data collected by the government's mail service provider will not be used for any other purposes specified here, and the government will not be used for any other purposes."
"XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE","XIII. చట్టం, తృతీయపక్ష హక్కులు మరియు ఇతర సేవా నిబంధనలతో సమ్మతి వహించడం","XIII. Conformity with the law, the rights of the party and other service agreements"
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India. These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.","అధీకృత సంస్థలు భారత ప్రభుత్వం ద్వారా ఏర్పాటు చేయబడ్డ అన్ని వర్తించే చట్టాలు, రెగ్యులేషన్ లు, పాలసీలు మరియు తృతీయపక్ష హక్కులకు (డేటా లేదా సాఫ్ట్ వేర్, గోప్యత మరియు స్థానిక చట్టాల యొక్క దిగుమతి లేదా ఎగుమతికి సంబంధించిన ఏవైనా చట్టాలతో సహా మరియు పరిమితి లేకుండా) కట్టుబడి ఉంటాయి. పోషణ్ ట్రాకర్ తో ఈ నిబంధనలతో సహా చట్టవ్యతిరేక కార్యకలాపం లేదా తృతీయపక్ష హక్కుల ఉల్లంఘనను సంహరించడానికి లేదా ప్రోత్సహించడానికి ఈ సంస్థలు APIలు/నో-కోడ్ వెబ్ పేజీ ఇంటిగ్రేషన్ ను ఉపయోగించవు.","All laws, regulations, regulations and copyright rights are established by the government established by the parent organisations (data or software rights, including the import or import of or without restrictions on the import or export of any of the data or software or local laws). These institutions do not use API/Noo-cod web page entry to kill or encourage copyright abuse with these agreements with post-trafficker."
XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS,XIV. తృతీయపక్ష సిస్టమ్ ల ద్వారా అందించబడ్డ డేటా యొక్క కచ్చితత్త్వం,XIV. The accuracy of data provided by hardware systems
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party. Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","పోషణ్ ట్రాకర్ నుంచి డేటాను సేకరించే మరియు యూజర్ లకు డిస్ ప్లే చేసే ఎఎస్ పిలు అటువంటి డేటా యొక్క కచ్చితత్త్వానికి పూర్తిగా బాధ్యత వహిస్తారు మరియు అలా అందించబడ్డ ఏదైనా డేటా నుంచి ఉత్పన్నం అయ్యే ఏదైనా బాధ్యత పూర్తిగా అటువంటి తృతీయపక్షానికి ఉంటుంది. ఏదైనా తప్పుడు డేటా వల్ల ఉత్పన్నమయ్యే ఏవైనా అప్పులు సివిల్ లేదా క్రిమినల్, పూర్తిగా సంబంధిత ASP వద్దనే ఉంటాయి.","The ES calls that collects data from the mailbox tracker and displays them to users will be fully responsible for the availability of such data and will be entirely responsible for any data produced from any given data. Any data produced by any incorrect data will be at the Civil or Terminal, completely related to the ASP."
XV. INDEMNITY AND LIMITATION OF LIABILITY,XV. నష్టపరిహారం మరియు బాధ్యత యొక్క పరిమితి,XV. Consumables and limits of liability
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:","పోషణ్ ట్రాకర్ మరియు దాని అఫిలియేట్ లు, దాని అధికారులు, డైరెక్టర్ లు, ఉద్యోగులు మరియు ఏజెంట్ లు, ఏవైనా మరియు అన్ని క్లెయింలు, డ్యామేజీలు, బాధ్యతలు, నష్టాలు, అప్పులు, ఖర్చులు లేదా రుణం, మరియు ఖర్చుల నుంచి మరియు వాటికి విరుద్ధంగా మరియు వాటి నుంచి మరియు వాటికి విరుద్ధంగా మరియు వాటి నుంచి ఉత్పన్నం అయ్యేంత వరకు ఏదైనా ఆరోపణ లేదా తృతీయపక్ష లీగల్ ప్రొసీడింగ్ కు సంబంధించిన అటార్నీల ఫీజులతో సహా అయితే వాటికే పరిమితం కాకుండా, వాటి నుంచి రక్షణ కల్పించడానికి, నష్టపరిహారం చెల్లించడానికి మరియు హానిచేయకుండా ఉంచడానికి మీరు అంగీకరిస్తున్నారు:","The mail trucker and its affiliates, its officials, its directors, employees and agents, whatever and all the clinics, diamonds, responsibilities, losses, charges, charges or damages, and against them and against them and against them, and against them, and against them, and against them, and from them, and from them, and from them, and from them, and from them, and they are not produced and produced from them, but not restricted to them, but not limited to them, so as to protect them, to pay the damage and not to harm them:"
Your use of and access to the Site and Service;,సైట్ మరియు సేవకు మీ ఉపయోగం మరియు ప్రాప్యత;,The site and service you are using and access;
Your violation of any term of this Agreement;,ఈ అగ్రిమెంట్ యొక్క ఏదైనా టర్మ్ ని మీరు ఉల్లంఘించడం;,You're breaking up any term of this argument;
"Your violation of any third party right, including without limitation, any copyright, property, or privacy right; or","పరిమితి లేకుండా, ఏదైనా కాపీరైట్, ఆస్తి లేదా గోప్యతా హక్కుతో సహా ఏదైనా తృతీయపక్ష హక్కును మీరు ఉల్లంఘించడం; లేదా","Without limit, you violate any copyright with the right to copyright, property or privacy; or"
Any claim that your User Content caused damage to a third party. This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,మీ యూజర్ కంటెంట్ తృతీయపక్షానికి నష్టం కలిగించిందనే ఏదైనా క్లెయిం. ఈ రక్షణ మరియు నష్టపరిహార బాధ్యత ఈ ఒప్పందం మరియు సేవ మరియు వెబ్ సైట్/యాప్ యొక్క మీ ఉపయోగం మనుగడలో ఉంటుంది.,There is something that seems to have lost your user quota configuration. This security and damage management responsibility will be considered your use of this agreement and service and web site/jap.
XVI. JURISDICTION,XVI. అధికారపరిధి,XVI. Administration
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,సైట్ యొక్క మీ ఉపయోగం మరియు సైట్ యొక్క అటువంటి ఉపయోగం వల్ల తలెత్తే ఏదైనా వివాదం భారతదేశం యొక్క చట్టాలకు లోబడి ఉంటుంది మరియు అధికార పరిధి యొక్క ప్రదేశం న్యూ ఢిల్లీ అవుతుంది.,Any dispute arising from your use of the site and such use of the site will be subject to the laws of the country and the area of authority will be new to New Zealand.
20 December 2021,20 డిసెంబర్ 2021,20 December 2021
