en,gu
What is  MPIN?,એમપિન એટલે શું?
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,"એમપિન એ 4 અંકનો પાસકોડ છે, જે પોષણ ટ્રેકર એપ પર નોંધણી કરતી વખતે આંગણવાડી કાર્યકર દ્વારા સેટ કરવામાં આવે છે."
How to set MPIN?,એમપિન કેવી રીતે સેટ કરવું?
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.","સંબંધિત આંગણવાડી કાર્યકરના મોબાઇલ નંબર પર ઓટીપીની વિનંતી કરીને, તેમના દ્વારા એમપિન સેટ કરી શકાય છે. જો મોબાઇલ નંબર ડેટાબેસમાં પહેલેથી હાજર હશે, તો સંબંધિત આંગણવાડી વ્યક્તિ નોંધાયેલા મોબાઇલ નંબર પર 4 અંકનો ઓટીપી મેળવશે. ઓટીપી દાખલ કર્યા પછી, આંગણવાડી કાર્યકર સરળતાથી કસ્ટમાઇઝ્ડ એમપિન સેટ કરી શકે છે."
When and how to use MPIN?,એમપિનનો ઉપયોગ ક્યારે અને કેવી રીતે કરવો?
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.","પોષણ ટ્રેકર એપ્લિકેશન પર લૉગિન કરતાં સમયે, કાર્યકરોને તેમના દ્વારા સેટ કરેલ એમપિન દાખલ કરવો જરૂરી છે. આ એમપિન પોષણ ટ્રેકર એપ્લિકેશન ચલાવવા અને લાભાર્થીઓના ફોર્મમાં માહિતી દાખલ કરવા માટે પાસકોડ તરીકે કાર્ય કરશે."
How to Reset MPIN?,એમપિન કેવી રીતે ફરીથી સેટ કરવું?
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN",એમપિનને કોઈપણ વપરાશકર્તા જેમ કે આંગણવાડી કાર્યકર/ આંગણવાડી કેન્દ્રો દ્વારા સરળતાથી ફરીથી સેટ કરી શકાય છે. તમારે ફરગોટ એમપિન પર ક્લિક કરવાની જરૂર છે અને તમારો નોંધાયેલ મોબાઇલ નંબર દાખલ કરવો પડશે. તમે તમારા નોંધાયેલા મોબાઈલ નંબર પર ઓટીપી પ્રાપ્ત થશે અને તમે તમારો એમપિન સરળતાથી ફરીથી સેટ કરી શકો છો.
In How many languages the Poshan Tracker App is available?,પોષણ ટ્રેકર એપ્લિકેશન કેટલી ભાષાઓમાં ઉપલબ્ધ છે?
Poshan Tracker App is available in 22 different languages,પોષણ ટ્રેકર એપ્લિકેશન 22 વિવિધ ભાષાઓમાં ઉપલબ્ધ છે.
The various languages available are:,ઉપલબ્ધ વિવિધ ભાષાઓ છે:
English,અંગ્રેજી
Hindi,હિન્દી
Gujarati,ગુજરાતી
Punjabi,પંજાબી
Marathi,મરાઠી
Bangla,બાંગ્લા
Kannada,કન્નડ
Tamil,તમિળ
Telugu,તેલુગુ
Malyalam,મલયાલમ
Odia,ઓડિયા
Assamese,આસામી
In how many languages AWW can enter the data while filling up the form?,આંગણવાડી કાર્યકર અથવા કેન્દ્ર ફોર્મ ભરતી વખતે કેટલી ભાષાઓમાં ડેટા દાખલ કરી શકે છે?
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,આંગણવાડી કાર્યકર ફક્ત અંગ્રેજી ભાષામાં જ ફોર્મ ભરી શકે છે.
How many different forms are there in Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશનમાં કેટલા વિવિધ ફોર્મ આપેલા છે?
There are 7 different types of forms for beneficiaries. This includes:,લાભાર્થીઓ માટે 7 વિવિધ પ્રકારનાં ફોર્મ છે. જેમાં શામેલ છે:
Lactating mother,સ્તનપાન કરાવતી માતા
Pregnant women,સગર્ભા સ્ત્રીઓ
Child 0-6 Months,બાળક 0-6 મહિના
Child 6 Months to 3 Years,બાળક 6 મહિનાથી 3 વર્ષ
Child  3 Years to 6 Years,બાળક 3 વર્ષથી 6 વર્ષ
Adolescent Girls (11 Years-19 Years),કિશોરવયની છોકરીઓ (11 વર્ષ -19 વર્ષ)
What information to be added in AWC forms?,આંગણવાડી કેન્દ્ર ફોર્મમાં કઈ માહિતી ઉમેરવાની છે?
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.","આંગણવાડી કાર્યકરોને, એક ચોક્કસ આંગણવાડી કેન્દ્રમાં હાજર માળખા સાથે સંબંધિત વિગતો દાખલ કરવી જરૂરી છે. આમાં માળખું, પાયાની સુવિધાઓ, સગવડો, સ્વચ્છતા, પીવાનું પાણી વગેરે શામેલ છે."
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,જો આંગણવાડી કાર્યકરો તેમના મોબાઇલ નંબર દ્વારા નોંધણી કરવામાં અસમર્થ હોય તો એપ્લિકેશન પર કેવી રીતે સાઇન અપ કરી શકે છે?
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,"જો આંગણવાડી કાર્યકરો પોતાણી નોંધણી કરવામાં અસફળ થાય, તો તેની 2 શક્યતાઓ હોઈ શકે છે:"
Their mobile number is not present in the data provided by the states to the MoWCD,એમઓડબ્લ્યુસીડીને રાજ્યો દ્વારા પ્રદાન કરવામાં આવેલા ડેટામાં તેમનો મોબાઇલ નંબર હાજર નથી.
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,તેઓ સિસ્ટમમાં નવા ઉમેરાયા છે અને તેમનો મોબાઈલ નંબર રાજ્ય સેલ દ્વારા એમઓડબ્લ્યુસીડીને હજી પ્રદાન કરવામાં આવ્યો નથી.
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,ઉપરોક્ત બંને કેસોમાં રાજ્ય નોડલ અધિકારીઓને કોઈપણ આંગણવાડી કાર્યકરને ઉમેરવા / સંપાદન / સક્રિય / નિષ્ક્રિય કરવા માટે સત્તા આપવામાં આવી છે.
How can one access Poshan Tracker Dashboard?,પોષણ ટ્રેકર ડેશબોર્ડને કેવી રીતે ચલાવી શકાય છે?
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,ડેશબોર્ડ પર સાઇન ઇન કરીને પોષણ ટ્રેકર ડેશબોર્ડ ને ચલાવી શકાય છે. 
https://poshantracker.in/admin,https://poshantracker.in/admin
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard."," લિંક પર ક્લિક કરીને ડેશબોર્ડને ચલાવી શકાય છે. રાષ્ટ્રીય, રાજ્ય, જિલ્લા, પરિકલ્પના અને ડેશબોર્ડને ચલાવવા માટે સેક્ટર કક્ષાના નોડલ કક્ષાના નામાંકિત અધિકારીઓને જ અનન્ય પ્રમાણપત્ર આપવામાં આવે છે."
How one can add AWW/AWCs?,આંગણવાડી કાર્યકરોને/આંગણવાડી કેન્દ્રોને કેવી રીતે ઉમેરી શકાય છે?
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,"આંગણવાડી કાર્યકરો/આંગણવાડી કેન્દ્રોને ફક્ત નોડલ કક્ષાના અધિકારી દ્વારા ઉમેરી શકાય છે. વંશવેલોમાં ઉપરના ભાગમાં જણાવેલ કોઈપણ અધિકારી. રાષ્ટ્રીય કક્ષાનો વપરાશકર્તા રાજ્ય, જિલ્લા, પરિયોજના અને ખંડ કક્ષાના વપરાશકર્તા બનાવી શકે છે. રાજ્ય કક્ષાનો વપરાશકર્તા જિલ્લા, પરિયોજના અને ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે. જિલ્લા કક્ષાનો વપરાશકર્તા પરિયોજના અને ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે. પરિયોજના કક્ષાનો વપરાશકર્તા, ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે."
How many different types of reports can be generated over Poshan Tracker Dashboard?,પોષણ ટ્રેકર ડેશબોર્ડ પર કેટલા વિવિધ પ્રકારનાં અહેવાલો ઉત્પન્ન થઈ શકે છે?
There are various reports that can be generated from,એપમાંથી વિવિધ અહેવાલો પેદા કરી શકાય છે
General Reports:,સામાન્ય અહેવાલો:
Number of app  downloads,એપ્લિકેશન ડાઉનલોડની સંખ્યા
Total number of Anganwadi centers registered,નોંધાયેલ આંગણવાડી કેન્દ્રોણી સંખ્યા
Total number of beneficiaries registered (National/state/district/block wise),નોંધાયેલા કુલ લાભાર્થીઓની સંખ્યા (રાષ્ટ્રીય / રાજ્ય / જિલ્લા /ખંડ)
Total Number of pregnant women registered(National/state/district/block wise),નોંધાયેલ સગર્ભા સ્ત્રીઓની કુલ સંખ્યા (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ)
Total Number of  lactating mothers registered(National/state/district/block wise),નોંધાયેલ સ્તનપાન કરાવતી માતાની કુલ સંખ્યા (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ)
Total Number of children (0-6months) registered(National/state/district/block wise),નોંધાયેલા બાળકોની કુલ સંખ્યા (0-6 મહિના) (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ)
Total Number of children (6months-3years) registered(National/state/district/ block wise),નોંધાયેલ કુલ બાળકોની સંખ્યા (6 મહિના -3 વર્ષ) નોંધાયેલ (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ)
Total Number of children (3-6years) registered(National/state/district/ block wise),કુલ બાળકોની સંખ્યા (3-6 વર્ષ) નોંધાયેલ (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ)
Maternal and child nutrition:,માતા અને બાળકનું પોષણ:
How many beneficiaries got THR in 21 days,21 દિવસમાં કેટલા લાભાર્થીઓને ટી.એચ.આર. મળી?
How many children breastfed exclusively in the first hour after delivery,ડિલિવરી પછીના વિશેષ કરીને પ્રથમ કલાકમાં કેટલા બાળકોને સ્તનપાન મળ્યું?
How many lactating mothers are given HCM,કેટલી સ્તનપાન કરાવતી માતાને એચસીએમ આપવામાં આવે છે?
Average level of calcium in children aged 3-6 years,ડિલિવરી પછીના વિશેષ કરીને પ્રથમ કલાકમાં કેટલા બાળકોને સ્તનપાન મળ્યું?
Average level of iron in children aged 3-6years,3-6 વર્ષનાં બાળકોમાં કેલ્શિયમનું સરેરાશ કક્ષાએ
"Total number of vaccinations administered per month (block, district, state, national level)",3-6 વર્ષનાં બાળકોમાં લોહતત્વનું સરેરાશ કક્ષાએ
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,દર મહિને વહીવટ કરેલ રસીની ચોક્કસ રીપોર્ટ (બીસીજી / ઓપીવી / હેપેટાઇટિસ બી / રોટાવાયરસ / પોલિયો / ન્યુમોકોકલ / પેન્ટાવેલેન્ટ)
AWC infrastructure:,આંગણવાડી કેન્દ્રનું માળખું :
"Number of AWCs (block, district, state, national level)","આંગણવાડીઓની કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)"
"Total number of Balvatikas (block district, state, national level)","બાલવટિકાઓની કુલ સંખ્યા (ખંડ જિલ્લો, રાજ્ય, રાષ્ટ્રીય કક્ષા)"
"Total number of AWCs (block, district, state, national level) with clean drinking water","પીવાના શુધ્ધ પાણી સાથે આંગણવાડી કેન્દ્રોની કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)"
"Total number of AWCs (block, district, state, national level) with working weighing scale","કાર્યકારી વજનના ધોરણ સાથે આંગણવાડીઓણી કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)"
"Total number of AWCs (block, district, state, national level) with electricity","વીજળીણી સુવિધા વાળા આંગણવાડી કેન્દ્રોની કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)"
Total number of AWCs that are government owned,સરકારની માલિકીની હોય એવા આંગણવાડી કેન્દ્રોની કુલ સંખ્યા
Total number of AWCs that are privately owned,ખાનગી માલિકીની છે એવા આંગણવાડી કેન્દ્રો ની કુલ સંખ્યા
How to contact Poshan Tracker Team?,પોષણ ટ્રેકર ટીમનો સંપર્ક કેવી રીતે કરવો?
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,support-poshantrackr@gov.in પર ઇમેઇલ મોકલીને પોષણ ટ્રેકર ટીમનો સંપર્ક કરી શકાય છે. હેન્ડહોલ્ડિંગ અને સહકાર માટે અમે દરરોજ બપોરે 4:15 થી સાંજના 5:15 વાગ્યા સુધી કોન્ફરન્સ દ્વારા પણ ઉપલબ્ધ છીએ.
Can a beneficiary register directly using application.,શું લાભાર્થી અરજીનો ઉપયોગ કરીને સીધી નોંધણી કરાવી શકે છે.
Currently a beneficiary can register by the help of an AWW,હાલમાં લાભાર્થી AWW ની મદદ દ્વારા નોંધણી કરાવી શકે છે
Who is a beneficiary?,લાભાર્થી કોણ છે?
There are 6 categories for beneficiaries,લાભાર્થીઓ માટે 6 શ્રેણીઓ છે
Pregnant Women,સગર્ભા સ્ત્રીઓ
Lactating Mother,સ્તનપાન કરાવતી માતા
Children from 0 to 6 months,0 થી 6 મહિનાના બાળકો
Children from 6 months to 3 years,6 મહિનાથી 3 વર્ષ સુધીના બાળકો
Children from 3 years to 6 years,3 વર્ષથી 6 વર્ષ સુધીના બાળકો
Adolescent girls,કિશોરવયની છોકરીઓ
Can a beneficiary change his/her AWC?,શું લાભાર્થી તેનું AWC બદલી શકે છે?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,AWW લાભાર્થીને તેમના આધાર નંબરના આધારે એક AWCમાંથી બીજા AWCમાં સ્થાનાંતરિત કરવા માટે 'માઇગ્રેટ બેનિફિશરી' વિકલ્પનો ઉપયોગ કરી શકે છે.
What is the eligibility of a beneficiary?,લાભાર્થીની લાયકાત શું છે?
A beneficiary is eligible for THR for at least 21 days in a month.,એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે THR માટે પાત્ર છે.
Who is eligible for Take Home Ration?,ટેક હોમ રાશન માટે કોણ યોગ્ય છે?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ, 6 મહિનાથી 3 વર્ષ સુધીના બાળકો અને કિશોરીઓ."
Where can I enquire about take home ration?,હોમ રાશન લેવા વિશે હું ક્યાં પૂછપરછ કરી શકું?
Please contact your respective Anganwadi worker.,કૃપા કરીને તમારા સંબંધિત આંગણવાડી કાર્યકરનો સંપર્ક કરો.
Who is eligible for additional supplementary food.,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે.
Children who are identified as deficit on nutrition are eligible for additional food supplements.,જે બાળકો પોષણની ઉણપ તરીકે ઓળખાય છે તેઓ વધારાના આહાર પૂરવણીઓ માટે પાત્ર છે.
What is the eligibility of a beneficiary?,લાભાર્થીની લાયકાત શું છે?
A beneficiary is eligible for HCM for at least 21 days in a month.,એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે HCM માટે પાત્ર છે.
Who is eligible for Hot Cooked Meal?,ગરમ રાંધેલા ભોજન માટે કોણ પાત્ર છે?
Children in the age group of 3 years to 6 years,3 વર્ષથી 6 વર્ષની વયના બાળકો
Where can I enquire about Hot Cooked Meal?,હું ગરમ ​​રાંધેલા ભોજન વિશે ક્યાં પૂછપરછ કરી શકું?
Please contact your respective Anganwadi Centre.,કૃપા કરીને તમારા સંબંધિત આંગણવાડી કેન્દ્રનો સંપર્ક કરો.
Who is eligible for additional supplementary food?,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,જે બાળકો પોષણની ઉણપ તરીકે ઓળખાય છે તેઓ વધારાના આહાર પૂરવણીઓ માટે પાત્ર છે.
Support,મદદ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,મોબાઈલ એપ ડાઉનલોડ કરો
Powered By,Powered By
About,વિશે
Resources,સંસાધનો
Dashboard,ડેશબોર્ડ
Helpdesk,હેલ્પડેસ્ક
FAQ,વારંવાર પૂછાતા પ્રશ્નો
Poshan Calculator,પોષણ કેલ્ક્યુલેટર
Terms of Service,સેવાની શરતો
Privacy Policy,પ્રાઇવસી પોલિસી
Careers,કારકિર્દ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (હેલ્થ ID)
Language,ભાષા
About,વિશે
Resources,સંસાધનો
Resources,સંસાધનો
Vaccination Schedule,રસીકરણ શેડ્યૂલ
Dashboard,ડેશબોર્ડ
Dashboard,ડેશબોર્ડ
Mission Utkarsh,Mission Utkarsh
Helpdesk,હેલ્પડેસ્ક
Beneficiary Redressal,લાભાર્થી અસંતોષ નિવારણ
State Helpdesk,રાજ્ય હેલ્પડેસ્ક
FAQ,વારંવાર પૂછાતા પ્રશ્નો
Poshan Calculator,લાભાર્થી અસંતોષ નિવારણ
Login,પ્રવેશ
Poshan Calculator,પોષણ કેલ્ક્યુલેટર
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,વર્લ્ડ હેલ્થ ઓર્ગનાઈઝેશન(WHO) દ્વારા નિર્ધારિત ધોરણોના આધારે બાળકના વિકાસને માપવા માટે પોષણ કેલ્ક્યુલેટર ની રચના કરવામાં આવેલ છે.
How to use Poshan Calculator?,પોષણ કેલ્ક્યુલેટરનો ઉપયોગ કેવી રીતે કરવો?
Select Gender,જાતિ પસંદ કરો
Enter Date of Birth,જન્મ તારીખ દાખલ કરો
Enter Height in centimeter,સેન્ટીમીટરમાં ઊંચાઈ દાખલ કરો
Enter Weight in kilogram,કિલોગ્રામમાં વજન દાખલ કરો
Click on Show Results,પરિણામો બતાવો પર ક્લિક કરો
Gender ,લિંગ 
*,*
Boy,છોકરો
Girl,છોકરી
Date of Birth ,જન્મ તારીખ 
*,*
Height (CM) ,ઊંચાઈ (સે.મી) 
*,*
*Height should be between 38 to 150,*ઊંચાઈ 38 થી 150 વચ્ચે હોવી જોઈએ
CM,સે.મી
Weight (KG) ,વજન (કિલો) 
*,*
*Weight should be between 0.90 to 58,*વજન 0.90 થી 58 વચ્ચે હોવી જોઈએ
KG,કિલો
Show Results,પરિણામો દર્શાવો
What is Poshan Calculator,પોષણ કેલ્ક્યુલેટર શું છે
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,પોશન કેલ્ક્યુલેટર વર્લ્ડ હેલ્થ ઓર્ગેનાઈઝેશન (ડબ્લ્યુએચઓ) ના ધોરણો અનુસાર બાળકની વિવિધ આરોગ્ય સ્થિતિઓને ઓળખવામાં મદદ કરે છે.
WHO standards are :,WHO ધોરણો છે :
Stunting ( Height for Age)- ,સ્ટંટીંગ (ઉમર માટે ઊંચાઈ)- 
0 months to 6 years,0 મહિનાથી 6 વર્ષ
Severely Stunted,ગંભીરપણે અવિકસીત
Moderately stunted,સાધારણ સ્ટંટેડ
Normal,સામાન્ય
Underweight (Weight for Age)- ,ઓછું વજન (ઉંમર માટે વજન)- 
0 months to 6 years,0 મહિનાથી 6 વર્ષ
Severely Underweight,ગંભીર રીતે ઓછું વજન
Moderately Underweight,મધ્યમ પ્રમાણમાં કુપોષણ
Normal,સામાન્ય
Wasting (Weight for Height)- ,બગાડ (ઉંચાઈ માટે વજન)- 
0 months to 5 years,0 મહિનાથી 5 વર્ષ
Severely Wasted (SAM),ગંભીર રીતે વેડફાઇ ગયેલ (SAM)
Moderately Wasted (MAM),સાધારણ બગાડ (MAM)
Normal,સામાન્ય
Overweight,વધારે વજન
Obese,મેદસ્વી
Above standards are defined as per given above mentioned age brackets,ઉપરોક્ત ધોરણો ઉપર દર્શાવેલ વય કૌંસ મુજબ વ્યાખ્યાયિત કરવામાં આવે છે
About Reference tables,સંદર્ભ કોષ્ટકો વિશે
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,WHO મલ્ટિસેન્ટર ગ્રોથ રેફરન્સ સ્ટડી (MGRS) 1997 અને 2003 ની વચ્ચે વિશ્વભરમાં શિશુઓ અને નાના બાળકોની વૃદ્ધિ અને વિકાસનું મૂલ્યાંકન કરવા માટે નવા વૃદ્ધિ વળાંકો પેદા કરવા માટે હાથ ધરવામાં આવ્યું હતું.
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA).","MGRS એ વ્યાપકપણે વિવિધ વંશીય પૃષ્ઠભૂમિ અને સાંસ્કૃતિક સેટિંગ્સ (બ્રાઝિલ, ઘાના, ભારત, નોર્વે, ઓમાન અને યુએસએ) ના આશરે 8500 બાળકો પાસેથી પ્રાથમિક વૃદ્ધિ ડેટા અને સંબંધિત માહિતી એકત્રિત કરી."
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development.,નવા વૃદ્ધિ વળાંકો એક આંતરરાષ્ટ્રીય ધોરણ પ્રદાન કરે તેવી અપેક્ષા છે જે જન્મથી પાંચ વર્ષ સુધીના તમામ બાળકો માટે શારીરિક વૃદ્ધિનું શ્રેષ્ઠ વર્ણન રજૂ કરે છે અને સ્તનપાન કરાવતા શિશુને વૃદ્ધિ અને વિકાસ માટે આદર્શ મોડેલ તરીકે સ્થાપિત કરે છે.
How to revive your Health?,તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું?
How to revive your health if you are Severely Wasted (SAM),જો તમે ગંભીર રીતે અશક્ત હોવ તો તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું (SAM)
How to revive your health if you are Moderately Wasted (MAM),જો તમે સાધારણ રીતે અશક્ત હોવ તો તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું (MAM)
How to revive your health if you are Underweight,જો તમારું વજન ઓછું હોય તો તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું
×,×
×,×
×,×
Support,મદદ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,મોબાઈલ એપ ડાઉનલોડ કરો
Powered By,Powered By
About,વિશે
Resources,સંસાધનો
Dashboard,ડેશબોર્ડ
Helpdesk,હેલ્પડેસ્ક
FAQ,વારંવાર પૂછાતા પ્રશ્નો
Poshan Calculator,પોષણ કેલ્ક્યુલેટર
Terms of Service,સેવાની શરતો
Privacy Policy,પ્રાઇવસી પોલિસી
Careers,કારકિર્દ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (હેલ્થ ID)
Language,ભાષા
About,વિશે
Resources,સંસાધનો
Resources,સંસાધનો
Vaccination Schedule,રસીકરણ શેડ્યૂલ
Dashboard,ડેશબોર્ડ
Dashboard,ડેશબોર્ડ
Mission Utkarsh,Mission Utkarsh
Helpdesk,હેલ્પડેસ્ક
Beneficiary Redressal,લાભાર્થી અસંતોષ નિવારણ
State Helpdesk,રાજ્ય હેલ્પડેસ્ક
FAQ,વારંવાર પૂછાતા પ્રશ્નો
Poshan Calculator,લાભાર્થી અસંતોષ નિવારણ
Login,પ્રવેશ
Terms of Service,સેવાની શરતો
Welcome! The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at ,"સ્વાગત છે! નીચે આપેલ સેવાની શરતો (""શરતો"") છે જે "
https://poshantracker.in,https://poshantracker.in
", and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”)."," પર હોસ્ટ કરેલા પોશન ટ્રેકર પ્લેટફોર્મના તમારા ઉપયોગને નિયંત્રિત કરે છે, અને લિંક કરેલી બધી સંબંધિત સાઇટ્સ તેને, તેની પેટાકંપનીઓ અને આનુષંગિકો (સામૂહિક રીતે, ""સાઇટ"")."
I. OWNERSHIP,I. માલિકી
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","સાઇટ અને તમામ ડેટા, ટેક્સ્ટ, ડિઝાઇન, પૃષ્ઠો, પ્રિન્ટ સ્ક્રીન, છબીઓ, આર્ટવર્ક, ફોટોગ્રાફ્સ, ઑડિઓ અને વિડિયો ક્લિપ્સ, HTML કોડ, સ્રોત કોડ, અથવા સૉફ્ટવેર કે જે સાઇટ પર રહે છે અથવા જોઈ શકાય છે અથવા અન્યથા શોધી શકાય છે, અને બધા સહભાગીઓ બુક થયા છે. સાઇટ પરથી, (સામૂહિક રીતે, ""માહિતી"" તરીકે ઓળખવામાં આવે છે) મહિલા અને બાળ વિકાસ મંત્રાલય અને તેમના અધિકૃત સેવા પ્રદાતાઓની માલિકીની છે."
II. CONSENT,II. સંમતિ
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms. By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","અમારી પ્રાઇવસી પોલિસી, ઓપન API નીતિ અને અન્ય કોઈપણ નીતિઓ, નિયમો અથવા માર્ગદર્શિકા જે સાઇટ પરની ચોક્કસ ઑફર્સ અથવા સુવિધાઓને લાગુ પડી શકે છે તે આ શરતોમાં સમાવિષ્ટ છે. સાઇટની મુલાકાત લઈને અથવા તેનો ઉપયોગ કરીને, તમે સ્પષ્ટપણે આ શરતો સાથે સંમત થાઓ છો, જેમ કે સમય સમય પર અપડેટ કરવામાં આવે છે."
"If you do not agree with any part of these terms, do not use the site. You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.","જો તમે આ શરતોના કોઈપણ ભાગ સાથે સંમત નથી, તો સાઇટનો ઉપયોગ કરશો નહીં. તમે કોઈપણ રીતે સાઇટનો ઉપયોગ કરી શકશો નહીં અને જો તમે બાઈન્ડિંગ કરાર બનાવવા માટે કાનૂની વયના ન હોવ તો તમે શરતોને સ્વીકારી શકશો નહીં."
III. NOTICE REGARDING FUTURE CHANGES TO TERMS:,III. શરતોમાં ભાવિ ફેરફારો અંગેની સૂચના:
