en,hi
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.", पंजीकृत बच्चों की कुल संख्या (0-6 महीने) पंजीकृत (राष्ट्रीय / राज्य / जिला / ब्लॉकवार)
How AWWS can sign up on the app if they are unable to register via their mobile numbers?, पंजीकृत बच्चों की कुल संख्या (6 महीने) जिला / ब्लॉक वार) 
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:, मातृ एवं शिशु पोषण: 
Their mobile number is not present in the data provided by the states to the MoWCD, 21 दिनों में कितने लाभार्थियों को THR मिला 
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD., कितने बच्चे स्तनपान करते हैं प्रसव के बाद पहले घंटे में विशेष रूप से 
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW., कितनी स्तनपान कराने वाली माताओं को एचसीएम दिया जाता है 
How can one access Poshan Tracker Dashboard?, कितने बच्चे विशेष रूप से प्राथमिकी में स्तनपान करते हैं प्रसव के बाद घंटे 
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link , 3-6 वर्ष की आयु के बच्चों में कैल्शियम का औसत स्तर 
https://poshantracker.in/admin, 3-6 वर्ष की आयु के बच्चों में लोहे का औसत स्तर 
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard."," टीकाकरण की कुल संख्या प्रति माह प्रशासित (ब्लॉक, जिला, राज्य, राष्ट्रीय स्तर) "
How one can add AWW/AWCs?, प्रति माह प्रशासित विशिष्ट रिपोर्ट (बीसीजी / ओपीवी / हेपेटाइटिस बी / रोटावायरस / पोलियो / न्यूमोकोकल / पेंटालेंटल) 
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy., एडब्ल्यूसी अवसंरचना: 
How many different types of reports can be generated over Poshan Tracker Dashboard?," एडब्ल्यूसी की संख्या (ब्लॉक, जिला, राज्य, राष्ट्रीय स्तर) "
There are various reports that can be generated from," बालविकास की कुल संख्या (ब्लॉक जिला, राज्य, राष्ट्रीय स्तर) "
General Reports:," स्वच्छ पेयजल के साथ एडब्ल्यूसी (ब्लॉक, जिला, राज्य, राष्ट्रीय स्तर) की कुल संख्या "
Number of app  downloads," कार्य भार पैमाने के साथ एडब्ल्यूसी (ब्लॉक, जिला, राज्य, राष्ट्रीय स्तर) की कुल संख्या  "
Total number of Anganwadi centers registered," बिजली के साथ एडब्ल्यूसी (ब्लॉक, जिला, राज्य, राष्ट्रीय स्तर) की कुल संख्या "
Total number of beneficiaries registered (National/state/district/block wise), सरकार की स्वामित्व वाली एडब्ल्यूसी की कुल संख्या 
Total Number of pregnant women registered(National/state/district/block wise), निजी तौर पर होने वाले एडब्ल्यूसी की कुल संख्या स्वामित्व 
Total Number of  lactating mothers registered(National/state/district/block wise),पोशन ट्रैकर समूह से कैसे संपर्क करें?
Total Number of children (0-6months) registered(National/state/district/block wise),पोषण ट्रैकर समूह से support-poshantrackr@gov.in पर ईमेल भेजकर संपर्क किया जा सकता है। आपके सहयोग और समर्थन के लिए हम प्रतिदिन शाम 4:15 बजे से शाम 5:15 बजे तक वीडियो कॉन्फ्रेंस पर भी उपलब्ध हैं।
Total Number of children (6months-3years) registered(National/state/district/ block wise),क्या कोई लाभार्थी आवेदन के उपयोग द्वारा सीधे पंजीकरण कर सकता है।
Total Number of children (3-6years) registered(National/state/district/ block wise),"वर्तमान में, एक लाभार्थी आँगनवाड़ी कार्यकर्ता की सहायता से पंजीकरण करा सकता है"
Maternal and child nutrition:,लाभार्थी कौन है?
How many beneficiaries got THR in 21 days,यहाँ लाभार्थियों की 6 श्रेणियाँ हैं
How many children breastfed exclusively in the first hour after delivery,गर्भवती महिला
How many lactating mothers are given HCM,स्तनपान कराने वाली माता
Average level of calcium in children aged 3-6 years,0-6 माह तक के बच्चे
Average level of iron in children aged 3-6years,6 माह - 3 वर्ष तक के बच्चे
"Total number of vaccinations administered per month (block, district, state, national level)",6 वर्ष - 3 वर्ष तक के बच्चे
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,किशोरी लड़कियाँ/बालिकाएँ
AWC infrastructure:,क्या कोई लाभार्थी अपना आँगनवाड़ी केंद्र परिवर्तित कर सकता है?
"Number of AWCs (block, district, state, national level)",एक आँगनवाड़ी कार्यकर्ता अपनी आधार संख्या के आधार पर किसी लाभार्थी को एक आँगनवाड़ी केंद्र से दूसरे आँगनवाड़ी केंद्र में स्थानांतरित करने के लिए 'माइग्रेट लाभार्थी' के विकल्प का उपयोग कर सकता है।
"Total number of Balvatikas (block district, state, national level)",लाभार्थी की पात्रता क्या है?
"Total number of AWCs (block, district, state, national level) with clean drinking water",एक लाभार्थी महीने में कम से कम 21 दिनों के लिए THR के लिए पात्र है।
"Total number of AWCs (block, district, state, national level) with working weighing scale",टेक होम राशन के लिए कौन पात्र है?
"Total number of AWCs (block, district, state, national level) with electricity","गर्भवती महिलाएँ, स्तनपान कराने वाली माताएँ, 6 महीने से 3 वर्ष तक के बच्चे और किशोर लड़कियाँ।"
Total number of AWCs that are government owned,मैं टेक होम राशन के बारे में कहाँ पूछ सकता हूँ?
Total number of AWCs that are privately owned,"कृपया, अपने संबंधित आँगनवाड़ी कार्यकर्ता से संपर्क करें।"
How to contact Poshan Tracker Team?,अतिरिक्त पूरक भोजन के लिए कौन पात्र है।
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,पोषण की कमी वाले बच्चों के रूप में पहचाना जाने वाले बच्चे अतिरिक्त पूरक आहार के लिए पात्र हैं।
Can a beneficiary register directly using application.,लाभार्थी की पात्रता क्या है?
Currently a beneficiary can register by the help of an AWW,एक लाभार्थी महीने में कम से कम 21 दिनों के लिए HCM के लिए पात्र है।
Who is a beneficiary?,गर्म पके हुए भोजन के लिए कौन पात्र है?
There are 6 categories for beneficiaries,3-6 वर्ष तक की आयु वाले बच्चे
Pregnant Women,मैं गर्म पके हुए भोजन के बारे में कहाँ से पूछताछ कर सकता हूँ?
Lactating Mother,"कृपया, अपने संबंधित आँगनवाड़ी केंद्र से संपर्क करें।"
Children from 0 to 6 months,अतिरिक्त पूरक आहार के लिए कौन पात्र है?
Children from 6 months to 3 years,पोषण की कमी वाले बच्चों के रूप में पहचाना जाने वाले बच्चे अतिरिक्त पूरक आहार के लिए पात्र हैं।
Children from 3 years to 6 years,सहायता
Adolescent girls, 14408
Can a beneficiary change his/her AWC?, support-poshantrackr@gov.in
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,मोबाइल एप्प डाउनलोड करें
What is the eligibility of a beneficiary?,Powered By
A beneficiary is eligible for THR for at least 21 days in a month.,के बारे में
Who is eligible for Take Home Ration?,स्रोत
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.",डैशबोर्ड
Where can I enquire about take home ration?,हेल्पडेस्क
Please contact your respective Anganwadi worker.,अक्सर पूछे जाने वाले प्रश्न
Who is eligible for additional supplementary food.,पोषण कैल्कुलेटर/ मापक
Children who are identified as deficit on nutrition are eligible for additional food supplements.,सेवा की शर्तें
What is the eligibility of a beneficiary?,गोपनियता नीति
A beneficiary is eligible for HCM for at least 21 days in a month.,अवसर
Who is eligible for Hot Cooked Meal?,Copyright@2023  Poshan Tracker. All rights reserved
Children in the age group of 3 years to 6 years, You need to enable JavaScript to run this app.
Where can I enquire about Hot Cooked Meal?,Poshan Helpline:
Please contact your respective Anganwadi Centre.,JanAndolan
Who is eligible for additional supplementary food?,ABHA (स्वास्थ्य पहचान पत्र)
Children who are identified as deficit on nutrition are eligible for additional food supplements.,भाषा
Support,English
 14408,हिंदी
 support-poshantrackr@gov.in,ગુજરાતી
Download Mobile App,મરાઠી
Powered By,ಕನ್ನಡ
About,മലയാളം
Resources,தமிழ்
Dashboard,తెలుగు
Helpdesk,বাংলা
FAQ,অসমীয়া
Poshan Calculator,ਪੰਜਾਬੀ
Terms of Service,ଓଡ଼ିଆ
Privacy Policy,नेपाली
Careers,डोगरी
Copyright@2023  Poshan Tracker. All rights reserved,कोंकणी
 You need to enable JavaScript to run this app.,सिंधी
Poshan Helpline:,बोडो
JanAndolan,मैथिली
ABHA (Health ID),মণিপুরী
Language,संथाली
English,اردو
हिंदी,کٲشُر
ગુજરાતી,के बारे में
મરાઠી,स्रोत
ಕನ್ನಡ,स्रोत
മലയാളം,टीकाकरण सूची
தமிழ்,डैशबोर्ड
తెలుగు,डैशबोर्ड
বাংলা,Mission Utkarsh
অসমীয়া,हेल्पडेस्क
ਪੰਜਾਬੀ,लाभार्थी निवारण/उपाय
ଓଡ଼ିଆ,राज्य सहायता केंद्र
नेपाली,अक्सर पूछे जाने वाले प्रश्न
डोगरी,पोषण कैल्कुलेटर/ मापक
कोंकणी,लॉगिन
सिंधी,पोषण कैल्कुलेटर/ मापक
बोडो,विश्व स्वास्थ्य संगठन द्वारा परिभाषित मानकों के आधार पर बच्चों के विकास को मापने के लिए पोषण मापक का निर्माण किया गया।.
मैथिली,पोषण मापक का उपयोग कैसे करें?
মণিপুরী,लिंग का चयन करें
संथाली,जन्म तिथि दर्ज करें
اردو,सेंटीमीटर में ऊँचाई दर्ज करें
کٲشُر,किलोग्राम में वजन दर्ज करें
About,परिणाम दिखाएँ पर क्लिक करें
Resources,लिंग 
Resources,लड़का
Vaccination Schedule,लड़की
Dashboard,जन्म तिथि 
Dashboard,ऊँचाई (सें.मी.) 
Mission Utkarsh,*ऊँचाई 38 सँ 150 केर बीच होयबाक चाही
Helpdesk,सें.मी.
Beneficiary Redressal,वजन (कि.ग्रा.) 
State Helpdesk,*वजन 0.90 सँ 58 केर बीच होयबाक चाही
FAQ,कि.ग्रा.
Poshan Calculator,परिणाम सभ देखाउ
Login,पोषण मापक क्या है
Poshan Calculator,विश्व स्वास्थ्य संगठन के अनुसार पोषण मापक बच्चों के विभिन्न प्रकार के स्वास्थ्य स्थितियों की पहचान करने में सहायता प्रदान करता है.
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,विश्व स्वास्थ्य संगठन के मानक हैं :
How to use Poshan Calculator?,स्टंटिंग( आयु के लिए वजन) 
Select Gender,0 माह से 6 वर्ष तक
Enter Date of Birth,गंभीर रूप सँ अद्भुत बल प्रदर्शन
Enter Height in centimeter,मध्यम रूप से अविकसित
Enter Weight in kilogram,सामान्य
Click on Show Results,कम वजन वाले बच्चे(आयु के लिए वजन) 
Gender ,0 माह से 6 वर्ष तक
Boy,गंभीर रूप से कम वजन वाले
Girl,मध्यम रूप सँ कम वजन
Date of Birth ,सामान्य
Height (CM) ,वेस्टिंग(ऊँचाई के लिए वजन) 
*Height should be between 38 to 150,0 माह से 5 वर्ष तक
CM,गंभीर रूप से वेस्टेड(SAM)
Weight (KG) ,मध्यम रूप से वेस्टेड(MAM)
*Weight should be between 0.90 to 58,सामान्य
KG,अत्यधिक वजन वाले
Show Results,स्थूल
What is Poshan Calculator,कोष्ठक में दिए गए आयु अनुसार उपरोक्त मानक परिभाषित हैं
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,संदर्भित तालिका के बारे में
WHO standards are :,WHO बहुकेंद्रीय वृद्धि संदर्भित अध्ययन 1997 और 2003 के बीच दुनिया भर में शिशुओं और छोटे बच्चों की वृद्धि और विकास का आकलन करने और नए विकास वक्र को उत्पन्न करने के लिए किया गया था।.
Stunting ( Height for Age)- ,"MGRS ने व्यापक रूप से विभिन्न जातीय और सांस्कृतिक पृष्ठभूमि (ब्राजील, घाना, भारत, नॉर्वे, ओमान और यूएसए) से लगभग 8500 बच्चों का प्राथमिक विकास का आँकड़ा और संबंधित जानकारी एकत्र की।."
0 months to 6 years,नए विकास वक्रों से एक एकल अंतरराष्ट्रीय मानक प्रदान करने की उम्मीद है जो जन्म से लेकर पाँच वर्ष तक के सभी बच्चों की शारीरिक विकास के सर्वोत्तम विवरण का प्रतिनिधित्व करता है और स्तनपान करने वाले शिशु को विकास और वृद्धि के लिए आदर्श मॉडल के रूप में स्थापित करता है।.
Severely Stunted,अपने स्वास्थ्य को कैसे पुनर्जीवित करें?
Moderately stunted,"यदि आप गंभीर रूप से बीमार हो गए हैं, तो अपने स्वास्थ्य को पुनर्जीवित (एसएएम) कैसे करें"
Normal,"यदि आप मध्यम रूप से बीमार (एमएएम) हैं, तो अपने स्वास्थ्य को पुनर्जीवित कैसे करें"
Underweight (Weight for Age)- ,"यदि आप कम वजन वाले हैं, तो अपने स्वास्थ्य को पुनर्जीवित कैसे करें"
0 months to 6 years,सहायता
Severely Underweight, 14408
Moderately Underweight, support-poshantrackr@gov.in
Normal,मोबाइल एप्प डाउनलोड करें
Wasting (Weight for Height)- ,Powered By
0 months to 5 years,के बारे में
Severely Wasted (SAM),स्रोत
Moderately Wasted (MAM),डैशबोर्ड
Normal,हेल्पडेस्क
Overweight,अक्सर पूछे जाने वाले प्रश्न
Obese,पोषण कैल्कुलेटर/ मापक
Above standards are defined as per given above mentioned age brackets,सेवा की शर्तें
About Reference tables,गोपनियता नीति
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,अवसर
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA).",Copyright@2023  Poshan Tracker. All rights reserved
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development., You need to enable JavaScript to run this app.
How to revive your Health?,Poshan Helpline:
How to revive your health if you are Severely Wasted (SAM),JanAndolan
How to revive your health if you are Moderately Wasted (MAM),ABHA (स्वास्थ्य पहचान पत्र)
How to revive your health if you are Underweight,भाषा
Support,English
 14408,हिंदी
 support-poshantrackr@gov.in,ગુજરાતી
Download Mobile App,મરાઠી
Powered By,ಕನ್ನಡ
About,മലയാളം
Resources,தமிழ்
Dashboard,తెలుగు
Helpdesk,বাংলা
FAQ,অসমীয়া
Poshan Calculator,ਪੰਜਾਬੀ
Terms of Service,ଓଡ଼ିଆ
Privacy Policy,नेपाली
Careers,डोगरी
Copyright@2023  Poshan Tracker. All rights reserved,कोंकणी
 You need to enable JavaScript to run this app.,सिंधी
Poshan Helpline:,बोडो
JanAndolan,मैथिली
ABHA (Health ID),মণিপুরী
Language,संथाली
English,اردو
हिंदी,کٲشُر
ગુજરાતી,के बारे में
મરાઠી,स्रोत
ಕನ್ನಡ,स्रोत
മലയാളം,टीकाकरण सूची
தமிழ்,डैशबोर्ड
తెలుగు,डैशबोर्ड
বাংলা,Mission Utkarsh
অসমীয়া,हेल्पडेस्क
ਪੰਜਾਬੀ,लाभार्थी निवारण/उपाय
ଓଡ଼ିଆ,राज्य सहायता केंद्र
नेपाली,अक्सर पूछे जाने वाले प्रश्न
डोगरी,पोषण कैल्कुलेटर/ मापक
कोंकणी,लॉगिन
सिंधी,सेवा की शर्तें
बोडो,"स्वागत है! आपके लिए यहाँ प्रदत निम्नलिखित सेवा की शर्तें हैं, जो आपके पोषण ट्रैकर प्लेटफॉर्म की उपयोगिता को प्रबंधित करेगी जिसे "
मैथिली,https://poshantracker.in
মণিপুরী, पर इसकी सहयोगी या संबद्ध अन्य साइटों की लिंक के साथ इसे होस्ट किया गया है।
संथाली,I. स्वामित्व
اردو,"यह साइट और सभी आँकड़े, संदेश, बनावट, पृष्ठ, प्रिंट स्क्रीन(मुद्रण चित्रपट), चित्र, कलाकृति, तस्वीरें, ऑडियो और वीडियो क्लिप, HTML कोड, स्रोत कोड, या सॉफ़्टवेयर जो बुक किए गए सभी प्रतिभागी साइटों पर देखने योग्य या अन्यथा शोध करने योग्य होते हैं या रहते हैं, (सामूहिक रूप से, ""सामग्री"" कहा जाता है) महिला और बाल विकास मंत्रालय और उनके अधिकृत सेवा प्रदाताओं के स्वामित्व के अंतर्गत आते हैं।"
کٲشُر,II. सहमति
About,"हमारी गोपनियता नीति, खुली API और अन्य पॉलिसी, नियम या दिशानिर्देश जो हमारी साइट से संबद्ध विशिष्ट प्रस्ताव या विशेषताओं पर लागू होते हैं, इन शर्तों में सम्मिलित रहते हैं। हमारी साइट पर आकर इसका उपयोग करने का सामान्य अर्थ यह निकाला जाता है कि, आप हमारे द्वारा सामयिक आधार पर किए जाने वाले अद्यतन से संबंधित शर्तों के प्रति अपनी सहमति व्यक्त करते हैं।"
Resources,"यदि आप इन शर्तों के किन्हीं भाग से सहमत नहीं हैं, तो कृपया, इस साइट का उपयोग न करें। यदि आप अनुबंध के लिए आवश्यक कानूनी पात्रता पूरी नहीं करते हैं, तो आप हमारी साइट या इससे संबंधित किसी शर्त का उपयोग नहीं कर सकते हैं।"
Resources,III. शर्तों में किए जाने वाले सामयिक परिवर्तनों के संदर्भ में अधिसूचना:
Vaccination Schedule,हम आपको बिना बताए साइट के किसी भी भाग को संलग्न करने या हटाने या उसमें सशर्त परिवर्तन या संशोधन करने से संबंधित अधिकार को सुरक्षित रखते हैं। किसी भी प्रकार के परिवर्तन और अद्यतन को त्वरित रूप से प्रभावशाली माना जाएगा। यह आपका उत्तरदायित्व है कि आप सामयिक आधार पर शर्तों के उपयोग में होने वाले परिवर्तनों की जाँच करते रहें। हमारी साइट के पुनरीक्षण के बाद आपके द्वारा उसका निरंतर उपयोग हमारी संशोधित शर्तों के प्रति आपकी स्वीकृति को प्रदर्शित करता है।
Dashboard,IV. खाते का पंजीकरण
Dashboard,"आप हमारी साइट को बिना पंजीकृत हुए ही ब्राउज़ कर सकते हैं। आपको अपने खाते के लिए मोबाइल संख्या के साथ पंजीकरण करना अनिवार्य है, यदि आप साइट द्वारा प्रदत किन्हीं विशिष्ट सेवाओं या विशेषताओं का उपयोग करने चाहते हैं।"
Mission Utkarsh,"इन शर्तों को स्वीकार करने के द्वारा आप हमें अपनी सूचना, पहचान (आधार विवरण सहित) और आपके खाते में पंजीकृत अन्य सभी सदस्यों की सूचना का उपयोग करने हेतु अधिकारिक रूप से अपनी सहमति प्रदान करते हैं।"
Helpdesk,आप अपनी व्यक्तिगत सूचना और पंजीकरण तथा संबंधित जानकारी को सुरक्षित रखने में विफल होने के परिणामस्वरूप भावी सभी गतिविधियों की गोपनीयता बनाए रखने हेतु पूर्णत: उत्तरदायी हैं। आपके पंजीकरण या मोबाइल नंबर को गोपनीय रखा जाएगा।
Beneficiary Redressal,आप स्वीकृति प्रदान करते हैं कि:
State Helpdesk,आपने अपने खाते के द्वारा निर्मित किए जाने वाले अभिलेखों से संबंधित व्यक्तियों से उनकी सहमति प्राप्त की है।
FAQ,आपके खाते या मोबाइल नंबर में आपका रूप धारण करने के इरादे से किसी अन्य व्यक्ति के नाम को शामिल नहीं किया जाएगा।
Poshan Calculator,आप उनकी आज्ञा के बिना किसी अन्य के खाते का उपयोग नहीं करेंगे।
Login,"आप हमें त्वरित रूप से इस बात की सूचना देंगे यदि आपने अपने खाते में किसी अनधिकृत उपयोग या सुरक्षा से संबद्ध किसी उल्लंघन को करते हुए पाया है। यदि हमें कोई शिकायत मिलती है कि, आपका खाता किसी और के अधिकारों या हमारी नीतियों का उल्लंघन करता है, तो हम आपके खाते को रद्द या अवरुद्ध कर सकते हैं।"
Terms of Service,"आप साइट पर प्रतिभागियों को पंजीकृत करने के लिए विभिन्न इंटरनेट प्रोटोकॉल में पते या मोबाइल नंबर, या किसी अन्य माध्यम से अपनी पहचान को गुप्त रखने का प्रयास नहीं करेंगे।"
Welcome! The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at ,V. उपयोग से संबंधित आज्ञा
https://poshantracker.in,आप साइट तक केवल दस्तावेजों में वर्णित माध्यमों से पहुँच (या एक्सेस करने का प्रयास) प्राप्त कर सकेंगे एवं इस अनुबंध के नियमों और शर्तों का पालन भी करेंगे।
", and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","आप आपके साइटों के उपयोग पर लागू होने वाले या किसी भी तीसरे पक्ष के अधिकारों को प्रभावित करने वाले सभी केंद्रीय एवं राज्य कानूनों, नियमों और विनियमों का पालन करेंगे।"
I. OWNERSHIP,VI. उपयोग से संबंधित प्रतिबंध
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.",आप स्वयं या किसी अन्य व्यक्ति के माध्यम से निम्न कार्य को नहीं करेंगे:
II. CONSENT,किसी अन्य व्यक्ति के साइट के उपयोग को प्रतिबंधित लागा कर बाधित नहीं करेंगे
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms. By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.",किसी भी गैरकानूनी उद्देश्य के लिए साइट का उपयोग नहीं करेंगे
"If you do not agree with any part of these terms, do not use the site. You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.",आप हमारे किसी भी बयान को हमारी पूर्व लिखित सहमति या समर्थन के बिना व्यक्त या इंगित नहीं करेंगे
III. NOTICE REGARDING FUTURE CHANGES TO TERMS:,आप वास्तविक या काल्पनिक या स्पैमिंग या
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You take the responsibility to check these Terms of Use periodically for changes. Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.",भेड़-चाल में शामिल किसी भी व्यक्ति या संस्था का प्रतिरूपण नहीं करेंगे
IV. ACCOUNT REGISTRATION,साइट उपयोगकर्ताओं के बारे में सूचना एकत्र नहीं करेंगे
"You may browse the Site without registering for an account. You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.",एकाधिक मोबाइल नंबरों का उपयोग करके अपने या किसी अन्य व्यक्ति के लिए एकाधिक खाते नहीं खोलेंगे
"By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.","वायरस, कीड़े, ट्रोजन हॉर्स, दोष, डेट बम, टाइम बम या विनाशकारी प्रकृति वाली अन्य सामग्री और सॉफ्टवेयर को न ही सहेजेंगे और न ही अद्यतित करेंगे"
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure. Your registration or mobile number shall be kept confidential,"आपके द्वारा सहेजी जाने वाली किसी भी पोस्टिंग के मूल को छिपाने के लिए, फ़ोर्जिंग हेडर सहित, व्यक्तियों की पहचान में हेरफेर नहीं करेंगे"
You undertake that:,साइट के होम पेज को निर्दिष्ट यूआरएल के अलावा किसी भी साइट के हिस्से से लिंक नहीं करेंगे
You have obtained consent from the concerned individuals for creating their records through your account.,"साइट के किसी भी भाग को ""फ़्रेम"" या ""मिरर"" नहीं करेंगे"
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,"आप साइट के किसी भी हिस्से को संशोधित, अनुकूलित, उप-लाइसेंस, अनुवाद, बिक्री, प्रतिलोम अभियांत्रिकी, डी-कंपाइल या डिस्सेबल, या अन्यथा किसी भी स्रोत कोड या अंतर्निहित अवधारणाओं या सामग्री के किसी भी हिस्से से एल्गोरिदम को प्राप्त करने का प्रयास नहीं करेंगे"
You shall not use another user's account without their permission.,"साइट पर निहित किसी भी कॉपीराइट, ट्रेडमार्क या स्वामित्व से संबंधित अन्य आधिकारिक सूचना को नहीं हटाएँगे"
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach. If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.","किसी भी कंप्यूटर प्रोग्राम, बॉट, रोबोट, स्पाइडर, ऑफलाइन रीडर, साइट सर्च/पुनर्प्राप्ति एप्लिकेशन या अन्य मानवीय या स्वचालित उपकरण, टूल, या प्रक्रिया को पुनर्प्राप्त करने, सूचकांक, डेटा माइन, या किसी भी तरीके से नेविगेशनल सुरक्षा संरचना को पुन: उत्पन्न या उपयोग करने या साइट की संरचना, या प्रस्तुति, साइट पर प्रदर्शित किसी भी कैप्चा को बाधित करने का प्रयास नहीं करेंगे।"
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site","आप ऐसी सक्रिय सिस्टम या सॉफ़्टवेयर द्वारा अपने कंप्यूटर से किसी अन्य कंप्यूटर पर जानकारी भेजने, शोध करने या बुक करने के लिए किसी भी स्वचालित सॉफ़्टवेयर या कंप्यूटर सिस्टम का उपयोग नहीं करेंगे"
V. ACCESS PERMISSIONS,हमारे बुनियादी ढांचे को अनुचित या अनुपातहीन रूप से बड़े पैमाने पर हमारे विवेकाधिकारों को प्रभावित करने वाली तथ्यों के प्रति कार्रवाई करेंगे।
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,"साइट के उपयोग या साइट या सामग्री के व्युत्पन्न कार्यों को पुन: प्रस्तुत, संशोधित, सार्वजनिक रूप से निष्पादित एवं प्रदर्शित, वितरित या व्युत्पन्न नहीं करेंगे"
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","किसी भी तकनीकी सामग्री को रोकने के लिए डिज़ाइन किए गए किसी भी डिवाइस प्रोग्राम या सेवा के संयोजन में या उसके संयोजन में, जो साइट और/या सामग्री में किसी भी तरह से अधिकारों तक पहुंच या अधिकारों को प्रभावी ढंग से नियंत्रित करता है, जिसमें बिना किसी सीमा के प्रमाणपत्र या अंतर्निहित एल्गोरिदम या किसी भी उद्देश्य के लिए स्वचालित मानवीय डिकोड डिक्रिप्ट संशोधित या प्रतिलोम अभियांत्रिकी शामिल है।"
VI. ACCESS RESTRICTIONS,"आप साइट के माध्यम से प्रतिभागियों को पंजीकृत करने, शोध करने हेतु बॉट तकनीक का उपयोग नहीं करेंगे; किसी भी प्रकार के संदेह से बचाव हेतु यह विशेष रूप से आपकी साइट पर स्वचालित आधार पर स्क्रिप्ट या स्वचालित सॉफ़्टवेयर का उपयोग करने से रोकता है और आपको साइट पर किसी भी सुरक्षा उपाय एक्सेस कंट्रोल सिस्टम या अन्य तकनीकी नियंत्रण या माप को बाधित करने से रोकता है जिसका उपयोग किसी मोबाइल नंबर से जुड़े प्रतिभागियों के पंजीकरण नियमों के एकीकरण की सीमा को लागू करने या बनाए रखने के लिए किया जाता है।"
"You shall not, either on your own or through any other person:",VII. बौद्धिक संपदा अधिकार
Restrict or inhibit any other person from using the Site,हमारे पास बौद्धिक संपदा अधिकारों के तहत साइट और उसकी सामग्री का स्वामित्व प्राप्त है। हम किसी भी समय साइट की सामग्री और सुविधाओं में परिवर्तन कर सकते हैं।
Use the Site for any unlawful purpose,"इस साइट पर प्रदर्शित पंजीकृत और अपंजीकृत ट्रेडमार्क, प्रतीक चिह्न और सेवा चिह्न हमारे या हमारे लाइसेंसकर्ताओं के स्वामित्व के अधीन है। आप हमारी पूर्व लिखित अनुमति के बिना किसी भी प्रकार से अपने ट्रेडमार्क, प्रतीक चिह्नों और सेवा चिह्नों का उपयोग नहीं कर सकते हैं।"
