en,mr
We own the intellectual property rights in the Site and Content. We may change the Content and features of the Site at any time.,आमच्याकडे साइट आणि सामग्रीमधील बौद्धिक संपदा अधिकार आहेत. आम्ही साइटची सामग्री आणि वैशिष्ट्ये कधीही बदलू शकतो.
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors. You may not use our trademarks, logos, and service marks in any way without our prior written permission.","साइटवर प्रदर्शित केलेले नोंदणीकृत आणि अनोंदणीकृत ट्रेडमार्क, लोगो आणि सेवा चिन्ह आमच्या किंवा आमच्या परवानाधारकांच्या मालकीचे आहेत. तुम्ही आमचे ट्रेडमार्क, लोगो आणि सेवा चिन्ह कोणत्याही प्रकारे ओ शिवाय वापरू शकत नाही."
"Material featured on this website may be reproduced free of charge. However, no part of the Site and no Content may be copied, republished, reproduced, uploaded, posted, displayed publicly, encoded, translated, transmitted or distributed in any way to any other computer, server, Web site or other medium for publication in a derogatory manner or in a misleading context.","या वेबसाइटवर वैशिष्ट्यीकृत सामग्री विनामूल्य पुनरुत्पादित केली जाऊ शकते. तथापि, साइटचा कोणताही भाग आणि कोणतीही सामग्री कॉपी, पुनर्प्रकाशित, पुनरुत्पादित, अपलोड, पोस्ट, सार्वजनिकरित्या प्रदर्शित, एन्कोड, अनुवादित, प्रसारित किंवा इतर कोणत्याही संगणकावर, सर्व्हरवर, वेब साइटवर किंवा प्रकाशनासाठी इतर माध्यमांवर कोणत्याही प्रकारे वितरित केली जाऊ शकत नाही. अपमानास्पद रीतीने किंवा दिशाभूल करणाऱ्या संदर्भात."
"You may use information available on the Site, provided that you will (1) use such information only for your personal, non-commercial informational purpose and do not copy or post such information on any networked computer or broadcast it in any media, (2) not make any modifications to any such information and any additional representations or warranties relating to such documents and Content.","तुम्ही साइटवर उपलब्ध असलेल्या माहितीचा वापर करू शकता, जर तुम्ही (1) अशी माहिती केवळ तुमच्या वैयक्तिक, गैर-व्यावसायिक माहितीच्या उद्देशाने वापराल आणि अशी माहिती कोणत्याही नेटवर्क संगणकावर कॉपी किंवा पोस्ट करू नका किंवा ती कोणत्याही मीडियामध्ये प्रसारित करू नका, (2) अशा कोणत्याही माहितीमध्ये आणि अशा दस्तऐवज आणि सामग्रीशी संबंधित कोणतेही अतिरिक्त प्रतिनिधित्व किंवा वॉरंटीमध्ये कोणतेही बदल करू नका."
"Wherever the material is being published or issued to others, the source must be prominently acknowledged. However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","जेथे सामग्री प्रकाशित केली जात आहे किंवा इतरांना जारी केली जात आहे, तेथे स्त्रोत ठळकपणे मान्य करणे आवश्यक आहे. तथापि, या सामग्रीचे पुनरुत्पादन करण्याची परवानगी तृतीय पक्षाचा कॉपीराइट म्हणून ओळखल्या जाणार्‍या कोणत्याही सामग्रीपर्यंत विस्तारित होणार नाही."
VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE,VIII. बहु-भाषिक इंटरफेसच्या मर्यादा
"Translations on the Poshan Tracker Portal & App Chabot are done by third party translators. While the translations are done on a best effort basis, some of the parts may be incorrect. Certain files and other items on the website cannot be translated. In addition, on translation, some applications and/or services may not function as expected, due to language barriers. We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","पोषण ट्रॅकर पोर्टल आणि ॲप चॅबॉट वरील भाषांतर तृतीय पक्ष अनुवादकाद्वारे केले जाते. भाषांतरे सर्वोत्कृष्ट प्रयत्नांच्या आधारावर केली जात असली तरी काही भाग चुकीचे असू शकतात. वेबसाइटवरील काही फाइल्स आणि इतर गोष्टींचे भाषांतर केले जाऊ शकत नाही. याव्यतिरिक्त, भाषांतरावर, भाषेच्या अडथळ्यांमुळे काही अनुप्रयोग आणि/किंवा सेवा अपेक्षेप्रमाणे कार्य करू शकत नाहीत. या पोर्टलवर प्रदान केलेल्या भाषांतरांमधील कोणत्याही त्रुटी, चूक किंवा अस्पष्टता सुधारण्यासाठी आम्ही सतत काम करत आहोत."
IX. LINKS,IX. लिंक्स
"The Site may contain links to other websites that may not be owned, maintained, or operated by us. The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites. We are not responsible for these websites including any content or the privacy practices of these websites. We strongly encourage you to familiarize yourself with the terms of use of these websites. Your use of these websites is at your own risk and peril. It is solely up to you to take necessary precautions to ensure that the links you select or any software you may download is free of viruses, worms, Trojan horses, defects, date bombs, time bombs, and other or other computer programming routines which are of destructive nature","साइटमध्ये इतर वेबसाइट्सचे लिंक्स असू शकतात ज्या कदाचित आमच्या मालकीच्या, देखरेखीच्या किंवा आमच्याद्वारे चालवल्या जाणार नाहीत. या वेबसाइट्स लिंक्ड़ आहेत हे तथ्य, आमच्याकडून या वेबसाइट्सचे कोणतेही समर्थन सूचित करत नाही, कारण या वेबसाइट्सवर आमचे कोणतेही नियंत्रण आहे. आम्ही या वेबसाइट्ससाठी कोणतीही सामग्री किंवा या वेबसाइट्सच्या गोपनीयता पद्धतींसह जबाबदार नाही. या वेबसाइट्सच्या वापराच्या अटींशी परिचित होण्यासाठी आम्ही तुम्हाला जोरदार प्रोत्साहन देतो. या वेबसाइट्सचा तुमचा वापर तुमच्या स्वतःच्या जोखमीवर आणि धोक्यात आहे. तुम्ही निवडलेल्या लिंक्स किंवा तुम्ही डाउनलोड करू शकणारे कोणतेही सॉफ्टवेअर व्हायरस, वर्म्स, ट्रोजन हॉर्स, दोष, डेट बॉम्ब, टाईम बॉम्ब आणि इतर किंवा इतर संगणक प्रोग्रामिंग दिनचर्यापासून मुक्त आहेत याची खात्री करण्यासाठी आवश्यक ती खबरदारी घेणे केवळ तुमच्यावर अवलंबून आहे. विध्वंसक स्वभावाचे"
X. ACCESS FROM OUTSIDE INDIA,X. भारताबाहेरून प्रवेश
"The Site is directed to the people residing in India. We do not represent that Content available on or through the Site is appropriate or available in other locations. We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time. If you choose to access the Site from outside India, you do so at your own risk.","साइट भारतात राहणाऱ्या लोकांसाठी निर्देशित केली आहे. आम्ही असे प्रतिनिधित्व करत नाही की साइटवर किंवा त्याद्वारे उपलब्ध असलेली सामग्री योग्य आहे किंवा इतर ठिकाणी उपलब्ध आहे. आम्ही साइट किंवा साइटवर वर्णन केलेल्या कोणत्याही सेवा किंवा उत्पादनाची उपलब्धता कोणत्याही व्यक्ती किंवा भौगोलिक क्षेत्रासाठी कोणत्याही वेळी मर्यादित करू शकतो. तुम्ही भारताबाहेरून साइटवर प्रवेश करणे निवडल्यास, तुम्ही ते तुमच्या स्वत:च्या जोखमीवर करता."
XI. VIOLATION OF THESE TERMS,XI. या अटींचे उल्लंघन
"We may investigate any violation of these Terms, including unauthorized use of the Site. We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you. We may take legal action that we feel is appropriate. If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","आम्ही साइटच्या अनधिकृत वापरासह या अटींच्या कोणत्याही उल्लंघनाची चौकशी करू शकतो. तुमच्यावरील कोणत्याही तपासात किंवा खटला चालवण्यात मदत करण्यासाठी तुमच्या व्यवहारांशी संबंधित तुम्ही आम्हाला प्रदान केलेली माहिती आम्ही कायद्याची अंमलबजावणी करू शकतो. आम्हाला योग्य वाटेल अशी कायदेशीर कारवाई आम्ही करू शकतो. आपण या अटींचे किंवा कायद्याचे किंवा इतर कोणत्याही कारणास्तव किंवा विनाकारण उल्लंघन केले आहे असे आम्ही निर्धारित केल्यास, आम्ही तुमचे खाते अवरोधित करू आणि तुम्हाला सूचना न देता कधीही साइटवर प्रवेश करण्यापासून प्रतिबंधित करू."
XII. RE-DISTRIBUTION,XII. पुनर्वितरण
"Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker. Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","अधिकृत संस्था एपीआय/नो-कोड वेबपेज इंटिग्रेशनद्वारे ऍक्सेस करू शकतील असा कोणताही डेटा पुन्हा वितरित करणार नाहीत आणि अशा सर्व डेटाचे एकत्रीकरण अनिवार्यपणे पोषण ट्रॅकरद्वारे प्रदान केलेल्या विशिष्ट सेवांपुरते मर्यादित असेल याची खात्री करतील. कोणत्याही परिस्थितीत, एखादी संस्था सरकारच्या पोषण अभियानाचा भाग म्हणून संकलित केलेल्या डेटाचा वापर येथे नमूद केलेल्या उद्दिष्टांव्यतिरिक्त आणि सरकारच्या परवानगीनुसार इतर कोणत्याही कारणांसाठी करू शकत नाही."
"XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE","XIII. कायद्याचे पालन, तृतीय पक्षाचे अधिकार आणि इतर सेवा अटी"
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India. These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.","अधिकृत संस्था भारत सरकारने स्थापित केलेले सर्व लागू कायदे, नियमन, धोरणे आणि तृतीय-पक्ष अधिकारांचे पालन करतील (यासह आणि मर्यादेशिवाय, डेटा किंवा सॉफ्टवेअरची आयात किंवा निर्यात, गोपनीयता आणि स्थानिक कायद्यांबाबतचे कोणतेही कायदे). पॉशन ट्रॅकरसह या अटींसह बेकायदेशीर क्रियाकलाप किंवा तृतीय-पक्ष अधिकारांचे उल्लंघन करण्यास प्रोत्साहन देण्यासाठी या संस्था एपीआय/ नो-कोड वेबपृष्ठ एकत्रीकरण वापरणार नाहीत."
XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS,XIV. तृतीय पक्ष प्रणालीद्वारे प्रदान केलेल्या डेटाची शुद्धता
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party. Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",पॉशन ट्रॅकरकडून डेटा गोळा करणारे आणि वापरकर्त्यांना दाखवणारे एएसपी अशा डेटाच्या अचूकतेसाठी पूर्णपणे जबाबदार असतील आणि अशा प्रकारे प्रदान केलेल्या कोणत्याही डेटामुळे उद्भवणारे कोणतेही दायित्व अशा तृतीय पक्षाकडे पूर्णत: विश्रांती घेतील. कोणत्याही चुकीच्या डेटामुळे उद्भवलेल्या कोणत्याही दिवाणी किंवा फौजदारी दायित्वे केवळ संबंधित एएसपीकडेच राहतील.
XV. INDEMNITY AND LIMITATION OF LIABILITY,XV. नुकसानभरपाई आणि दायित्वाची मर्यादा
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:","तुम्ही निरुपद्रवी पोषण ट्रॅकर आणि त्याचे सहयोगी, त्याचे अधिकारी, संचालक, कर्मचारी आणि एजंट, कोणत्याही आणि सर्व दावे, नुकसान, दायित्वे, नुकसान, दायित्वे, खर्च किंवा कर्ज, आणि खर्च यासह परंतु मर्यादित नसलेल्या खर्चाचा बचाव, नुकसानभरपाई आणि धारण करण्यास सहमती देता. कोणत्याही आरोप किंवा तृतीय-पक्ष कायदेशीर कार्यवाहीशी संबंधित वकील शुल्क:"
Your use of and access to the Site and Service;,साइट आणि सेवेचा तुमचा वापर आणि प्रवेश;
Your violation of any term of this Agreement;,या कराराच्या कोणत्याही अटींचे तुमचे उल्लंघन;
"Your violation of any third party right, including without limitation, any copyright, property, or privacy right; or","कोणत्याही तृतीय पक्षाच्या अधिकाराचे तुमचे उल्लंघन, ज्यामध्ये मर्यादांशिवाय, कोणतेही कॉपीराइट, मालमत्ता किंवा गोपनीयता अधिकार यांचा समावेश आहे; किंवा"
Any claim that your User Content caused damage to a third party. This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,तुमच्या वापरकर्ता सामग्रीमुळे तृतीय पक्षाचे नुकसान झाल्याचा कोणताही दावा. हे संरक्षण आणि नुकसानभरपाईचे दायित्व हा करार आणि तुमचा सेवा आणि वेबसाइट/अ‍ॅपचा वापर टिकून राहील.
XVI. JURISDICTION,XVI. अधिकार क्षेत्र
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,तुमचा साइटचा वापर आणि साइटच्या अशा वापरामुळे उद्भवणारा कोणताही विवाद भारताच्या कायद्यांच्या अधीन आहे आणि अधिकार क्षेत्र नवी दिल्ली असेल.
20 December 2021,20 डिसेंबर 2021
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","पोषण अभियान हा तंत्रज्ञान, लक्ष्यित दृष्टीकोन आणि अभिसरणाचा लाभ घेऊन बालके, किशोरवयीन, गर्भवती महिला आणि स्तनदा माता यांच्यासाठी पोषणविषयक परिणाम सुधारण्यासाठी भारताचा प्रमुख कार्यक्रम आहे."
"Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign. References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”","पोषण ट्रॅकर पोर्टल किंवा ॲप भारत सरकारच्या महिला आणि बाल विकास मंत्रालयाद्वारे नियंत्रित केले जाते, यापुढे “एमडब्ल्यूसीडी”, “आमचे”, “आम्ही”, “आम्ही” म्हणून संबोधले जाईल ज्यामध्ये इतर विभाग आणि विभागांचा संदर्भ समाविष्ट असेल कार्यक्रम/मोहिम. या धोरणातील पोषण ट्रॅकर पोर्टल किंवा ॲपच्या संदर्भांमध्ये पोषण ट्रॅकर किंवा पोषण ट्रॅकर सोबत एपीआयस्/संबंधित साइट्स, ॲप्स, कम्युनिकेशन्स आणि सेवा (सेवा) द्वारे एकत्रित केलेले पोषण ट्रॅकर किंवा इतर कोणतेही ॲप्स किंवा पोर्टल समाविष्ट आहेत. प्रणाली.”"
"Our Privacy Policy applies when you use our Services (described below). This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared. The collecting and retaining agency in respect of your information is MWCD.","तुम्ही आमच्या सेवा वापरता तेव्हा आमचे गोपनीयता धोरण लागू होते (खाली वर्णन केलेले). आम्ही कोणती माहिती गोळा करतो, ती का गोळा करतो आणि ती कशी वापरली आणि शेअर केली जाते हे समजून घेण्यास मदत करण्यासाठी हे गोपनीयता धोरण आहे. तुमची माहिती गोळा करणारी आणि ठेवणारी एजन्सी एमडब्ल्यूसीडी आहे."
"We are committed to protecting the security of your personal information and safeguarding your privacy. Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.","आम्ही तुमच्या वैयक्तिक माहितीच्या सुरक्षिततेचे रक्षण करण्यासाठी आणि तुमच्या गोपनीयतेचे रक्षण करण्यासाठी वचनबद्ध आहोत. सिस्टीमवर संकलित केलेली आणि प्रक्रिया केलेली कोणतीही माहिती किंवा डेटा माहिती तंत्रज्ञान कायदा, 2000 च्या नियमांनुसार आणि वैयक्तिक डेटाच्या संकलन आणि प्रक्रियेशी संबंधित इतर राष्ट्रीय आणि राज्य कायद्यांसह वाचलेल्या तरतुदींनुसार केला जातो."
This Privacy Policy is required to be read in conjunction with the Terms of Service available at ,हे गोपनीयता धोरण 
". Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service. By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."," वर उपलब्ध सेवा अटींसह वाचणे आवश्यक आहे. तुमचा प्रणालीचा प्रवेश आणि वापर हे गोपनीयता धोरण आणि सेवा अटी तुमच्या स्वीकृतीवर सशर्त आहे. सिस्टीममध्ये प्रवेश करून आणि/किंवा वापरून, तुम्ही प्रतिनिधित्व करता की तुम्ही सेवा अटी आणि गोपनीयता धोरण वाचले आहे, समजले आहे आणि त्यांना बांधील आहात आणि तुम्ही तुमची माहिती आणि डेटा संकलित, संग्रहित आणि मांडलेल्या पद्धतीने वापरण्यास संमती देता. या गोपनीयता धोरणामध्ये."
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,तुम्ही याद्वारे कबूल करता की या गोपनीयता धोरणाच्या कलम 1 मध्ये वर्णन केल्यानुसार तुमची माहिती संग्रहित करणे या गोपनीयता धोरणाच्या कलम 2 आणि 3 मध्ये निर्दिष्ट केलेल्या उद्देशांची पूर्तता करण्यासाठी आवश्यक आहे.
1. INFORMATION WE COLLECT,1. आम्ही गोळा करत असलेली माहिती
1.1. Information you provide to us.,1.1. तुम्ही आम्हाला प्रदान केलेली माहिती.
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account. This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) Address","तुम्ही आमच्या सेवा वापरता तेव्हा तुम्ही दिलेली सामग्री आणि इतर माहिती आम्ही गोळा करतो, ज्यामध्ये तुम्ही खात्यासाठी साइन अप करता तेव्हा. यात समाविष्ट असू शकते- (i) नाव (ii) मोबाईल नंबर (iii) जन्मतारीख (iv) लिंग (v) मुलाचे नाव (vi) आधार क्रमांक (vii) पत्ता"
"If you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature. You may, however, choose not to share personal data where providing the data is optional.","तुम्हाला उत्पादन किंवा वैशिष्ट्य प्रदान करण्यासाठी आवश्यक असलेला डेटा न देणे तुम्ही निवडल्यास, तुम्ही ते उत्पादन किंवा वैशिष्ट्य वापरू शकत नाही. तथापि, तुम्ही वैयक्तिक डेटा शेअर न करणे निवडू शकता जेथे डेटा प्रदान करणे पर्यायी आहे."
1.2. Information from use of services.,1.2. सेवांच्या वापरावरून माहिती.
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","तुम्ही आमच्या साइट्स, ॲप आणि प्लॅटफॉर्म तंत्रज्ञानासह आमच्या सेवांना भेट देता किंवा अन्यथा वापरता तेव्हा आम्ही वापर डेटा लॉग करतो."
"We may use various technologies to collect and store information, including cookies, local storage, such as browser web storage or application data caches, databases, and server logs to collect and use your information in certain cases.","आम्ही कुकीज, स्थानिक स्टोरेज, जसे की ब्राउझर वेब स्टोरेज किंवा ऍप्लिकेशन डेटा कॅशे, डेटाबेस आणि काही विशिष्ट प्रकरणांमध्ये तुमची माहिती गोळा करण्यासाठी आणि वापरण्यासाठी सर्व्हर लॉगसह माहिती गोळा आणि संग्रहित करण्यासाठी विविध तंत्रज्ञानाचा वापर करू शकतो."
1.3. Information from third parties.,1.3. तृतीय पक्षांकडून माहिती.
"Our System provides API to Third – Party Sites that may collect your personal information. Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites. Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites. These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to. This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites. We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information. You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.","आमची सिस्टीम तृतीय-पक्ष साइट्सना एपीआय प्रदान करते जी तुमची वैयक्तिक माहिती संकलित करू शकते. पोषण ट्रॅकर अशा माहितीच्या सुरक्षिततेसाठी किंवा त्यांच्या गोपनीयता पद्धती किंवा त्या तृतीय पक्षाच्या साइट्सच्या सामग्रीसाठी कोणत्याही प्रकारे जबाबदार नाही. याव्यतिरिक्त, तृतीय पक्ष साइट्सच्या काही पृष्ठांवर तुम्हाला कुकीज किंवा इतर तत्सम उपकरणे देखील आढळू शकतात आणि पोषण ट्रॅकरद्वारे हे स्पष्ट केले आहे की प्रणाली या तृतीय-पक्ष साइट्सद्वारे कुकीजच्या वापरावर नियंत्रण ठेवत नाही. या तृतीय-पक्ष सेवा प्रदाते आणि तृतीय-पक्ष साइट्सची त्यांची स्वतःची गोपनीयता धोरणे असू शकतात जी तुमची माहिती साठवून ठेवण्यासाठी आणि ठेवण्यावर नियंत्रण ठेवू शकतात ज्यांच्या तुम्ही अधीन असाल. हे गोपनीयता धोरण या तृतीय-पत्नींना प्रदान केलेली, संग्रहित केलेली किंवा वापरली जाणारी कोणतीही माहिती नियंत्रित करत नाही. आम्ही शिफारस करतो की तुम्ही तृतीय-पक्षाच्या साइटमध्ये प्रवेश करता तेव्हा, तुम्ही तृतीय पक्षाच्या साइटच्या गोपनीयता धोरणाचे पुनरावलोकन करा कारण ते तुमच्या माहितीच्या सुरक्षेशी संबंधित आहे. तुम्ही सहमत आहात आणि कबूल करता की शोध परिणामांमध्ये किंवा कोणत्याही तृतीय-पक्ष साइटद्वारे प्रकाशित केलेल्या माहितीसाठी पोषण ट्रॅकर जबाबदार राहणार नाही."
2. HOW WE USE PERSONAL INFORMATION,2. आम्ही वैयक्तिक माहिती कशी वापरतो
We use the information we collect from all our services for the following purposes:,आम्ही आमच्या सर्व सेवांमधून संकलित केलेली माहिती खालील उद्देशांसाठी वापरतो:
2.1. Deliver our services.,2.1. आमच्या सेवा वितरीत करा.
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.","कलम 1 अंतर्गत संकलित केलेली माहिती, लाभार्थींच्या आरोग्याच्या सुविधेसाठी वापरली जाईल."
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","आम्ही आमची उत्पादने प्रदान करतो, ज्यामध्ये सिस्टमची माहिती/डेटा/ सामग्री आणि सामग्री अद्यतनित करणे, सुरक्षित करणे आणि समस्यानिवारण करणे तसेच समर्थन प्रदान करणे समाविष्ट आहे."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database. These can also be used to assess the health status as recorded in the Poshan Tracker system.","जेव्हा तुम्ही पोषण ट्रॅकर वर नोंदणी करता, तेव्हा तुम्ही ज्या मोबाईल नंबरने नोंदणी केली होती, तो मोबाईल नंबर डेटाबेसमधून तुमचा रेकॉर्ड शोधण्यासाठी वापरला जाईल. पोषण ट्रॅकर प्रणालीमध्ये नोंदवल्याप्रमाणे आरोग्य स्थितीचे मूल्यांकन करण्यासाठी देखील याचा वापर केला जाऊ शकतो."
2.2. Communicate with you.,2.2. तुमच्याशी संवाद साधणे.
"We also send SMSs on your registered mobile number to alert you about registration, we also use your information to respond to you when you contact us and to investigate, respond to and resolve complaints and for Service issues (e.g. bugs).","आम्ही तुमच्या नोंदणीकृत मोबाइल नंबरवर तुम्हाला नोंदणीबद्दल सूचना देण्यासाठी एसएमएस देखील पाठवतो, तुम्ही आमच्याशी संपर्क साधता तेव्हा तुम्हाला प्रतिसाद देण्यासाठी आणि तक्रारींची तपासणी करण्यासाठी, प्रतिसाद देण्यासाठी आणि सेवा समस्यांसाठी (उदा. बग) आम्ही तुमची माहिती वापरतो."
2.3. Verification.,2.3. पडताळणी.
"We use the information we have, to help verify accounts. The records may be used for verification of health status for the purposes of Poshan Tracker control and response.",खाती पडताळण्यात मदत करण्यासाठी आम्ही आमच्याकडे असलेली माहिती वापरतो. पोषण ट्रॅकर नियंत्रण आणि प्रतिसादाच्या उद्देशाने आरोग्य स्थितीच्या पडताळणीसाठी रेकॉर्डचा वापर केला जाऊ शकतो.
2.4. Security and Audit.,2.4. सुरक्षा आणि ऑडिट.
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.","आम्‍ही तुमचा डेटा (तुमच्‍या संप्रेषणांसह) सुरक्षिततेच्‍या उद्देशांसाठी वापरतो किंवा संभाव्य फसवणूक किंवा आमच्या सेवा अटींचे इतर उल्लंघन आणि/किंवा आमचे सदस्य, अभ्यागत किंवा इतरांना हानी पोहोचवण्‍याचा प्रयत्‍न रोखण्‍यासाठी किंवा तपासण्‍यासाठी करतो."
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system. The records may be used for such audits.",प्रणालीच्या सुरक्षितता आणि मापनक्षमतेसाठी पोषण ट्रॅकर प्रणालीचे नियमितपणे एमडब्ल्यूसीडीद्वारे गुंतलेल्या ऑडिटर्सद्वारे ऑडिट केले जाते. अशा ऑडिटसाठी नोंदी वापरल्या जाऊ शकतात.
2.5. Research and operational activities.,2.5. संशोधन आणि ऑपरेशनल क्रियाकलाप.
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research. We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.","आम्ही आमच्या सेवा ऑपरेट करण्यासाठी देखील डेटा वापरतो, ज्यामध्ये आमच्या कार्यप्रदर्शनाचे विश्लेषण करणे, आमच्या कायदेशीर दायित्वांची पूर्तता करणे, आमचे कार्यबल विकसित करणे आणि संशोधन करणे समाविष्ट आहे. प्रणालीच्या सुधारणेसाठी आणि प्रणालीच्या तरतुदीशी संबंधित सर्व आनुषंगिक किंवा सहायक कृतींसाठी आणि नवीन तंत्रज्ञान आणि सेवा विकसित आणि प्रदान करण्यासाठी आम्ही काही आवश्यक ऑपरेशन करण्यासाठी देखील माहिती वापरू शकतो."
2.6. Surveys and Feedbacks.,2.6. सर्वेक्षण आणि अभिप्राय.
"The System also takes feedback about system performance and experience. Information on name, mobile number, date of registration and health status may be used for these purposes","ही यंत्रणा व्यवस्थेचे कार्यप्रदर्शन आणि अनुभवाबद्दल फीडबॅक देखील घेते. या उद्देशांसाठी नाव, मोबाईल नंबर, नोंदणीची तारीख आणि आरोग्य स्थिती यावरील माहिती वापरली जाऊ शकते"
3. SHARING OF INFORMATION,3. माहितीची देवाणघेवाण
3.1. Tracking health progress.,3.1. आरोग्य प्रगतीचा पाठपुरावा करणे.
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,. Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.","उपरोक्त कलम 1 अंतर्गत नोंदणीच्या वेळी तुमच्याकडून गोळा केलेली वैयक्तिक माहिती सुरक्षितपणे संग्रहित केली जाईल आणि ती केवळ भारत सरकार किंवा राज्य सरकारे आरोग्य प्रगती आणि स्थितीचा मागोवा घेण्यासाठी, अहवाल तयार करण्यासाठी, उष्णतेचे नकाशे आणि इतर सांख्यिकी यासाठी वापरली जाईल. देशातील पोषण ट्रॅकरच्या व्यवस्थापनाच्या उद्देशाने व्हिज्युअलायझेशन,. तुमचा संदर्भ आयडी (मोबाइल नंबर) वरील कलम 1 नुसार तुमच्याशी एसएमएसद्वारे संवाद साधण्यासाठी केवळ तुमच्या वैयक्तिक माहितीशी सह-संबंधित असेल."
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:","तुमच्या संमतीशिवाय आम्ही तुमची माहिती इतर कोणत्याही तृतीय पक्षाकडे उघड किंवा हस्तांतरित करत नाही, जोपर्यंत असे प्रकटीकरण किंवा हस्तांतरण होत नाही:"
