en,kn
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,ಎಡಬ್ಲ್ಯುಡಬ್ಲ್ಯುಇಂಗ್ಲಿಷ್ ಭಾಷೆಯಲ್ಲಿ ಮಾತ್ರ ಫಾರ್ಮ್ ಭರ್ತಿ ಮಾಡಬಹುದು
How many different forms are there in Poshan Tracker App?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಅಪ್ಲಿಕೇಶನ್‌ನಲ್ಲಿ ಎಷ್ಟು ವಿಭಿನ್ನ ರೂಪಗಳಿವೆ?
There are 7 different types of forms for beneficiaries. This includes:,ಫಲಾನುಭವಿಗಳಿಗೆ ೭ ವಿವಿಧ ಪ್ರಕಾರಗಳಿವೆ. ಇದು ಒಳಗೊಂಡಿದೆ:
Lactating mother, ಹಾಲುಣಿಸುವ ತಾಯಿ
Pregnant women, ಗರ್ಭಿಣಿಯರು
Child 0-6 Months,(೦-೬) ತಿಂಗಳ ಮಗು
Child 6 Months to 3 Years,(೬ ತಿಂಗಳು-೩ ವರ್ಷದ) ಮಗು
Child  3 Years to 6 Years,(೩-೬ ವರ್ಷದ) ಮಗು
Adolescent Girls (11 Years-19 Years), ಕಿಶೋರರು(೧೧-೧೯ ವರ್ಷ)
What information to be added in AWC forms?,ಎಡಬ್ಲ್ಯೂಸಿ ನಮೂನೆಗಳಲ್ಲಿ ಯಾವ ಮಾಹಿತಿಯನ್ನು ಸೇರಿಸಬೇಕು?
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.","ಎಡಬ್ಲ್ಯುಡಬ್ಲ್ಯು ಗಳು ನಿರ್ದಿಷ್ಟ ಅಂಗನವಾಡಿ ಕೇಂದ್ರದಲ್ಲಿ ಇರುವ ಮೂಲಸೌಕರ್ಯಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ವಿವರಗಳನ್ನು ನಮೂದಿಸ ಬೇಕು. ಇದರಲ್ಲಿ ರಚನೆ, ಮೂಲ ಸೌಕರ್ಯಗಳು, ಸೌಲಭ್ಯಗಳು, ನೈರ್ಮಲ್ಯೀಕರಣ, ಕುಡಿಯುವ ನೀರು ಇತ್ಯಾದಿಗಳು ಸೇರಿವೆ."
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,ತಮ್ಮ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಗಳ ಮೂಲಕ ನೋಂದಾಯಿಸಲು ಸಾಧ್ಯವಾಗದಿದ್ದರೆ ಎಡಬ್ಲ್ಯುಡಬ್ಲ್ಯುಗಳು ಅಪ್ಲಿಕೇಶನ್‌ನಲ್ಲಿ ಹೇಗೆ ಸೈನ್ ಅಪ್ ಮಾಡಬಹುದು?
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,ಒಂದು ವೇಳೆ ಎಡಬ್ಲ್ಯುಡಬ್ಲ್ಯು ತಮ್ಮನ್ನು ನೋಂದಾಯಿಸಿಕೊಳ್ಳುವಲ್ಲಿ ವಿಫಲವಾದರೆ ೨ ಸಾಧ್ಯತೆಗಳಿವೆ
Their mobile number is not present in the data provided by the states to the MoWCD,ಎಮೊ.ಡಬ್ಲ್ಯು.ಸಿ.ಡಿ ಗೆ ರಾಜ್ಯಗಳು ಒದಗಿಸಿದ ಡೆಟಾದಲ್ಲಿ ಅವರ ಮೊಬೈಲ್ ಸಂಖ್ಯೆ ಇರುವುದಿಲ್ಲ
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD., ಅವುಗಳನ್ನು ವ್ಯವಸ್ಥೆಗೆ ಹೊಸದಾಗಿ ಸೇರಿಸಲಾಗಿದೆ ಮತ್ತು ಅವರ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ರಾಜ್ಯಕೋಶಕ್ಕೆ ಇನ್ನೂ ಎಮೊ.ಡಬ್ಲ್ಯು.ಸಿ.ಡಿ ಗೆ ಒದಗಿಸಿಲ್ಲ
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW., ಮೇಲಿನ ಎರಡೂ ಸಂದರ್ಭ್ಹಗಳಲ್ಲಿ ಯಾವುದೇ ಅಡಬ್ಲ್ಯುಡಬ್ಲ್ಯು ಅನ್ನು ಸೇರಿಸಲು/ಸಂಪಾದಿಸಲು/ಸಕ್ರಿಯಗೊಳಿಸಲು/ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲು ರಾಜ್ಯ ನೋಡಲ್ ಅಧಿಕಾರಿಗಳಿಗೆ ಅಧಿಕಾರವಿದೆ.
How can one access Poshan Tracker Dashboard?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಡ್ಯಾಶ್ ಬೋರ್ಡ್ ಅನ್ನು ಹೇಗೆ ಪ್ರವೇಶಿಸಬಹುದು?
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,ಡ್ಯಾಶ್‌ಬೋರ್ಡ್‌ಗೆ ಸೈನ್ ಇನ್ ಮಾಡುವ ಮೂಲಕ ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಡ್ಯಾಶ್‌ಬೋರ್ಡ್ ಅನ್ನು ಪ್ರವೇಶಿಸಬಹುದು. 
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard."," ಲಿಂಕ್ ಅನ್ನು ಕ್ಲಿಕ್ ಮಾಡುವುದರ ಮೂಲಕ ಡ್ಯಾಶ್‌ಬೋರ್ಡ್ ಅನ್ನು ಪ್ರವೇಶಿಸಬಹುದು. ರಾಷ್ಟ್ರೀಯ, ರಾಜ್ಯ, ಜಿಲ್ಲೆ, ಯೋಜನೆ ಮತ್ತು ವಲಯ ಮಟ್ಟದಲ್ಲಿ ನಾಮನಿರ್ದೇಶಿತ ನೋಡಲ್ ಮಟ್ಟದ ಅಧಿಕಾರಿಗಳಿಗೆ ಮಾತ್ರ ಡ್ಯಾಶ್‌ಬೋರ್ಡ್ ಪ್ರವೇಶಿಸಲು ಅನನ್ಯ ರುಜುವಾತುಗಳನ್ನು ನೀಡಲಾಗುತ್ತದೆ."
How one can add AWW/AWCs?,ಎಡಬ್ಲ್ಯುಡಬ್ಲ್ಯು / ಎಡಬ್ಲ್ಯುಸಿ ಅನ್ನು ಹೇಗೆ ಸೇರಿಸಬಹುದು?
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,"ಎಡಬ್ಲ್ಯುಡಬ್ಲ್ಯು / ಎಡಬ್ಲ್ಯೂಸಿ ಗಳನ್ನು ನೋಡಲ್ ಮಟ್ಟದ ಅಧಿಕಾರಿ ಮಾತ್ರ ಸೇರಿಸಬಹುದು. ಕ್ರಮಾನುಗತದಲ್ಲಿ ಮೇಲಿನ ಯಾರಾದರೂ ರಾಷ್ಟ್ರಮಟ್ಟದ ಬಳಕೆದಾರರು ರಾಜ್ಯ, ಜಿಲ್ಲೆ, ಯೋಜನೆ ಮತ್ತು ವಲಯ ಮಟ್ಟದ ಬಳಕೆದಾರರನ್ನು ರಚಿಸಬಹುದು. ರಾಜ್ಯ ಮಟ್ಟದ ಬಳಕೆದಾರರು ಜಿಲ್ಲೆ, ಯೋಜನೆ ಮತ್ತು ವಲಯ ಮಟ್ಟದ ಬಳಕೆದಾರರನ್ನು ರಚಿಸಬಹುದು, ಜಿಲ್ಲಾ ಮಟ್ಟದ ಬಳಕೆದಾರರು ಯೋಜನೆ ಮತ್ತು ವಲಯ ಮಟ್ಟದ ಬಳಕೆದಾರರನ್ನು ರಚಿಸಬಹುದು, ಪ್ರಾಜೆಕ್ಟ್ ಮಟ್ಟದ ಬಳಕೆದಾರರು ವಲಯ ಮಟ್ಟದ ಬಳಕೆದಾರರನ್ನು ರಚಿಸಬಹುದು."
How many different types of reports can be generated over Poshan Tracker Dashboard?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಡ್ಯಾಶ್‌ಬೋರ್ಡ್‌ನಲ್ಲಿ ಎಷ್ಟು ವಿಭಿನ್ನ ರೀತಿಯ ವರದಿಗಳನ್ನು ಉತ್ಪಾದಿಸಬಹುದು?
There are various reports that can be generated from,ಹಲವು ವರದಿಗಳನ್ನು ಇದರಿಂದ ಉತ್ಪಾದಿಸಬಹುದು.
General Reports:,ಸಾಮಾನ್ಯ ವರದಿಗಳು:
Number of app  downloads,ಆಪ್ಪ್ ಡೌನ್ಲೋಡ್ಗಳ ಸಂಖ್ಯೆ
Total number of Anganwadi centers registered,ನೋಂದಾಯಿತ ಅಂಗನವಾಡಿ ಕೇಂದ್ರಗಳ ಒಟ್ಟು ಸಂಖ್ಯೆ
Total number of beneficiaries registered (National/state/district/block wise),ನೋಂದಾಯಿತ ಫಲಾನುಭವಿಗಳ ಒಟ್ಟು ಸಂಖ್ಯೆ(ರಾಷ್ಟ್ರ/ರಾಜ್ಯ/ಜಿಲ್ಲಾ/ಬ್ಲಾಕ್ವಾರು)
Total Number of pregnant women registered(National/state/district/block wise),ನೋಂದಾಯಿತ ಗರ್ಭಿಣಿಯರ ಒಟ್ಟು ಸಂಖ್ಯೆ(ರಾಷ್ಟ್ರ/ರಾಜ್ಯ/ಜಿಲ್ಲಾ/ಬ್ಲಾಕ್ವಾರು)
Total Number of  lactating mothers registered(National/state/district/block wise),ನೋಂದಾಯಿತ ಹಾಲುಣಿಸುವ ತಾಯಂದಿರ ಒಟ್ಟು ಸಂಖ್ಯೆ(ರಾಷ್ಟ್ರ/ರಾಜ್ಯ/ಜಿಲ್ಲಾ/ಬ್ಲಾಕ್ವಾರು)
Total Number of children (0-6months) registered(National/state/district/block wise),ನೋಂದಾಯಿತ ಮಕ್ಕಳ(೦ -೬ ತಿಂಗಳು)ಒಟ್ಟು ಸಂಖ್ಯೆ(ರಾಷ್ಟ್ರ/ರಾಜ್ಯ/ಜಿಲ್ಲಾ/ಬ್ಲಾಕ್ವಾರು)
Total Number of children (6months-3years) registered(National/state/district/ block wise),ನೋಂದಾಯಿತ ಮಕ್ಕಳ(೬ ತಿಂಗಳು-೩ ವರ್ಷ) ಒಟ್ಟು ಸಂಖ್ಹ್ಯೆ(ರಾಷ್ಟ್ರ/ರಾಜ್ಯ/ಜಿಲ್ಲಾ/ಬ್ಲಾಕ್ವಾರು)
Total Number of children (3-6years) registered(National/state/district/ block wise),మొత్తం పిల్లల సంఖ్య (೩-೬ సంవత్సరాలు) నమోదు (జాతీయ / రాష్ట్రం / జిల్లా / బ్లాక్ వారీగా)
Maternal and child nutrition:,ತಾಯಿ ಹಾಗು ಮಗುವಿನ ಪೋಷಣೆ:
How many beneficiaries got THR in 21 days, ೨೧ದಿನ ಗಳಲ್ಲ ಟಿ.ಎಚ್.ಆರ್ ಪಡೆದ ಫ಼ಲಾನು್ಭವಿ ಗಳ ಸಂಖ್ಯೆ
How many children breastfed exclusively in the first hour after delivery,ಜನನದ ಮೊದಲ ತಾಸಿನಲ್ಲಿ ಕೇವಲ ತಾಯಿಯ ಹಾಲುಂಡ ಮಕ್ಕಳ ಸಂಖ್ಯೆ
How many lactating mothers are given HCM,ಎಚ್.ಸಿ.ಎಮ್ ಪಡೆದ ಹಾಲುಣಿಸುವ ತಾಯಂದಿರ ಸಂಖ್ಯೆ
Average level of calcium in children aged 3-6 years, ೩-೬ ವಯಸ್ಸಿನ ಮಕ್ಕಳಲ್ಲ ಕ್ಯಾಲ್ಸಿಯಮ್ ಸರಾಸರಿ ಅಂಶ
Average level of iron in children aged 3-6years,೩-೬ ವಯಸ್ಸಿನ ಮಕ್ಕಳಲ್ಲಿ ಕಬ್ಬಿಣದ ಸರಾಸರಿ ಅಂಶ
"Total number of vaccinations administered per month (block, district, state, national level)",ಪ್ರತಿ ತಿಂಗಳು ನೀಡಿದ ವ್ಯಾಕ್ಸಿನೇಶನ್ ನ ಸಂಖ್ಯೆ (ರಾಷ್ಟ್ರ/ರಾಜ್ಯ.ಜಿಲ್ಲಾ/ಬ್ಲಾಕ್ವಾ್ರು)
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent," ಪ್ರತಿ ತಿಂಗಳು ನೀಡಿದ ವ್ಯಾಕ್ಸಿನೇಶನ್ ವಿಶಿಶ್ಟ ರಿಪೋರ್ಟ್(ಬಿ.ಸಿ.ಜಿ, ಒ.ಪಿ.ವಿ, ಹಪಟೈಟಿಸ್ ಬಿ,ರೋಟಾವೈರಸ್/ಪೋ್ಲಿಯೋ/ನ್ಯೂಮೋಕಾಕಲ್/ಪೆಂಟಾವೆಲೆಂಟ್)"
AWC infrastructure:, ಎ.ಡಬ್ಲ್ ಮೂಲಸೌಕರ್ಯ:
"Number of AWCs (block, district, state, national level)"," ಎಡಬ್ಲ್ಯುಸಿ ಗಳ ಸಂಖ್ಯೆ(ಬ್ಲಾಕ್, ಜಿಲ್ಲಾ,ರಾಜ್ಯ,ರಾಷ್ಟ್ರಮಟ್ಟ)"
"Total number of Balvatikas (block district, state, national level)"," ಬಾಲವಾಟಿಕೆಗಳ ಒಟ್ಟು ಸಂಖ್ಯೆ(ಬ್ಲಾಕ್,ಜಿಲ್ಲಾ,ರಾಜ್ಯ,ರಾಷ್ಟ್ರಮಟ್ಟ)"
"Total number of AWCs (block, district, state, national level) with clean drinking water","ಶುದ್ಧ ಕುಡಿಯುವ ನೀರಿರುವ ಒಟ್ಟು ಎಡಬ್ಲ್ಯೂಸಿ ಗಳ ಸಂಖ್ಯೆ (ಬ್ಲಾಕ್, ಜಿಲ್ಲೆ, ರಾಜ್ಯ, ರಾಷ್ಟ್ರಮಟ್ಟ)"
"Total number of AWCs (block, district, state, national level) with working weighing scale","ಕೆಲಸ ಮಾಡುವ ತೂಕದ ಅಳತೆ ತಕ್ಕಡಿ ಇರುವ ಒಟ್ಟು ಎಡಬ್ಲ್ಯೂಸಿ ಗಳ ಸಂಖ್ಯೆ (ಬ್ಲಾಕ್, ಜಿಲ್ಲೆ, ರಾಜ್ಯ, ರಾಷ್ಟ್ರಮಟ್ಟ)"
"Total number of AWCs (block, district, state, national level) with electricity","ವಿದ್ಯುತ್ ಶಕ್ತಿ ಹೊಂದಿರುವ ಒಟ್ಟು ಎಡಬ್ಲ್ಯೂಸಿ ಗಳ ಸಂಖ್ಯೆ (ಬ್ಲಾಕ್, ಜಿಲ್ಲೆ, ರಾಜ್ಯ, ರಾಷ್ಟ್ರಮಟ್ಟ)"
Total number of AWCs that are government owned,ಖಾಸಗಿ ಒಡೆತನದ ಎಡಬ್ಲ್ಯೂಸಿ ಗಳ ಒಟ್ಟು ಸಂಖ್ಯೆ
Total number of AWCs that are privately owned,ಖಾಸಗಿ ಒಡೆತನದ ಎಡಬ್ಲ್ಯೂಸಿ ಗಳ ಒಟ್ಟು ಸಂಖ್ಯೆ
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,support-poshantrackr@gov.in ನಲ್ಲಿ ಇಮೇಲ್‌ಗಳನ್ನು ಕಳುಹಿಸುವ ಮೂಲಕ ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ತಂಡವನ್ನು ಸಂಪರ್ಕಿಸಬಹುದು. ಹ್ಯಾಂಡ್ ಹೋಲ್ಡಿಂಗ್ ಮತ್ತು ಬೆಂಬಲಕ್ಕಾಗಿ ನಾವು ಪ್ರತಿದಿನ ಮಧ್ಯಾಹ್ನ ೩ ರಿಂದ ೫ ರವರೆಗೆ ವಿಡಿಯೋ ಕಾನ್ಫರೆನ್ಸ್ ಮೂಲಕ ಲಭ್ಯವಿದೆ.
What is Poshan Calculator,ಪೌಷ್ಟಿಕಾಂಶ ಕ್ಯಾಲ್ಕುಲೇಟರ್ ಎಂದರೇನು
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,ವಿಶ್ವ ಆರೋಗ್ಯ ಸಂಸ್ಥೆ (WHO) ಮಾನದಂಡಗಳ ಪ್ರಕಾರ ಮಗುವಿನ ವಿವಿಧ ಆರೋಗ್ಯ ಪರಿಸ್ಥಿತಿಗಳನ್ನು ಗುರುತಿಸಲು ನ್ಯೂಟ್ರಿಷನ್ ಕ್ಯಾಲ್ಕುಲೇಟರ್ ಸಹಾಯ ಮಾಡುತ್ತದೆ.
WHO standards are :,WHO ಮಾನದಂಡಗಳು :
Stunting ( Height for Age)- ,ಕುಂಠಿತ (ವಯಸ್ಸಿಗೆ ತಕ್ಕಂತೆ ಎತ್ತರ)- 
0 months to 6 years,0 ತಿಂಗಳಿಂದ 6 ವರ್ಷಗಳವರೆಗೆ
Severely Stunted,ತೀವ್ರವಾಗಿ ಕುಗ್ಗುತ್ತಿದೆ
Moderately stunted,ಸಾಧರಣ ಅಭಿವೃದ್ಧಿ ಹೊಂದಿಲ್ಲ
Normal,ಸಾಮಾನ್ಯ
Underweight (Weight for Age)- ,ಕಡಿಮೆ ತೂಕ (ವಯಸ್ಸಿಗೆ ತಕ್ಕಂತೆ  ತೂಕ) - 
Severely Underweight,ತೀವ್ರವಾಗಿ ಕಡಿಮೆ ತೂಕ
Moderately Underweight,ಸಾಧಾರಣವಾಗಿ ಕಡಿಮೆ ತೂಕ
Wasting (Weight for Height)- ,ವೆಸ್ಟಿಂಗ್ (ಎತ್ತರಕ್ಕೆ ತಕ್ಕಂತೆ  ತೂಕ)- 
0 months to 5 years,0 ತಿಂಗಳಿಂದ 5 ವರ್ಷಗಳವರೆಗೆ
Severely Wasted (SAM),ತೀವ್ರ ಅಪೌಷ್ಠಿಕತೆ (SAM)
Moderately Wasted (MAM),ಸಾಧಾರಣ  ಅಪೌಷ್ಠಿಕತೆ (MAM)
Overweight,ಅಧಿಕ ತೂಕ
Obese,ಬೊಜ್ಜು
Above standards are defined as per given above mentioned age brackets,ಮೇಲಿನ ಮಾನದಂಡಗಳನ್ನು ಮೇಲೆ ನೀಡಲಾದ ವಯಸ್ಸಿನ ಪ್ರಕಾರವಾಗಿ ವ್ಯಾಖ್ಯಾನಿಸಲಾಗಿದೆ
About Reference tables,ಉಲ್ಲೇಖ ಕೋಷ್ಟಕಗಳ ಬಗ್ಗೆ
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,WHO ಮಲ್ಟಿಸೆಂಟರ್ ಗ್ರೋತ್ ರೆಫರೆನ್ಸ್ ಸ್ಟಡಿ (MGRS) ಅನ್ನು 1997 ಮತ್ತು 2003 ರ ನಡುವೆ ವಿಶ್ವದಾದ್ಯಂತ ಶಿಶುಗಳು ಮತ್ತು ಚಿಕ್ಕ ಮಕ್ಕಳ ಬೆಳವಣಿಗೆ ಮತ್ತು ಬೆಳವಣಿಗೆಯನ್ನು ನಿರ್ಣಯಿಸಲು ಹೊಸ ಬೆಳವಣಿಗೆಯ ವಕ್ರಾಕೃತಿಗಳನ್ನು ಉತ್ಪಾದಿಸಲು ನಡೆಸಲಾಯಿತು.
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA).","MGRS ವಿವಿಧ ಜನಾಂಗೀಯ ಹಿನ್ನೆಲೆಗಳು ಮತ್ತು ಸಾಂಸ್ಕೃತಿಕ ಸೆಟ್ಟಿಂಗ್‌ಗಳಿಂದ (ಬ್ರೆಜಿಲ್, ಘಾನಾ, ಭಾರತ, ನಾರ್ವೆ, ಓಮನ್ ಮತ್ತು USA) ಸುಮಾರು 8500 ಮಕ್ಕಳಿಂದ ಪ್ರಾಥಮಿಕ ಬೆಳವಣಿಗೆಯ ಡೇಟಾ ಮತ್ತು ಸಂಬಂಧಿತ ಮಾಹಿತಿಯನ್ನು ಸಂಗ್ರಹಿಸಿದೆ."
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development.,"ಹೊಸ ಬೆಳವಣಿಗೆಯ ವಕ್ರಾಕೃತಿಗಳು ಒಂದೇ ಅಂತರಾಷ್ಟ್ರೀಯ ಮಾನದಂಡವನ್ನು ಒದಗಿಸುವ ನಿರೀಕ್ಷೆಯಿದೆ, ಅದು ಹುಟ್ಟಿನಿಂದ ಐದು ವರ್ಷಗಳವರೆಗೆ ಎಲ್ಲಾ ಮಕ್ಕಳಿಗೆ ದೈಹಿಕ ಬೆಳವಣಿಗೆಯ ಅತ್ಯುತ್ತಮ ವಿವರಣೆಯನ್ನು ಪ್ರತಿನಿಧಿಸುತ್ತದೆ ಮತ್ತು ಬೆಳವಣಿಗೆ ಮತ್ತು ಅಭಿವೃದ್ಧಿಗೆ ರೋಲ್ ಮಾಡೆಲ್ ಆಗಿ ಎದೆಹಾಲು ಸೇವಿಸುವ  ಶಿಶುವನ್ನು ಪ್ರತಿನಿಧಿಸುತ್ತದೆ."
How to revive your Health?,ನಿಮ್ಮ ಆರೋಗ್ಯವನ್ನು ಪುನರುಜ್ಜೀವನಗೊಳಿಸುವುದು ಹೇಗೆ?
How to revive your health if you are Severely Wasted (SAM),ನೀವು ತೀವ್ರ ಕಡಿಮೆ ತೂಕ ಹೊಂದಿದ್ದರೆ ನಿಮ್ಮ ಆರೋಗ್ಯವನ್ನು ಹೇಗೆ ಪುನರುತ್ಪಾದಿಸುವುದು (SAM)
How to revive your health if you are Moderately Wasted (MAM),ನೀವು ಮಧ್ಯಮವಾಗಿ ತೂಕ ಹೊಂದಿದ್ದರೆ ನಿಮ್ಮ ಆರೋಗ್ಯವನ್ನು ಹೇಗೆ ಪುನರುತ್ಪಾದಿಸುವುದು (MAM)
How to revive your health if you are Underweight,ನೀವು ಕಡಿಮೆ ತೂಕ ಹೊಂದಿದ್ದರೆ ನಿಮ್ಮ ಆರೋಗ್ಯವನ್ನು ಹೇಗೆ ಪುನರುಜ್ಜೀವನಗೊಳಿಸುವುದು
Check Ticket Status,ಟಿಕೆಟ್ ಸ್ಥಿತಿಯನ್ನು ಪರಿಶೀಲಿಸಿ
Please provide your mobile number and a ticket number.,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಮೊಬೈಲ್ ಸಂಖ್ಯೆ ಮತ್ತು ಟಿಕೆಟ್ ಸಂಖ್ಯೆಯನ್ನು ಒದಗಿಸಿ.
Mobile ,ಮೊಬೈಲ್ 
Ticket Number ,ಟಿಕೆಟ್ ಸಂಖ್ಯೆ 
"If this is your first time contacting us or you've lost the ticket number, please ","ನೀವು ಮೊದಲ ಬಾರಿಗೆ ನಮ್ಮನ್ನು ಸಂಪರ್ಕಿಸುತ್ತಿದ್ದರೆ ಅಥವಾ ನೀವು ಟಿಕೆಟ್ ಸಂಖ್ಯೆಯನ್ನು ಕಳೆದುಕೊಂಡಿದ್ದರೆ, ದಯವಿಟ್ಟು "
open a new ticket,ಹೊಸ ಟಿಕೆಟ್ ತೆರೆಯಿರಿ
How to contact Poshan Tracker Team?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ತಂಡವನ್ನು ಹೇಗೆ ಸಂಪರ್ಕಿಸುವುದು?
Welcome! The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at ,ಸ್ವಾಗತ! ಕೆಳಗೆ ನೀಡಲಾದ ಲಿಂಕ್ 
", and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”)."," ಮತ್ತು ಇದಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ಎಲ್ಲ ಸೈಟ್ಗಳು, ಅವುಗಳ ಅಂಗಸಂಸ್ಥೆಗಳಲ್ಲಿ ನಿಮ್ಮ ಪೋಷನ್ ಟ್ರಾಕರ್ ಸಿಸ್ಟಮ್ ಕೆಳಕಂಡ ಸೇವಾ ನಿಯಮಗಳಿಗೆ ಒಳಪಟ್ಟಿರುತ್ತದೆ (ಒಟ್ಟಾರೆಯಾಗಿ, ""ಸೈಟ್"")."
I. OWNERSHIP,I. ಮಾಲೀಕತ್ವ
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","ಸೈಟ್ ಮತ್ತು ಎಲ್ಲಾ ಡೇಟಾ, ಪಠ್ಯ, ವಿನ್ಯಾಸಗಳು, ಪುಟಗಳು, ಮುದ್ರಣ ಪರದೆಗಳು, ಚಿತ್ರಗಳು, ಕಲಾಕೃತಿಗಳು, ಛಾಯಾಚಿತ್ರಗಳು, ಆಡಿಯೊ ಮತ್ತು ವೀಡಿಯೊ ಕ್ಲಿಪ್‌ಗಳು, HTML ಕೋಡ್, ಮೂಲ ಕೋಡ್, ಅಥವಾ ಸೈಟ್‌ನಲ್ಲಿ ಇರುವ ಅಥವಾ ವೀಕ್ಷಿಸಬಹುದಾದ ಅಥವಾ ಹುಡುಕಬಹುದಾದ ಸಾಫ್ಟ್‌ವೇರ್, ಮತ್ತು ಸೈಟ್ ಮೂಲಕ ಬುಕ್ ಮಾಡಲಾದ ಎಲ್ಲಾ ಭಾಗಿದಾರರು (ಒಟ್ಟಾರೆಯಾಗಿ, ""ಪರಿವಿಡಿ"" ಎಂದು ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ) ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ ಸಚಿವಾಲಯ ಮತ್ತು ಅವರ ಅಧಿಕೃತ ಸೇವಾ ಪೂರೈಕೆದಾರರ ಒಡೆತನದಲ್ಲಿದೆ."
II. CONSENT,II. ಒಪ್ಪಿಗೆ
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms. By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","ಈ ನಿಯಮಗಳು ನಮ್ಮ ಗೌಪ್ಯತಾ ನೀತಿ, ಓಪನ್ API ನೀತಿ ಮತ್ತು ಸೈಟ್‌ನಲ್ಲಿನ ವಿಶೇಷ ಕೊಡುಗೆಗಳು ಅಥವಾ ವೈಶಿಷ್ಟ್ಯಗಳಿಗೆ ಅನ್ವಯಿಸಬಹುದಾದ ಯಾವುದೇ ಇತರ ನೀತಿಗಳು, ನಿಯಮಗಳು ಅಥವಾ ಮಾರ್ಗಸೂಚಿಗಳನ್ನು ಒಳಗೊಂಡಿವೆ. ಸೈಟ್‌ಗೆ ಭೇಟಿ ನೀಡುವ ಮೂಲಕ ಅಥವಾ ಬಳಸುವ ಮೂಲಕ, ಕಾಲಕಾಲಕ್ಕೆ ನವೀಕರಿಸಿದ ಈ ನಿಯಮಗಳನ್ನು ನೀವು ಸ್ಪಷ್ಟವಾಗಿ ಒಪ್ಪುತ್ತೀರಿ."
"If you do not agree with any part of these terms, do not use the site. You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.","ಈ ನಿಯಮಗಳ ಯಾವುದೇ ಭಾಗವನ್ನು ನೀವು ಒಪ್ಪದಿದ್ದರೆ, ಸೈಟ್ ಅನ್ನು ಬಳಸಬೇಡಿ. ಬೈಂಡಿಂಗ್ ಒಪ್ಪಂದವನ್ನು ರೂಪಿಸಲು ನೀವು ಕಾನೂನುಬದ್ಧ ವಯಸ್ಸನ್ನು ಹೊಂದಿಲ್ಲದಿದ್ದರೆ, ನೀವು ಯಾವುದೇ ರೀತಿಯಲ್ಲಿ ಸೈಟ್ ಅನ್ನು ಬಳಸಬಾರದು ಮತ್ತು ನಿಯಮಗಳನ್ನು ಒಪ್ಪಿಕೊಳ್ಳಬಾರದು."
