en,pa
Assamese,ਓਡੀਆ
Nepali,ਅਸਾਮੀ
Dogri,Nepali
Konkani,Dogri
Sindhi,Konkani
Bodo,Sindhi
Maithili,Bodo
Manipuri,Maithili
Santhali,Manipuri
Urdu,Santhali
Kashmiri,Urdu
In how many languages AWW can enter the data while filling up the form?,Kashmiri
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,ਫਾਰਮ ਭਰਨ ਵੇਲੇ ਕਿੰਨੀ ਭਾਸ਼ਾਵਾਂ ਵਿੱਚ ਏਡਬਲਯੂਡਬਲਯੂ ਜਾਂ ਏਡਬਲਯੂਸੀ ਡੇਟਾ ਦਾਖਲ ਕਰ ਸਕਦਾ ਹੈ?
How many different forms are there in Poshan Tracker App?,ਏਡਬਲਯੂਡਬਲਯੂ ਸਿਰਫ ਅੰਗ੍ਰੇਜ਼ੀ ਭਾਸ਼ਾ ਵਿਚ ਫਾਰਮ ਭਰ ਸਕਦਾ ਹੈ|
There are 7 different types of forms for beneficiaries. This includes:,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਵਿਚ ਕਿੰਨੇ ਵੱਖਰੇ ਰੂਪ ਹਨ?
Lactating mother,ਲਾਭਪਾਤਰੀਆਂ ਲਈ ਇੱਥੇ 7 ਵੱਖ-ਵੱਖ ਕਿਸਮਾਂ ਦੇ ਫਾਰਮ ਹਨ. ਇਸ ਵਿੱਚ ਸ਼ਾਮਲ ਹਨ:
Pregnant women,ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀ ਮਾਂ
Child 0-6 Months,ਗਰਭਵਤੀ ਰਤਾਂ
Child 6 Months to 3 Years,ਬੱਚਾ 0-6 ਮਹੀਨੇ
Child  3 Years to 6 Years,ਬੱਚਾ 6 ਮਹੀਨੇ ਤੋਂ 3 ਸਾਲ
Adolescent Girls (11 Years-19 Years),ਬਾਲ 3 ਸਾਲ ਤੋਂ 6 ਸਾਲ
What information to be added in AWC forms?,ਕਿਸ਼ੋਰ ਲੜਕੀਆਂ (11 ਸਾਲ-19 ਸਾਲ)
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.",ਏਡਬਲਯੂਸੀ ਦੇ ਰੂਪਾਂ ਵਿਚ ਕਿਹੜੀ ਜਾਣਕਾਰੀ ਸ਼ਾਮਲ ਕੀਤੀ ਜਾਣੀ ਚਾਹੀਦੀ ਹੈ?
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,"ਏਡਬਲਯੂਡਬਲਯੂ ਨੂੰ ਇੱਕ ਖਾਸ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰ ਵਿੱਚ ਮੌਜੂਦ ਬੁਨਿਆਦੀ ਢਾਂਚੇ ਨਾਲ ਸਬੰਧਤ ਵੇਰਵੇ ਦਰਜ ਕਰਨ ਦੀ ਲੋੜ ਹੁੰਦੀ ਹੈ| ਇਸ ਵਿੱਚ ਢਾਂਚਾ , ਮੁੱਢਲੀਆਂ ਸਹੂਲਤਾਂ, ਸਹੂਲਤਾਂ, ਰੋਗਾਣੂ-ਮੁਕਤ, ਪੀਣ ਵਾਲੇ ਪਾਣੀ ਆਦਿ ਸ਼ਾਮਲ ਹਨ|"
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,ਜੇ ਉਹ ਆਪਣੇ ਮੋਬਾਈਲ ਨੰਬਰਾਂ ਦੁਆਰਾ ਰਜਿਸਟਰ ਨਹੀਂ ਕਰ ਪਾਉਂਦੇ ਤਾਂ ਏਡਬਲਯੂਡਬਲਯੂ ਐਪ ਤੇ ਕਿਵੇਂ ਸਾਈਨ ਅਪ ਕਰ ਸਕਦਾ ਹੈ?
Their mobile number is not present in the data provided by the states to the MoWCD,ਜੇ ਏਡਬਲਯੂਡਬਲਯੂ ਆਪਣੇ ਆਪ ਨੂੰ ਰਜਿਸਟਰ ਕਰਨ ਵਿਚ ਅਸਫਲ ਰਿਹਾ ਹੈ ਤਾਂ ਇਸ ਦੀਆਂ 2 ਸੰਭਾਵਨਾਵਾਂ ਹੋ ਸਕਦੀਆਂ ਹਨ: 
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,ਉਹਨਾਂ ਦਾ ਮੋਬਾਈਲ ਨੰਬਰ ਰਾਜਾਂ ਦੁਆਰਾ ਮੁਹੱਈਆ ਕਰਵਾਏ ਗਏ ਅੰਕੜਿਆਂ ਵਿਚ ਮੌਜੂਦ ਨਹੀਂ ਹੈ ਐਮਓਡਬਲਯੂਸੀਡੀ|
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,ਉਹ ਪ੍ਰਣਾਲੀ ਵਿਚ ਨਵੇਂ ਸ਼ਾਮਲ ਕੀਤੇ ਗਏ ਹਨ ਅਤੇ ਉਨ੍ਹਾਂ ਦਾ ਮੋਬਾਈਲ ਨੰਬਰ ਅਜੇ ਤੱਕ ਐਮਓਡਬਲਯੂਸੀਡੀ ਨੂੰ ਰਾਜ ਸੈੱਲ ਦੁਆਰਾ ਪ੍ਰਦਾਨ ਨਹੀਂ ਕੀਤਾ ਗਿਆ ਹੈ|
How can one access Poshan Tracker Dashboard?,ਉਪਰੋਕਤ ਦੋਵੇਂ ਮਾਮਲਿਆਂ ਵਿੱਚ ਰਾਜ ਦੇ ਨੋਡਲ ਅਫਸਰਾਂ ਨੂੰ ਏਡਬਲਯੂਡਬਲਯੂ ਨੂੰ ਸ਼ਾਮਲ / ਸੰਪਾਦਿਤ / ਕਿਰਿਆਸ਼ੀਲ / ਅਯੋਗ ਕਰਨ ਦਾ ਅਧਿਕਾਰ ਦਿੱਤਾ ਗਿਆ ਹੈ|
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,ਇੱਕ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਡੈਸ਼ਬੋਰਡ ਤੱਕ ਕਿਵੇਂ ਪਹੁੰਚ ਸਕਦਾ ਹੈ?
https://poshantracker.in/admin,ਡੈਸ਼ਬੋਰਡ ਤੇ ਸਾਈਨ ਕਰਕੇ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਡੈਸ਼ਬੋਰਡ ਤੱਕ ਪਹੁੰਚ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ. 
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.", https://poshantracker.in/admin 
How one can add AWW/AWCs?," ਲਿੰਕ ਤੇ ਕਲਿਕ ਕਰਕੇ ਡੈਸ਼ਬੋਰਡ ਤੱਕ ਪਹੁੰਚ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ, ਸਿਰਫ ਨੈਸ਼ਨਲ ਵਿਖੇ ਨਾਮਜ਼ਦ ਨੋਡਲ ਪੱਧਰ ਦੇ ਅਧਿਕਾਰੀ, ਰਾਜ, ਜ਼ਿਲ੍ਹਾ, ਪ੍ਰਾਜੈਕਟ ਅਤੇ ਸੈਕਟਰ ਪੱਧਰ ਡੈਸ਼ਬੋਰਡ ਤੇ ਪਹੁੰਚਣ ਲਈ ਵਿਲੱਖਣ ਪ੍ਰਮਾਣ ਪੱਤਰ ਪ੍ਰਦਾਨ ਕੀਤੇ ਜਾਂਦੇ ਹਨ|"
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,ਕੋਈ ਕਿਵੇਂ ਏਡਬਲਯੂਡਬਲਯੂ / ਏਡਬਲਯੂਸੀ ਜੋੜ ਸਕਦਾ ਹੈ?
How many different types of reports can be generated over Poshan Tracker Dashboard?,"ਏਡਬਲਯੂਡਬਲਯੂ / ਏਡਬਲਯੂਸੀ ਸਿਰਫ ਨੋਡਲ ਪੱਧਰ ਦੇ ਅਧਿਕਾਰੀ ਦੁਆਰਾ ਸ਼ਾਮਲ ਕੀਤੇ ਜਾ ਸਕਦੇ ਹਨ| ਉਪਰੋਕਤ ਪੜਾਅ ਵਿਚ ਕੋਈ ਵੀ ਜਿਵੇਂ ਕਿ ਰਾਸ਼ਟਰੀ ਪੱਧਰ ਤੇ ਉਪਭੋਗਤਾ ਰਾਜ, ਜ਼ਿਲ੍ਹਾ, ਪ੍ਰਾਜੈਕਟ ਅਤੇ ਸੈਕਟਰ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਬਣਾ ਸਕਦਾ ਹੈ| ਰਾਜ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਜ਼ਿਲ੍ਹਾ, ਪ੍ਰਾਜੈਕਟ ਅਤੇ ਸੈਕਟਰ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਬਣਾ ਸਕਦਾ ਹੈ, ਜ਼ਿਲ੍ਹਾ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਪ੍ਰੋਜੈਕਟ ਅਤੇ ਸੈਕਟਰ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਬਣਾ ਸਕਦਾ ਹੈ, ਪ੍ਰੋਜੈਕਟ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਸੈਕਟਰ ਪੱਧਰ ਦਾ ਉਪਭੋਗਤਾ ਬਣਾ ਸਕਦਾ ਹੈ|"
There are various reports that can be generated from,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਡੈਸ਼ਬੋਰਡ ਤੇ ਕਿੰਨੀਆਂ ਵੱਖਰੀਆਂ ਕਿਸਮਾਂ ਦੀਆਂ ਰਿਪੋਰਟਾਂ ਤਿਆਰ ਕੀਤੀਆਂ ਜਾ ਸਕਦੀਆਂ ਹਨ?
General Reports:, ਇੱਥੇ ਕਈ ਰਿਪੋਰਟਾਂ ਹਨ ਜੋ 
Number of app  downloads, ਆਮ ਰਿਪੋਰਟਾਂ ਤੋਂ ਤਿਆਰ ਕੀਤੀਆਂ ਜਾ ਸਕਦੀਆਂ ਹਨ:
Total number of Anganwadi centers registered,ਐਪ ਡਾਉਨਲੋਡ ਦੀ ਗਿਣਤੀ
Total number of beneficiaries registered (National/state/district/block wise),ਰਜਿਸਟਰਡ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰਾਂ ਦੀ ਕੁੱਲ ਗਿਣਤੀ
Total Number of pregnant women registered(National/state/district/block wise),ਰਜਿਸਟਰਡ ਲਾਭਪਾਤਰੀਆਂ ਦੀ ਕੁੱਲ ਸੰਖਿਆ (ਰਾਸ਼ਟਰੀ / ਰਾਜ / ਜ਼ਿਲ੍ਹਾ / ਬਲਾਕ ਵਾਈਸ)
Total Number of  lactating mothers registered(National/state/district/block wise),ਰਜਿਸਟਰਡ ਗਰਭਵਤੀ ਰਤਾਂ ਦੀ ਕੁੱਲ ਸੰਖਿਆ (ਰਾਸ਼ਟਰੀ / ਰਾਜ / ਜ਼ਿਲ੍ਹਾ / ਬਲਾਕ ਵਾਰ)
Total Number of children (0-6months) registered(National/state/district/block wise),ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਦੀ ਕੁੱਲ ਗਿਣਤੀ (ਰਾਸ਼ਟਰੀ / ਰਾਜ / ਜ਼ਿਲ੍ਹਾ / ਬਲਾਕ-ਵਾਰ)
Total Number of children (6months-3years) registered(National/state/district/ block wise),ਰਜਿਸਟਰਡ ਬੱਚਿਆਂ (ਰਾਸ਼ਟਰੀ / ਰਾਜ / ਜ਼ਿਲ੍ਹਾ / ਬਲਾਕ ਵਾਰ) ਦੀ ਕੁੱਲ ਗਿਣਤੀ (0-6 ਮਈ)
Total Number of children (3-6years) registered(National/state/district/ block wise),ਰਜਿਸਟਰਡ ਬੱਚਿਆਂ (6 ਮਹੀਨਿਆਂ -3 ਸਾਲ) ਦੀ ਕੁੱਲ ਗਿਣਤੀ (ਰਾਸ਼ਟਰੀ / ਰਾਜ / ਜ਼ਿਲ੍ਹਾ / ਬਲਾਕवार)
Maternal and child nutrition:,ਰਜਿਸਟਰਡ ਬੱਚਿਆਂ (ਕੁੱਲ 3-6 ਸਾਲ) ਦੀ ਕੁੱਲ ਗਿਣਤੀ (ਰਾਸ਼ਟਰੀ / ਰਾਜ / ਜ਼ਿਲ੍ਹਾ / ਬਲਾਕ ਵਾਈਸ)
How many beneficiaries got THR in 21 days,ਮਾਂ ਅਤੇ ਬੱਚੇ ਦੀ ਪੋਸ਼ਣ:
How many children breastfed exclusively in the first hour after delivery,ਕਿੰਨੇ ਲਾਭਪਾਤਰੀਆਂ ਨੂੰ 21 ਦਿਨਾਂ ਵਿੱਚ THR ਮਿਲਿਆ
How many lactating mothers are given HCM,ਕਿੰਨੇ ਬੱਚੇ ਦੁੱਧ ਚੁੰਘਾਉਂਦੇ ਹਨ ਸਪੁਰਦਗੀ ਦੇ ਬਾਅਦ ਪਹਿਲੇ ਘੰਟੇ ਵਿੱਚ ਹੀ ਸਪੁਰਦਗੀ ਦੇ ਅੱਧੇ ਘੰਟੇ ਬਾਅਦ
Average level of calcium in children aged 3-6 years,3-6 ਸਾਲ ਦੀ ਉਮਰ ਦੇ ਬੱਚਿਆਂ ਵਿੱਚ ਕੈਲਸ਼ੀਅਮ ਦਾ ਪੱਧਰ
Average level of iron in children aged 3-6years,3-6 ਸਾਲ ਦੀ ਉਮਰ ਦੇ ਬੱਚਿਆਂ ਵਿੱਚ ਆਇਰਨ ਦਾ ਪੱਧਰ
"Total number of vaccinations administered per month (block, district, state, national level)","ਟੀਕੇ ਲਗਾਉਣ ਦੀ ਕੁੱਲ ਸੰਖਿਆ ਪ੍ਰਤੀ ਮਹੀਨਾ ਪ੍ਰਬੰਧਿਤ ਕੀਤਾ ਜਾਂਦਾ ਹੈ (ਬਲਾਕ, ਜ਼ਿਲ੍ਹਾ, ਰਾਜ, ਰਾਸ਼ਟਰੀ ਪੱਧਰ)"
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,ਪ੍ਰਤੀ ਮਹੀਨਾ ਵੈਕਸੀਨੇਸ਼ਨਾਂ ਦੀ ਖਾਸ ਰਿਪੋਰਟ (ਬੀ.ਸੀ.ਜੀ. / ਓਪੀਵੀ / ਹੈਪੇਟਾਈਟਸ ਬੀ / ਰੋਟਾਵਾਇਰਸ / ਪੋਲੀਓ / ਨਿਮੋਕੋਕਲ / ਪੈਂਟਾਵੇਲੈਂਟ)
AWC infrastructure:,ਏਡਬਲਯੂਸੀ ਬੁਨਿਆਦੀ ਢਾਂਚਾ:
"Number of AWCs (block, district, state, national level)","ਏਡਬਲਯੂਸੀ ਦੀ ਗਿਣਤੀ (ਬਲਾਕ, ਜ਼ਿਲ੍ਹਾ, ਰਾਜ, ਰਾਸ਼ਟਰੀ ਪੱਧਰ)"
"Total number of Balvatikas (block district, state, national level)","ਬਾਲਵਤੀਕਾਂ ਦੀ ਕੁੱਲ ਗਿਣਤੀ (ਬਲਾਕ ਜ਼ਿਲ੍ਹਾ, ਰਾਜ, ਰਾਸ਼ਟਰੀ ਪੱਧਰ)"
"Total number of AWCs (block, district, state, national level) with clean drinking water","ਪੀਣ ਵਾਲੇ ਸਾਫ ਪਾਣੀ ਨਾਲ ਏਡਬਲਯੂਸੀ ਦੀ ਕੁੱਲ ਸੰਖਿਆ (ਬਲਾਕ, ਜ਼ਿਲ੍ਹਾ, ਰਾਜ, ਰਾਸ਼ਟਰੀ ਪੱਧਰ)"
"Total number of AWCs (block, district, state, national level) with working weighing scale","ਕੰਮ ਦੇ ਤੋਲ ਦੇ ਮਾਪ ਨਾਲ ਏਡਬਲਯੂਸੀ (ਬਲਾਕ, ਜ਼ਿਲ੍ਹਾ, ਰਾਜ, ਰਾਸ਼ਟਰੀ ਪੱਧਰ) ਦੀ ਕੁੱਲ ਗਿਣਤੀ"
"Total number of AWCs (block, district, state, national level) with electricity","ਬਿਜਲੀ ਦੇ ਨਾਲ ਏਡਬਲਯੂਸੀ ਦੀ ਕੁੱਲ ਗਿਣਤੀ (ਬਲਾਕ, ਜ਼ਿਲ੍ਹਾ, ਰਾਜ, ਰਾਸ਼ਟਰੀ ਪੱਧਰ)"
Total number of AWCs that are government owned,ਸਰਕਾਰੀ ਮਾਲਕੀ ਵਾਲੀਆਂ ਏਡਬਲਯੂਸੀ ਦੀ ਕੁੱਲ ਸੰਖਿਆ
Total number of AWCs that are privately owned,ਏਡਬਲਯੂਸੀ ਦੀ ਕੁੱਲ ਸੰਖਿਆ ਜੋ ਨਿੱਜੀ ਤੌਰ ਤੇ ਮਲਕੀਅਤ ਹਨ
How to contact Poshan Tracker Team?,ਪੋਸ਼ਨ ਟਰੈਕਰ ਟੀਮ ਨਾਲ ਸੰਪਰਕ ਕਿਵੇਂ ਕਰੀਏ?
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,support-poshantrackr@gov.in 'ਤੇ ਈਮੇਲ ਭੇਜ ਕੇ ਪੋਸ਼ਨ ਟਰੈਕਰ ਟੀਮ ਨਾਲ ਸੰਪਰਕ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ। ਹੈਂਡਹੋਲਡਿੰਗ ਅਤੇ ਸਹਾਇਤਾ ਲਈ ਅਸੀਂ ਹਰ ਰੋਜ਼ ਸ਼ਾਮ 4:15 ਵਜੇ ਤੋਂ ਸ਼ਾਮ 5:15 ਵਜੇ ਤੱਕ ਵੀਡੀਓ ਕਾਨਫਰੰਸ 'ਤੇ ਵੀ ਉਪਲਬਧ ਹਾਂ।
Can a beneficiary register directly using application.,ਕੀ ਕੋਈ ਲਾਭਪਾਤਰੀ ਐਪਲੀਕੇਸ਼ਨ ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਸਿੱਧਾ ਰਜਿਸਟਰ ਕਰ ਸਕਦਾ ਹੈ।
Currently a beneficiary can register by the help of an AWW,ਵਰਤਮਾਨ ਵਿੱਚ ਇੱਕ ਲਾਭਪਾਤਰੀ ਆਂਗਨਵਾੜੀ ਵਰਕਰ ਦੀ ਮਦਦ ਨਾਲ ਰਜਿਸਟਰ ਕਰ ਸਕਦਾ ਹੈ
Who is a beneficiary?,ਲਾਭਪਾਤਰੀ ਕੌਣ ਹੈ?
There are 6 categories for beneficiaries,ਲਾਭਪਾਤਰੀਆਂ ਲਈ 6 ਸ਼੍ਰੇਣੀਆਂ ਹਨ
Pregnant Women,ਗਰਭਵਤੀ ਔਰਤਾਂ
Lactating Mother,ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀ ਮਾਂ
Children from 0 to 6 months,0 ਤੋਂ 6 ਮਹੀਨੇ ਤੱਕ ਦੇ ਬੱਚੇ
Children from 6 months to 3 years,6 ਮਹੀਨਿਆਂ ਤੋਂ 3 ਸਾਲ ਤੱਕ ਦੇ ਬੱਚੇ
Children from 3 years to 6 years,3 ਸਾਲ ਤੋਂ 6 ਸਾਲ ਤੱਕ ਦੇ ਬੱਚੇ
Adolescent girls,ਅੱਲ੍ਹੜ ਉਮਰ ਦੀਆਂ ਲੜਕੀਆਂ
Can a beneficiary change his/her AWC?,ਕੀ ਕੋਈ ਲਾਭਪਾਤਰੀ ਆਪਣਾ ਆਂਗਨਵਾੜੀ ਸੈਂਟਰ ਬਦਲ ਸਕਦਾ ਹੈ?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,ਇੱਕ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਇੱਕ ਲਾਭਪਾਤਰੀ ਨੂੰ ਇੱਕ ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ ਤੋਂ ਦੂਜੇ ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ ਵਿੱਚ ਉਹਨਾਂ ਦੇ ਆਧਾਰ ਨੰਬਰ ਦੇ ਆਧਾਰ 'ਤੇ ਮਾਈਗ੍ਰੇਟ ਕਰਨ ਲਈ 'ਮਾਈਗ੍ਰੇਟ ਲਾਭਪਾਤਰੀ' ਵਿਕਲਪ ਦੀ ਵਰਤੋਂ ਕਰ ਸਕਦਾ ਹੈ।
What is the eligibility of a beneficiary?,ਲਾਭਪਾਤਰੀ ਦੀ ਯੋਗਤਾ ਕੀ ਹੈ?
A beneficiary is eligible for THR for at least 21 days in a month.,ਇੱਕ ਲਾਭਪਾਤਰੀ ਇੱਕ ਮਹੀਨੇ ਵਿੱਚ ਘੱਟੋ-ਘੱਟ 21 ਦਿਨਾਂ ਲਈ THR ਲਈ ਯੋਗ ਹੁੰਦਾ ਹੈ।
Who is eligible for Take Home Ration?,ਰਾਸ਼ਨ ਘਰ ਲਿਜਾਣ ਲਈ ਕੌਣ ਯੋਗ ਹੈ?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","ਗਰਭਵਤੀ ਔਰਤਾਂ, ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ, 6 ਮਹੀਨੇ ਤੋਂ 3 ਸਾਲ ਤੱਕ ਦੇ ਬੱਚੇ ਅਤੇ ਅੱਲ੍ਹੜ ਉਮਰ ਦੀਆਂ ਲੜਕੀਆਂ।"
Where can I enquire about take home ration?,ਮੈਂ ਘਰ ਰਾਸ਼ਨ ਲਿਜਾਣ ਬਾਰੇ ਕਿੱਥੇ ਪੁੱਛ ਸਕਦਾ ਹਾਂ?
Please contact your respective Anganwadi worker.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਨਾਲ ਸੰਪਰਕ ਕਰੋ।
Who is eligible for additional supplementary food.,ਕੌਣ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹੈ।
Children who are identified as deficit on nutrition are eligible for additional food supplements.,"ਜਿਹੜੇ ਬੱਚੇ ਪੋਸ਼ਣ ਦੀ ਘਾਟ ਵਜੋਂ ਪਛਾਣੇ ਗਏ ਹਨ, ਉਹ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹਨ।"
What is the eligibility of a beneficiary?,ਲਾਭਪਾਤਰੀ ਦੀ ਯੋਗਤਾ ਕੀ ਹੈ?
A beneficiary is eligible for HCM for at least 21 days in a month.,ਇੱਕ ਲਾਭਪਾਤਰੀ ਇੱਕ ਮਹੀਨੇ ਵਿੱਚ ਘੱਟੋ-ਘੱਟ 21 ਦਿਨਾਂ ਲਈ ਐਚਸੀਐਮ ਲਈ ਯੋਗ ਹੁੰਦਾ ਹੈ।
Who is eligible for Hot Cooked Meal?,ਗਰਮ ਪਕਾਏ ਹੋਏ ਭੋਜਨ ਲਈ ਕੌਣ ਯੋਗ ਹੈ?
Children in the age group of 3 years to 6 years,3 ਸਾਲ ਤੋਂ 6 ਸਾਲ ਦੀ ਉਮਰ ਦੇ ਬੱਚੇ
Where can I enquire about Hot Cooked Meal?,ਮੈਂ ਗਰਮ ਪਕਾਏ ਹੋਏ ਭੋਜਨ ਬਾਰੇ ਕਿੱਥੇ ਪੁੱਛ ਸਕਦਾ ਹਾਂ?
Please contact your respective Anganwadi Centre.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰ ਨਾਲ ਸੰਪਰਕ ਕਰੋ।
Who is eligible for additional supplementary food?,ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਕੌਣ ਯੋਗ ਹੈ?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,"ਜਿਹੜੇ ਬੱਚੇ ਪੋਸ਼ਣ ਦੀ ਘਾਟ ਵਜੋਂ ਪਛਾਣੇ ਗਏ ਹਨ, ਉਹ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹਨ।"
Support,ਸਹਿਯੋਗ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,ਮੋਬਾਈਲ ਐਪ ਡਾਊਨਲੋਡ ਕਰੋ
Powered By,Powered By
About,ਦੇ ਬਾਰੇ
Resources,ਸਰੋਤ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Helpdesk,ਹੈਲਪਡੈਸਕ
FAQ,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ
Poshan Calculator,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ (ਗਣਨ ਯੰਤਰ)
Terms of Service,ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ
Privacy Policy,ਗੋਪਨੀਅਤਾ ਨੀਤੀ
Careers,ਕਰੀਅਰ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA ( ਸਵਾਸਥ ਆਈ ਡੀ)
Language,ਭਾਸ਼ਾ
About,ਦੇ ਬਾਰੇ
Resources,ਸਰੋਤ
Resources,ਸਰੋਤ
Vaccination Schedule,ਟੀਕਾਕਰਨ ਅਨੁਸੂਚੀ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Mission Utkarsh,Mission Utkarsh
Helpdesk,ਹੈਲਪਡੈਸਕ
Beneficiary Redressal,ਲਾਭਪਾਤਰੀ ਨਿਵਾਰਣ
State Helpdesk,ਸਟੇਟ ਹੈਲਪਡੈਸਕ
FAQ,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ
Poshan Calculator,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ (ਗਣਨ ਯੰਤਰ)
Login,ਲਾਗਇਨ
Poshan Calculator,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ (ਗਣਨ ਯੰਤਰ)
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ ਵਿਸ਼ਵ ਸਿਹਤ ਸੰਗਠਨ (ਡਬਲਿਊ ਐਚ ਓ) ਦੁਆਰਾ ਪਰਿਭਾਸ਼ਿਤ ਮਾਪਦੰਡਾਂ ਦੇ ਅਧਾਰ ਤੇ ਬੱਚੇ ਦੇ ਵਿਕਾਸ ਨੂੰ ਮਾਪਣ ਲਈ ਤਿਆਰ ਕੀਤਾ ਗਿਆ ਹੈ।.
How to use Poshan Calculator?,ਪੋਸ਼ਨ ਕੈਲਕੁਲੇਟਰ ਦੀ ਵਰਤੋਂ ਕਿਵੇਂ ਕਰੀਏ?
Select Gender,ਲਿੰਗ ਚੁਣੋ
Enter Date of Birth,ਜਨਮ ਮਿਤੀ ਦਰਜ ਕਰੋ
Enter Height in centimeter,ਸੈਂਟੀਮੀਟਰ ਵਿੱਚ ਉਚਾਈ ਦਰਜ ਕਰੋ
Enter Weight in kilogram,ਕਿਲੋਗ੍ਰਾਮ ਵਿੱਚ ਵਜ਼ਨ ਦਰਜ ਕਰੋ
Click on Show Results,ਨਤੀਜਾ ਦਿਖਾਓ 'ਤੇ ਕਲਿੱਕ ਕਰੋ
Gender ,ਲਿੰਗ 
*,*
Boy,ਮੁੰਡਾ
Girl,ਕੁੜੀ
Date of Birth ,ਜਨਮ ਤਾਰੀਖ 
*,*
Height (CM) ,ਕੱਦ (ਸੈਮੀ) 
*,*
