en,ml
*,*
Select a Beneficiary Category,ഗുണഭോക്താവിന്‍റെ വിഭാഗം തിരഞ്ഞെടുക്കുക
Pregnant Women,ചെയ്ത ഗർഭിണികൾ
Lactating Mothers,മുലയൂട്ടുന്ന അമ്മമാർ
Children (0-6 months),കുട്ടികള്‍ (0-6 മാസം)
Children (6 months - 3 years),കുട്ടികള്‍ (6 മാസം- 3 വയസ്സ്)
Children (3 - 6 years),കുട്ടികള്‍ (3-6 വയസ്സ്)
Adolescent Girls,Adolescent Girls
Query Related to ,ഇതുമായി ബന്ധപ്പെട്ട ചോദ്യം 
*,*
Select Query Related to,ബന്ധപ്പെട്ട ചോദ്യങ്ങള്‍ തിരഞ്ഞെടുക്കുക
AWW/AWC,AWW/AWC
Supervisor,മേല്‍നോട്ടം
Help Topic ,സഹായ വിഷയം 
*,*
Select a Help Topic,Select a Help Topic
Description ,വിവരണം 
*,*
Select a Description,വിവരണം തിരഞ്ഞെടുക്കുക
Name ,പേര് 
*,മൊബൈൽ നമ്പർ 
Mobile Number ,*
Email,ഇമെയിൽ
Having difficulty raising ticket?,ടിക്കറ്റ് ഉയർത്താൻ ബുദ്ധിമുട്ടുന്നു?
Poshan Helpline,Poshan Helpline
14408,14408
Email,ഇമെയിൽ
support-poshantrackr@gov.in,support-poshantrackr@gov.in
By District,ജില്ല തിരിച്ച്
State ,സംസ്ഥാനം 
*,*
Select State,സംസ്ഥാനം തിരഞ്ഞെടുക്കുക
District ,ജില്ല 
*,*
Select District,ജില്ല തിരഞ്ഞെടുക്കുക
Project ,പ്രോജക്ട് 
*,*
Select Project,പ്രോജക്ട് തെരഞ്ഞെടുക്കുക
Sector ,മേഖല 
*,*
Select Sector,മേഖല തിരഞ്ഞെടുക്കുക
Anganwadi Center ,അംഗന്‍വാടി കേന്ദ്രം 
*,*
Select An Anganwadi center,അംഗന്‍വാടി കേന്ദ്രം തെരഞ്ഞെടുക്കുക
Create Ticket,ടിക്കറ്റ് സൃഷ്ടിക്കുക
Reset,പുനസജ്ജമാക്കുക
Support,പിന്തുണ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,മൊബൈൽ ആപ്പ് ഡൗൺലോഡ് ചെയ്യുക
Powered By,Powered By
About,കുറിച്
Resources,വിഭവങ്ങൾ
Dashboard,ഡാഷ്ബോർഡ്
Helpdesk,ഹെൽപ്പ് ഡെസ്ക്
FAQ,പതിവുചോദ്യങ്ങൾ
Poshan Calculator,പോഷൻ കാൽക്കുലേറ്റർ
Terms of Service,സേവന നിബന്ധനകൾ
Privacy Policy,സ്വകാര്യതാനയം
Careers,തൊഴിലവസരങ്ങൾ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (ഹെൽത്ത് ഐഡി)
Language,ഭാഷ
About,കുറിച്
Resources,വിഭവങ്ങൾ
Resources,വിഭവങ്ങൾ
Vaccination Schedule,വാക്സിനേഷൻ ഷെഡ്യൂൾ
Dashboard,ഡാഷ്ബോർഡ്
Dashboard,ഡാഷ്ബോർഡ്
Mission Utkarsh,Mission Utkarsh
Helpdesk,ഹെൽപ്പ് ഡെസ്ക്
Beneficiary Redressal,ഗുണഭോക്താക്കളുടെ പരിഹാരം
State Helpdesk,സംസ്ഥാന സഹായകേന്ദ്രം
FAQ,പതിവുചോദ്യങ്ങൾ
Poshan Calculator,പോഷൻ കാൽക്കുലേറ്റർ
Login,ലോഗിൻ
OPEN A NEW TICKET,ഒരു പുതിയ ടിക്കറ്റ് തുറക്കുക
CHECK TICKET STATUS,ടിക്കറ്റ് സ്റ്റാറ്റസ് പരിശോധിക്കുക
Check Ticket Status,ടിക്കറ്റ് സ്റ്റാറ്റസ് പരിശോധിക്കുക
Please provide your mobile number and a ticket number.,നിങ്ങളുടെ മൊബൈൽ നമ്പറും ടിക്കറ്റ് നമ്പറും നൽകുക.
Mobile ,മൊബൈല്‍ 
*,ടിക്കറ്റ് നമ്പർ 
Ticket Number ,*
View Ticket,ടിക്കറ്റ് കാണുക
"If this is your first time contacting us or you've lost the ticket number, please ","If this is your first time contacting us or you've lost the ticket number, please "
open a new ticket,open a new ticket
Support,പിന്തുണ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,മൊബൈൽ ആപ്പ് ഡൗൺലോഡ് ചെയ്യുക
Powered By,Powered By
About,കുറിച്
Resources,വിഭവങ്ങൾ
Dashboard,ഡാഷ്ബോർഡ്
Helpdesk,ഹെൽപ്പ് ഡെസ്ക്
FAQ,പതിവുചോദ്യങ്ങൾ
Poshan Calculator,പോഷൻ കാൽക്കുലേറ്റർ
Terms of Service,സേവന നിബന്ധനകൾ
Privacy Policy,സ്വകാര്യതാനയം
Careers,തൊഴിലവസരങ്ങൾ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (ഹെൽത്ത് ഐഡി)
Language,ഭാഷ
About,കുറിച്
Resources,വിഭവങ്ങൾ
Resources,വിഭവങ്ങൾ
Vaccination Schedule,വാക്സിനേഷൻ ഷെഡ്യൂൾ
Dashboard,ഡാഷ്ബോർഡ്
Dashboard,ഡാഷ്ബോർഡ്
Mission Utkarsh,Mission Utkarsh
Helpdesk,ഹെൽപ്പ് ഡെസ്ക്
Beneficiary Redressal,ഗുണഭോക്താക്കളുടെ പരിഹാരം
State Helpdesk,സംസ്ഥാന സഹായകേന്ദ്രം
FAQ,പതിവുചോദ്യങ്ങൾ
Poshan Calculator,പോഷൻ കാൽക്കുലേറ്റർ
Login,ലോഗിൻ
Frequently Asked Questions,പതിവായി ചോദിക്കുന്ന ചോദ്യങ്ങൾ
ALL,എല്ലാം
BENEFICIARY REGISTRATION,ഗുണഭോക്തൃ രജിസ്ട്രേഷൻ
Take Home Ration,ഹോം റേഷൻ എടുക്കുക
Hot Cooked Meal,ചൂടുള്ള പാകം ചെയ്ത ഭക്ഷണം
What is Poshan Abhiyaan?,എന്താണ് പോഷൻ അഭിയാൻ?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",കുട്ടികൾ‌ക്കും ക o മാരക്കാർ‌ക്കും മുൻ‌ഗണനകൾ‌ക്കുമുള്ള പോഷക ഫലങ്ങൾ‌ മെച്ചപ്പെടുത്തുന്നതിനുള്ള ഇന്ത്യയുടെ മുൻ‌നിര പദ്ധതിയാണ് പോഷൻ‌ അഭിയാൻ.‌
What is the purpose of Launching Poshan Tracker?,പോഷൻ ട്രാക്കർ സമാരംഭിക്കുന്നതിന്റെ ഉദ്ദേശ്യം എന്താണ്?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","അംഗൻവാടി സെന്ററിന്റെ (എഡബ്ല്യുസി) പ്രവർത്തനങ്ങൾ, അംഗൻവാടി വർക്കേഴ്സിന്റെ (എഡബ്ല്യുഡബ്ല്യു) സേവന ഡെലിവറികൾ, ഗർഭിണികൾ, മുലയൂട്ടുന്ന അമ്മമാർ, കുട്ടികൾ എന്നിവരുടെ സമ്പൂർണ്ണ ഗുണഭോക്തൃ മാനേജുമെന്റ് എന്നിവയെക്കുറിച്ച് 360 ഡിഗ്രി കാഴ്ച നൽകുക എന്നതാണ് പോഷാൻ ട്രാക്കർ ആപ്ലിക്കേഷന്റെ ലക്ഷ്യം. നിർ‌ദ്ദിഷ്‌ട സൂചകങ്ങളിൽ‌ എല്ലാ എ‌ഡബ്ല്യുസി, എ‌ഡബ്ല്യുഡബ്ല്യു, ഗുണഭോക്താക്കൾ എന്നിവരുടെ തത്സമയ നിരീക്ഷണവും ട്രാക്കുചെയ്യലും നിർദ്ദിഷ്ട സംവിധാനം പ്രാപ്തമാക്കണം."
How can one Download Poshan Tracker App?,ഒരാൾക്ക് എങ്ങനെ പോഷാൻ ട്രാക്കർ എ.പി.പി ഡൗൺലോഡുചെയ്യാനാകും?
Poshan Tracker App is available over Google playstore ,ഗൂഗിൾ പ്ലേസ്റ്റോറിൽ പോഷാൻ ട്രാക്കർ ആപ്പ് ലഭ്യമാണ് 
https://play.google.com/store/apps/details?id=com.poshantracker,https://play.google.com/store/apps/details?id=com.poshantracker
"No, Poshan Tracker is available only for Android version","ഇല്ല, പോഷൻ ട്രാക്കർ പതിപ്പിന് മാത്രം ലഭ്യമാണ്."
What is the minimum requirement to install Poshan Tracker App in mobile?,മൊബൈലിൽ പോഷൻ ട്രാക്കർ ആപ്പ് ഇൻസ്റ്റാൾ ചെയ്യുന്നതിനുള്ള ഏറ്റവും കുറഞ്ഞ ആവശ്യകത എന്താണ്?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ആൻഡ്രോയിഡ് പതിപ്പ് 6.0 ഉം അതിന് മുകളിലുള്ളതുമായ ആൻഡ്രോയിഡ് ഫോണിൽ മാത്രമേ പോഷൻ ട്രാക്കർ ആപ്പ് ഇൻസ്റ്റാൾ ചെയ്യാൻ കഴിയൂ.
Can App be accessed without internet?,ഇന്റർനെറ്റ് ഇല്ലാതെ എ.പി.പി ആക്സസ് ചെയ്യാൻ കഴിയുമോ?
"App can be accessed offline, currently daily tracking feature is available for offline data entry. Offline mode can store latest 3 days data.","ഇല്ല, സാധുവായ ഇന്റർനെറ്റ് കണക്ഷൻ ഇല്ലാതെ അപ്ലിക്കേഷൻ പ്രവർത്തിക്കുന്നില്ല."
Who are the target userbase of Poshan Tracker App?,പോഷൻ ട്രാക്കർ ആപ്പിന്റെ ടാർഗെറ്റ് യൂസർബേസ് ആരാണ്?
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms. It is not at all developed for general public.",അംഗൻവാടി തൊഴിലാളികൾക്കും അംഗൻവാടി കേന്ദ്രങ്ങൾക്കും ഗുണഭോക്താക്കളുടെ ഡാറ്റ ഫോമുകളിൽ നൽകുന്നതിന് വേണ്ടിയാണ് പോഷൻ ട്രാക്കർ ആപ്പ്. ഇത് പൊതുജനങ്ങൾക്കായി വികസിപ്പിച്ചതല്ല.
How to Login in Poshan Tracker App?,പോഷൻ ട്രാക്കർ അപ്ലിക്കേഷനിൽ എങ്ങനെ ലോഗിൻ ചെയ്യാം?
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","എഒപ്പംഒപ്പം- കൾ അവരുടെ മൊബൈൽ നമ്പറുകൾ ലോഗിൻ സ്ക്രീനിൽ നൽകാൻ അഭ്യർത്ഥിക്കുന്നു. നിങ്ങളുടെ രജിസ്റ്റർ ചെയ്ത മൊബൈൽ നമ്പറിലേക്ക് ഒരു ഒ‌ടി‌പി അയയ്‌ക്കും, നിങ്ങൾ‌ക്കാവശ്യമുള്ള പോസ്റ്റും നിങ്ങളുടെ എം‌പി‌എൻ‌ സജ്ജമാക്കുക."
What is  MPIN?,എന്താണ് എം‌പി‌ൻ?
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,പോഷൻ ട്രാക്കർ എപിപിയിൽ രജിസ്റ്റർ ചെയ്യുമ്പോൾ ഒരു അംഗൻവാടി പ്രവർത്തകൻ സജ്ജമാക്കിയ 4 അക്ക പാസ്‌കോഡാണ് എം‌പി‌ൻ.
How to set MPIN?,എം‌പി‌ൻ എങ്ങനെ സജ്ജമാക്കാം?
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.","ബന്ധപ്പെട്ട അംഗൻ‌വാടി പ്രവർത്തകന് അവന്റെ / അവളുടെ മൊബൈൽ‌ നമ്പറിനെതിരെ ഒരു ഒ‌ടി‌പി അഭ്യർത്ഥിച്ച് എം‌പി‌എൻ‌ സജ്ജമാക്കാൻ‌ കഴിയും. മൊബൈൽ‌ നമ്പർ‌ ഇതിനകം ഡാറ്റാബേസിൽ‌ ഉണ്ടെങ്കിൽ‌, ബന്ധപ്പെട്ട അംഗൻ‌വാഡി വ്യക്തിക്ക് രജിസ്റ്റർ‌ ചെയ്‌ത മൊബൈൽ‌ നമ്പറിൽ‌ 4 അക്ക ഒ‌ടി‌പി ലഭിക്കും. ഒ‌ടി‌പിയിൽ‌ പ്രവേശിക്കുന്ന പോസ്റ്റ്, എ‌ഡബ്ല്യുഡബ്ല്യുവിന് ഇച്ഛാനുസൃതമാക്കിയ എം‌പി‌എൻ എളുപ്പത്തിൽ സജ്ജമാക്കാൻ കഴിയും."
When and how to use MPIN?,"എം‌പി‌ൻ എപ്പോൾ, എങ്ങനെ ഉപയോഗിക്കണം?"
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.","പോഷാൻ ട്രാക്കർ ആപ്പിലേക്ക് ലോഗിൻ ചെയ്യുമ്പോൾ, അവ സജ്ജീകരിച്ചിട്ടുള്ള എംപിഐയിൽ എഡബ്ല്യുഡബ്ല്യുകൾ പ്രവേശിക്കേണ്ടതുണ്ട്. പോഷൺ ട്രാക്കർ ആപ്പ് പ്രവർത്തിപ്പിക്കുന്നതിനും ഗുണഭോക്താക്കളുടെ ഫോമുകളിൽ വിവരങ്ങൾ എന്റർ ചെയ്യുന്നതിനും ഈ എംപിഐഎൻ ഒരു പാസ് കോഡായി പ്രവർത്തിക്കും."
How to Reset MPIN?,എം‌പി‌ൻ പുന: സജ്ജമാക്കുന്നതെങ്ങനെ?
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN","ഏത് AWW/ AWC ഉപയോക്താവിനും എളുപ്പത്തിൽ പുന: സജ്ജമാക്കാൻ കഴിയും. നിങ്ങൾ മറന്ന പമ്പ്ൽ ക്ലിക്കുചെയ്യേണ്ടതുണ്ട്, കൂടാതെ നിങ്ങളുടെ രജിസ്റ്റർ ചെയ്ത മൊബൈൽ നമ്പർ നൽകുക. നിങ്ങളുടെ രജിസ്റ്റർ ചെയ്ത മൊബൈൽ നമ്പറിൽ നിങ്ങൾക്ക് OTP ലഭിക്കും, കൂടാതെ നിങ്ങളുടെ എം‌പി‌ൻ എളുപ്പത്തിൽ പുന: സജ്ജമാക്കാനും കഴിയും."
In How many languages the Poshan Tracker App is available?,പോഷാൻ ട്രാക്കർ ആപ്പ് എത്ര ഭാഷകളിൽ ലഭ്യമാണ്?
Poshan Tracker App is available in 22 different languages,പോഷൻ ട്രാക്കർ ആപ്പ് 22 വ്യത്യസ്ത ഭാഷകളിൽ ലഭ്യമാണ്
The various languages available are:,ലഭ്യമായ വിവിധ ഭാഷകൾ ഇവയാണ്:
English,ഇംഗ്ലീഷ്
Hindi,ഹിന്ദി
Gujarati,ഗുജറാത്തി
Punjabi,പഞ്ചാബി
Marathi,മറാത്തി
Bangla,ബംഗ്ലാ
Kannada,കന്നഡ
Tamil,തമിഴ്
Telugu,ടെലിഗു
Malyalam,മല്യാലം
Odia,ഒഡിയ
Assamese,ആസാമീസ്
In how many languages AWW can enter the data while filling up the form?,ഫോം പൂരിപ്പിക്കുമ്പോൾ എഒപ്പംഒപ്പം അല്ലെങ്കിൽ AWC എത്ര ഭാഷകളിൽ ഡാറ്റ നൽകാൻ കഴിയും?
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,ഇംഗ്ലീഷ് ഭാഷയിൽ മാത്രം ഫോം പൂരിപ്പിക്കൽ എഒപ്പംഒപ്പം ന് ചെയ്യാൻ കഴിയും.
How many different forms are there in Poshan Tracker App?,പോഷൻ ട്രാക്കർ ആപ്പിൽ എത്ര വ്യത്യസ്ത ഫോമുകൾ ഉണ്ട്?
There are 7 different types of forms for beneficiaries. This includes:,ഗുണഭോക്താക്കൾക്കായി 7 വ്യത്യസ്ത തരം ഫോമുകൾ ഉണ്ട്. ഇതിൽ ഇവ ഉൾപ്പെടുന്നു:
Lactating mother,മുലയൂട്ടുന്ന അമ്മ
Pregnant women,ഗർഭിണികൾ
Child 0-6 Months,കുട്ടി 0-6 മാസം
Child 6 Months to 3 Years,കുട്ടി 6 മാസം മുതൽ 3 വയസ്സ് വരെ
Child  3 Years to 6 Years,കുട്ടി 3 വയസ്സ് മുതൽ 6 വയസ്സ് വരെ
Adolescent Girls (11 Years-19 Years),ക o മാരക്കാരായ പെൺകുട്ടികൾ (11 വയസ്സ് -19 വയസ്സ്)
What information to be added in AWC forms?,AWC ഫോമുകളിൽ എന്ത് വിവരമാണ് ചേർക്കേണ്ടത്?
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.","ഒരു പ്രത്യേക അംഗൻ‌വാടി കേന്ദ്രത്തിൽ‌ നിലവിലുള്ള അടിസ്ഥാന സ to കര്യങ്ങളുമായി ബന്ധപ്പെട്ട വിശദാംശങ്ങൾ‌ നൽ‌കുന്നതിന് എഒപ്പംഒപ്പം ആവശ്യമാണ്. ഘടന, അടിസ്ഥാന സ, കര്യങ്ങൾ, സൗകര്യങ്ങൾ, ശുചിത്വം, കുടിവെള്ളം എന്നിവ ഇതിൽ ഉൾപ്പെടുന്നു."
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,മൊബൈൽ‌ നമ്പറുകൾ‌ വഴി രജിസ്റ്റർ‌ ചെയ്യാൻ‌ കഴിയുന്നില്ലെങ്കിൽ‌ എഒപ്പംഒപ്പംS അപ്ലിക്കേഷനിൽ‌ എങ്ങനെ സൈൻ‌ അപ്പ് ചെയ്യാൻ‌ കഴിയും?
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,സ്വയം രജിസ്റ്റർ ചെയ്യുന്നതിൽ AWW പരാജയപ്പെട്ടാൽ 2 സാധ്യതകൾ ഉണ്ടാകാം:
Their mobile number is not present in the data provided by the states to the MoWCD,MoWCD ന് സംസ്ഥാനങ്ങൾ നൽകിയ ഡാറ്റയിൽ അവരുടെ മൊബൈൽ നമ്പർ ഇല്ല
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,"അവ സിസ്റ്റത്തിലേക്ക് പുതുതായി ചേർത്തു, അവരുടെ മൊബൈൽ നമ്പർ ഇതുവരെ സ്റ്റേറ്റ് സെൽ മോഒപ്പംഎസ്ഡി ലേക്ക് നൽകിയിട്ടില്ല."
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,മേൽപ്പറഞ്ഞ രണ്ട് കേസുകളിലും ഏതെങ്കിലും എഒപ്പംഒപ്പം ചേർക്കാനോ / എഡിറ്റുചെയ്യാനോ / സജീവമാക്കാനോ / നിർജ്ജീവമാക്കാനോ സ്റ്റേറ്റ് നോഡൽ ഓഫീസർമാർക്ക് അധികാരമുണ്ട്.
How can one access Poshan Tracker Dashboard?,ഒരാൾക്ക് എങ്ങനെ പോഷാൻ ട്രാക്കർ ഡാഷ്‌ബോർഡ് ആക്‌സസ് ചെയ്യാൻ കഴിയും?
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,ഡാഷ്‌ബോർഡിലേക്ക് സൈൻ ഇൻ ചെയ്തുകൊണ്ട് പോഷൻ ട്രാക്കർ ഡാഷ്‌ബോർഡ് ആക്‌സസ്സുചെയ്യാനാകും. 
https://poshantracker.in/admin,https://poshantracker.in/admin
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard."," എന്ന ലിങ്ക് ക്ലിക്കുചെയ്തുകൊണ്ട് ഡാഷ്‌ബോർഡ് ആക്‌സസ് ചെയ്യാൻ കഴിയും. ദേശീയ, സംസ്ഥാന, ജില്ല, പ്രോജക്റ്റ്, സെക്ടർ തലങ്ങളിലെ നാമനിർദ്ദേശം ചെയ്യപ്പെട്ട നോഡൽ ലെവൽ ഓഫീസർമാർക്ക് മാത്രമേ ഡാഷ്‌ബോർഡ് ആക്‌സസ് ചെയ്യുന്നതിന് സവിശേഷമായ യോഗ്യതാപത്രങ്ങൾ നൽകിയിട്ടുള്ളൂ."
How one can add AWW/AWCs?,ഒരാൾക്ക് എങ്ങനെ എഒപ്പംഒപ്പം / എഒപ്പംഒപ്പം ചേർക്കാൻ കഴിയും?
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,"AWW / AWC- കൾ നോഡൽ ലെവൽ ഉദ്യോഗസ്ഥർക്ക് മാത്രമേ ചേർക്കാൻ കഴിയൂ. ശ്രേണിയിൽ മുകളിലുള്ള റംഗിലുള്ള ആരെങ്കിലും. ദേശീയ തലത്തിലുള്ള ഉപയോക്താവിന് സംസ്ഥാന, ജില്ല, പ്രോജക്റ്റ്, മേഖല തലത്തിലുള്ള ഉപയോക്താക്കളെ സൃഷ്ടിക്കാൻ കഴിയും. സംസ്ഥാനതലത്തിലുള്ള ഉപയോക്താവിന് ജില്ല, പ്രോജക്റ്റ്, സെക്ടർ ലെവൽ ഉപയോക്താക്കളെ സൃഷ്ടിക്കാൻ കഴിയും, ജില്ലാതല ഉപയോക്താവിന് പ്രോജക്റ്റ്, സെക്ടർ ലെവൽ ഉപയോക്താവിനെ സൃഷ്ടിക്കാൻ കഴിയും, പ്രോജക്റ്റ് ലെവൽ ഉപയോക്താവിന് സെക്ടർ ലെവൽ യൂസർ.ക സൃഷ്ടിക്കാൻ കഴിയും."
How many different types of reports can be generated over Poshan Tracker Dashboard?,പോഷൻ ട്രാക്കർ ഡാഷ്‌ബോർഡിൽ എത്ര വ്യത്യസ്ത തരം റിപ്പോർട്ടുകൾ സൃഷ്ടിക്കാൻ കഴിയും?
There are various reports that can be generated from,ഇതിൽ നിന്ന് സൃഷ്ടിക്കാൻ കഴിയുന്ന വിവിധ റിപ്പോർട്ടുകൾ ഉണ്ട്
General Reports:,പൊതു റിപ്പോർട്ടുകൾ:
Number of app  downloads,അപ്ലിക്കേഷൻ ഡൗൺലോഡുകളുടെ എണ്ണം
Total number of Anganwadi centers registered,ആകെ നമ്പർ അംഗൻവാടി കേന്ദ്രങ്ങൾ രജിസ്റ്റർ ചെയ്തു
Total number of beneficiaries registered (National/state/district/block wise),രജിസ്റ്റർ ചെയ്ത മൊത്തം ഗുണഭോക്താക്കളുടെ എണ്ണം (ദേശീയ / സംസ്ഥാന / ജില്ല / ബ്ലോക്ക് തിരിച്ചുള്ള)
Total Number of pregnant women registered(National/state/district/block wise),രജിസ്റ്റർ ചെയ്ത ഗർഭിണികളുടെ ആകെ എണ്ണം (ദേശീയ / സംസ്ഥാന / ജില്ല / ബ്ലോക്ക് തിരിച്ചുള്ള)
Total Number of  lactating mothers registered(National/state/district/block wise),മുലയൂട്ടുന്ന അമ്മമാരുടെ ആകെ എണ്ണം (ദേശീയ / സംസ്ഥാന / ജില്ല / ബ്ലോക്ക് തിരിച്ചുള്ള)
Total Number of children (0-6months) registered(National/state/district/block wise),രജിസ്റ്റർ ചെയ്ത കുട്ടികളുടെ എണ്ണം (0-6 മാസം) (ദേശീയ / സംസ്ഥാന / ജില്ല / ബ്ലോക്ക് തിരിച്ചുള്ള)
Total Number of children (6months-3years) registered(National/state/district/ block wise),രജിസ്റ്റർ ചെയ്ത ആകെ കുട്ടികളുടെ എണ്ണം (6 മാസം -3 വർഷം) രജിസ്റ്റർ ചെയ്തു (ദേശീയ / സംസ്ഥാന / ജില്ല / ബ്ലോക്ക് തിരിച്ചുള്ള)
Total Number of children (3-6years) registered(National/state/district/ block wise),ആകെ കുട്ടികളുടെ എണ്ണം (3-6 വർഷം) രജിസ്റ്റർ ചെയ്തു (ദേശീയ / സംസ്ഥാന / ജില്ല / ബ്ലോക്ക് തിരിച്ചുള്ള)
Maternal and child nutrition:,മാതൃ-ശിശു പോഷകാഹാരം:
How many beneficiaries got THR in 21 days,21 ദിവസത്തിനുള്ളിൽ എത്ര ഗുണഭോക്താക്കൾക്ക് ടിഎച്ച്ആർ ലഭിച്ചു
How many children breastfed exclusively in the first hour after delivery,പ്രസവശേഷം ആദ്യ മണിക്കൂറിൽ എത്ര കുട്ടികൾ പ്രത്യേകമായി മുലയൂട്ടുന്നു
How many lactating mothers are given HCM,മുലയൂട്ടുന്ന അമ്മമാർക്ക് എച്ച്.സി.എം
Average level of calcium in children aged 3-6 years,3-6 വയസ് പ്രായമുള്ള കുട്ടികളിൽ ശരാശരി കാൽസ്യം
Average level of iron in children aged 3-6years,3-6 വയസ് പ്രായമുള്ള കുട്ടികളിൽ ഇരുമ്പിന്റെ ശരാശരി നില
"Total number of vaccinations administered per month (block, district, state, national level)","പ്രതിമാസം നൽകുന്ന മൊത്തം പ്രതിരോധ കുത്തിവയ്പ്പുകളുടെ എണ്ണം (ബ്ലോക്ക്, ജില്ല, സംസ്ഥാന, ദേശീയ തലത്തിൽ)"
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,കുത്തിവയ്പ്പുകളുടെ നിർദ്ദിഷ്ട റിപ്പോർട്ട് പ്രതിമാസം നൽകപ്പെടുന്നു (ബിസിജി / ഒപിവി / ഹെപ്പറ്റൈറ്റിസ് ബി / റോട്ടവൈറസ് / പോളിയോ / ന്യുമോകോക്കൽ / പെന്റാവാലന്റ്)
AWC infrastructure:,AWC ഇൻഫ്രാസ്ട്രക്ചർ:
"Number of AWCs (block, district, state, national level)","AWC- കളുടെ എണ്ണം (ബ്ലോക്ക്, ജില്ല, സംസ്ഥാന, ദേശീയ തലത്തിൽ)"
"Total number of Balvatikas (block district, state, national level)","ബൽവതികകളുടെ ആകെ എണ്ണം (ബ്ലോക്ക് ജില്ല, സംസ്ഥാന, ദേശീയ തലത്തിൽ)"
"Total number of AWCs (block, district, state, national level) with clean drinking water","ശുദ്ധമായ കുടിവെള്ളമുള്ള AWC- കളുടെ (ബ്ലോക്ക്, ജില്ല, സംസ്ഥാന, ദേശീയ തലത്തിൽ) ആകെ എണ്ണം"
"Total number of AWCs (block, district, state, national level) with working weighing scale","പ്രവർത്തന തൂക്കമുള്ള സ്കെയിലിനൊപ്പം ആകെ AWC- കളുടെ എണ്ണം (ബ്ലോക്ക്, ജില്ല, സംസ്ഥാന, ദേശീയ തലത്തിൽ)"
"Total number of AWCs (block, district, state, national level) with electricity","വൈദ്യുതി ഉപയോഗിച്ച് ആകെ AWC- കളുടെ എണ്ണം (ബ്ലോക്ക്, ജില്ല, സംസ്ഥാന, ദേശീയ തലത്തിൽ)"
Total number of AWCs that are government owned,സർക്കാർ ഉടമസ്ഥതയിലുള്ള AWC- കളുടെ ആകെ എണ്ണം
Total number of AWCs that are privately owned,സ്വകാര്യ ഉടമസ്ഥതയിലുള്ള AWC- കളുടെ ആകെ എണ്ണം
How to contact Poshan Tracker Team?,പോഷൻ ട്രാക്കർ ടീമിനെ എങ്ങനെ ബന്ധപ്പെടാം?
