en,as
Poshan Tracker App is available over Google playstore ,পোষণ ট্ৰেকাৰ আৰম্ভ কৰা উদ্দেশ্যে কি?
https://play.google.com/store/apps/details?id=com.poshantracker,"পোষণ ট্ৰেকাৰ আবেদনৰ উদ্দেশ্য হৈছে অংগনৱাড়ী কেন্দ্ৰৰ (AWC) কাৰ্যকলাপৰ ৩৬০ ডিগ্ৰী দৰ্শন, অংগনৱাড়ী কৰ্মীসকলৰ সেৱা প্ৰদান আৰু গৰ্ভৱতী মহিলা, স্তন্যপান কৰাই থকা মাতৃ আৰু শিশুৰ বাবে সম্পূৰ্ণ হিতাধিকাৰী ব্যৱস্থাপনা। প্ৰস্তাৱিত প্ৰণালীটোৱে নিৰ্ধাৰিত অভিযুক্তসকলৰ ওপৰত সকলো AWC, AWW আৰু হিতাধিকাৰীৰ বাস্তৱ-সময় নিৰীক্ষণ আৰু ট্ৰেকিং সক্ষম কৰিব লাগে।"
Is poshan trackers app available over Apple I Store also?,পোষণ ট্ৰেকাৰ এপ কেনেকৈ ডাউনলোড কৰিব পাৰি?
"No, Poshan Tracker is available only for Android version",পোচন ট্ৰেকাৰ এপ্প গুগল প্লেষ্ট'ৰত উপলব্ধ 
What is the minimum requirement to install Poshan Tracker App in mobile?,https://play.google.com/store/apps/details?id=com.poshantracker
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,।
Can App be accessed without internet?,পোচান ট্ৰেকএপটো এপল আই ষ্টোৰত উপলব্ধ নেকি?
"App can be accessed offline, currently daily tracking feature is available for offline data entry. Offline mode can store latest 3 days data.","নাই, পোষণ ট্ৰেকাৰ কেৱল এণ্ড্ৰইড সংস্কৰণৰ বাবে উপলব্ধ।"
Who are the target userbase of Poshan Tracker App?,ম'বাইলত পোষণ ট্ৰেকাৰ এপ ইনষ্টল কৰাৰ নিম্নতম প্ৰয়োজনীয়তা কি?
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms. It is not at all developed for general public.",পোষণ ট্ৰেকাৰ এপ কেৱল এণ্ড্ৰইড ফোনত এণ্ড্ৰইড সংস্কৰণ ৬.০ আৰু ততোধিকৰ সৈতে ইনষ্টল কৰিব পাৰি।
How to Login in Poshan Tracker App?,ইণ্টাৰনেটৰ অবিহনে এপপত প্ৰৱেশ কৰিব পাৰিনে?
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","নহয়, এপটোৱে এক বৈধ ইণ্টাৰনেট সংযোগ অবিহনে কাম নকৰে।"
What is  MPIN?,পোষণ ট্ৰেকাৰ এপৰ লক্ষ্য ব্যৱহাৰকাৰী আধাৰ কোন?
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,"পোষণ ট্ৰেকাৰ এপটো অংগনৱাড়ী কৰ্মীসকলৰ বাবে, অংগনৱাড়ী কেন্দ্ৰবোৰে প্ৰপত্ৰত হিতাধিকাৰীৰ তথ্য প্ৰৱেশ কৰাৰ বাবে। এইটো সাধাৰণ জনতাৰ বাবে সমূলি বিকশিত নহয়।"
How to set MPIN?,পোষণ ট্ৰেকাৰ এপত কেনেকৈ লগইন কৰে?
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.","লগইন স্ক্ৰীনত তেওঁলোকৰ ম'বাইল নম্বৰসমূহ ভৰ্তি ককৰিবলৈ AWWক অনুৰোধ কৰা হৈছে। আপোনাৰ পঞ্জীভুক্ত ম'বাইল নম্বৰটোলৈ এটা OTP প্ৰেৰণ কৰা হ'ব, যিটো আপোনাৰ MPIN স্থাপন কৰিবলৈ প্ৰয়োজন হ'ব।"
When and how to use MPIN?,MPIN কি?
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.",MPIN এটা ৪ সংখ্যক পাছকোড যিটো পোষণ ট্ৰেকাৰ এপ পঞ্জীয়ন কৰোঁতে এজন অংগনৱাড়ী কৰ্মীয়ে স্থাপন কৰে।
How to Reset MPIN?,কেনেকৈ স্থাপন কৰে?
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN","MPIN সংশ্লিষ্ট অংগনৱাড়ী কৰ্মীয়ে তেওঁৰ মোবাইল নম্বৰৰ বিপৰীতে OTP অনুৰোধ কৰি ছেট কৰিব পাৰে। যদি ম'বাইল নম্বৰ ইতিমধ্যে ডাটাবেছত থাকে, সংশ্লিষ্ট অংগনৱাড়ী ব্যক্তিজনে পঞ্জীভুক্ত ম'বাইল নম্বৰত ৪ টা অংকৰ OTP প্ৰাপ্ত কৰিব। OTP প্ৰবিষ্ট কৰাৰ পিছত, AWWয়ে সহজে অনুকূলিত MPIN ছেট কৰিব পাৰে।"
In How many languages the Poshan Tracker App is available?,MPIN কেতিয়া আৰু কেনেকৈ ব্যৱহাৰ কৰে?
Poshan Tracker App is available in 22 different languages,"পোষণ ট্ৰেকজাৰ এপত লগইন কৰোঁতে, AWWসকলে তেওঁলোকৰ দ্বাৰা নিৰ্ধাৰিত MPIN প্ৰবিষ্ট কৰিব লাগিব। এই MPIN-এ পোষণ ট্ৰেকাৰ এপ চলাবলৈ আৰু হিতাধিকাৰীৰ প্ৰপত্ৰত তথ্য প্ৰবিষ্ট কৰিবলৈ পাছকোড হিচাপে কাম কৰিব।"
The various languages available are:,MPIN পুনঃস্থাপন কেনেকৈ কৰে?
English,"MPIN যিকোনো AWW/AWC ব্যৱহাৰকাৰীৰ দ্বাৰা সহজে পুনঃস্থাপন কৰিব পাৰি। আপুনি পাহৰি যোৱা MPIN-ত ক্লিক কৰিব লাগিব, আৰু আপোনাৰ পঞ্জীভুক্ত ম'বাইল নম্বৰ প্ৰবিষ্ট কৰিব লাগিব। আপুনি আপোনাৰ পঞ্জীভুক্ত ম'বাইল নম্বৰত প্ৰাপ্ত কৰিব আৰু OTP প্ৰাপ্ত কৰিব আৰু আপুনি আপোনাৰ MPIN পুনঃস্থাপন কৰিব পাৰে।"
Hindi,কেইটা ভাষাত পোষণ ট্ৰেকাৰ এপ উপলব্ধ?
Gujarati,পোষণ ট্ৰেকাৰ এপ ২২ টা বেলেগ বেলেগ ভাষাত উপলব্ধ
Punjabi,উপলব্ধ বিভিন্ন ভাষাসমূহ হ'ল:
Marathi,ইংৰাজী
Bangla,হিন্দী
Kannada,গুজৰাটী
Tamil,পাঞ্জাৱী
Telugu,মাৰাঠী
Malyalam,বাংলা
Odia,কান্নাড়া
Assamese,তামিল
Nepali,টেলেগু
Dogri,মালায়ালম
Konkani,উড়িয়া
Sindhi,অসমীয়া
Bodo,Nepali
Maithili,Dogri
Manipuri,Konkani
Santhali,Sindhi
Urdu,Bodo
Kashmiri,Maithili
In how many languages AWW can enter the data while filling up the form?,Manipuri
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,Santhali
How many different forms are there in Poshan Tracker App?,Urdu
There are 7 different types of forms for beneficiaries. This includes:,Kashmiri
Lactating mother,প্ৰপত্ৰখন পূৰণ কৰোঁতে AWW বা AWCয়ে কিমানটা ভাষাত ডাটা প্ৰবিষ্ট কৰিব পাৰে?
Pregnant women,পোষণ ট্ৰেকত কিমান বেলেগ বেলেগ প্ৰপত্ৰ আছে।
Child 0-6 Months,পোষাণ ট্ৰেকাৰ এপত কিমানটা ভিন্ন ৰূপ আছে?
Child 6 Months to 3 Years,হিতাধিকাৰীসকলৰ বাবে ৭ প্ৰকাৰৰ বিভিন্ন প্ৰপত্ৰ আছে সেইবোৰ হৈছেঃ
Child  3 Years to 6 Years,স্তন্যপান কৰাই থকা মাতৃ
Adolescent Girls (11 Years-19 Years),গর্ভবতী মহিলা
What information to be added in AWC forms?,শিশু ০-৬ মাহ
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.",শিশু ৬ মাহৰ পৰা ৩ বছৰ পর্যন্ত
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,শিশু ৩ বছৰ পৰা ৬ বছৰলৈ
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,কিশোৰী ছোৱালী (১১ বছৰ-১৯ বছৰ)
Their mobile number is not present in the data provided by the states to the MoWCD,AWC প্ৰপত্ৰত কি তথ্য যোগ কৰিব লাগিব?
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,"AWWয়ে এটা নিৰ্দিষ্ট অংগনৱাড়ী কেন্দ্ৰত উপস্থিত আন্তঃগাঁথনি সম্পৰ্কীয় বিৱৰণ প্ৰবিষ্ট কৰিব লাগিব। ইয়াত অন্তৰ্ভুক্ত থাকে গাঁথনি, মৌলিক সুবিধা, স্বচ্ছত্বা, খোৱাপানী ইত্যাদি। চেনিটাইজেচন, খোৱা পানী ইত্যাদি।"
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,AWW সকলে তেওঁলোকৰ ম'বাইল নম্বৰসমূহৰ জৰিয়তে যদি পঞ্জীয়ন কৰিবলৈ অক্ষম তেতিয়া কেনেকৈ ছাইন আপ কৰিব পাৰিব?
How can one access Poshan Tracker Dashboard?,কোনো ক্ষেত্ৰত যদি AWW য়ে তেওঁলোকে নিজেই পঞ্জীয়ন কৰিবলৈ অসফল হয় তাত ২ টা সম্ভাৱনা আছেঃ
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,ৰাজ্যসমূহে MoWCD -ক প্ৰদান কৰা তথ্যত তেওঁলোকৰ ম'বাইল নম্বৰ নাই।
https://poshantracker.in/admin,সেইবোৰ নতুনকৈ ছিষ্টেমত যোগ দিয়া হৈছে আৰু তেওঁলোকৰ ম'বাইল নম্বৰ ৰাজ্যিক কোষে এতিয়াও MoWCD -ক প্ৰদান কৰা নাই।
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.",ওপৰোক্ত দুয়োটা ক্ষেত্ৰতে ৰাজ্যিক নোডেল বিষয়াসকলক AWWৰ যিকোনো এটা যোগ/সম্পাদনা/সক্ৰিয়/নিষ্ক্ৰিয় কৰাৰ ক্ষমতা দিয়া হয়।
How one can add AWW/AWCs?,কোনো এজনে কেনেকৈ পোষণ ট্ৰেকাৰ ডাশ্বব'ৰ্ডত প্ৰৱেশ কৰিব পাৰে?
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,পোষণ ট্ৰেকাৰ ডেশ্বব'ৰ্ড ডেশ্বব'ৰ্ডত ছাইনিং কৰি প্ৰৱেশ কৰিব পাৰি। ডেশ্বব'ৰ্ডত 
How many different types of reports can be generated over Poshan Tracker Dashboard?,https://poshantracker.in/admin
There are various reports that can be generated from," লিংকটো ক্লিক কৰি প্ৰৱেশ কৰিব পাৰি।কেৱল ৰাষ্ট্ৰীয়, ৰাজ্যিক, জিলা, প্ৰকল্প আৰু খণ্ড পৰ্যায়ত মনোনীত নোডেল পৰ্যায়ৰ বিষয়াসকলক ডেশ্বব'ৰ্ডত প্ৰৱেশ কৰিবলৈ এক অনন্য প্ৰমাণপত্ৰ প্ৰদান কৰা হয়।"
General Reports:,কোনো এজনে কেনেকৈ AWW/AWCs যোগ কৰিব পাৰে?
Number of app  downloads,"AWW/AWCs সকলক কেৱল নোডেল পৰ্যায়ৰ বিষয়াই যোগ কৰিব পাৰে। পদানুক্ৰমত ওপৰৰ স্তৰত থকা যিকোনো ব্যক্তি। ৰাষ্ট্ৰীয় পৰ্যায়ৰ দৰে ব্যৱহাৰকাৰীয়ে ৰাজ্য, জিলা, প্ৰকল্প আৰু খণ্ড পৰ্যায়ৰ ব্যৱহাৰকাৰী সৃষ্টি কৰিব পাৰে। ৰাজ্যিক পৰ্যায়ৰ ব্যৱহাৰকাৰীয়ে জিলা, প্ৰকল্প আৰু খণ্ড পৰ্যায়ৰ ব্যৱহাৰকাৰী সৃষ্টি কৰিব পাৰে, জিলা পৰ্যায়ৰ ব্যৱহাৰকাৰীয়ে প্ৰকল্প আৰু খণ্ড পৰ্যায়ৰ ব্যৱহাৰকাৰী সৃষ্টি কৰিব পাৰে, প্ৰকল্প পৰ্যায়ৰ ব্যৱহাৰকাৰীয়ে খণ্ড স্তৰৰ user.ca সৃষ্টি কৰিব পাৰে।"
Total number of Anganwadi centers registered,পোষণ ট্ৰেকাৰ ডেশ্বব'ৰ্ডৰ যোগেৰে কেইটা বিভিন্ন প্ৰকাৰৰ প্ৰতিবেদন সৃষ্টি কৰিব পাৰি?
Total number of beneficiaries registered (National/state/district/block wise),বিভিন্ন প্ৰতিবেদন যিবোৰ সৃষ্টি কৰিব পাৰে
Total Number of pregnant women registered(National/state/district/block wise),সাধাৰণ প্ৰতিবেদনঃ:
Total Number of  lactating mothers registered(National/state/district/block wise),সাধারণ রিপোর্ট
Total Number of children (0-6months) registered(National/state/district/block wise),সৰ্বমুঠ পঞ্জীভুক্ত অংগনৱাড়ী কেন্দ্ৰৰ সংখ্যা
Total Number of children (6months-3years) registered(National/state/district/ block wise),সৰ্বমুঠ পঞ্জীভুক্ত হিতাধিকাৰীৰ সংখ্যা (ৰাষ্ট্ৰীয়/ৰাজ্য/জিলা/খণ্ড অনুসৰি)
Total Number of children (3-6years) registered(National/state/district/ block wise),সৰ্বমুঠ পঞ্জীভু্ক্ত গৰ্ভৱতী মহিলাৰ সংখ্যা (ৰাষ্ট্ৰীয়/ৰাজ্য/জিলা/খণ্ড অনুসৰি)
Maternal and child nutrition:,সৰ্বমুঠ স্তন্যপান কৰাই থকা মহিলাৰ সংখ্যা (ৰাষ্ট্ৰীয়/ৰাজ্য/জিলা/খণ্ড অনুসৰি)
How many beneficiaries got THR in 21 days,সৰ্বমুঠ শিশুৰ (০-৬ মাহ) সংখ্যা (ৰাষ্ট্ৰীয়/ৰাজ্য/জিলা/খণ্ড অনুসৰি)
How many children breastfed exclusively in the first hour after delivery,সৰ্বমুঠ শিশুৰ (৬ মাহ-৩ বছৰ) সংখ্যা (ৰাষ্ট্ৰীয়/ৰাজ্য/জিলা/খণ্ড অনুসৰি)
How many lactating mothers are given HCM,সৰ্বমুঠ শিশুৰ (৩-৬ বছৰ) সংখ্যা (ৰাষ্ট্ৰীয়/ৰাজ্য/জিলা/খণ্ড অনুসৰি)
Average level of calcium in children aged 3-6 years,মাতৃ আৰু শিশুৰ পুষ্টি:
Average level of iron in children aged 3-6years,২১ দিনত কিমান জন হিতাধিকাৰীয়ে THR লাভ কৰিছিল
"Total number of vaccinations administered per month (block, district, state, national level)",প্ৰসৱৰ পিছত প্ৰথম ঘণ্টাত কিমানটা শিশুৱে কেৱল স্তন্যপান কৰিছিল
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,কেইগৰাকী স্তন্যপান কৰাই থকা মাতৃক HCM দিয়া হৈছে
AWC infrastructure:,প্ৰসৱৰ পিছত প্ৰথম ঘণ্টাত কিমানটা শিশুৱে কেৱল স্তন্যপান কৰিছিল
"Number of AWCs (block, district, state, national level)",৩-৬ বছৰ বয়সৰ শিশুৰ ক্ষেত্ৰত কেলচিয়ামৰ গড় স্তৰ
"Total number of Balvatikas (block district, state, national level)",৩-৬ বছৰ বয়সৰ শিশুৰ ক্ষেত্ৰত আয়ৰনৰ গড় স্তৰ
"Total number of AWCs (block, district, state, national level) with clean drinking water","প্ৰতি মাহে প্ৰদান কৰা মুঠ টিকাকৰণৰ সংখ্যা (খণ্ড, জিলা, ৰাজ্য, ৰাষ্ট্ৰীয় স্তৰ)"
"Total number of AWCs (block, district, state, national level) with working weighing scale",প্ৰতি মাহে প্ৰদান কৰা টিকাকৰণ নিৰ্দিষ্ট প্ৰতিবেদন (বিচিজি/অ'পিভি/হেপাটাইটিছ বি/ৰোটাভাইৰাছ/পলিঅ/নিউমোকোকল/পেণ্টাভেলেণ্ট)
"Total number of AWCs (block, district, state, national level) with electricity",AWC আন্তঃগাঁথনি:
Total number of AWCs that are government owned,"AWCৰ সংখ্যা (খণ্ড, জিলা, ৰাজ্য, ৰাষ্ট্ৰীয় স্তৰ)"
Total number of AWCs that are privately owned,"বলৱতিকাৰ মুঠ সংখ্যা (খণ্ড জিলা, ৰাজ্য, ৰাষ্ট্ৰীয় পৰ্যায়)"
How to contact Poshan Tracker Team?,"বিশুদ্ধ খোৱা পানীৰ সৈতে মুঠ AWCৰ (খণ্ড, জিলা, ৰাজ্যিক, ৰাষ্ট্ৰীয় পৰ্যায়) সংখ্যা"
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,"কাৰ্যকৰী ওজন স্কেলৰ সৈতে মুঠ AWCৰ (খণ্ড, জিলা, ৰাজ্যিক, ৰাষ্ট্ৰীয় পৰ্যায়) সংখ্যা"
Can a beneficiary register directly using application.,"বিদ্যু ৎৰ সৈতে মুঠ AWCৰ (খণ্ড, জিলা, ৰাজ্যিক, ৰাষ্ট্ৰীয় পৰ্যায়) সংখ্যা"
Currently a beneficiary can register by the help of an AWW,চৰকাৰী মালিকানাধীন মুঠ AWCৰ সংখ্যা
Who is a beneficiary?,ব্যক্তিগত মালিকানাধীন মুঠ AWCৰ সংখ্যা
There are 6 categories for beneficiaries,পোষণ ট্ৰেকাৰ টীমক কেনেদৰে যোগাযোগ কৰিব?
Pregnant Women,support-poshantrackr@gov.in-ত ইমেইল প্ৰেৰণ কৰি পোষণ ট্ৰেকাৰ টীমক যোগাযোগ কৰিব পাৰি। সহায় আৰু সহযোগিতাৰ বাবে আমি প্ৰতি দিনে ভিডিঅ’ কনফাৰেঞ্চতো 4:15 PM ৰ পৰা 5:15 PM লৈ উপলব্ধ থাকো৷।
Lactating Mother,এগৰাকী হিতাধিকাৰীয়ে পোনপটীয়াকৈ এপ্লিকেচন ব্যৱহাৰ কৰি পঞ্জীয়ন কৰিব পাৰিব নে৷।
Children from 0 to 6 months,বৰ্তমান এগৰাকী হিতাধিকাৰীয়ে এটা AWW-ৰ সহায়ত পঞ্জীয়ন কৰিব পাৰে
Children from 6 months to 3 years,এগৰাকী হিতাধিকাৰী কোন হয়?
Children from 3 years to 6 years,হিতাধিকাৰীসকলৰ বাবে 6 টা শ্ৰেণী থাকে
Adolescent girls,গৰ্ভৱতী মহিলা
Can a beneficiary change his/her AWC?,স্তন্যপান কৰোৱা মহিলা
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,0 ৰ পৰা 6 মাহৰ শিশু
What is the eligibility of a beneficiary?,6 মাহৰ পৰা 3 বছৰৰ শিশু
A beneficiary is eligible for THR for at least 21 days in a month.,3 বছৰৰ পৰা 6 বছৰৰ শিশু
Who is eligible for Take Home Ration?,কিশোৰী
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.",এগৰাকী হিতাধিকাৰীয়ে তেওঁৰ AWC সলনি কৰিব পাৰে নে?
Where can I enquire about take home ration?,এগৰাকী AWW-য়ে তেওঁলোকৰ আধাৰ নম্বৰৰ ভিত্তিত এটা AWC-ৰ পৰা আন এটা AWC-লৈ এগৰাকী হিতাধিকাৰীক মাইগ্ৰেট কৰিবলৈ ’মাইগ্ৰেট বেনিফিচিয়েৰী’ বিকল্পটো ব্যৱহাৰ কৰিব পাৰে৷।
Please contact your respective Anganwadi worker.,এগৰাকী হিতাধিকাৰী হোৱাৰ যোগ্যতা কি?
Who is eligible for additional supplementary food.,এগৰাকী হিতাধিকাৰী এমাহত অতিকেমও 21 দিনৰ বাবে THR-ৰ বাবে যোগ্যতা অৰ্জন কৰে৷।
Children who are identified as deficit on nutrition are eligible for additional food supplements.,টেক হোম ৰেচনৰ বাবে কোনে যোগ্যতা অৰ্জন কৰে?
What is the eligibility of a beneficiary?,"গৰ্ভৱতী মহিলা, স্তন্যপান কৰোৱা মহিলা, 6 মাহৰ পৰা 3 বছৰৰ শিশু আৰু কিশোৰী।"
A beneficiary is eligible for HCM for at least 21 days in a month.,টেক হোম ৰেচনৰ বিষয়ে মই ক’ত খবৰ কৰিব পাৰো?
Who is eligible for Hot Cooked Meal?,অনুগ্ৰহ কৰি আপোনাৰ সংশ্লিষ্ট অংগনৱাড়ী কৰ্মীক যোগাযোগ কৰক৷।
Children in the age group of 3 years to 6 years,অতিৰিক্ত পৰিপূৰক খাদ্যৰ বাবে কোন যোগ্য।
Where can I enquire about Hot Cooked Meal?,শিশু সকল যি পুষ্টিৰ অভাৱত ভোগা বুলি চিনাক্ত হৈছে তেওঁলোক অতিৰিক্ত খাদ্যৰ পৰিপূৰকৰ বাবে যোগ্য৷
Please contact your respective Anganwadi Centre.,এগৰাকী হিতাধিকাৰী হোৱাৰ যোগ্যতা কি?
Who is eligible for additional supplementary food?,এগৰাকী হিতাধিকাৰী এমাহত অতিকেমও 21 দিনৰ বাবে HCM-ৰ বাবে যোগ্যতা অৰ্জন কৰে৷
Children who are identified as deficit on nutrition are eligible for additional food supplements.,হ’ট কুকড মীলৰ বাবে কোন যোগ্য?
Support,3 বছৰৰ পৰা 6 বছৰ সময় সীমাৰ ভিতৰত শিশুসকল
 14408,হ’ট কুকড মীলৰ বিষয়ে মই ক’ত খবৰ কৰিব পাৰো?
 support-poshantrackr@gov.in,অনুগ্ৰহ কৰি আপোনাৰ সংশ্লিষ্ট অংগনৱাড়ী কেন্দ্ৰত যোগাযোগ কৰক৷
Download Mobile App,অতিৰিক্ত পৰিপূৰক খাদ্যৰ বাবে কোন যোগ্য?
Powered By,শিশু সকল যি পুষ্টিৰ অভাৱত ভোগা বুলি চিনাক্ত হৈছে তেওঁলোক অতিৰিক্ত খাদ্যৰ পৰিপূৰকৰ বাবে যোগ্য৷
About,পৃষ্ঠপোষকতা
Resources, 14408
Dashboard, support-poshantrackr@gov.in
Helpdesk,মোবাইল এপ ডাউনলোড কৰক
FAQ,Powered By
Poshan Calculator,ইয়াৰ বিষয়ে
Terms of Service,সমল
Privacy Policy,ডেশ্ববৰ্ড
Careers,হেল্পডেস্ক
Copyright@2023  Poshan Tracker. All rights reserved,সঘনাই সোধা প্ৰশ্ন সমূহ
 You need to enable JavaScript to run this app.,পোষণ কেলকুলেটৰ
Poshan Helpline:,Terms of Service
14408,Privacy Policy
JanAndolan,কেৰিয়াৰ
ABHA (Health ID),Copyright@2023  Poshan Tracker. All rights reserved
Language, You need to enable JavaScript to run this app.
English,Poshan Helpline:
हिंदी,14408
ગુજરાતી,JanAndolan
મરાઠી,ABHA (হেল্থ আইডি)
ಕನ್ನಡ,ল্যাঙ্গুয়েজে
മലയാളം,English
தமிழ்,हिंदी
తెలుగు,ગુજરાતી
বাংলা,મરાઠી
অসমীয়া,ಕನ್ನಡ
ਪੰਜਾਬੀ,മലയാളം
ଓଡ଼ିଆ,தமிழ்
नेपाली,తెలుగు
डोगरी,বাংলা
कोंकणी,অসমীয়া
सिंधी,ਪੰਜਾਬੀ
बोडो,ଓଡ଼ିଆ
मैथिली,नेपाली
মণিপুরী,डोगरी
संथाली,कोंकणी
اردو,सिंधी
کٲشُر,बोडो
About,मैथिली
Resources,মণিপুরী
Resources,संथाली
Vaccination Schedule,اردو
Dashboard,کٲشُر
Dashboard,ইয়াৰ বিষয়ে
Mission Utkarsh,সমল
Helpdesk,সমল
Beneficiary Redressal,টিকাকৰণৰ সূচী
State Helpdesk,ডেশ্ববৰ্ড
FAQ,ডেশ্ববৰ্ড
Poshan Calculator,Mission Utkarsh
Login,হেল্পডেস্ক
Poshan Calculator,হিতাধিকাৰীৰ প্ৰতিবিধান
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,ৰাজ্যিক হেল্পডেস্ক
How to use Poshan Calculator?,সঘনাই সোধা প্ৰশ্ন সমূহ
Select Gender,পোষণ কেলকুলেটৰ
Enter Date of Birth,লগইন কৰক
Enter Height in centimeter,পোষণ কেলকুলেটৰ
Enter Weight in kilogram,পোষণ কেলকুলেটৰ বিশ্ব স্বাস্থ্য সংস্থা (WHO) ৰ দ্বাৰা নিৰ্ধাৰিত মানৰ ওপৰত ভিত্তি কৰি শিশুৰ বিকাশ জুখিবলৈ সাজি উলিওৱা হৈছে.
Click on Show Results,পোষণ কেলকুলেটৰ কেনেদৰে ব্যৱহাৰ কৰিব লাগে?
Gender ,লিংগ বাচনি কৰক
*,জন্মৰ তাৰিখ প্ৰদান কৰক
Boy,উচ্চতা চেন্টিমিটাৰত প্ৰদান কৰক
Girl,ওজন কিলোগ্ৰামত প্ৰদান কৰক
Date of Birth ,ৰিজাল্ট দেখুৱাওকত ক্লিক কৰক
*,লিঙ্গ 
Height (CM) ,*
*,ল’ৰা
*Height should be between 38 to 150,ছোৱালী
CM,জন্মৰ তাৰিখ 
Weight (KG) ,*
*,উচ্চতা (CM) 
*Weight should be between 0.90 to 58,*
KG,*উচ্চতা 38 ৰ পৰা 150 ৰ ভিতৰত হ'ব লাগে
Show Results,CM
What is Poshan Calculator,ওজন (KG) 
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,*
WHO standards are :,*ওজন 0.90 ৰ পৰা 58 ৰ ভিতৰত হ'ব লাগে
Stunting ( Height for Age)- ,KG
0 months to 6 years,ফলাফল দেখুৱাওক
Severely Stunted,পোষণ কেলকুলেটৰ কি
Moderately stunted,পোষণ কেলকুলেটৰে বিশ্ব স্বাস্থ্য সংস্থা (WHO) ৰ মতে ভিত্তি কৰি শিশুোৰ বিভিন্ন স্বাস্থ্যজনিত স্থিতি চিনাক্ত কৰাত সহায় কৰে.
Normal,WHO মান সমূহ হৈছে :
Underweight (Weight for Age)- ,চাপৰ (বয়সৰ বাবে উচ্চতা)- 
0 months to 6 years,0 মাহৰ পৰা 6 বছৰ
Severely Underweight,গুৰুতৰভাৱে স্তব্ধ
Moderately Underweight,মধ্যমীয়াভাৱে চাপৰ
Normal,সাধাৰণ
Wasting (Weight for Height)- ,কম ওজন (বয়সৰ বাবে ওজন)- 
0 months to 5 years,0 মাহৰ পৰা 6 বছৰ
Severely Wasted (SAM),গুৰুতৰভাৱে কম ওজনৰ
Moderately Wasted (MAM),মজলীয়াভাৱে কম ওজনৰ
Normal,সাধাৰণ
Overweight,পুষ্টিহীনতা (উচ্চতাৰ বাবে ওজন) 
Obese,0 মাহৰ পৰা 5 বছৰ
Above standards are defined as per given above mentioned age brackets,গুৰুতৰভাৱে পুষ্টিহীন (SAM)
About Reference tables,মধ্যমীয়াভাৱে পুষ্টিহীন (MAM)
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,সাধাৰণ
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA).",অধিক ওজনৰ
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development.,অস্বাভাৱিকভাৱে মেদবহুল
How to revive your Health?,ওপৰৰ মান সমূহ উল্লেখিত বয়সৰ ব্ৰেকেটৰ ওপৰত দিয়া অনুসৰি সংজ্ঞায়িত হৈছে
How to revive your health if you are Severely Wasted (SAM),ৰেফাৰেঞ্চ তালিকাৰ বিষয়ে
