en,kok
How can one Download Poshan Tracker App?,"पोशन ट्रॅकर अॅपलीकेशनाचो उद्देश आंगनवाडी (आंगनवाडी केंद्र) केंद्राचे कार्यांचो, आंगनवाडी कार्यकर्त्यांची (आंगनवाडी कर्मचारी) डिलिवरी सेवा आनी गुरवार बायलां खातीर, दुग्धधारण करपी आवयां खातीर आनी भुरग्यां खातीर पूर्ण लाभार्थी वेवस्थेचो 360-डिग्री दृश्य दिवपाचो आसा. प्रस्थापीत वेवस्था परिभाशीत संकेतकाचेर सगळ्या आंगनवाडी केंद्र, आंगनवाडी कर्मचारी आनी लाभार्थीची ट्रॅकींग आनी मोनिटरींग करपाक समर्थ आसूंक जाय."
Poshan Tracker App is available over Google playstore ,पोशन ट्रॅकर अॅप कशें डावनलोड करतले?
https://play.google.com/store/apps/details?id=com.poshantracker,पोशन ट्रॅकर अॅप गुगल प्लॅस्टोरार उपलब्ध आसा 
Is poshan trackers app available over Apple I Store also?,https://play.google.com/store/apps/details?id=com.poshantracker
"No, Poshan Tracker is available only for Android version",अॅप्पल आय स्टोरांत पोशन ट्रॅकर अॅप उपलब्ध आसा?
What is the minimum requirement to install Poshan Tracker App in mobile?,"ना, पोशन ट्रॅकर अॅप फकत एन्ड्रॉयड यूजरां खातीर उपलबध्द आसा."
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,मोबायलार पोशन ट्रॅकर अॅप इंस्टॉल करपा खातीर किमान आवश्यकता कितें?
Can App be accessed without internet?,पोशन ट्रॅकर अॅप फकत एन्ड्रॉयड वर्जन 6.0 आनी ताच्या उपरांतच्या वर्जन आशिल्ल्या एन्ड्रॉयड फोनाचेर इंस्टॉल करूं येता.
"App can be accessed offline, currently daily tracking feature is available for offline data entry. Offline mode can store latest 3 days data.",इंटरनेटा बगर अॅपाचो लाव घेवूं येता?
Who are the target userbase of Poshan Tracker App?,"ना, धड इंटरनेट कनेक्शना बगर अॅपाचो वापर करूंक जायना."
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms. It is not at all developed for general public.",पोशन ट्रॅकर अॅपाचो लक्ष्य यूजरबेस कोण?
How to Login in Poshan Tracker App?,पोशन ट्रॅकर अॅप हो आंगनवाडी कामगारां खातीर तशेंच आंगनवाडी केंद्रांनी लाभार्थींचो डेटा फॉर्मांनी भरचे खातीर तयार केला. तो सामान्य लोकां विकसीत करूंक ना.
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.",पोशन ट्रॅकर अॅप लॉग ईन कशें करप?
What is  MPIN?,"आंगनवाडी कार्यकर्त्यांनी लॉग ईन स्क्रिनीर आपलो मोबायल क्रमांक नोंद करचो. तुज्या नोंदणीकृत मोबायल क्रमांकाचेर एक ओटीपी येतलो, जाचें उपरांत तुवें आपलो MPIN निर्मीत करूंक जाय."
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,MPIN म्हळ्यार कितें?
How to set MPIN?,MPIN हो चार अंकी पासकोड जो आंगनवाडी कार्यकर्त्या वतीन पोशन ट्रॅकर अॅपार नोंदणी करतना निर्मीत करतात.
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.",MPIN कसो निर्मीत करप?
When and how to use MPIN?,MPIN हो प्रत्येक आंगनवाडी कार्यकर्तो आपल्या मोबायल क्रमांकाचेर ओटीपी विनवून निर्मीत करूंक शकता. जर ओटीपी आदींच आंगनवाडीच्या डेटाबेसांत उपस्थीत आसा जाल्यार त्या आंगनवाडी कार्यकर्त्याक ताच्या नोंदणीकृत मोबायल क्रमांकाचेर 4 अंकी ओटीपी येतलो. ओटीपी नोंद केले उपरांत आंगनवाडी कर्मचारी सहजपणान विशिश्ट MPIN निर्मीत करूंक शकता.
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.",MPIN केन्ना आनी कसो वापरचो?
How to Reset MPIN?,"पोशन ट्रॅकर अॅपार लॉग ईन करतना, आंगनवडी कार्यकर्त्यान निर्मीत केल्लो MPIN नोंद करची गरज. हो MPIN पोशन ट्रॅकर अॅप चलोवपाक आनी लाभार्थीं फॉर्माची म्हायती नोंद करपा खातीर पासकोड म्हूण कार्य करतलो."
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN",MPIN पुनर्निर्मीत कसो करप?
In How many languages the Poshan Tracker App is available?,खंयच्याय आंगनवाडी कर्मचारी/आंगनवाडी केंद्र यूजरान MPIN सहजपणान पुनर्निर्मीत करूं येता. MPIN विसरलो हाचेर क्लिक करचें आनी तुजो नोंदणीकृत मोबायल क्रमांक नोंद करचो. तुज्या नोंदणीकृत मोबायल क्रमांकाचेर तुका ओटीपी येतलो आनी उपरांत सहजपणान तुवें तुजो MPIN पुनर्निर्मीत करूं येता.
Poshan Tracker App is available in 22 different languages,पोशन ट्रॅकर अॅप कितल्या भाशांनी उपलब्ध आसा.
The various languages available are:,पोशन ट्रॅकर अॅप 22 वेग वेगळ्या भाशांनी उपलब्ध आसा.
English,उपलब्ध आशिल्ल्यो विवीध भासो अश्यो:
Hindi,इंग्लीश
Gujarati,हिंदी
Punjabi,गुजराती
Marathi,पंजाबी
Bangla,मराठी
Kannada,बांगला
Tamil,कन्नड
Telugu,तमीळ
Malyalam,तेलगू
Odia,मलयाळम
Assamese,ओडिया
Nepali,असामी
Dogri,Nepali
Konkani,Dogri
Sindhi,Konkani
Bodo,Sindhi
Maithili,Bodo
Manipuri,Maithili
Santhali,Manipuri
Urdu,Santhali
Kashmiri,Urdu
In how many languages AWW can enter the data while filling up the form?,Kashmiri
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,फॉर्म भरतना आंगनवाडी कार्यकर्तो वा आंगनवाडी डेटा कितल्या भाशांनी नोंद करूंक शकता?
How many different forms are there in Poshan Tracker App?,आंगनवाडी कार्यकर्तो फॉर्म फकत इंग्लीश भाशेन भरूंक शकता.
There are 7 different types of forms for beneficiaries. This includes:,पोशन ट्रॅकर अॅपार वेग वेगळ्या प्रकाराचीं कितलीं फॉर्मां आसात?
Lactating mother,लाभार्थीं खातीर सात विवीध प्रकारांची फॉर्मां आसात. तीं अशीं:
Pregnant women,दुग्धधारण करपी आवयो
Child 0-6 Months,गुरवार बायलो
Child 6 Months to 3 Years,भुरगें 0- 6 म्हयने
Child  3 Years to 6 Years,भुरगें 6 म्हयने ते 3 वर्स
Adolescent Girls (11 Years-19 Years),भुरगें 3 वर्सां ते 6 वर्स
What information to be added in AWC forms?,किशोर वयाच्यो चलयो (11 वर्स ते 19 वर्स)
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.",आंगनवाडी केंद्र फॉर्मांनी कसली म्हायती जोडची?
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,"आंगनवाडी कार्यकर्त्यान ते विशिश्ट आंगनवाडी केंद्रांत आशिल्ल्या मुळावी साधनसुविधा संबंदची म्हायती नोंद करची. जातूंत इमारत, मुळावे सुखसोयी, साधन, नितळसाण, पिवपाचे उदक आदी गजाली आसपावतात."
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,आंगनवाडी कार्यकर्ते आपल्या मोबायल क्रमांका वरवीं नोंदणी करूंक अक्षम थारले जाल्यार ताणीं अॅपार सायन ईन कशें करप?
Their mobile number is not present in the data provided by the states to the MoWCD,जरीय आंगनवाडी कार्यकर्तो नोंदणी करूंक अपेशी थारता ताच्यो 2 संभाव्य कारणां आसूंक शकता:
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,राज्यांनी MoWCD हांकां दिल्ले डेटांत तांचो मोबायल क्रमांक नोंदणीकृत ना.
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,सिस्टमांत तांकां नवीन जोडल्यात आनी तांचो मोबायल क्रमांक राज्याच्या सेलान MoWCDक अजून प्रतिपादीत करूंक ना.
How can one access Poshan Tracker Dashboard?,वयर उल्लेखीत केल्ल्या दोनूय प्रकरणांनी राज्याचे नोडल अधिकाऱ्यांक खंयच्याय आंगनवाडी कार्यकर्त्यांक जोडूंक/काडूंक/सक्रीय/ निशक्रीय करपाचो अधिकार आसा.
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,पोशन ट्रॅकर डॅशबोर्डाचो उपयोग कसो करप?
https://poshantracker.in/admin,पोशन ट्रॅकर डॅशबोर्डाचो उपयोग करपाक डॅशबोर्डार सायन ईन करप. सकयल दिल्ले लिंक 
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.",https://poshantracker.in/admin
How one can add AWW/AWCs?," वापरून डॅशबोर्डाचो वापर करूं येता. फकत राश्ट्रीय, राज्य, जिल्लो, प्रोजेक्ट आनी सॅक्टर स्तरा वयले नामांकीत केल्ले नोडल स्तर अधिकाऱ्यांक डॅशबोर्डाचो वापर करपाक विशिश्ट क्रिडेंशियल दिल्ले आसतात."
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,कोणूय आंगनवाडी कर्मचारी/आंगनवाडी केंद्र कशें जोडूंक शकतात?
How many different types of reports can be generated over Poshan Tracker Dashboard?,"आंगनवाडी कर्मचारी/आंगनवाडी केंद्र फकत नोडल स्तर अधिकारी जोडूंक शकतात. वयल्या पदानुक्रमांत वयल्या पांवड्यार आशिल्ल्या कोणेंय हें कार्य करूं येता. राश्ट्रीय स्तरावयल्या यूजरान राज्या, जिल्लो, प्रोजेक्ट आनी सॅक्टर स्तरा वयले यूजर तायर करूं येता. राज्या स्तरा वयल्या यूजरान जिल्लो, प्रोजेक्ट आनी सॅक्टर स्तरा वयले यूजर तयार करूं येता. जिल्लो स्तरा वयल्या यूजरान प्रोजेक्ट आनी सॅक्टर स्तरा वयले यूजर तयार करूं येता, प्रोजेक्ट स्तरा वयल्या यूजरान सॅक्टर स्तरा वयले यूजर तयार करूं येता."
There are various reports that can be generated from,पोशन ट्रॅकर डॅशबोर्डार कितल्या वेग वेगळ्या प्रकाराचे अहवाल उत्पन्न करूं येतात?
General Reports:,हातुंतल्यान विभिन्न अहवाल उत्पन्न करूं येतात
Number of app  downloads,सामान्य अहवाल:
Total number of Anganwadi centers registered,डावनलॉड जाल्ल्या अॅपांचो आंकडो
Total number of beneficiaries registered (National/state/district/block wise),नोंदणीकृत आंगनवाडी केंद्रांचो एकूण आंकडो
Total Number of pregnant women registered(National/state/district/block wise),नोंदणीकृत लाभार्थींचो एकूण आंकडो (राश्ट्रीय/राज्य/जिल्लो/ब्लॉक पांवड्यार)
Total Number of  lactating mothers registered(National/state/district/block wise),नोंदणीकृत गुरवार बायलांचो एकूण आंकडो (राश्ट्रीय/राज्य/जिल्लो/ब्लॉक पांवड्यार)
Total Number of children (0-6months) registered(National/state/district/block wise),नोंदणीकृत जाल्ल्या दुग्धधारण करपी आवयांचो एकूण आंकडो (राश्ट्रीय/राज्य/जिल्लो/ब्लॉक पांवड्यार)
Total Number of children (6months-3years) registered(National/state/district/ block wise),नोंदणीकृत भुरग्यांचो (0-6 म्हयने) एकूण आंकडो (राश्ट्रीय/राज्य/जिल्लो/ब्लॉक पांवड्यार)
Total Number of children (3-6years) registered(National/state/district/ block wise),नोंदणीकृत भुरग्यांचो (6 म्हयने - 3 वर्स) एकूण आंकडो (राश्ट्रीय/राज्य/जिल्लो/ब्लॉक पांवड्यार)
Maternal and child nutrition:,नोंदणीकृत भुरग्यांचो (3 - 6 वर्स) एकूण आंकडो (राश्ट्रीय/राज्य/जिल्लो/ब्लॉक पांवड्यार)
How many beneficiaries got THR in 21 days,आवय आनी भुरग्याचें पोशण:
How many children breastfed exclusively in the first hour after delivery,21 दिसां भितर कितल्या लाभार्थ्यांक टीएचआर फावो जालो?
How many lactating mothers are given HCM,डिलिवरीच्या पयल्या वरा भितर कितल्या भुरग्यांक आवयचें दूद दिल्ले?
Average level of calcium in children aged 3-6 years,कितल्या दुग्धधारण करपी आवयांक एचसीएम दिला?
Average level of iron in children aged 3-6years,डिलिवरीच्या पयल्या वरा भितर कितल्या भुरग्यांक आवयचें दूद दिल्ले?
"Total number of vaccinations administered per month (block, district, state, national level)",3-6 वर्साच्या भुरग्यांत कॅलशियमाचो सरासरी स्तर
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,3-6 वर्साच्या भुरग्यांत आयरनाचो सरासरी स्तर
AWC infrastructure:,"दर म्हयन्याक नियंत्रीत केल्ल्या वासिनांचो एकूण आंकडो (ब्लॉक, जिल्लो, राज्य , राश्ट्रीय पांवड्यार)"
"Number of AWCs (block, district, state, national level)",दर म्हयन्याक नियंत्रीत केल्लो वासिनीकरणाचो विशिश्ट अहवाल (बीसीजी/ओपीवी/हॅपटायसीस B /रोटावायरस/ पोलियो/न्यूमोकोकल/पेंटावेलंट)
"Total number of Balvatikas (block district, state, national level)",आंगनवाडी केंद्र आधारभूत संरचना:
"Total number of AWCs (block, district, state, national level) with clean drinking water","आंगनवाडींचो आंकडो (ब्लॉक, जिल्लो, राज्य , राश्ट्रीय पांवड्यार)"
"Total number of AWCs (block, district, state, national level) with working weighing scale","बालवाटिकांचो एकूण आंकडो (ब्लॉक, जिल्लो, राज्य , राश्ट्रीय पांवड्यार)"
"Total number of AWCs (block, district, state, national level) with electricity","निवळ पिवपाचें उदक आशिल्ले आंगनवाडींचो एकूण आंकडो (ब्लॉक, जिल्लो, राज्य , राश्ट्रीय पांवड्यार)"
Total number of AWCs that are government owned,"वजन मापन आशिल्ले आंगनवाडींचो एकूण आंकडो (ब्लॉक, जिल्लो, राज्य , राश्ट्रीय पांवड्यार)"
Total number of AWCs that are privately owned,"वीज सुविधा आशिल्ले आंगनवाडींचो एकूण आंकडो (ब्लॉक, जिल्लो, राज्य , राश्ट्रीय पांवड्यार)"
How to contact Poshan Tracker Team?,सरकारी आंगनवाडींचो एकूण आंकडो
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,खाजगी आंगनवाडींचो एकूण आंकडो
Can a beneficiary register directly using application.,पोशण ट्रॅकर पंगडा कडेन संपर्क कसो करचो?
Currently a beneficiary can register by the help of an AWW,support-poshantrackr@gov.in ह्या ईमेलाचेर ईमेल धाडून पोशान ट्रॅकर पंगडा कडेन संपर्क सादूं येता. हात धरपा खातीर आनी आदार खातीर आमी व्हिडियो कॉन्फरन्साचेरूय दर दिसा 4:15 PM ते 5:15 PM मेरेन उपलब्ध आसात.
Who is a beneficiary?,अर्ज वापरून लावार्थी थेट नोंदणी करूंक शकता.
There are 6 categories for beneficiaries,सद्या लावार्थी एडब्ल्यूडब्ल्यूच्या आदारान नोंदणी करूंक शकता
Pregnant Women,लावार्थी म्हळ्यार कोण?
Lactating Mother,लावार्थ्यां खातीर 6 वर्ग आसात
Children from 0 to 6 months,गुरवार बायलो
Children from 6 months to 3 years,दुदाक धरपी आवय
Children from 3 years to 6 years,0 ते 6 म्हयन्यांचीं भुरगीं
Adolescent girls,6 म्हयन्यां सावन 3 वर्सां मेरेनचीं भुरगीं
Can a beneficiary change his/her AWC?,3 वर्सां ते 6 वर्सां मेरेनचीं भुरगीं
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,किशोरवयीन चलयो
What is the eligibility of a beneficiary?,लावार्थी आपलो/आपलें एडब्ल्यूसी बदलूंक शकता?
A beneficiary is eligible for THR for at least 21 days in a month.,एक एडब्ल्यूडब्ल्यू तांच्या आधार क्रमांकाचेर आदारून एका एडब्ल्यूसींतल्यान दुसऱ्या एडब्ल्यूसींत लावार्थी स्थलांतरीत करपाक ‘लावार्थी स्थलांतरीत करचो’ पर्याय वापरूं येता.
Who is eligible for Take Home Ration?,लावार्थ्याची पात्रताय कितें?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.",लावार्थी एका म्हयन्यांत उण्यांत उणे 21 दीस टीएचआर मेळोवपाक पात्र आसता.
Where can I enquire about take home ration?,टेक होम रेशन खातीर कोण पात्र आसा?
Please contact your respective Anganwadi worker.,"गुरवार बायलो, दुदाक धरपी आवयो, 6 म्हयने ते 3 वर्सां पिरायेचीं भुरगीं आनी किशोरवयीन चलयो."
Who is eligible for additional supplementary food.,टेक होम रेशन विशीं खंय चवकशी करूं येता?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,तुमच्या संबंदीत आंगनवाडी कार्यकर्त्या कडेन संपर्क सादचो.
What is the eligibility of a beneficiary?,अतिरिक्त पूरक अन्न मेळोवपाक कोण पात्र आसा.
A beneficiary is eligible for HCM for at least 21 days in a month.,पोशणाचो उणाव आसा अशें वळखून घेतिल्लीं भुरगीं अतिरिक्त अन्न पूरक आहारां खातीर पात्र थारतात.
Who is eligible for Hot Cooked Meal?,लावार्थ्याची पात्रताय कितें?
Children in the age group of 3 years to 6 years,लावार्थी म्हयन्यांत उण्यांत उणे 21 दीस एचसीएम मेळोवपाक पात्र आसता.
Where can I enquire about Hot Cooked Meal?,गरम शिजयल्लें जेवणा खातीर पात्र आसा?
Please contact your respective Anganwadi Centre.,3 वर्सां ते 6 वर्सां पिरायेच्या गटांतलीं भुरगीं
Who is eligible for additional supplementary food?,गरम शिजयल्ल्या जेवणाची खंय चवकशी करूं येता?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,उपकार करून तुमच्या संबंदीत आंगनवाडी केंद्रा कडेन संपर्क सादचो.
Support,अतिरिक्त पूरक अन्न मेळोवपाक कोण पात्र आसा?
 14408,पोशणाचो उणाव आसा अशें वळखून घेतिल्लीं भुरगीं अतिरिक्त अन्न पूरक आहारां खातीर पात्र थारतात.
 support-poshantrackr@gov.in,तेंको
Download Mobile App, 14408
Powered By, support-poshantrackr@gov.in
About,मोबायल ऍप्लिकेशन डावनलोड करचें
Resources,Powered By
Dashboard,ताचे विशीं
Helpdesk,संसाधन
FAQ,डॅशबोर्ड
Poshan Calculator,मदत डेस्क
Terms of Service,परतून परतून विचारिल्ले प्रस्न
Privacy Policy,पोशण कॅल्क्यूटर
Careers,सेवा अटी
Copyright@2023  Poshan Tracker. All rights reserved,गुप्तताय धोरण
 You need to enable JavaScript to run this app.,करियर
Poshan Helpline:,Copyright@2023  Poshan Tracker. All rights reserved
14408, You need to enable JavaScript to run this app.
JanAndolan,Poshan Helpline:
ABHA (Health ID),14408
Language,JanAndolan
English,एभीएचए (हॅल्थ आय डी)
हिंदी,भास
ગુજરાતી,English
મરાઠી,हिंदी
ಕನ್ನಡ,ગુજરાતી
മലയാളം,મરાઠી
தமிழ்,ಕನ್ನಡ
తెలుగు,മലയാളം
বাংলা,தமிழ்
অসমীয়া,తెలుగు
ਪੰਜਾਬੀ,বাংলা
ଓଡ଼ିଆ,অসমীয়া
नेपाली,ਪੰਜਾਬੀ
डोगरी,ଓଡ଼ିଆ
कोंकणी,नेपाली
सिंधी,डोगरी
बोडो,कोंकणी
मैथिली,सिंधी
মণিপুরী,बोडो
संथाली,मैथिली
اردو,মণিপুরী
کٲشُر,संथाली
About,اردو
Resources,کٲشُر
Resources,ताचे विशीं
Vaccination Schedule,संसाधन
Dashboard,संसाधन
Dashboard,लसीकरण वेळापत्रक
Mission Utkarsh,डॅशबोर्ड
Helpdesk,डॅशबोर्ड
Beneficiary Redressal,Mission Utkarsh
State Helpdesk,मदत डेस्क
FAQ,लाभार्थी निवारण
Poshan Calculator,राज्या आदारकक्ष
Login,परतून परतून विचारिल्ले प्रस्न
Poshan Calculator,पोशण कॅल्क्यूटर
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,लॉग ईन
How to use Poshan Calculator?,पोशण कॅल्क्यूटर
Select Gender,विश्व भलायकी संघटनेन (WHO) परिभाशीत केल्ल्या मानकां प्रमाण भुरग्याची वाड मापपा खातीर पोशन ट्रॅकर डिजायन केला.
Enter Date of Birth,पोशण ट्रॅकर कसो वापरचो?
Enter Height in centimeter,लिंग निवडात
Enter Weight in kilogram,जल्म तारीख प्रवेश करात
Click on Show Results,उंचाय सेंटीमिटरांत प्रवेश करची
Gender ,वजन किलोग्रामांत प्रवेश करचें
*,परिणाम दाखयात हाचेर क्लिक करात
Boy,लिंग 
Girl,*
Date of Birth ,चलो
*,चली
Height (CM) ,जल्म तारीख 
*,*
*Height should be between 38 to 150,उंची (सेमी) (CM) 
CM,*
Weight (KG) ,*उंची 38 ते 150 मजगतीं आसूंक जाय
*,सेमी
*Weight should be between 0.90 to 58,वजन (किलो) (KG) 
KG,*
Show Results,*वजन 0.90 ते 58 मजगतीं आसूंक जाय
What is Poshan Calculator,किलो
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,निकाल दाखोवचे
WHO standards are :,पोशन कॅल्क्युलेटर म्हणल्यार कितें
Stunting ( Height for Age)- ,पोशण कॅल्क्युलेटर विश्व भलायकी संघटनेच्या (डब्ल्यूएचओ) मानकां प्रमाण भुरग्याच्यो वेगवेगळ्यो भलायकी परिस्थिती वळखुपाक मदत करता.
0 months to 6 years,डब्ल्यूएचओचे मानक अशे आसात :
Severely Stunted,स्टंटिंग ( पिराये खातीर उंचाय)- . 
Moderately stunted,0 म्हयने ते 6 वर्सां
Normal,सामकें मोटवें
Underweight (Weight for Age)- ,मध्यम प्रमाणांत स्टंटेड
0 months to 6 years,सामान्य
Severely Underweight,उणें वजन (पिराये प्रमाण वजन)- . 
Moderately Underweight,0 म्हयने ते 6 वर्सां
Normal,गंभीरपणान उणें वजन
Wasting (Weight for Height)- ,थोडेशें कमी वजन
0 months to 5 years,सामान्य
Severely Wasted (SAM),वाया घालप (उंचाये खातीर वजन)- . 
Moderately Wasted (MAM),0 म्हयने ते 5 वर्सां
Normal,गंभीरपणान वाया घाल्लें (एसएएम) .
Overweight,मध्यम प्रमाणांत वाया घाल्ली (एमएएम) .
Obese,सामान्य
Above standards are defined as per given above mentioned age brackets,वजन चड आसप
About Reference tables,अती मोठेंपण (ऑबीज)
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,वयर सांगिल्ल्या पिरायेच्या कंसांतल्यान दिल्ल्या प्रमाण वयर दिल्ल्या मानकांची व्याख्या केल्या
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA).",संदर्भ तकट्यां विशीं
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development.,संवसारभरांतल्या अर्भक आनी ल्हान भुरग्यांच्या वाडीच्या आनी विकासाचें मुल्यांकन करपा खातीर नवे वाडीचे वक्र तयार करपा खातीर 1997 ते 2003 ह्या काळांत डब्ल्यूएचओ मल्टीसेंटर ग्रोथ रेफरन्स स्टडी (एमजीआरएस) सुरू केल्लो.
How to revive your Health?,"एमजीआरएसान व्यापकपणान वेगवेगळ्या वंशीक फाटभूंय आनी संस्कृतीक परिस्थितींतल्या (ब्राझील, घाना, भारत, नॉर्वे, ओमान आनी अमेरिकेचीं संयुक्त संस्थानां) सुमार 8500 भुरग्यां कडल्यान प्राथमीक वाडीचो डेटा आनी संबंदीत म्हायती एकठांय केली.."
How to revive your health if you are Severely Wasted (SAM),नव्या वाडीच्या वक्रांतल्यान जल्मासावन पांच वर्सां पिरायेच्या सगळ्या भुरग्यांखातीर शारिरीक वाडीचें सगळ्यांत बरें वर्णन दाखोवपी एकूच आंतरराश्ट्रीय मानक दिवपाची अपेक्षा आसा आनी स्तनपान केल्ल्या भुरग्यांच्या वाड आनी विकासाखातीर प्रमाणीक आदर्श म्हूण स्थापन करपाची अपेक्षा आसा.
How to revive your health if you are Moderately Wasted (MAM),भलायकी परतून बरी कशी करची?
How to revive your health if you are Underweight,तुमी गंभीरपणान दुयेंत (SAM) आसत जाल्यार तुमची भलायकी कशी परतून बरी करची
×,तुमी मध्यम दुयेंत (MAM) आसत जाल्यार तुमची भलायकी कशी परतून जिवी करची
×,तुमचें वजन कमी आसल्यार तुमची भलायकी कशी परतून बरी करची
×,×
Support,×
 14408,×
 support-poshantrackr@gov.in,तेंको
Download Mobile App, 14408
Powered By, support-poshantrackr@gov.in
About,मोबायल ऍप्लिकेशन डावनलोड करचें
Resources,Powered By
Dashboard,ताचे विशीं
Helpdesk,संसाधन
FAQ,डॅशबोर्ड
Poshan Calculator,मदत डेस्क
Terms of Service,परतून परतून विचारिल्ले प्रस्न
Privacy Policy,पोशण कॅल्क्यूटर
Careers,सेवा अटी
Copyright@2023  Poshan Tracker. All rights reserved,गुप्तताय धोरण
 You need to enable JavaScript to run this app.,करियर
Poshan Helpline:,Copyright@2023  Poshan Tracker. All rights reserved
14408, You need to enable JavaScript to run this app.
JanAndolan,Poshan Helpline:
ABHA (Health ID),14408
Language,JanAndolan
English,एभीएचए (हॅल्थ आय डी)
हिंदी,भास
ગુજરાતી,English
મરાઠી,हिंदी
ಕನ್ನಡ,ગુજરાતી
മലയാളം,મરાઠી
தமிழ்,ಕನ್ನಡ
తెలుగు,മലയാളം
বাংলা,தமிழ்
অসমীয়া,తెలుగు
ਪੰਜਾਬੀ,বাংলা
ଓଡ଼ିଆ,অসমীয়া
नेपाली,ਪੰਜਾਬੀ
डोगरी,ଓଡ଼ିଆ
कोंकणी,नेपाली
सिंधी,डोगरी
बोडो,कोंकणी
मैथिली,सिंधी
মণিপুরী,बोडो
संथाली,मैथिली
اردو,মণিপুরী
کٲشُر,संथाली
About,اردو
Resources,کٲشُر
Resources,ताचे विशीं
Vaccination Schedule,संसाधन
Dashboard,संसाधन
Dashboard,लसीकरण वेळापत्रक
Mission Utkarsh,डॅशबोर्ड
Helpdesk,डॅशबोर्ड
Beneficiary Redressal,Mission Utkarsh
State Helpdesk,मदत डेस्क
FAQ,लाभार्थी निवारण
Poshan Calculator,राज्या आदारकक्ष
Login,परतून परतून विचारिल्ले प्रस्न
Terms of Service,पोशण कॅल्क्यूटर
Welcome! The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at ,लॉग ईन
https://poshantracker.in,सेवा अटी
", and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).",येवकार! 
I. OWNERSHIP,https://poshantracker.in
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers."," हांगा होस्ट केल्ल्या पोशण ट्रॅकर प्लॅटफॉर्माच्या तुमचो वापराचेर नियंत्रण दवरपी सेवा अटी (“अटी”) सकयल दिल्यात, आनी दुवो केल्लीं सगळीं संबंदीत सायट ताका, ताच्या उपकंपनींक आनी संबंदीतांक (सामुहीकपणान, “सायट”)."
II. CONSENT,I. मालकी
