en,gu
Pregnant women,Poshan Helpline
Child 0-6 Months,14408
Child 6 Months to 3 Years,ઇમેઇલ
Child  3 Years to 6 Years,support-poshantrackr@gov.
Adolescent Girls (11 Years-19 Years),in
What information to be added in AWC forms?,જિલ્લા દ્વારા
AWW are required to enter details related to infrastructure present in a particular Anganwadi centre.,રાજ્ય
"This includes structure, basic amenities, facilities, sanitization, drinking water etc.",*
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,સ્થિતિ પસંદ કરો
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,જિલ્લો
Their mobile number is not present in the data provided by the states to the MoWCD,*
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,જિલ્લો પસંદ કરો
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,પ્રોજેક્ટ
How can one access Poshan Tracker Dashboard?,*
Poshan Tracker Dashboard can be accessed by signing onto the dashboard.,પ્રોજેક્ટ પસંદ કરો
Dashboard can be accessed by clicking the link,સેક્ટર (ક્ષેત્ર)
https://poshantracker.,*
in/admin,સેક્ટર (ક્ષેત્ર)ની પસંદગી કરો
"Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.",આંગણવાડી કેન્દ્ર
How one can add AWW/AWCs?,*
AWW/AWCs can only be added by nodal level official.,આંગણવાડી કેન્દ્ર પસંદ કરો
Anybody in the above rank in the hierarchy.,ટીકિટનું સર્જન કરો
How many different types of reports can be generated over Poshan Tracker Dashboard?,રિસેટ
There are various reports that can be generated from,મદદ
General Reports:,14408
Number of app  downloads,support-poshantrackr@gov.
Total number of Anganwadi centers registered,in
Total number of beneficiaries registered (National/state/district/block wise),મોબાઈલ એપ ડાઉનલોડ કરો
Total Number of pregnant women registered(National/state/district/block wise),Powered By
Total Number of  lactating mothers registered(National/state/district/block wise),વિશે
Total Number of children (0-6months) registered(National/state/district/block wise),સંસાધનો
Total Number of children (6months-3years) registered(National/state/district/ block wise),ડેશબોર્ડ
Total Number of children (3-6years) registered(National/state/district/ block wise),હેલ્પડેસ્ક
Maternal and child nutrition:,વારંવાર પૂછાતા પ્રશ્નો
How many beneficiaries got THR in 21 days,પોષણ કેલ્ક્યુલેટર
How many children breastfed exclusively in the first hour after delivery,સેવાની શરતો
How many lactating mothers are given HCM,પ્રાઇવસી પોલિસી
Average level of calcium in children aged 3-6 years,કારકિર્દ
Average level of iron in children aged 3-6years,Copyright@2023  Poshan Tracker.
"Total number of vaccinations administered per month (block, district, state, national level)",All rights reserved
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,You need to enable JavaScript to run this app.
AWC infrastructure:,Poshan Helpline:
"Number of AWCs (block, district, state, national level)",14408
"Total number of Balvatikas (block district, state, national level)",JanAndolan
"Total number of AWCs (block, district, state, national level) with clean drinking water",ABHA (હેલ્થ ID)
"Total number of AWCs (block, district, state, national level) with working weighing scale",ભાષા
"Total number of AWCs (block, district, state, national level) with electricity",English
Total number of AWCs that are government owned,हिंदी
Total number of AWCs that are privately owned,ગુજરાતી
How to contact Poshan Tracker Team?,મરાઠી
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov. in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,ಕನ್ನಡ
Can a beneficiary register directly using application.,മലയാളം
Currently a beneficiary can register by the help of an AWW,தமிழ்
Who is a beneficiary?,తెలుగు
There are 6 categories for beneficiaries,বাংলা
Pregnant Women,অসমীয়া
Lactating Mother,ਪੰਜਾਬੀ
Children from 0 to 6 months,ଓଡ଼ିଆ
Children from 6 months to 3 years,नेपाली
Children from 3 years to 6 years,डोगरी
Adolescent girls,कोंकणी
Can a beneficiary change his/her AWC?,सिंधी
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,बोडो
What is the eligibility of a beneficiary?,मैथिली
A beneficiary is eligible for THR for at least 21 days in a month.,মণিপুরী
Who is eligible for Take Home Ration?,संथाली
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.",اردو
Where can I enquire about take home ration?,کٲشُر
Please contact your respective Anganwadi worker.,વિશે
Who is eligible for additional supplementary food.,સંસાધનો
Children who are identified as deficit on nutrition are eligible for additional food supplements.,સંસાધનો
What is the eligibility of a beneficiary?,રસીકરણ શેડ્યૂલ
A beneficiary is eligible for HCM for at least 21 days in a month.,ડેશબોર્ડ
Who is eligible for Hot Cooked Meal?,ડેશબોર્ડ
Children in the age group of 3 years to 6 years,Mission Utkarsh
Where can I enquire about Hot Cooked Meal?,હેલ્પડેસ્ક
Please contact your respective Anganwadi Centre.,લાભાર્થી અસંતોષ નિવારણ
Who is eligible for additional supplementary food?,રાજ્ય હેલ્પડેસ્ક
Children who are identified as deficit on nutrition are eligible for additional food supplements.,વારંવાર પૂછાતા પ્રશ્નો
Support,લાભાર્થી અસંતોષ નિવારણ
14408,પ્રવેશ
support-poshantrackr@gov.,નવી ટિકિટ ખોલો
in,ટિકિટની સ્થિતિ તપાસો
Download Mobile App,ટિકિટ સ્ટેટસ તપાસો
Powered By,કૃપા કરીને તમારો મોબાઈલ નંબર અને ટિકિટ નંબર આપો.
About,મોબાઈલ
Resources,*
Dashboard,ટિકિટ નંબર
Helpdesk,*
FAQ,ટિકિટ જુઓ
Poshan Calculator,"જો તમે અમારો સંપર્ક કરી રહ્યા હોવ અથવા તમે ટિકિટ નંબર ગુમાવી દીધો હોય, તો કૃપા"
Terms of Service,કરીને નવી ટિકિટ ખોલો
Privacy Policy,મદદ
Careers,14408
Copyright@2023  Poshan Tracker.,support-poshantrackr@gov.
All rights reserved,in
You need to enable JavaScript to run this app.,મોબાઈલ એપ ડાઉનલોડ કરો
Poshan Helpline:,Powered By
14408,વિશે
JanAndolan,સંસાધનો
ABHA (Health ID),ડેશબોર્ડ
Language,હેલ્પડેસ્ક
English,વારંવાર પૂછાતા પ્રશ્નો
हिंदी,પોષણ કેલ્ક્યુલેટર
ગુજરાતી,સેવાની શરતો
મરાઠી,પ્રાઇવસી પોલિસી
ಕನ್ನಡ,કારકિર્દ
മലയാളം,Copyright@2023  Poshan Tracker.
தமிழ்,All rights reserved
తెలుగు,You need to enable JavaScript to run this app.
বাংলা,Poshan Helpline:
অসমীয়া,14408
ਪੰਜਾਬੀ,JanAndolan
ଓଡ଼ିଆ,ABHA (હેલ્થ ID)
नेपाली,ભાષા
डोगरी,English
कोंकणी,हिंदी
सिंधी,ગુજરાતી
बोडो,મરાઠી
मैथिली,ಕನ್ನಡ
মণিপুরী,മലയാളം
संथाली,தமிழ்
اردو,తెలుగు
کٲشُر,বাংলা
About,অসমীয়া
Resources,ਪੰਜਾਬੀ
Resources,ଓଡ଼ିଆ
Vaccination Schedule,नेपाली
Dashboard,डोगरी
Dashboard,कोंकणी
Mission Utkarsh,सिंधी
Helpdesk,बोडो
Beneficiary Redressal,मैथिली
State Helpdesk,মণিপুরী
FAQ,संथाली
Poshan Calculator,اردو
Login,کٲشُر
Poshan Calculator,વિશે
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,સંસાધનો
How to use Poshan Calculator?,સંસાધનો
Select Gender,રસીકરણ શેડ્યૂલ
Enter Date of Birth,ડેશબોર્ડ
Enter Height in centimeter,ડેશબોર્ડ
Enter Weight in kilogram,Mission Utkarsh
Click on Show Results,હેલ્પડેસ્ક
Gender,લાભાર્થી અસંતોષ નિવારણ
*,રાજ્ય હેલ્પડેસ્ક
Boy,વારંવાર પૂછાતા પ્રશ્નો
Girl,લાભાર્થી અસંતોષ નિવારણ
Date of Birth,પ્રવેશ
*,વારંવાર પૂછાતા પ્રશ્નો
Height (CM),બધા
*,લાભાર્થી નોંધણી
*Height should be between 38 to 150,ઘરે રાશન લો
CM,ગરમ રાંધેલું ભોજન
Weight (KG),પોશણ અભિયાન એટલે શું?
*,"બાળકો, કિશોરો, સગર્ભાઓ માટેના પોષક પરિણામોને સુધારવા માટે, પોશણ અભિયાન એ ભારતનો મુખ્ય કાર્યક્રમ છે."
*Weight should be between 0.90 to 58,પોશણ ટ્રેકર શરૂ કરવાનો હેતુ શું છે?
KG,"પોશણ ટ્રેકર એપ્લિકેશનનો હેતુ આંગણવાડી કેન્દ્ર (એડબ્લ્યુસી) ની પ્રવૃત્તિઓ, આંગણવાડી કામદારો (એડબ્લ્યુડબ્લ્યુ) ની સેવા વિતરણ અને સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ અને બાળકો માટે સંપૂર્ણ લાભાર્થી સંચાલનનો 360 ડિગ્રી દૃશ્ય પ્રદાન કરવાનો છે."
Show Results,"સૂચિત સિસ્ટમમાં બધા આંગણવાડી કેન્દ્રો, આંગણવાડી કામદારો અને લાભાર્થીઓને નિર્ધારિત સૂચકાંકો પર રીઅલ-ટાઇમ મોનિટરિંગ અને ટ્રેકિંગને સક્ષમ બનાવવું જોઈએ."
What is Poshan Calculator,પોષણ ટ્રેકર એપ્લિકેશન કેવી રીતે ડાઉનલોડ કરી શકાય છે?
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,પોષણ ટ્રેકર એપ્લિકેશન ગૂગલ પ્લે સ્ટોર
WHO standards are :,https://play. google. com/store/apps/details?
Stunting ( Height for Age)-,id=com. poshantracker
0 months to 6 years,પર ઉપલબ્ધ છે.
Severely Stunted,શું પોષણ ટ્રેક્સ એપ્લિકેશન એપલ આઇ સ્ટોર ઉપર પણ ઉપલબ્ધ છે?
Moderately stunted,"ના, પોષણ ટ્રેકર ફક્ત એન્ડ્રોઇડ સંસ્કરણ માટે ઉપલબ્ધ છે."
Normal,મોબાઈલમાં પોષણ ટ્રેકર એપ ઇન્સ્ટોલ કરવા માટે ન્યૂનતમ આવશ્યકતા શું છે?
Underweight (Weight for Age)-,પોષણ ટ્રેકર એપ્લિકેશન ફક્ત એન્ડ્રોઇડ 6.0 અને તેથી વધુનાં સંસ્કરણ વાળ ફોનમાં ઇન્સ્ટોલ કરી શકાય છે.
0 months to 6 years,શું આ એપ્લિકેશનને ઇન્ટરનેટ વિના ચલાવી શકાય છે?
Severely Underweight,"ના, એપ્લિકેશન માન્ય ઇન્ટરનેટ કનેક્શન વિના કાર્ય કરશે નહીં."
Moderately Underweight,પોષણ ટ્રેકર એપ્લિકેશનના લક્ષ્ય વપરાશકર્તા આધાર કોણ છે?
Normal,"ફોર્મમાં લાભાર્થીઓનો ડેટા દાખલ કરવા માટે પોષણ ટ્રેકર એપ્લિકેશન, આંગણવાડી કાર્યકરો, આંગણવાડી કેન્દ્રો માટે છે."
Wasting (Weight for Height)-,તે સામાન્ય લોકો માટે બિલકુલ વિકસિત નથી.
0 months to 5 years,પોષણ ટ્રેકર એપ્લિકેશનમાં પ્રવેશ કરો કેવી રીતે કરવું?
Severely Wasted (SAM),આંગણ વાડી કાર્યકરોને લૉગિન સ્ક્રીન પર તેમનો મોબાઇલ નંબર દાખલ કરવા માટે વિનંતી કરવામાં આવે છે.
Moderately Wasted (MAM),"તમારા નોંધાવેલ મોબાઇલ નંબર પર એક ઓટીપી મોકલવામાં આવશે, ત્યાર પછી કે તમને એમપિન સેટ કરવું પડશે."
Normal,એમપિન એટલે શું?
Overweight,"એમપિન એ 4 અંકનો પાસકોડ છે, જે પોષણ ટ્રેકર એપ પર નોંધણી કરતી વખતે આંગણવાડી કાર્યકર દ્વારા સેટ કરવામાં આવે છે."
Obese,એમપિન કેવી રીતે સેટ કરવું?
Above standards are defined as per given above mentioned age brackets,"સંબંધિત આંગણવાડી કાર્યકરના મોબાઇલ નંબર પર ઓટીપીની વિનંતી કરીને, તેમના દ્વારા એમપિન સેટ કરી શકાય છે."
About Reference tables,"જો મોબાઇલ નંબર ડેટાબેસમાં પહેલેથી હાજર હશે, તો સંબંધિત આંગણવાડી વ્યક્તિ નોંધાયેલા મોબાઇલ નંબર પર 4 અંકનો ઓટીપી મેળવશે."
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,"ઓટીપી દાખલ કર્યા પછી, આંગણવાડી કાર્યકર સરળતાથી કસ્ટમાઇઝ્ડ એમપિન સેટ કરી શકે છે."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA).",એમપિનનો ઉપયોગ ક્યારે અને કેવી રીતે કરવો?
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development.,"પોષણ ટ્રેકર એપ્લિકેશન પર લૉગિન કરતાં સમયે, કાર્યકરોને તેમના દ્વારા સેટ કરેલ એમપિન દાખલ કરવો જરૂરી છે."
How to revive your Health?,આ એમપિન પોષણ ટ્રેકર એપ્લિકેશન ચલાવવા અને લાભાર્થીઓના ફોર્મમાં માહિતી દાખલ કરવા માટે પાસકોડ તરીકે કાર્ય કરશે.
How to revive your health if you are Severely Wasted (SAM),એમપિન કેવી રીતે ફરીથી સેટ કરવું?
How to revive your health if you are Moderately Wasted (MAM),એમપિનને કોઈપણ વપરાશકર્તા જેમ કે આંગણવાડી કાર્યકર/ આંગણવાડી કેન્દ્રો દ્વારા સરળતાથી ફરીથી સેટ કરી શકાય છે.
How to revive your health if you are Underweight,તમારે ફરગોટ એમપિન પર ક્લિક કરવાની જરૂર છે અને તમારો નોંધાયેલ મોબાઇલ નંબર દાખલ કરવો પડશે.
×,તમે તમારા નોંધાયેલા મોબાઈલ નંબર પર ઓટીપી પ્રાપ્ત થશે અને તમે તમારો એમપિન સરળતાથી ફરીથી સેટ કરી શકો છો.
×,પોષણ ટ્રેકર એપ્લિકેશન કેટલી ભાષાઓમાં ઉપલબ્ધ છે?
×,પોષણ ટ્રેકર એપ્લિકેશન 22 વિવિધ ભાષાઓમાં ઉપલબ્ધ છે.
Support,ઉપલબ્ધ વિવિધ ભાષાઓ છે:
14408,અંગ્રેજી
support-poshantrackr@gov.,હિન્દી
in,ગુજરાતી
Download Mobile App,પંજાબી
Powered By,મરાઠી
About,બાંગ્લા
Resources,કન્નડ
Dashboard,તમિળ
Helpdesk,તેલુગુ
FAQ,મલયાલમ
Poshan Calculator,ઓડિયા
Terms of Service,આસામી
Privacy Policy,Nepali
Careers,Dogri
Copyright@2023  Poshan Tracker.,Konkani
All rights reserved,Sindhi
You need to enable JavaScript to run this app.,Bodo
Poshan Helpline:,Maithili
14408,Manipuri
JanAndolan,Santhali
ABHA (Health ID),Urdu
Language,Kashmiri
English,આંગણવાડી કાર્યકર અથવા કેન્દ્ર ફોર્મ ભરતી વખતે કેટલી ભાષાઓમાં ડેટા દાખલ કરી શકે છે?
हिंदी,આંગણવાડી કાર્યકર ફક્ત અંગ્રેજી ભાષામાં જ ફોર્મ ભરી શકે છે.
ગુજરાતી,પોષણ ટ્રેકર એપ્લિકેશનમાં કેટલા વિવિધ ફોર્મ આપેલા છે?
મરાઠી,લાભાર્થીઓ માટે 7 વિવિધ પ્રકારનાં ફોર્મ છે.
ಕನ್ನಡ,જેમાં શામેલ છે:
മലയാളം,સ્તનપાન કરાવતી માતા
தமிழ்,સગર્ભા સ્ત્રીઓ
తెలుగు,બાળક 0-6 મહિના
বাংলা,બાળક 6 મહિનાથી 3 વર્ષ
অসমীয়া,બાળક 3 વર્ષથી 6 વર્ષ
ਪੰਜਾਬੀ,કિશોરવયની છોકરીઓ (11 વર્ષ -19 વર્ષ)
ଓଡ଼ିଆ,આંગણવાડી કેન્દ્ર ફોર્મમાં કઈ માહિતી ઉમેરવાની છે?
नेपाली,"આંગણવાડી કાર્યકરોને, એક ચોક્કસ આંગણવાડી કેન્દ્રમાં હાજર માળખા સાથે સંબંધિત વિગતો દાખલ કરવી જરૂરી છે."
डोगरी,"આમાં માળખું, પાયાની સુવિધાઓ, સગવડો, સ્વચ્છતા, પીવાનું પાણી વગેરે શામેલ છે."
कोंकणी,જો આંગણવાડી કાર્યકરો તેમના મોબાઇલ નંબર દ્વારા નોંધણી કરવામાં અસમર્થ હોય તો એપ્લિકેશન પર કેવી રીતે સાઇન અપ કરી શકે છે?
सिंधी,"જો આંગણવાડી કાર્યકરો પોતાણી નોંધણી કરવામાં અસફળ થાય, તો તેની 2 શક્યતાઓ હોઈ શકે છે:"
बोडो,એમઓડબ્લ્યુસીડીને રાજ્યો દ્વારા પ્રદાન કરવામાં આવેલા ડેટામાં તેમનો મોબાઇલ નંબર હાજર નથી.
मैथिली,તેઓ સિસ્ટમમાં નવા ઉમેરાયા છે અને તેમનો મોબાઈલ નંબર રાજ્ય સેલ દ્વારા એમઓડબ્લ્યુસીડીને હજી પ્રદાન કરવામાં આવ્યો નથી.
মণিপুরী,ઉપરોક્ત બંને કેસોમાં રાજ્ય નોડલ અધિકારીઓને કોઈપણ આંગણવાડી કાર્યકરને ઉમેરવા / સંપાદન / સક્રિય / નિષ્ક્રિય કરવા માટે સત્તા આપવામાં આવી છે.
संथाली,પોષણ ટ્રેકર ડેશબોર્ડને કેવી રીતે ચલાવી શકાય છે?
اردو,ડેશબોર્ડ પર સાઇન ઇન કરીને પોષણ ટ્રેકર ડેશબોર્ડ ને ચલાવી શકાય છે. https://poshantracker. in/admin
کٲشُر,લિંક પર ક્લિક કરીને ડેશબોર્ડને ચલાવી શકાય છે.
About,"રાષ્ટ્રીય, રાજ્ય, જિલ્લા, પરિકલ્પના અને ડેશબોર્ડને ચલાવવા માટે સેક્ટર કક્ષાના નોડલ કક્ષાના નામાંકિત અધિકારીઓને જ અનન્ય પ્રમાણપત્ર આપવામાં આવે છે."
Resources,આંગણવાડી કાર્યકરોને/આંગણવાડી કેન્દ્રોને કેવી રીતે ઉમેરી શકાય છે?
Resources,આંગણવાડી કાર્યકરો/આંગણવાડી કેન્દ્રોને ફક્ત નોડલ કક્ષાના અધિકારી દ્વારા ઉમેરી શકાય છે.
Vaccination Schedule,વંશવેલોમાં ઉપરના ભાગમાં જણાવેલ કોઈપણ અધિકારી.
Dashboard,"રાષ્ટ્રીય કક્ષાનો વપરાશકર્તા રાજ્ય, જિલ્લા, પરિયોજના અને ખંડ કક્ષાના વપરાશકર્તા બનાવી શકે છે."
Dashboard,"રાજ્ય કક્ષાનો વપરાશકર્તા જિલ્લા, પરિયોજના અને ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે."
Mission Utkarsh,જિલ્લા કક્ષાનો વપરાશકર્તા પરિયોજના અને ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે.
Helpdesk,"પરિયોજના કક્ષાનો વપરાશકર્તા, ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે."
Beneficiary Redressal,પોષણ ટ્રેકર ડેશબોર્ડ પર કેટલા વિવિધ પ્રકારનાં અહેવાલો ઉત્પન્ન થઈ શકે છે?
State Helpdesk,એપમાંથી વિવિધ અહેવાલો પેદા કરી શકાય છે
FAQ,સામાન્ય અહેવાલો:
Poshan Calculator,એપ્લિકેશન ડાઉનલોડની સંખ્યા
Login,નોંધાયેલ આંગણવાડી કેન્દ્રોણી સંખ્યા
Terms of Service,નોંધાયેલા કુલ લાભાર્થીઓની સંખ્યા (રાષ્ટ્રીય / રાજ્ય / જિલ્લા /ખંડ)
Welcome!,નોંધાયેલ સગર્ભા સ્ત્રીઓની કુલ સંખ્યા (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ)
The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at,નોંધાયેલ સ્તનપાન કરાવતી માતાની કુલ સંખ્યા (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ)
https://poshantracker.,નોંધાયેલા બાળકોની કુલ સંખ્યા (0-6 મહિના) (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ)
in,નોંધાયેલ કુલ બાળકોની સંખ્યા (6 મહિના -3 વર્ષ) નોંધાયેલ (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ)
", and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”). I. OWNERSHIP",કુલ બાળકોની સંખ્યા (3-6 વર્ષ) નોંધાયેલ (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ)
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.",માતા અને બાળકનું પોષણ:
II. CONSENT,21 દિવસમાં કેટલા લાભાર્થીઓને ટી. એચ. આર. મળી?
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms.",ડિલિવરી પછીના વિશેષ કરીને પ્રથમ કલાકમાં કેટલા બાળકોને સ્તનપાન મળ્યું?
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.",કેટલી સ્તનપાન કરાવતી માતાને એચસીએમ આપવામાં આવે છે?
"If you do not agree with any part of these terms, do not use the site.",ડિલિવરી પછીના વિશેષ કરીને પ્રથમ કલાકમાં કેટલા બાળકોને સ્તનપાન મળ્યું?
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract. III. NOTICE REGARDING FUTURE CHANGES TO TERMS:,3-6 વર્ષનાં બાળકોમાં કેલ્શિયમનું સરેરાશ કક્ષાએ
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes.",3-6 વર્ષનાં બાળકોમાં લોહતત્વનું સરેરાશ કક્ષાએ
Any changes or updates will be effective immediately.,"દર મહિને વહીવટ કરેલ રસીકરણની કુલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)"
You take the responsibility to check these Terms of Use periodically for changes.,દર મહિને વહીવટ કરેલ રસીની ચોક્કસ રીપોર્ટ (બીસીજી / ઓપીવી / હેપેટાઇટિસ બી / રોટાવાયરસ / પોલિયો / ન્યુમોકોકલ / પેન્ટાવેલેન્ટ)
Your continued use of the platform post such revision shall constitute acceptance of the modified Terms. IV. ACCOUNT REGISTRATION,આંગણવાડી કેન્દ્રનું માળખું :
You may browse the Site without registering for an account.,"આંગણવાડીઓની કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)"
"You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","બાલવટિકાઓની કુલ સંખ્યા (ખંડ જિલ્લો, રાજ્ય, રાષ્ટ્રીય કક્ષા)"
"By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.","પીવાના શુધ્ધ પાણી સાથે આંગણવાડી કેન્દ્રોની કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)"
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure.,"કાર્યકારી વજનના ધોરણ સાથે આંગણવાડીઓણી કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)"
Your registration or mobile number shall be kept confidential,"વીજળીણી સુવિધા વાળા આંગણવાડી કેન્દ્રોની કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)"
You undertake that:,સરકારની માલિકીની હોય એવા આંગણવાડી કેન્દ્રોની કુલ સંખ્યા
You have obtained consent from the concerned individuals for creating their records through your account.,ખાનગી માલિકીની છે એવા આંગણવાડી કેન્દ્રો ની કુલ સંખ્યા
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,પોષણ ટ્રેકર ટીમનો સંપર્ક કેવી રીતે કરવો? support-poshantrackr@gov. in પર ઇમેઇલ મોકલીને પોષણ ટ્રેકર ટીમનો સંપર્ક કરી શકાય છે.
You shall not use another user's account without their permission.,હેન્ડહોલ્ડિંગ અને સહકાર માટે અમે દરરોજ બપોરે 4:15 થી સાંજના 5:15 વાગ્યા સુધી કોન્ફરન્સ દ્વારા પણ ઉપલબ્ધ છીએ.
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach.",શું લાભાર્થી અરજીનો ઉપયોગ કરીને સીધી નોંધણી કરાવી શકે છે.
"If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.",હાલમાં લાભાર્થી AWW ની મદદ દ્વારા નોંધણી કરાવી શકે છે
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site",લાભાર્થી કોણ છે?
V.,લાભાર્થીઓ માટે 6 શ્રેણીઓ છે
ACCESS PERMISSIONS,સગર્ભા સ્ત્રીઓ
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,સ્તનપાન કરાવતી માતા
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights. VI. ACCESS RESTRICTIONS",0 થી 6 મહિનાના બાળકો
"You shall not, either on your own or through any other person:",6 મહિનાથી 3 વર્ષ સુધીના બાળકો
Restrict or inhibit any other person from using the Site,3 વર્ષથી 6 વર્ષ સુધીના બાળકો
Use the Site for any unlawful purpose,કિશોરવયની છોકરીઓ
"Express or imply that any statements you make are endorsed by us, without our prior written consent",શું લાભાર્થી તેનું AWC બદલી શકે છે?
"Impersonate any person or entity, whether actual or fictitious",AWW લાભાર્થીને તેમના આધાર નંબરના આધારે એક AWCમાંથી બીજા AWCમાં સ્થાનાંતરિત કરવા માટે 'માઇગ્રેટ બેનિફિશરી' વિકલ્પનો ઉપયોગ કરી શકે છે.
Engage in spamming or flooding,લાભાર્થીની લાયકાત શું છે?
Harvest or collect information about Site users,એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે THR માટે પાત્ર છે.
Open multiple accounts for yourself or any other individual using multiple mobile numbers,ટેક હોમ રાશન માટે કોણ યોગ્ય છે?
"Submit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive nature","સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ, 6 મહિનાથી 3 વર્ષ સુધીના બાળકો અને કિશોરીઓ."
"Manipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submit",હોમ રાશન લેવા વિશે હું ક્યાં પૂછપરછ કરી શકું?
Link to any portion of the Site other than the URL assigned to the home page of the Site,કૃપા કરીને તમારા સંબંધિત આંગણવાડી કાર્યકરનો સંપર્ક કરો.
“Frame” or “Mirror” any part of the Site,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે.
"Modify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the Content",જે બાળકો પોષણની ઉણપ તરીકે ઓળખાય છે તેઓ વધારાના આહાર પૂરવણીઓ માટે પાત્ર છે.
"Remove any copyright, trademark or other proprietary rights notices contained on the Site",લાભાર્થીની લાયકાત શું છે?
"Use any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.",એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે HCM માટે પાત્ર છે.
Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is active,ગરમ રાંધેલા ભોજન માટે કોણ પાત્ર છે?
Take any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.,3 વર્ષથી 6 વર્ષની વયના બાળકો
