en,mni
संथाली,করম্বা মতমদা অমসুং কমদৌনা এম.পি.আই.এন শিজিন্নগদগে?
اردو,"পোশন ত্রেক্কর এপতা লোগইন তৌবা মতমদা, এ.দবলিয়ু.দবলিয়ুশিংনা মখোয়না সেট তৌখিবা এম.পি.আই এন্টর তৌবা মথৌ তাই। এম.পি.আই.এন অসিনা পোশন ত্রেক্কর এপ রন তৌনবা অমসুং বেনিফিসরিশিংগী ফোর্মশিংদা ইনফোর্মেসন এন্টর তৌনবগী পাসকোদ অমা ওইনা থবক তৌগনি।"
کٲشُر,কমদৌনা এম.পি.আই.এন রিসেট তৌগদগে?
About,"এম.পি.আই.এন অসি এ.দবলিয়ু.দবলিয়ু/এ.দবলিয়ু.সি য়ুজর অমহেক্তনা কোম্না রিসেট তৌবা য়াই। অদোম্না এম.পি.আই.এন কাউখ্রে দা ক্লিক তৌবা, অমদি অদোমগী রেজিষ্টর্দ মোবাইল নম্বর এন্টর তৌবা মথৌ তাই। অদোম্না অদোমগী রেজিষ্টর্দ মোবাইল নম্বরদা ও.টি.পি অমা ফংগনি অমদি অদোম্না অদোমগী এম.পি.আই.এন কোম্না রিসেট তৌবা য়ারগনি।"
Resources,পোশন ত্রেক্কর এপ অসি লোল কয়াদা ফংবগে?
Resources,পোশন ত্রেক্কর এপ অসি তোঙান-তোঙানবা লোল 22 দা ফংই।
Vaccination Schedule,মসি ফংলিবা তোঙান-তোঙানবা লোলশিংদুদি:
Dashboard,ইংরাজি
Dashboard,হিন্দি
Mission Utkarsh,গুজরাটি
Helpdesk,পঞ্জাবী
Beneficiary Redressal,মারাথি
State Helpdesk,বাংলা
FAQ,কানাদা
Poshan Calculator,টামিল
Login,টেলেগু
OPEN A NEW TICKET,মালয়ালম
CHECK TICKET STATUS,ওদিয়া
Check Ticket Status,অসামিজ
Please provide your mobile number and a ticket number.,Nepali
Mobile ,Dogri
*,Konkani
Ticket Number ,Sindhi
*,Bodo
View Ticket,Maithili
"If this is your first time contacting us or you've lost the ticket number, please ",Manipuri
open a new ticket,Santhali
Support,Urdu
 14408,Kashmiri
 support-poshantrackr@gov.in,এ.দবলিয়ু.দবলিয়ু নত্ত্রগা এ.দবলিয়ু.সিনা ফোর্ম মেন্সিনবা মতমদা লোল কয়াদা দেটা এন্টর তৌবা য়াবগে?
Download Mobile App,এ.দবলিয়ু.দবলিয়ুনা ইংরাজি লোলখক্তদা ফোর্ম মেন্সিনবা য়াই।
Powered By,পোশন ত্রেক্কর এপতা তোঙান-তোঙানবা ফোর্ম কয়া লৈবগে?
About,বেনিফিসরিশিংগী ওইনা তোঙান-তোঙানবা ফোর্ম 7 লৈ। মসিগী মনুংদা মখাগীশিংসি চল্লি:
Resources,খোম্লাং ইল্লিবী মমা
Dashboard,মীরোনবী নুপীশিং
Helpdesk,অঙাং থা 0 - 6
FAQ,থা 6 তগী চহি 3
Poshan Calculator,অঙাং চহি 3 দগী চহি 6
Terms of Service,ইনখৎলক্লিবী নুপীমচাশিং (চহি 11 - চহি 19)
Privacy Policy,এ.দবলিয়ু ফোর্মশিংদা করি ইনফোর্মেসন হাপচিনগদগে?
Careers,"এ.দবলিয়ু.দবলিয়ুনা অকক্নবা আঙ্গনৱাদি সেন্টর অমদা লৈরিবা ইনফ্রাষ্ট্রকচরগা মরি লৈনবা অকুপ্পা মরোল এন্টর তৌবা মথৌ তাই। মসিগী মনুংদা ষ্ট্রকচর, বেসিক এমিনিটিশিং, ফেসিলিটিশিং, সেনিটাইজেসন, থক্নবা ঈশিং, অসিনচিংবা য়াউই।"
Copyright@2023  Poshan Tracker. All rights reserved,করিগুম্বা এ.দবলিয়ু.দবলিয়ুশিংনা মখোয়গী মোবাইল নম্বরশিংগী খুত্থাংদা এপতা রেজিষ্টর তৌবা ঙমদ্রবদি কমদৌনা মখোয়না সাইন অপ তৌগদগে?
 You need to enable JavaScript to run this app.,"এ.দবলিয়ু.দবলিয়ুশিংনা মশামকপু রেজিষ্টর তৌবদা মায় পাক্ত্রবদি, মদুগী মরম 2 লৈবা য়াই:"
Poshan Helpline:,টেটশিংনা এম.ও.দবলিয়ু.সি.দি (MoWCD) পীবা দেটাদা মখোয়গী মোবাইল নম্বরদু য়াউরমদবা য়াই।
14408,মখোয় অদু সিষ্টেমদা নৌনা হাপচিল্লম্বা য়াই অমদি ষ্টেট সেলনা মখোয়গী মোবাইল নম্বর অদু এম.ও.দবলিয়ু.সি.দিদা পীদ্রিবা ওইরম্বা য়াই।
JanAndolan,"মথক্কী থৌওং অনিমক্তা, ষ্টেট নোদেল ওফিসরশিংনা এ.দবলিয়ু.দবলিয়ু অমহেক্তবু হাপচিনবা/শেমদোকপা/এক্টিভেট/দিএক্টিভেট তৌবগী মপাঙ্গল লৈ।"
ABHA (Health ID),কমদৌনা মীওই অমনা পোশন ত্রেক্কর দাশবোর্দ এক্সেস তৌবা য়াগদগে?
Language,পোশন ত্রেক্কর দাশবোর্দ অসি দাসবোর্দতা সাইন ইন তৌদুনা এক্সেস তৌবা য়াই। দাশবোর্দ অসি 
English,https://poshantracker.in/admin
हिंदी," লিঙ্ক অসিদা ক্লিক তৌদুনা এক্সেস তৌবা য়াই। নেসনেল, ষ্টেট, দিষ্ট্রিক্ট, প্রোজেক্ট অমসুং সেক্টর লেভেলদা খল্লবা নোদেল লেভেল ওফিসিএলখক্তদা দাশবোর্দ এক্সেস তৌনবগী অখন্নবা ক্রিদেন্সিএল অমা পী।"
ગુજરાતી,কমদৌনা এ.দবলিয়ু.দবলিয়ু/ এ.দবলিয়ু.সিশিং হাপচিনবা য়াবগে?
મરાઠી,"এ.দবলিয়ু.দবলিয়ু/ এ.দবলিয়ু.সিশিং অসি নোদেল লেভেল ওফিসিএলখক্তনা হাপচিনবা ঙম্মী। পীরিবা মথং মনাও অসিদা লৈবা মীওই অমনা হাপচিনবা য়াই। নেসনেল লেভেল য়ুজরনা ষ্টেট, দিষ্ট্রিক্ট, প্রোজেক্ট অমসুং সেক্টর লেভেল য়ুজর শেম্বা য়াই। ষ্টেট লেভেল য়ুজরনা দিষ্ট্রিক্ট, প্রোজেক্ট অমসুং সেক্টর লেভেল য়ুজর শেম্বা য়াই। দিষ্ট্রিক্ট লেভেল য়ুজরনা প্রোজেক্ট অমসুং সেক্টর লেভেল য়ুজর শেম্বা য়াই। প্রোজেক্ট লেভেল য়ুজরনা সেক্টর লেভেল য়ুজর শেম্বা য়াই।"
ಕನ್ನಡ,পোশন ত্রেক্কর দাশবোর্দতা তোঙান-তোঙানবা রিপোর্ট মখল কয়া জেনরেট তৌবা য়াবগে?
മലയാളം,জেনরেট তৌবা য়াবা রিপোর্ট মখলশিংদুদি
தமிழ்,জেনরেল রিপোর্টশিং:
తెలుగు,এপ দাউনলোদকী মশিং
বাংলা,রেজিষ্টর তৌরবা আঙ্গনৱাদি সেন্টরশিংগী অপুনবা মশিং
অসমীয়া,রেজিষ্টর তৌরবা বেনিফিসরিশিংগী অপুনবা মশিং (নেসনেল/ষ্টেট/দিষ্ট্রিক্ট/ব্লোক্কী মতুংইন্না)
ਪੰਜਾਬੀ,রেজিষ্টর তৌরবা মীরোনবী নুপীশিংগী অপুনবা মশিং (নেসনেল/ষ্টেট/দিষ্ট্রিক্ট/ব্লোক্কী মতুংইন্না)
ଓଡ଼ିଆ,রেজিষ্টর তৌরবা খোম্লাং ইল্লিবী মমাশিংগী অপুনবা মশিং (নেসনেল/ষ্টেট/দিষ্ট্রিক্ট/ব্লোক্কী মতুংইন্না)
नेपाली,রেজিষ্টর তৌরবা অঙাংশিংগী (থা 0-6) অপুনবা মশিং (নেসনেল/ষ্টেট/দিষ্ট্রিক্ট/ব্লোক্কী মতুংইন্না)
डोगरी,রেজিষ্টর তৌরবা অঙাংশিংগী (থা 6 - চহি 3) অপুনবা মশিং (নেসনেল/ষ্টেট/দিষ্ট্রিক্ট/ব্লোক্কী মতুংইন্না)
कोंकणी,রেজিষ্টর তৌরবা অঙাংশিংগী (চহি 3 - চহি 6) অপুনবা মশিং (নেসনেল/ষ্টেট/দিষ্ট্রিক্ট/ব্লোক্কী মতুংইন্না)
सिंधी,মমাগী অমসুং অঙাংগী ন্যুত্রিসন:
बोडो,বেনিফিসরি কয়ানা নুমিৎ 21 নিদা টি.ঐচ.আর লৌখিবগে
मैथिली,দিলিভরি মতুংগী অহানবা পুংদা অঙাং কয়াদা খোম্লাংখক্তা ইনখিবগে
মণিপুরী,খোম্লাং ইল্লিবী মমা কয়াদা ঐচ.সি.এম পীখিবগে
संथाली,দিলিভরি মতুংগী অহানবা পুংদা অঙাং কয়াদা খোম্লাংখক্তা ইনখিবগে
اردو,চহি 3 দগী 6 ফাউবগী অঙাংশিংদা য়াউরিবা কেলসিয়মগী এভরেজ লেভেল
کٲشُر,চহি 3 দগী 6 ফাউবগী অঙাংশিংদা য়াউরিবা আইরনগী এভরেজ লেভেল
About,"থা অমদা টিকা থাখিবগী অপুনবা মশিং (ব্লোক, দিষ্ট্রিক্ট, ষ্টেট, নেসনেল লেভেল)"
Resources,থা অমদা টিকা থাখিবগী অকক্নবা রিপোর্ট (বি.সি.জি/ও.পি.ভি/হেপাটাইটিস বি/রোটাভাইরস/পোলিও/ন্যুমোকোকেল/পেন্টাভেলেন্ট)
Resources,এ.দবলিয়ু.সি ইনফ্রাষ্ট্রকচর:
Vaccination Schedule,"এ.দবলিয়ু.সিশিংগী মশিং (ব্লোক, দিষ্ট্রিক্ট, ষ্টেট, নেসনেল লেভেল)"
Dashboard,"বালবাটিকাশিংগী অপুনবা মশিং (ব্লোক, দিষ্ট্রিক্ট, ষ্টেট, নেসনেল লেভেল)"
Dashboard,"অফবা থক্নবা ঈশিংগা কোন্নবা এ.দবলিয়ু.সিশিংগী অপুনবা মশিং (ব্লোক, দিষ্ট্রিক্ট, ষ্টেট, নেসনেল লেভেল)"
Mission Utkarsh,"মথৌ তৌরিবা অরুম্বা ওন্নবা খলগা কোন্নবা এ.দবলিয়ু.সিশিংগী অপুনবা মশিং (ব্লোক, দিষ্ট্রিক্ট, ষ্টেট, নেসনেল লেভেল)"
Helpdesk,"ইলেক্ট্রিসিটিগা কোন্নবা এ.দবলিয়ু.সিশিংগী অপুনবা মশিং (ব্লোক, দিষ্ট্রিক্ট, ষ্টেট, নেসনেল লেভেল)"
Beneficiary Redressal,গবর্ণমেন্টনা মপু ওইবা এ.দবলিয়ু.সিশিংগী অপুনবা মশিং
State Helpdesk,প্রাইভেটনা মপু ওইবা এ.দবলিয়ু.সিশিংগী অপুনবা মশিং
FAQ,কমদৌনা পোশন ত্রেক্কর টিম কন্টেক্ট তৌগদগে?
Poshan Calculator,support-poshantrackr@gov.in দা ইমেল থাদুনা পোশন ত্রেক্কর টিম কন্টেক্ট তৌবা য়াই। কনফরেন্সকী খুত্থাংদসু হেন্ডহোল্দিং অমসুং সপোর্টকীদমক্তা ঐখোয় নুংতিগী নুংথিল পুং 4:15 দগী নুংথিল পুং 5:15 ফাউবা ফংগনি।
Login,এপ্লিকেসন শীজিন্নদুনা বেনিফিসরী অমনা হকথেংননা রেজিস্তর তৌবা য়াবরা।
Frequently Asked Questions,এ.দবল্যু.দবল্যু. অমগী মতেং লৌদুনা হৌজিক্কী ওইনা বেনিফিসরী অমনা রেজিস্তর তৌবা য়াই
ALL,বেনিফিসরী অমা হায়বা অসি কনানো?
BENEFICIARY REGISTRATION,বেনিফিসরীশিংগী কেতগোরী 6 লৈ
Take Home Ration,মীরোনবী নুপী
Hot Cooked Meal,খোমজিংলিবী মমা
What is Poshan Abhiyaan?,থা 0 দগী 6 কী অঙাংশিং
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",থা 6 তগী চহি 3 গী অঙাংশিং
What is the purpose of Launching Poshan Tracker?,চহি 3 দগী চহি 6 কী অঙাংশিং
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.",এদোলেস্সেন্ত নুপীমচাশিং
How can one Download Poshan Tracker App?,বেনিফিসরী অমনা মহাক্কী এ.দবল্যু.সি. শিন্দোকপা য়াবরা?
Poshan Tracker App is available over Google playstore ,এ.দবল্যু.দবল্যু. অমনা বেনিফিসরী অমবু মখোয়গী আধার নম্বরদা য়ুম্ফম ওইরগা এ.দবল্যু.সি. অমদগী এ.দবল্যু.সি. অমদা মাইগ্রেৎ তৌনবা ‘মাইগ্রেৎ বেনিফিসরী’ ওপ্সন শীজিন্নবা য়াই।
https://play.google.com/store/apps/details?id=com.poshantracker,বেনিফিসরী অমগী ইলিজিবিলিতী অসি করিনো?
Is poshan trackers app available over Apple I Store also?,বেনিফিসরী অমনা থা অমদা য়ামদ্রবদা নুমিৎ 21গী তি.ঐচ.আর.গীদমক ইলিজিবল ওই।
"No, Poshan Tracker is available only for Android version",তেক হোম রাসনগীদমক কনা ইলিজিবল ওইবগে?
What is the minimum requirement to install Poshan Tracker App in mobile?,"মীরোনবী নুপীশিং, খোমজিংলিবী মমাশিং, থা 6 তগী চহি 3 গী অঙাংশিং অমসুং এদোলেস্সেন্ত নুপীমচাশিং।"
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,তাক হোম রাসনগী মতাংদা ঐহাক্না কনাদা হংগনি?
Can App be accessed without internet?,অদোমগী মরী লৈনবা অঙ্গনৱাদী ৱার্করদা পাউ ফাওবীয়ু।
"App can be accessed offline, currently daily tracking feature is available for offline data entry. Offline mode can store latest 3 days data.",অহেনবা সপ্লিমেন্তরী ফুদকীদমক কনা ইলিজিবল ওইবগে।
Who are the target userbase of Poshan Tracker App?,ন্যুত্রিসনগী অৱাৎপা লৈ হায়না মশক খঙদোক্লবা অঙাংশিংনা অহেনবা ফুদ সপ্লিমেন্তশিং ফংনবগীদমক ইলিজিবল ওই।
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms. It is not at all developed for general public.",বেনিফিসরী অমগী ইলিজিবিলিতী অসি করিনো?
How to Login in Poshan Tracker App?,বেনিফিসরী অমনা থা অমদা য়ামদ্রবদা নুমিৎ 21গী ঐচ.সি.এম.গীদমক ইলিজিবল ওই।
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.",হোৎ কুক মীলগীদমক কনা ইলিজিবল ওইবগে?
What is  MPIN?,চহি 3 দগী চহি 6 কী চহি কাংলুপকী অঙাংশিং।
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,হোৎ কুক মীলগী মতাংদা ঐহাক্না কনাদা হংগনি?
How to set MPIN?,অদোমগী মরী লৈনবা অঙ্গনৱাদী সেন্তরদা পাউ ফাওবীয়ু।
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.",অহেনবা সপ্লিমেন্তরী ফুদকীদমক কনা ইলিজিবল ওইবগে?
When and how to use MPIN?,ন্যুত্রিসনগী অৱাৎপা লৈ হায়না মশক খঙদোক্লবা অঙাংশিংনা অহেনবা ফুদ সপ্লিমেন্তশিং ফংনবগীদমক ইলিজিবল ওই।
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.",তেংবাং
How to Reset MPIN?, 14408
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN", support-poshantrackr@gov.in
In How many languages the Poshan Tracker App is available?,মোবাইল এপ দাউনলোদ তৌ
Poshan Tracker App is available in 22 different languages,Powered By
The various languages available are:,মরমদা
English,রিসোর্সশিং
Hindi,ড্যাশবোর্ড
Gujarati,হেল্পডেস্ক
Punjabi,এফ.এ.ক্যু.
Marathi,পোশন কেলক্যুলেতর
Bangla,সর্ভিসকী কাংলোনশিং
Kannada,প্রাইবেসী পোলিসী
Tamil,কেরিয়রশিং
Telugu,Copyright@2023  Poshan Tracker. All rights reserved
Malyalam, You need to enable JavaScript to run this app.
Odia,Poshan Helpline:
Assamese,14408
Nepali,JanAndolan
Dogri,এ.বি.ঐচ.এ. (হেল্থ আই.দি.)
Konkani,লোন
Sindhi,English
Bodo,हिंदी
Maithili,ગુજરાતી
Manipuri,મરાઠી
Santhali,ಕನ್ನಡ
Urdu,മലയാളം
Kashmiri,தமிழ்
In how many languages AWW can enter the data while filling up the form?,తెలుగు
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,বাংলা
How many different forms are there in Poshan Tracker App?,অসমীয়া
There are 7 different types of forms for beneficiaries. This includes:,ਪੰਜਾਬੀ
Lactating mother,ଓଡ଼ିଆ
Pregnant women,नेपाली
Child 0-6 Months,डोगरी
Child 6 Months to 3 Years,कोंकणी
Child  3 Years to 6 Years,सिंधी
Adolescent Girls (11 Years-19 Years),बोडो
What information to be added in AWC forms?,मैथिली
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.",মণিপুরী
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,संथाली
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,اردو
Their mobile number is not present in the data provided by the states to the MoWCD,کٲشُر
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,মরমদা
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,রিসোর্সশিং
How can one access Poshan Tracker Dashboard?,রিসোর্সশিং
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,তিকা থাদোকপগী মতম
https://poshantracker.in/admin,ড্যাশবোর্ড
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.",ড্যাশবোর্ড
How one can add AWW/AWCs?,Mission Utkarsh
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,হেল্পডেস্ক
How many different types of reports can be generated over Poshan Tracker Dashboard?,বেনিফিসরী রিদ্রেসেল
There are various reports that can be generated from,রাজ্যগী হেল্পদেস্ক
General Reports:,এফ.এ.ক্যু.
Number of app  downloads,পোশন কেলক্যুলেতর
Total number of Anganwadi centers registered,লগইন
Total number of beneficiaries registered (National/state/district/block wise),পোশন কেলক্যুলেতর
Total Number of pregnant women registered(National/state/district/block wise),পোশন কেলক্যুলেতর অসি ৱর্ল্দ হেল্থ ওর্গনাইজেসন (দবল্যু.ঐচ.ও.)না পীবা সেন্দর্দশিংদা য়ুম্ফম ওইরগা অঙাংগী শাহৌ ওন্নবা দিজাইন তৌই.
Total Number of  lactating mothers registered(National/state/district/block wise),পোশন কেলক্যুলেতর করম্না শীজিন্নগনি?
Total Number of children (0-6months) registered(National/state/district/block wise),জেন্দর খনবীয়ু
Total Number of children (6months-3years) registered(National/state/district/ block wise),পোকপগী তাং হাপ্পু
Total Number of children (3-6years) registered(National/state/district/ block wise),অৱাংবা অদু সেন্তিমিতরদা হাপ্পু
Maternal and child nutrition:,অরুম্বা অদু কিলোগ্রামদা হাপ্পু
How many beneficiaries got THR in 21 days,শো রিজল্তসতা নম্মু
How many children breastfed exclusively in the first hour after delivery,জেন্দর 
How many lactating mothers are given HCM,*
Average level of calcium in children aged 3-6 years,নুপামচা
Average level of iron in children aged 3-6years,নুপীমচা
"Total number of vaccinations administered per month (block, district, state, national level)",পোকপগী তাং 
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,*
AWC infrastructure:,অৱাংবা (সে.মি.) 
"Number of AWCs (block, district, state, national level)",*
"Total number of Balvatikas (block district, state, national level)",*অৱাংবা 38 দগী 150 ফাউবগী মনুংদা ওইগদবনি
"Total number of AWCs (block, district, state, national level) with clean drinking water",সে.মি.
"Total number of AWCs (block, district, state, national level) with working weighing scale",অরুম্বা (কে.জি.) 
"Total number of AWCs (block, district, state, national level) with electricity",*
Total number of AWCs that are government owned,*অরুম্বা 0.98 দগী 58 ফাউবগী মনুংদা ওইগদবনি
Total number of AWCs that are privately owned,কে.জি.
How to contact Poshan Tracker Team?,ফলশিং উৎপীয়ু
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,পোশন কেলক্যুলেতর অসি করিনো
Can a beneficiary register directly using application.,পোশন কেলক্যুলেতরনা ৱর্ল্দ হেল্থ ওর্গনাইজেসন (দবল্যু.ঐচ.ও.)গী স্তেন্দর্দশিংগী মতুং ইন্না অঙাংগী তোঙান-তোঙানবা হেল্থ কন্দিসনশিং মশক খঙদোকপদা মতেং পাংলি.
Currently a beneficiary can register by the help of an AWW,দবল্যু.ঐচ.ও.গী স্তেন্দর্দশিংদি :
Who is a beneficiary?,স্তন্তিং (চহিগী মতুং ইন্না ওইগদবা অৱাংবা)- 
There are 6 categories for beneficiaries,থা 0 দগী চহি 6
Pregnant Women,শাথীনা চাউজন থীবা
Lactating Mother,মোদরেৎলী স্তন্তেদ
Children from 0 to 6 months,নোৰ্মেল
Children from 6 months to 3 years,অন্দরৱেথ (চহিগী মতুং ইন্না ওইগদবা অরুম্বা)- 
Children from 3 years to 6 years,থা 0 দগী চহি 6
Adolescent girls,কা হেন্না অন্দরৱেথ ওইবা
Can a beneficiary change his/her AWC?,য়াইমরপ ওইনা অরুম্বা য়ৌদবা
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,নোৰ্মেল
What is the eligibility of a beneficiary?,ৱেস্তিং (অৱাংবগী অরুম্বা)- 
A beneficiary is eligible for THR for at least 21 days in a month.,থা 0 দগী চহি 5
Who is eligible for Take Home Ration?,সিভিয়র্লী ৱেস্তেদ (এস.এ.এম.)
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.",মোদরেৎলী ৱেস্তেদ (এম.এ.এম.)
Where can I enquire about take home ration?,নোৰ্মেল
Please contact your respective Anganwadi worker.,ওভরৱেথ
Who is eligible for additional supplementary food.,ওবেজ
Children who are identified as deficit on nutrition are eligible for additional food supplements.,মথক্তা পীরিবা চহিগী ব্রেকেৎশিং অসিগী মতুং ইন্না মথক্কী স্তেন্দর্দশিং অসি তাকই
What is the eligibility of a beneficiary?,রিফরেন্স তেবলশিংগী মরমদা
A beneficiary is eligible for HCM for at least 21 days in a month.,মালেমদা লৈরিবা নৌনা পোকপা অঙাং অমদু অপীকপা অঙাংশিংগী গ্রোথ অমসুং দিবেলপমেন্ত অসি এসেস তৌনবা অনৌবা গ্রোথ কর্বশিং পুথোক্নবা 1997 অমসুং 2003 গী মরক্তা দবল্যু.ঐচ.ও. মলতিসেন্তর গ্রোথ রিফরেন্স স্তদী (এম.জি.আর.এস.) অসি পাইখৎখি.
Who is eligible for Hot Cooked Meal?,"এম.জি.আর.এস.না ফুরুপকী হৌরকফম অমসুং নাৎকী ওইবা মওং-মতৌদা চাউনা খেন্নবা (ব্রাজিল, ঘানা, ভারত, নোরৱে, ওমান অমসুং য়ু.এস.এ.) লমদমশিংদগী চাউরক্না অঙাং 8500 দগী প্রাইমারী গ্রোথ দেতা অমসুং মরী লৈনবা ই-পাউ খোমজিনখি."
Children in the age group of 3 years to 6 years,অনৌবা গ্রোথ কর্বশিং অসিনা পোকপদগী চহি মঙা ফাওবগী অঙাং পুম্নমক্কী ফিজিওলোজিকেল গ্রোথকী খ্বাইদগী মরিক চুম্বা ৱারোল তাক্লিবা সিঙ্গল ইন্তর্নেস্নেল স্তেন্দর অমা পীগনি অমসুং মমাগী খোমলাং থাকপা নৌনা পোকপা অঙাংনা গ্রোথ অমসুং দিবেলপমেন্তগী নোর্মেতিব মোদেল ওইহনগনি হায়না থাজবা থম্লি।.
Where can I enquire about Hot Cooked Meal?,অদোমগী হকশেল করম্না ফগৎহনগনি?
Please contact your respective Anganwadi Centre.,করিগুম্বা অদোম সিভিয়র্লী ৱেস্তেদ (এস.এ.এম.) ওইবা তারবদি অদোমগী হকশেল করম্না ফগৎহনগনি
Who is eligible for additional supplementary food?,করিগুম্বা অদোম মোদরেৎলী ৱেস্তেদ (এম.এ.এম.)ওইবা তারবদি অদোমগী হকশেল করম্না ফগৎহনগনি
Children who are identified as deficit on nutrition are eligible for additional food supplements.,করিগুম্বা অদোম অন্দরৱেথ ওইবা তারবদি অদোমগী হকশেল করম্না ফগৎহনগনি
Support,×
 14408,×
 support-poshantrackr@gov.in,×
Download Mobile App,তেংবাং
Powered By, 14408
About, support-poshantrackr@gov.in
Resources,মোবাইল এপ দাউনলোদ তৌ
Dashboard,Powered By
Helpdesk,মরমদা
FAQ,রিসোর্সশিং
Poshan Calculator,ড্যাশবোর্ড
Terms of Service,হেল্পডেস্ক
Privacy Policy,এফ.এ.ক্যু.
Careers,পোশন কেলক্যুলেতর
Copyright@2023  Poshan Tracker. All rights reserved,সর্ভিসকী কাংলোনশিং
 You need to enable JavaScript to run this app.,প্রাইবেসী পোলিসী
Poshan Helpline:,কেরিয়রশিং
14408,Copyright@2023  Poshan Tracker. All rights reserved
JanAndolan, You need to enable JavaScript to run this app.
ABHA (Health ID),Poshan Helpline:
Language,14408
English,JanAndolan
हिंदी,এ.বি.ঐচ.এ. (হেল্থ আই.দি.)
ગુજરાતી,লোন
મરાઠી,English
ಕನ್ನಡ,हिंदी
മലയാളം,ગુજરાતી
தமிழ்,મરાઠી
తెలుగు,ಕನ್ನಡ
বাংলা,മലയാളം
অসমীয়া,தமிழ்
ਪੰਜਾਬੀ,తెలుగు
ଓଡ଼ିଆ,বাংলা
नेपाली,অসমীয়া
डोगरी,ਪੰਜਾਬੀ
कोंकणी,ଓଡ଼ିଆ
सिंधी,नेपाली
बोडो,डोगरी
मैथिली,कोंकणी
মণিপুরী,सिंधी
संथाली,बोडो
اردو,मैथिली
کٲشُر,মণিপুরী
About,संथाली
Resources,اردو
Resources,کٲشُر
Vaccination Schedule,মরমদা
Dashboard,রিসোর্সশিং
Dashboard,রিসোর্সশিং
Mission Utkarsh,তিকা থাদোকপগী মতম
Helpdesk,ড্যাশবোর্ড
Beneficiary Redressal,ড্যাশবোর্ড
State Helpdesk,Mission Utkarsh
FAQ,হেল্পডেস্ক
Poshan Calculator,বেনিফিসরী রিদ্রেসেল
Login,রাজ্যগী হেল্পদেস্ক
Poshan Calculator,এফ.এ.ক্যু.
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,পোশন কেলক্যুলেতর
How to use Poshan Calculator?,লগইন
Select Gender,সর্ভিসকী কাংলোনশিং
Enter Date of Birth,তরাম্না ওকচরি! 
Enter Height in centimeter,https://poshantracker.in
Enter Weight in kilogram," অমসুং মসিগা, মাগী সবসিদিয়রীশিং, অমসুং এফিলিএৎশিংগা (অপুনবা ওইনা, “সাইৎ”) লিঙ্ক তৌবা মরী লৈনবা সাইৎ পুম্নমক্তা হোস্ত তৌরিবা পোশন ত্রেকর প্লেৎফোর্ম অসি অদোম্না শীজিন্নবদা গভর্ন তৌরিবা সর্ভিসকী কাংলোন (“তর্মশিং”) অদু মখাদা পীরি।"
Click on Show Results,I. ওনরশিপ
