en,ur
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,اسامی
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,Nepali
How can one access Poshan Tracker Dashboard?,Dogri
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,Konkani
https://poshantracker.in/admin,Sindhi
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.",Bodo
How one can add AWW/AWCs?,Maithili
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,Manipuri
How many different types of reports can be generated over Poshan Tracker Dashboard?,Santhali
There are various reports that can be generated from,Urdu
General Reports:,Kashmiri
Number of app  downloads,AWW یا AWC میں کتنی زبانوں میں ڈیٹا داخل یا فارم پُر کیا جا سکتا ہے ؟
Total number of Anganwadi centers registered,AWW یا AWC میں انگریزی زبانوں میں ڈیٹا داخل یا فارم پُر کیا جا سکتا ہے۔
Total number of beneficiaries registered (National/state/district/block wise),پوشن ٹریکر اپلیکیشن پر مختلف کتنی قسم کے فارم دستیاب ہیں؟
Total Number of pregnant women registered(National/state/district/block wise),پوشن ٹریکر اپلیکیشن پر مختلف 7 قسم کے فارم دستیاب ہیں۔
Total Number of  lactating mothers registered(National/state/district/block wise),دودھ پلانے والی مائیں
Total Number of children (0-6months) registered(National/state/district/block wise),حاملہ خواتین
Total Number of children (6months-3years) registered(National/state/district/ block wise),بچے 0-6 ماہ
Total Number of children (3-6years) registered(National/state/district/ block wise),بچے 6 ماہ سے 3 سال
Maternal and child nutrition:,بچے 3 سال سے 6 سال
How many beneficiaries got THR in 21 days,نوعمر دوشیزہ (11 سال -19 سال
How many children breastfed exclusively in the first hour after delivery,AWC میں کونی معلومات درکار ہوتی ہیں؟
How many lactating mothers are given HCM,AWWمیں موجودہ بنیادی ڈھانچے کے متعلق معلومات درج کرنا درکار ہوتی ہے اس میں بنیادی عمارت ، بنیادی سہولیات صفائی اور صاف پینے کا پانی وغیرہ شامل ہیں
Average level of calcium in children aged 3-6 years,AWWS اپلیکیشن کو کیسے سائن اپ کریں اگر یہ موبائل نمبر کے ذریعہ رجسٹر نہ ہو تا ہو ؟
Average level of iron in children aged 3-6years,اگر AWWS میں رجسٹر کرنے میں دقت یا ناکامی کا سامنا کرنا پڑے تب اس کی دو ممکنات ہیں
"Total number of vaccinations administered per month (block, district, state, national level)",MoWCD کو ریاست کے ذریعہ آپ کا موبائل نمبر مہیا نہیں کروایا گیا اسی لئے وہ ڈاٹا بیس میں شامل نہیں ہے
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,MoWCD کو ریاست کے ذریعہ آپ کا موبائل نمبرابھی حالیہ مہیا کروایا گیا اسی لئے وہ ڈاٹا بیس میں شامل نہیں ہے
AWC infrastructure:,ان دونوں معاملات میں ریاستی نوڈل آفیسر کو اختیار دیا گیا ہے کہ وہ اپنی معلومات شامل /ْ ترمیم /ْفعال یا غیر فعال کسی بھی AWW.پر کر سکتے ہیں.
"Number of AWCs (block, district, state, national level)",پوشن ٹریکر ڈیش بورڈ تک کوئی کیسے پہنچ سکتا ہے ؟
"Total number of Balvatikas (block district, state, national level)",پوشن ٹریکر ڈیش بورڈ تک درج ذیل لنک کے ذریعہ لاگ ان کرکے پہنچ سکتا ہے 
"Total number of AWCs (block, district, state, national level) with clean drinking water",https://poshantracker.in/admin
"Total number of AWCs (block, district, state, national level) with working weighing scale", نیشنل ، اسٹیٹ ، ڈسٹرکٹ ، پروجیکٹ اور سیکٹر کی سطح پر صرف نوڈل سطح کے نامزد اہلکاروں کو ہی ڈیش بورڈ تک رسائی کے ل. ایک انوکھی اسناد فراہم کی جاتی ہیں۔ 
"Total number of AWCs (block, district, state, national level) with electricity",AWW/AWCs کوئی کس طرح شامل ہوسکتا ہے ؟
Total number of AWCs that are government owned,AWW/AWCs پر صرف نوڈل سطح کےآفیسر کے ذریعہ ہی شامل ہوا جا سکتا ہے ایسا شخص جو حسب مراتب سے بالاتر ہو قومی سطح کے استعمال کرنے والے ہی بناسکتے ہیں ریاست ضلع پروجیکٹ اورخطوں کی سطح کے استعمال کرنے والے پروجیکٹ کی سطح کے استعمال کرنے والے خطوں کی سطح پر بنا سکتے ہیں
Total number of AWCs that are privately owned,پوشن ٹریکر ڈیش بورڈ سے کتنی اقسام کی رپورٹیں بر آمد کی جا سکتی ہیں ؟
How to contact Poshan Tracker Team?,مختلفاقسام کی رپورٹیں برآمد می جا سکتی ہیں
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,عام رپورٹس:
Can a beneficiary register directly using application., 
Currently a beneficiary can register by the help of an AWW,ایپ ڈاون لوڈ کی تعداد
Who is a beneficiary?, 
There are 6 categories for beneficiaries,رجسٹرڈ شدہ آنگن واڑیوں کی تعداد
Pregnant Women, 
Lactating Mother,فوائد کے حصول یاب کی تعداد ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Children from 0 to 6 months, 
Children from 6 months to 3 years,حاملہ خواتین کی تعداد (( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Children from 3 years to 6 years, 
Adolescent girls,دودھ پلانے والی ماؤں کی تعداد ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Can a beneficiary change his/her AWC?, 
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,0-6 ماہ عمر کے بچوں کی تعداد ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
What is the eligibility of a beneficiary?, 
A beneficiary is eligible for THR for at least 21 days in a month.,6-ماہ تا3سال عمر کے بچوں کی تعداد ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Who is eligible for Take Home Ration?, 
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.",(3-6سال) عمر کے بچوں کی تعداد ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Where can I enquire about take home ration?,والدہ اور بچے کی غذا:
Please contact your respective Anganwadi worker., 
Who is eligible for additional supplementary food.,کتنے صارفین کو 21 دنوں میں THR ملا؟
Children who are identified as deficit on nutrition are eligible for additional food supplements., 
What is the eligibility of a beneficiary?,کتنے بچوں کو ولادت کے فوری بعد پہلے گھنٹے میں خصوصاً دودھ پلایا گیا ؟
A beneficiary is eligible for HCM for at least 21 days in a month., 
Who is eligible for Hot Cooked Meal?,کتنی دودھ پلانے والی مائیں HCM میں دی گئی ہیں ؟ 
Children in the age group of 3 years to 6 years, 
Where can I enquire about Hot Cooked Meal?,کتنے بچوں کو ولادت کے فوری بعد پہلے گھنٹے میں خصوصاً دودھ پلایا گیا ؟
Please contact your respective Anganwadi Centre., 
Who is eligible for additional supplementary food?,3-6 سال کے بچوں میں اوسط کیلشیم کی سطح
Children who are identified as deficit on nutrition are eligible for additional food supplements., 
Support,3-6 سال کے بچوں میں اوسط کیلشیم کی سطح
 14408, 
 support-poshantrackr@gov.in,کتنی ویکسین کی تعداد فی ماہ دی جاتی ہے ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Download Mobile App, 
Powered By,ویکسی نیشن کی خصوصی رپورٹ جو ہر ماہ دی جاتی ہے (BCG/OPV/ہیپا ٹائٹس B/روٹی وائرس /پولیو/نیموکوکل l/پینٹا ویلینٹ
About,AWC بنیادی ڈھانچہ:
Resources, 
Dashboard,AWC کی تعداد ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Helpdesk, 
FAQ,بال واٹیكه كی كل تعداد ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Poshan Calculator, 
Terms of Service,AWC کی تعداد جهاں پینے كے صاف پانی كی سهولت فراهم هے ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Privacy Policy, 
Careers,AWC کی تعداد جهاں فعال وزن كرنے كی مشین كی سهولت فراهم هے ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Copyright@2023  Poshan Tracker. All rights reserved, 
 You need to enable JavaScript to run this app.,AWC کی تعداد جهاں بجلی كی سهولت فراهم هے ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Poshan Helpline:, 
14408,AWC کی تعداد جو سركار كی ملكیت هیں ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
JanAndolan, 
ABHA (Health ID),AWC کی تعداد جو خانگی ملكیت هیں ( قومی / ریاستی /ضلعی/ بلاک کے اعتبار سے )
Language,پوشان ٹریکر ٹیم سے کیسے رابطہ کریں؟
English,پوشن ٹریکر ٹیم سے 
हिंदी, support-poshantrackr@gov.in 
ગુજરાતી, پر ای میل رروانہ  کرکے رابطہ کیا جاسکتا ہے۔ ہینڈ ہولڈنگ اور معاونت کے لئے ہم روازانہ شام 3 بجے سے شام 5 بجے تک ویڈیو کانفرنس پر بھی دستیاب ہوتے ہیں۔
મરાઠી,کیا فائدہ اٹھانے والا درخواست کا استعمال کرکے براہ راست رجسٹر ہوسکتا ہے۔
ಕನ್ನಡ,فی الحال ایک مستفید کنندہ AWW کی مدد سے رجسٹر کر سکتا ہے۔
മലയാളം,فائدہ اٹھانے والا کون ہے؟
தமிழ்,فائدہ اٹھانے والوں کے لیے چھ زمرے ہیں۔
తెలుగు,حاملہ خواتین
বাংলা,دودھ پلانے والی ماں
অসমীয়া,صفر سے چھ ماہ تک کے بچے
ਪੰਜਾਬੀ,چھ ماہ سے تین سال تک کے بچے
ଓଡ଼ିଆ,تین سال سے چھ سال تک کے بچے
नेपाली,نوعمر لڑکیاں
डोगरी,کیا فائدہ اٹھانے والا اپنا AWC تبدیل کر سکتا ہے؟
कोंकणी,AWW ایک AWC سے دوسرے AWC میں اس کے آدھار نمبر کی بنیاد پر استفادہ کنندہ کو منتقل کرنے کے لیے 'مائیگریٹ بینیفشری' کا اختیار استعمال کر سکتا ہے۔
सिंधी,فائدہ اٹھانے والے کی اہلیت کیا ہے؟
बोडो,ایک فائدہ اٹھانے والا ایک مہینے میں کم از کم اکیس دن کے لئے ٹی ایچ آر کا اہل ہے۔
मैथिली,ٹیک ہوم راشن کے لیے کون اہل ہے؟
মণিপুরী,حاملہ خواتین، دودھ پلانے والی مائیں، چھ ماہ سے تین سال تک کے بچے اور نوعمر لڑکیاں۔
संथाली,میں گھر پر راشن لے جانے کے بارے میں کہاں پوچھ سکتا ہوں؟
اردو,براہ کرم اپنی متعلقہ آنگن واڑی ورکر سے رابطہ کریں۔
کٲشُر,کون اضافی اضافی خوراک کا اہل ہے۔
About,وہ بچے جن کی نشاندہی غذائیت کی کمی کے طور پر کی گئی ہے وہ اضافی فوڈ سپلیمنٹس کے اہل ہیں۔
Resources,فائدہ اٹھانے والے کی اہلیت کیا ہے؟
Resources,ایک استفادہ کنندہ مہینے میں کم از کم اکیس دنوں کے لیے HCM کا اہل ہے۔
Vaccination Schedule,گرم پکا ہوا کھانے کے لیے کون اہل ہے؟
Dashboard,تین سال سے چھ سال کی عمر کے بچے
Dashboard,میں گرم پکے ہوئے کھانے کے بارے میں کہاں پوچھ سکتا ہوں؟
Mission Utkarsh,براہ کرم اپنے متعلقہ آنگن واڑی سنٹر سے رابطہ کریں۔
Helpdesk,اضافی اضافی خوراک کے لیے کون اہل ہے؟
Beneficiary Redressal,وہ بچے جن کی نشاندہی غذائیت کی کمی کے طور پر کی گئی ہے وہ اضافی فوڈ سپلیمنٹس کے اہل ہیں۔
State Helpdesk,حمایت
FAQ, 14408
Poshan Calculator, support-poshantrackr@gov.in
Login,موبائل ایپ ڈاؤن لوڈ کریں۔
Poshan Calculator,Powered By
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,کے بارے میں
How to use Poshan Calculator?,ذرائع وسائل
Select Gender,ڈیش بورڈ
Enter Date of Birth,ہیلپ ڈیسک
Enter Height in centimeter,عمومی سوالات
Enter Weight in kilogram,پوشن کیلکولیٹر
Click on Show Results,خدمت کی شرائط۔
Gender ,رازداری کی پالیسی
*,کیریئرز
Boy,کاپی رائٹ@2023  پوشن ٹریکر. جملہ حقوق محفوظ ہیں
Girl, You need to enable JavaScript to run this app.
Date of Birth ,Poshan Helpline:
*,14408
Height (CM) ,JanAndolan
*,ABHA (صحت کا شناختی کارڈ)
*Height should be between 38 to 150,زبان
CM,English
Weight (KG) ,हिंदी
*,ગુજરાતી
*Weight should be between 0.90 to 58,મરાઠી
KG,ಕನ್ನಡ
Show Results,മലയാളം
What is Poshan Calculator,தமிழ்
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,తెలుగు
WHO standards are :,বাংলা
Stunting ( Height for Age)- ,অসমীয়া
0 months to 6 years,ਪੰਜਾਬੀ
Severely Stunted,ଓଡ଼ିଆ
Moderately stunted,नेपाली
Normal,डोगरी
Underweight (Weight for Age)- ,कोंकणी
0 months to 6 years,सिंधी
Severely Underweight,बोडो
Moderately Underweight,मैथिली
Normal,মণিপুরী
Wasting (Weight for Height)- ,संथाली
0 months to 5 years,اردو
Severely Wasted (SAM),کٲشُر
Moderately Wasted (MAM),کے بارے میں
Normal,ذرائع وسائل
Overweight,ذرائع وسائل
Obese,ویکسینیشن شیڈول
Above standards are defined as per given above mentioned age brackets,ڈیش بورڈ
About Reference tables,ڈیش بورڈ
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,Mission Utkarsh
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA).",ہیلپ ڈیسک
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development.,فائدہ اٹھانے والے کا ازالہ
How to revive your Health?,اسٹیٹ ہیلپ ڈیسک
How to revive your health if you are Severely Wasted (SAM),عمومی سوالات
How to revive your health if you are Moderately Wasted (MAM),پوشن کیلکولیٹر
How to revive your health if you are Underweight,لاگ ان کریں
×,پوشن کیلکولیٹر
×,پوشن کیلکولیٹر ورلڈ ہیلتھ آرگنائزیشن (ڈبلیو ایچ او) کے بیان کردہ معیارات کی بنیاد پر بچے کی نشوونما کی پیمائش کے لئے ڈیزائن کیا گیا ہے۔.
×,پوشن کیلکولیٹر کا استعمال کیسے کریں۔?
Support,صنف منتخب کریں۔
 14408,تاریخ پیدائش درج کریں۔
 support-poshantrackr@gov.in,سینٹی میٹر میں اونچائی درج کریں۔
Download Mobile App,کلوگرام میں وزن درج کریں۔
Powered By,شو کے نتائج پر کلک کریں۔
About,صنف 
Resources,*
Dashboard,لڑکا
Helpdesk,لڑکی
FAQ,پیدائش کی تاریخ 
Poshan Calculator,*
Terms of Service,اونچائی (سینٹی میٹر) 
Privacy Policy,*
Careers,*Height should be between 38 to 150
Copyright@2023  Poshan Tracker. All rights reserved,سینٹی میٹر
 You need to enable JavaScript to run this app.,وزن (کلو) 
Poshan Helpline:,*
14408,*Weight should be between 0.90 to 58
JanAndolan,کلو
ABHA (Health ID),نتائج دکھاو
Language,پوشن کیلکولیٹر کیا ہے؟
English,ورلڈ ہیلتھ آرگنائزیشن (ڈبلیو ایچ او) کے معیار کے مطابق پوشن کیلکولیٹر بچے کی صحت کی مختلف حالتوں کی نشاندہی کرنے میں مدد کرتا ہے۔.
हिंदी,ڈبلیو ایچ او کے معیار ہیں۔ :
ગુજરાતી,اسٹنٹنگ (عمر کے لئے اونچائی) - 
મરાઠી,0 ماہ سے 6 سال۔
ಕನ್ನಡ,شدید سٹنٹڈ
മലയാളം,اعتدال سے حیرت زدہ
தமிழ்,نارمل
తెలుగు,کم وزن (عمر کے لئے وزن) - 
বাংলা,0 ماہ سے 6 سال۔
অসমীয়া,شدید وزن
ਪੰਜਾਬੀ,اعتدال سے کم وزن
ଓଡ଼ିଆ,نارمل
नेपाली,ضائع کرنا (اونچائی کا وزن) -۔ 
डोगरी,0 ماہ سے 5 سال۔
कोंकणी,شدید ضائع (SAM)
सिंधी,اعتدال سے ضائع (MAM)
बोडो,نارمل
मैथिली,زیادہ وزن
মণিপুরী,موٹاپا
संथाली,مذکورہ بالا عمر بریکٹ کے مطابق اوپر کے معیارات کی وضاحت کی گئی ہے۔
اردو,حوالہ جدولوں کے بارے میں۔
کٲشُر,دنیا بھر میں نوزائیدہ بچوں اور کم عمر بچوں کی نشوونما اور نشوونما کے لئے نئے نمو کے منحنی خطوط پیدا کرنے کے لئے ڈبلیو ایچ او ملٹی سینٹر گروتھ ریفرنس اسٹڈی (ایم جی آر ایس) 1997 اور 2003 کے درمیان کیا گیا تھا۔..
About,ایم جی آر ایس نے بڑے پیمانے پر مختلف نسلی پس منظر اور ثقافتی ترتیبات (برازیل ، گھانا ، ہندوستان ، ناروے ، عمان اور امریکہ) کے تقریبا 8500 بچوں سے ابتدائی نمو کے اعداد و شمار اور متعلقہ معلومات اکٹھی کیں۔..
Resources,توقع کی جارہی ہے کہ نئے نمو کے منحنی خطوط ایک واحد بین الاقوامی معیار فراہم کریں گے جو پیدائش سے لے کر پانچ سال کی عمر تک کے تمام بچوں کے لئے جسمانی نشوونما کی بہترین وضاحت کی نمائندگی کرتا ہے اور دودھ پلانے والے نوزائیدہ بچے کو نشوونما اور نشوونما کے لئے ایک بنیادی ماڈل کے طور پر قائم کرتا ہے۔..
Resources,اپنی صحت کو کیسے زندہ کریں۔?
Vaccination Schedule,اگر آپ شدید طور پر ضائع ہوئے ہیں (SAM) تو اپنی صحت کو کیسے زندہ کریں۔
Dashboard,اگر آپ اعتدال پسند ضائع (MAM) ہیں تو اپنی صحت کو کیسے زندہ کریں۔
Dashboard,اگر آپ کم وزن ہیں تو اپنی صحت کو کیسے زندہ کریں۔
Mission Utkarsh,×
Helpdesk,×
Beneficiary Redressal,×
State Helpdesk,حمایت
FAQ, 14408
Poshan Calculator, support-poshantrackr@gov.in
Login,موبائل ایپ ڈاؤن لوڈ کریں۔
Terms of Service,Powered By
Welcome! The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at ,کے بارے میں
https://poshantracker.in,ذرائع وسائل
", and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).",ڈیش بورڈ
I. OWNERSHIP,ہیلپ ڈیسک
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.",عمومی سوالات
II. CONSENT,پوشن کیلکولیٹر
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms. By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.",خدمت کی شرائط۔
"If you do not agree with any part of these terms, do not use the site. You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.",رازداری کی پالیسی
III. NOTICE REGARDING FUTURE CHANGES TO TERMS:,کیریئرز
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You take the responsibility to check these Terms of Use periodically for changes. Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.",کاپی رائٹ@2023  پوشن ٹریکر. جملہ حقوق محفوظ ہیں
IV. ACCOUNT REGISTRATION, You need to enable JavaScript to run this app.
"You may browse the Site without registering for an account. You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.",Poshan Helpline:
"By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.",14408
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure. Your registration or mobile number shall be kept confidential,JanAndolan
You undertake that:,ABHA (صحت کا شناختی کارڈ)
You have obtained consent from the concerned individuals for creating their records through your account.,زبان
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,English
You shall not use another user's account without their permission.,हिंदी
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach. If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.",ગુજરાતી
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site",મરાઠી
V. ACCESS PERMISSIONS,ಕನ್ನಡ
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,മലയാളം
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.",தமிழ்
VI. ACCESS RESTRICTIONS,తెలుగు
"You shall not, either on your own or through any other person:",বাংলা
Restrict or inhibit any other person from using the Site,অসমীয়া
Use the Site for any unlawful purpose,ਪੰਜਾਬੀ
"Express or imply that any statements you make are endorsed by us, without our prior written consent",ଓଡ଼ିଆ
"Impersonate any person or entity, whether actual or fictitious",नेपाली
Engage in spamming or flooding,डोगरी
Harvest or collect information about Site users,कोंकणी
Open multiple accounts for yourself or any other individual using multiple mobile numbers,सिंधी
"Submit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive nature",बोडो
"Manipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submit",मैथिली
Link to any portion of the Site other than the URL assigned to the home page of the Site,মণিপুরী
“Frame” or “Mirror” any part of the Site,संथाली
"Modify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the Content",اردو
"Remove any copyright, trademark or other proprietary rights notices contained on the Site",کٲشُر
"Use any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.",کے بارے میں
Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is active,ذرائع وسائل
Take any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.,ذرائع وسائل
"Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the Content",ویکسینیشن شیڈول
"The Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purpose",ڈیش بورڈ
"You will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number",ڈیش بورڈ
VII. INTELLECTUAL PROPERTY RIGHTS,Mission Utkarsh
We own the intellectual property rights in the Site and Content. We may change the Content and features of the Site at any time.,ہیلپ ڈیسک
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors. You may not use our trademarks, logos, and service marks in any way without our prior written permission.",فائدہ اٹھانے والے کا ازالہ
"Material featured on this website may be reproduced free of charge. However, no part of the Site and no Content may be copied, republished, reproduced, uploaded, posted, displayed publicly, encoded, translated, transmitted or distributed in any way to any other computer, server, Web site or other medium for publication in a derogatory manner or in a misleading context.",اسٹیٹ ہیلپ ڈیسک
"You may use information available on the Site, provided that you will (1) use such information only for your personal, non-commercial informational purpose and do not copy or post such information on any networked computer or broadcast it in any media, (2) not make any modifications to any such information and any additional representations or warranties relating to such documents and Content.",عمومی سوالات
"Wherever the material is being published or issued to others, the source must be prominently acknowledged. However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.",پوشن کیلکولیٹر
VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE,لاگ ان کریں
"Translations on the Poshan Tracker Portal & App Chabot are done by third party translators. While the translations are done on a best effort basis, some of the parts may be incorrect. Certain files and other items on the website cannot be translated. In addition, on translation, some applications and/or services may not function as expected, due to language barriers. We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.",خدمت کی شرائط۔
IX. LINKS,خوش آمدید! درج ذیل سروس کی شرائط (شرائط) ہیں جو آپ کے 
"The Site may contain links to other websites that may not be owned, maintained, or operated by us. The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites. We are not responsible for these websites including any content or the privacy practices of these websites. We strongly encourage you to familiarize yourself with the terms of use of these websites. Your use of these websites is at your own risk and peril. It is solely up to you to take necessary precautions to ensure that the links you select or any software you may download is free of viruses, worms, Trojan horses, defects, date bombs, time bombs, and other or other computer programming routines which are of destructive nature", https://poshantracker.in 
X. ACCESS FROM OUTSIDE INDIA, پر میزبان پوشن ٹریکر پلیٹ فارم کے استعمال کو کنٹرول کرتی ہیں، اور تمام متعلقہ اس سے منسلک سائٹس، اس کے ذیلی ادارے، اور ملحقہ (مجموعی طور پر، سائٹ)۔
"The Site is directed to the people residing in India. We do not represent that Content available on or through the Site is appropriate or available in other locations. We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time. If you choose to access the Site from outside India, you do so at your own risk.",I. ملکیت
XI. VIOLATION OF THESE TERMS,سائٹ اور تمام ڈیٹا، ٹیکسٹ، ڈیزائن، صفحات، پرنٹ اسکرینز، تصاویر، آرٹ ورک، تصاویر، آڈیو اور ویڈیو کلپس، ایچ ٹی ایم ایل کوڈ، سورس کوڈ، یا سافٹ ویئر جو سائٹ پر موجود ہیں یا دیکھنے کے قابل ہیں یا بصورت دیگر دریافت کیے جا سکتے ہیں، اور تمام شرکاء بک کرائے گئے ہیں۔ سائٹ سے، (مجموعی طور پر، مواد کے طور پر کہا جاتا ہے) خواتین اور بچوں کی ترقی کی وزارت اور ان کے مجاز خدمات فراہم کنندگان کی ملکیت ہے۔
"We may investigate any violation of these Terms, including unauthorized use of the Site. We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you. We may take legal action that we feel is appropriate. If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.",II. رضامندی
XII. RE-DISTRIBUTION,ہماری پرائیویسی پالیسی، اوپن API پالیسی اور کوئی دوسری پالیسیاں، قواعد یا رہنما خطوط جو سائٹ پر مخصوص پیشکشوں یا خصوصیات پر لاگو ہو سکتے ہیں ان شرائط میں شامل ہیں۔ سائٹ پر جا کر یا استعمال کر کے، آپ واضح طور پر ان شرائط سے اتفاق کرتے ہیں، جیسا کہ وقتاً فوقتاً اپ ڈیٹ کیا جاتا ہے۔
"Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker. Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.",اگر آپ ان شرائط کے کسی بھی حصے سے متفق نہیں ہیں، تو سائٹ کا استعمال نہ کریں۔ آپ سائٹ کو کسی بھی طرح سے استعمال نہیں کر سکتے ہیں اور اگر آپ بائنڈنگ کنٹریکٹ بنانے کی قانونی عمر کے نہیں ہیں تو آپ شرائط کو قبول نہیں کر سکتے ہیں۔
"XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE",III. شرائط میں مستقبل کی تبدیلیوں سے متعلق نوٹس:
