en,ne
 You need to enable JavaScript to run this app.,Copyright@2023  Poshan Tracker. All rights reserved
Poshan Helpline:, You need to enable JavaScript to run this app.
14408,Poshan Helpline:
JanAndolan,14408
ABHA (Health ID),JanAndolan
Language,एबीएचए (स्वास्थ्य आईडी)
English,भाषा
हिंदी,English
ગુજરાતી,हिंदी
મરાઠી,ગુજરાતી
ಕನ್ನಡ,મરાઠી
മലയാളം,ಕನ್ನಡ
தமிழ்,മലയാളം
తెలుగు,தமிழ்
বাংলা,తెలుగు
অসমীয়া,বাংলা
ਪੰਜਾਬੀ,অসমীয়া
ଓଡ଼ିଆ,ਪੰਜਾਬੀ
नेपाली,ଓଡ଼ିଆ
डोगरी,नेपाली
कोंकणी,डोगरी
सिंधी,कोंकणी
बोडो,सिंधी
मैथिली,बोडो
মণিপুরী,मैथिली
संथाली,মণিপুরী
اردو,संथाली
کٲشُر,اردو
About,کٲشُر
Resources,को बारेमा
Resources,संसाधन
Vaccination Schedule,संसाधन
Dashboard,खोप अनुसूची
Dashboard,ड्यासबोर्ड
Mission Utkarsh,ड्यासबोर्ड
Helpdesk,Mission Utkarsh
Beneficiary Redressal,सहायता केन्द्र
State Helpdesk,हितग्राही निवारण
FAQ,राज्य सहायता डेस्क
Poshan Calculator,एफएक्यू
Login,पोशन क्याल्कुलेटर
Poshan Calculator,लग-इन
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,प्रायः सोधिने प्रश्नहरू
How to use Poshan Calculator?,सबै
Select Gender,लाभार्थी पञ्जीकरण
Enter Date of Birth,घरको राशन लिनुहोस्
Enter Height in centimeter,तातो पकाएको खाना
Enter Weight in kilogram,पोषण अभियान भनेको के हो?
Click on Show Results,"पोषण अभियान भनेको बच्चा, किशोरकिशोरी, गर्भिणीहरूका लागि पोषण परिणामहरू सुधार गर्ने भारतको प्रमुख कार्यक्रम हो।"
Gender ,पोषण ट्र्याकर सुरू गर्नुको उद्देश्य के हो?
*,"पोषण ट्र्याकर एपको उद्देश्य आंगनवाडी केन्द्र (AWC) को गतिविधि र गर्भवती महिला, स्तनपान गराउने आमाहरू र बच्चाहरूका लागि पूर्ण लाभार्थीको व्यवस्थापनलाई ३६० डिग्री दृष्टिकोणमा प्रदान गर्नु हो। प्रस्तावित प्रणालीले परिभाषित संकेतकहरूमा सबै AWCहरू, AWWहरू र लाभार्थीहरूको वास्तविक समयको अनुगमन र ट्र्याकिंग सक्षम पार्नु पर्दछ।"
Boy,कसैले पोषण ट्र्याकर एप कसरी डाउनलोड गर्न सक्छन्?
Girl,पोषण ट्र्याकर अनुप्रयोग गुगल प्लेस्टोर 
Date of Birth ,https://play.google.com/store/apps/details?id=com.poshantracker
*, मा उपलब्ध छ।
Height (CM) ,पोषण ट्र्याकर एप एप्पल आई स्टोरमा पनि उपलब्ध छ?
*,"छैन, पोषण ट्र्याकर एन्ड्रोइड संस्करणका लागि मात्र उपलब्ध छ।"
*Height should be between 38 to 150,मोबाइलमा पोसन ट्र्याकर एप स्थापना गर्न न्यूनतम आवश्यकता के हो?
CM,पोषण ट्र्याकर एप केवल एन्ड्रोइड फोनमा एन्ड्रोइड संस्करण ६.० र माथिकोसँग मात्र स्थापना गर्न सकिन्छ।
Weight (KG) ,के यो एप इन्टरनेटबिना पहुँच गर्न सकिन्छ?
*,"सकिँदैन, कुनै पनि एपलाई मान्य इन्टरनेट जडानबिना चलाउन सकिँदैन।"
*Weight should be between 0.90 to 58,पोषण ट्रेकर एपका लक्षित प्रयोगकर्ता को हुन्?
KG,"पोषण ट्रयाकर एपलाई लाभार्थीहरूको डाटा फाराममा लगाउ अंगनवाडी कार्यकर्ता, अंगनवाडी केन्द्रका लागि हो। यो सामान्य जनताको प्रयोगका लागि होइन।"
Show Results,पोषण ट्र्याकर एपमा कसरी लगइन गर्ने?
What is Poshan Calculator,"AWW हरूलाई लगइन स्क्रिनमा आफ्नो मोबाइल नम्बर प्रविष्ट गर्न अनुरोध गरिन्छ। एउटा OTP आफ्नो दर्ता मोबाइल नम्बर, तपाईलाई आफ्नो MPIN सेट गर्न चाहिने पोस्टमा पठाइनेछ।"
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,MPIN भनेको के हो?
WHO standards are :,MPIN भनेको ४ अंकको पासकोड हो जुन पोसन ट्र्याकर एपमा दर्ता गर्दा आंगनवाडी कार्यकर्ताले सेट गरेको हुन्छ।
Stunting ( Height for Age)- ,MPIN कसरी सेट गर्ने?
0 months to 6 years,"MPIN सम्बन्धित आंगनवाडी कार्यकर्ताले आफ्नो मोबाइल नम्बरको बिरूद्ध OTP अनुरोध गरेर सेट गर्न सकिन्छ । मोबाइल नम्बर डाटाबेसमा पहिले नै अवस्थित छ भने, सम्बन्धित आंगनवाडी व्यक्तिले पंजीकृत मोबाइल नम्बरमा ४ अंकको ओटिपी प्राप्त गर्नेछ। ओटिपीमा प्रवेश गरेपछि, AWW सजिलै अनुकूलित MPIN सेट गर्न सक्दछ।"
Severely Stunted,MPIN कहिले र कसरी प्रयोग गर्ने?
Moderately stunted,पोषण ट्रेकर एपमा लगइन गर्दा AWW हरूलाई तिनीहरूले सेट गरेको MPI प्रविष्ट गर्न आवश्यक छ। यो MPIN ले पोषण ट्र्याकर एप चलाउन र लाभार्थी फारमहरूमा जानकारी प्रविष्ट गर्न पासकोडको रूपमा काम गर्दछ।
Normal,MPIN कसरी रिसेट गर्ने?
Underweight (Weight for Age)- ,"MPIN लाई कुनै पनि AWW / AWC प्रयोगकर्ताद्वारा सजिलै रिसेट गर्न सकिन्छ। तपाईंले बिर्सिएको MPIN मा क्लिक गर्न आवश्यक छ, र तपाईंको पंजीकृत मोबाइल नम्बर प्रविष्ट गर्नुपर्ने छ। तपाईंले आफ्नो दर्ता गरेको मोबाइल नम्बरमा ओटिपी प्राप्त गरेर आफ्नो MPIN सजिलै रिसेट गर्न सक्नुहुन्छ।"
0 months to 6 years,पोषण ट्र्याकर अनुप्रयोग कति भाषाहरूमा उपलब्ध छ?
Severely Underweight,पोषण ट्र्याकर एप २२ विभिन्न भाषाहरूमा उपलब्ध छ
Moderately Underweight,उपलब्ध विभिन्न भाषाहरू:
Normal,अंग्रेजी
Wasting (Weight for Height)- ,हिन्दी
0 months to 5 years,गुजराती
Severely Wasted (SAM),पंजाबी
Moderately Wasted (MAM),मराठी
Normal,बंगला
Overweight,कन्नड
Obese,तामिल
Above standards are defined as per given above mentioned age brackets,तेलेगु
About Reference tables,मलयालम
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,ओडिया
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA).",असमिया
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development.,Nepali
How to revive your Health?,Dogri
How to revive your health if you are Severely Wasted (SAM),Konkani
How to revive your health if you are Moderately Wasted (MAM),Sindhi
How to revive your health if you are Underweight,Bodo
×,Maithili
×,Manipuri
×,Santhali
Support,Urdu
 14408,Kashmiri
 support-poshantrackr@gov.in,AWW वा AWC ले फारम भर्दा कति भाषाहरूमा डाटा प्रविष्ट गर्न सक्छन्?
Download Mobile App,AWW ले फाराम अंग्रेजी भाषामा मात्र भर्न सक्छन्।
Powered By,पोषन ट्र्याकर एपमा कति फरक प्रकारहरू छन्?
About,लाभार्थीहरूका लागि विभिन्न प्रकारका फारामहरू हुन्छन्। यसले निम्न समावेश गर्दछ:
Resources,स्तनपान गराउने आमा
Dashboard,गर्भवती महिला
Helpdesk,बच्चा ०-६ महिना
FAQ,बच्चा ६ महिनादेखि ३ वर्ष
Poshan Calculator,बच्चा ३ वर्षदेखि ६ वर्ष
Terms of Service,किशोरीहरू (११ वर्ष-१९ वर्ष)
Privacy Policy,AWC फारमहरूमा कुन जानकारी थप्न मिल्छ?
Careers,"AWW हरूले एक विशेष आंगनवाडी केन्द्रमा अवस्थित पूर्वाधारसँग सम्बन्धित विवरणहरू प्रविष्ट गर्नुपर्ने छ। यसले संरचना, आधारभूत सुविधाहरू, सुविधा, सरसफाइ, पिउने पानी आदि समावेश गर्दछ।"
Copyright@2023  Poshan Tracker. All rights reserved,AWWहरूले आफ्नो मोबाइल नम्बरमार्फत दर्ता गर्न असमर्थ भएमा कसरी एपमा साइन अप गर्न सक्छन्?
 You need to enable JavaScript to run this app.,AWW आफैंलाई दर्ता गर्न असफल भएमा २ सम्भावनाहरू हुन सक्छन्:
Poshan Helpline:,तिनीहरूको मोबाइल नम्बर राज्यले MoWCD लाई प्रदान गरेको डाटामा छैन।
14408,तिनीहरू नयाँ प्रणालीमा थपिएका हुन् र तिनीहरूको मोबाइल नम्बर राज्य सेलले MoWCD लाई प्रदान गरेको छैन।
JanAndolan,माथिका दुबै स्थितिहरूमा राज्य नोडल अफिसर्सलाई कुनै पनि AWW थप्न / सम्पादन / सक्रिय / निष्क्रिय गर्न अधिकार दिइन्छ।
ABHA (Health ID),पोषण ट्र्याकर ड्यासबोर्डमा कसरी पहुँच गर्न सकिन्छ?
Language,पोषण ट्र्याकर ड्यासबोर्डलाई ड्यासबोर्डमा साइन इन गरेर पहुँच गर्न सकिन्छ। ड्यासबोर्डलाई 
English,https://poshantracker.in/admin
हिंदी," लिंकमा क्लिक गरेर पहुँच गर्न सकिन्छ। राष्ट्रिय, राज्य, जिल्ला, परियोजना र क्षेत्र स्तरका नोडल स्तरका अधिकारीहरूलाई मात्र ड्यासबोर्डमा पहुँच गर्न अद्वितीय प्रमाणपत्रहरू प्रदान गरिन्छ।"
ગુજરાતી,कसैले AWW / AWC कसरी थप्न सक्छ?
મરાઠી,"AWW / AWC हरूलाई केवल नोडल स्तर अफिसियलद्वारा जोड्न सकिन्छ। पदमा माथि रहेको कसैले पनि थप्न सक्छ। राष्ट्रिय स्तरमा जस्तै प्रयोगकर्ताले राज्य, जिल्ला, परियोजना र क्षेत्र स्तरको प्रयोगकर्ता सिर्जना गर्न सक्छ। राज्य स्तरका प्रयोगकर्ताले जिल्ला, परियोजना र क्षेत्र स्तरको प्रयोगकर्ता सिर्जना गर्न सक्छ, जिल्ला स्तरका प्रयोगकर्ताले परियोजना र क्षेत्र स्तरको प्रयोगकर्ता सिर्जना गर्न सक्छ, परियोजना स्तरका प्रयोगकर्ताले क्षेत्र स्तरको प्रयोगकर्ता सिर्जना गर्न सक्छ।"
ಕನ್ನಡ,पोषण ट्र्याकर ड्यासबोर्डमा कति फरक प्रकारका रिपोर्टहरू उत्पन्न गर्न सकिन्छ?
മലയാളം,विभिन्न रिपोर्टहरू हुन्छन् जुन् निम्नानुसार उत्पन्न गर्न सकिन्छ
தமிழ்,सामान्य रिपोर्टहरू:
తెలుగు,डाउनलोड गरिएका एपहरूको संख्या
বাংলা,दर्ता गरिएका आंगनवाडी केन्द्रहरूको कुल संख्या
অসমীয়া,दर्ता गरिएका लाभार्थीहरूको कुल संख्या (राष्ट्रिय / राज्य / जिल्ला / खण्डअनुसार)
ਪੰਜਾਬੀ,दर्ता गरिएका गर्भवती महिलाहरूको कुल संख्या (राष्ट्रिय / राज्य / जिल्ला / खण्डअनुसार)
ଓଡ଼ିଆ,स्तनपान गराउने आमाहरूको कुल संख्या दर्ता गरियो (राष्ट्रिय / राज्य / जिल्ला / खण्डवार)
नेपाली,बच्चाहरूको कुल संख्या (०-६ महिना) पंजीकृत (राष्ट्रिय / राज्य / जिल्ला / खण्डअनुसार)
डोगरी,बच्चाहरूको कुल संख्या (६ महिना - ३ वर्ष) पंजीकृत (राष्ट्रिय / राज्य / जिल्ला / खण्डअनुसार)
कोंकणी,दर्ता गरिएका बच्चाहरूको कुल संख्या (३-६ वर्ष) (राष्ट्रिय / राज्य / जिल्ला / खण्डअनुसार)
सिंधी,मातृ र बाल पोषण:
बोडो,२१ दिनमा कति लाभार्थीहरूले THR प्राप्त गरे
मैथिली,कति बच्चाहरूले जन्मपछि पहिलो घण्टामा विशेष गरी स्तनपान गराए
মণিপুরী,कति स्तनपान गराउने आमाहरूलाई एचसीएम दिइन्छ
संथाली,कति जना बच्चाहरूले जन्मपछि पहिलो घण्टामा विशेष रूपमा स्तनपान गराए
اردو,३-६ वर्ष उमेरका बच्चाहरूमा क्याल्सियमको औसत स्तर
کٲشُر,३-६ वर्ष उमेरका बच्चाहरूमा आइरनको औसत स्तर
About,"प्रति महिना लगाइएका खोपहरूको कुल संख्या (ब्लक, जिल्ला, राज्य, राष्ट्रिय स्तर)"
Resources,प्रति महिना लगाइएका खोपको विशिष्ट रिपोर्ट (BCG / OPV / हेपेटाइटिस बी / रोटावायरस / पोलियो / न्यूमोकोकल / पेन्टालेलेन्ट)
Resources,AWC पूर्वाधार:
Vaccination Schedule,"AWC हरूको संख्या (ब्लक, जिल्ला, राज्य, राष्ट्रिय स्तर)"
Dashboard,"बालवाटिकाको कुल संख्या (ब्लक, जिल्ला, राज्य, राष्ट्रिय स्तर)"
Dashboard,"सफा पिउने पानी भएका AWC हरूको कुल संख्या (ब्लक, जिल्ला, राज्य, राष्ट्रिय स्तर)"
Mission Utkarsh,"कार्य तौल मापन भएका AWC हरू (ब्लक, जिल्ला, राज्य, राष्ट्रिय स्तर) को कुल संख्या"
Helpdesk,"बिजुली भएका AWC हरूको कुल संख्या (ब्लक, जिल्ला, राज्य, राष्ट्रिय स्तर)"
Beneficiary Redressal,सरकारी स्वामित्वमा रहेका AWC हरूको कुल संख्या
State Helpdesk,निजी स्वामित्वमा रहेका AWC हरूको कुल संख्या
FAQ,पोशन ट्र्याकर टोलीलाई कसरी सम्पर्क गर्ने?
Poshan Calculator,पोशन ट्र्याकर टोलीलाई support-poshantrackr@gov.in मा इमेल पठाएर सम्पर्क गर्न सकिन्छ। हात समात्न र समर्थनको लागि हामी हरेक दिन 4:15 बजे देखि 5:15 बजे सम्म भिडियो कन्फरेन्समा पनि उपलब्ध छौं।
Login,एउटा लाभार्थी सिधै आवेदन प्रयोग गरेर पंजीकरण गर्न सक्नुहुन्छ।
Terms of Service,हाल एउटा लाभार्थीले एडब्ल्यूडब्ल्यू को मद्दतले पंजीकरण गर्न सक्छ
Welcome! The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at ,लाभार्थी को हो?
https://poshantracker.in,लाभार्थीहरूको लागि 6 वर्गहरू छन्
", and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).",गर्भवती महिला
I. OWNERSHIP,स्तनपान गराउने आमा
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.",0 देखि 6 महिना सम्मका बालबालिका
II. CONSENT,6 महिनादेखि 3 वर्षसम्मका बालबालिका
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms. By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.",3 वर्ष देखि 6 वर्ष सम्मका बालबालिका
"If you do not agree with any part of these terms, do not use the site. You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.",किशोरी केटीहरु
III. NOTICE REGARDING FUTURE CHANGES TO TERMS:,के लाभार्थीले आफ्नो एडब्ल्यूसी परिवर्तन गर्न सक्नुहुन्छ?
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You take the responsibility to check these Terms of Use periodically for changes. Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.",एउटा एडब्ल्यूडब्ल्यू ले आधार संख्याको आधारमा एउटा एडब्ल्यूसी बाट अर्को एडब्ल्यूसी मा लाभार्थी स्थानान्तरण गर्न 'स्थानान्तरण लाभार्थी' विकल्प प्रयोग गर्न सक्छ।
IV. ACCOUNT REGISTRATION,एउटा लाभार्थीको पात्रता के हो?
"You may browse the Site without registering for an account. You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.",एउटा लाभार्थी एक महिनामा कम्तिमा 21 दिनको लागि टीएचआर को लागि योग्य हुन्छ।
"By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.",घरको राशन लिनुको लागि को योग्य छ?
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure. Your registration or mobile number shall be kept confidential,"गर्भवती महिला, स्तनपान गराउने आमाहरू, 6 महिनादेखि 3 वर्षसम्मका बालबालिका र किशोरी केटीहरु।"
You undertake that:,मैले घरमा रासन लैजाने बारेमा कहाँ सोध्न सक्छु?
You have obtained consent from the concerned individuals for creating their records through your account.,कृपया आफ्नो सम्बन्धित आंगनवाडी कार्यकर्तालाई सम्पर्क गर्नुहोस्।
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,थप पूरक खाना को लागी को योग्य छ।
You shall not use another user's account without their permission.,पोषणमा कमीको रूपमा पहिचान गरिएका बालबालिकाहरू थप खाद्य पूरकहरूका लागि योग्य छन्।
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach. If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.",एउटा लाभार्थीको पात्रता के हो?
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site",एउटा लाभार्थी एक महिनामा कम्तिमा 21 दिनको लागि एचसीएम को लागी योग्य हुन्छ।
V. ACCESS PERMISSIONS,तातो पकाएको खानाको लागि को योग्य छ?
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,3 वर्ष देखि 6 वर्ष सम्मको उमेर समूहका बालबालिका
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.",तातो पकाएको खानाको बारेमा मैले कहाँ सोधपुछ गर्न सक्छु?
VI. ACCESS RESTRICTIONS,कृपया आफ्नो सम्बन्धित आंगनवाडी केन्द्रमा सम्पर्क गर्नुहोस्।
"You shall not, either on your own or through any other person:",थप पूरक खानाको लागि को योग्य छ?
Restrict or inhibit any other person from using the Site,पोषणमा कमीको रूपमा पहिचान गरिएका बालबालिकाहरू थप खाद्य पूरकहरूका लागि योग्य छन्।
Use the Site for any unlawful purpose,समर्थन
"Express or imply that any statements you make are endorsed by us, without our prior written consent", 14408
"Impersonate any person or entity, whether actual or fictitious", support-poshantrackr@gov.in
Engage in spamming or flooding,मोबाइल एप डाउनलोड गर्नुहोस्
Harvest or collect information about Site users,Powered By
Open multiple accounts for yourself or any other individual using multiple mobile numbers,को बारेमा
"Submit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive nature",संसाधन
"Manipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submit",ड्यासबोर्ड
Link to any portion of the Site other than the URL assigned to the home page of the Site,सहायता केन्द्र
“Frame” or “Mirror” any part of the Site,एफएक्यू
"Modify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the Content",पोशन क्याल्कुलेटर
"Remove any copyright, trademark or other proprietary rights notices contained on the Site",सेवाका सर्तहरु
"Use any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.",गोपनीयता नीति
Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is active,पेशाहरु
Take any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.,Copyright@2023  Poshan Tracker. All rights reserved
"Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the Content", You need to enable JavaScript to run this app.
"The Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purpose",Poshan Helpline:
"You will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number",14408
VII. INTELLECTUAL PROPERTY RIGHTS,JanAndolan
We own the intellectual property rights in the Site and Content. We may change the Content and features of the Site at any time.,एबीएचए (स्वास्थ्य आईडी)
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors. You may not use our trademarks, logos, and service marks in any way without our prior written permission.",भाषा
"Material featured on this website may be reproduced free of charge. However, no part of the Site and no Content may be copied, republished, reproduced, uploaded, posted, displayed publicly, encoded, translated, transmitted or distributed in any way to any other computer, server, Web site or other medium for publication in a derogatory manner or in a misleading context.",English
"You may use information available on the Site, provided that you will (1) use such information only for your personal, non-commercial informational purpose and do not copy or post such information on any networked computer or broadcast it in any media, (2) not make any modifications to any such information and any additional representations or warranties relating to such documents and Content.",हिंदी
"Wherever the material is being published or issued to others, the source must be prominently acknowledged. However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.",ગુજરાતી
VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE,મરાઠી
"Translations on the Poshan Tracker Portal & App Chabot are done by third party translators. While the translations are done on a best effort basis, some of the parts may be incorrect. Certain files and other items on the website cannot be translated. In addition, on translation, some applications and/or services may not function as expected, due to language barriers. We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.",ಕನ್ನಡ
IX. LINKS,മലയാളം
"The Site may contain links to other websites that may not be owned, maintained, or operated by us. The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites. We are not responsible for these websites including any content or the privacy practices of these websites. We strongly encourage you to familiarize yourself with the terms of use of these websites. Your use of these websites is at your own risk and peril. It is solely up to you to take necessary precautions to ensure that the links you select or any software you may download is free of viruses, worms, Trojan horses, defects, date bombs, time bombs, and other or other computer programming routines which are of destructive nature",தமிழ்
X. ACCESS FROM OUTSIDE INDIA,తెలుగు
"The Site is directed to the people residing in India. We do not represent that Content available on or through the Site is appropriate or available in other locations. We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time. If you choose to access the Site from outside India, you do so at your own risk.",বাংলা
XI. VIOLATION OF THESE TERMS,অসমীয়া
"We may investigate any violation of these Terms, including unauthorized use of the Site. We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you. We may take legal action that we feel is appropriate. If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.",ਪੰਜਾਬੀ
XII. RE-DISTRIBUTION,ଓଡ଼ିଆ
"Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker. Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.",नेपाली
"XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE",डोगरी
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India. These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.",कोंकणी
XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS,सिंधी
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party. Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",बोडो
XV. INDEMNITY AND LIMITATION OF LIABILITY,मैथिली
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:",মণিপুরী
Your use of and access to the Site and Service;,संथाली
Your violation of any term of this Agreement;,اردو
"Your violation of any third party right, including without limitation, any copyright, property, or privacy right; or",کٲشُر
Any claim that your User Content caused damage to a third party. This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,को बारेमा
XVI. JURISDICTION,संसाधन
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,संसाधन
Support,खोप अनुसूची
 14408,ड्यासबोर्ड
 support-poshantrackr@gov.in,ड्यासबोर्ड
Download Mobile App,Mission Utkarsh
Powered By,सहायता केन्द्र
About,हितग्राही निवारण
Resources,राज्य सहायता डेस्क
Dashboard,एफएक्यू
Helpdesk,पोशन क्याल्कुलेटर
FAQ,लग-इन
Poshan Calculator,पोशन क्याल्कुलेटर
Terms of Service,पोशन क्याल्कुलेटर विश्व स्वास्थ्य संगठन (डब्ल्यूएचओ) द्वारा व्याख्या मापदण्ड आधारित बच्चाको वृद्धि मापन गर्न डिजाइन हो।.
Privacy Policy,पोशन क्याल्कुलेटर कसरी प्रयोग गर्ने?
Careers,लिङ्ग चयन गर्नुहोस्
Copyright@2023  Poshan Tracker. All rights reserved,जन्म मिति प्रविष्ट गर्नुहोस्
 You need to enable JavaScript to run this app.,सेन्टिमिटर मा उचाई प्रविष्ट गर्नुहोस्
Poshan Helpline:,किलोग्राम मा तौल प्रविष्ट गर्नुहोस्
14408,नतिजाहरू देखाउने मा क्लिक गर्नुहोस्
JanAndolan,लिंग 
ABHA (Health ID),*
Language,केटा
English,केटी
हिंदी,जन्ममिति 
ગુજરાતી,*
મરાઠી,उचाई (सेमी) 
ಕನ್ನಡ,*
മലയാളം,*उचाई 38 देखि 150 का बीच हुनुपर्छ
தமிழ்,सेमी
తెలుగు,वजन (केजी) 
বাংলা,*
অসমীয়া,*वजन 0.90 देखि 58 का बीच हुनुपर्छ
ਪੰਜਾਬੀ,केजी
ଓଡ଼ିଆ,परिणामहरू देखाउनुहोस्
नेपाली,पोशन क्याल्कुलेटर भनेको के हो
डोगरी,पोशन क्याल्कुलेटर विश्व स्वास्थ्य संगठन (डब्लूएचओ) मापदण्ड अनुसार बच्चाको विभिन्न स्वास्थ्य अवस्थाहरूलाई मान्यता दिन मद्दत गर्दछ।.
कोंकणी,डब्ल्यूएचओ मापदण्ड हो :
सिंधी,स्टन्टिङ (उमेरको लागि उचाइ) 
बोडो,0 महिना देखि 6 वर्ष सम्म
मैथिली,गम्भीर रूपमा स्टन्ट
মণিপুরী,मध्यम रूपमा स्टन्ट गरिएको
संथाली,सामान्य
اردو,कम तौल (उमेरको लागि वजन) 
کٲشُر,0 महिना देखि 6 वर्ष सम्म
About,गम्भिर कम तौल
Resources,मध्यम कम तौल
Resources,सामान्य
Vaccination Schedule,बर्बाद (उचाइको लागि वजन) - 
Dashboard,0 महिना देखि 5 वर्ष सम्म
Dashboard,गम्भीर रूपमा बर्बाद (एसएएम)
Mission Utkarsh,मध्यम रूपमा बर्बाद (एमएएम)
Helpdesk,सामान्य
Beneficiary Redressal,बढी तौल
State Helpdesk,मोटो
FAQ,माथि उल्लिखित उमेर कोष्ठकहरू अनुसार माथिको मापदण्डहरू परिभाषित गरिएका छन्
Poshan Calculator,सन्दर्भ तालिकाहरूको बारेमा
