en,sd
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,"आंगनवाड़ी कम कंदड/आंगनवाड़ी मरकज़ खे फकत नोडल सतह जे ऑफिसरनु पारां जोड़े सघ॒जे थो. कोई बि जेको मथे दि॒नल उहदे में दि॒नल आहे. जियें त राष्ट्रीय सतह जो यूजर राज्य, जिल्ला, प्रोजेक्ट एं सेक्टर सतह जे यूजर खे क्रिएट करे सघे॒ थो. राज्य सतह जो जिल्ला, प्रोजेक्ट एं सेक्टर सतह जे यूजर खे क्रिएट करे सघे॒ थो. जिल्ला सतह जो यूजर प्रोजेक्ट एं सेक्टर सतह जे यूजर खे क्रिएट करे सघे॒ थो. प्रोजेक्ट सतह जो यूजर सेक्टर सतह जे यूजर खे क्रिएट करे सघे॒ थो."
How many different types of reports can be generated over Poshan Tracker Dashboard?,पोषण ट्रेकर डैशबोर्ड केतरनु नमूननु जूं रिपोरटुं कढ़ी सघ॒बियूं आहिन?
There are various reports that can be generated from,डैशबोर्ड तां तरह-तरह जूं रिपोरटूं कढ़ी सघ॒बियूं आहिन
General Reports:,आम रिपोरटूं:
Number of app  downloads,एप डाउनलोड जा नंबर
Total number of Anganwadi centers registered,रजिस्टर थियल आंगनवाड़ी मरकज़नु जो कुल नंबर
Total number of beneficiaries registered (National/state/district/block wise),रजिस्टर थियल फ़ायदो वठंदडनु जो कुल नंबर (राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)
Total Number of pregnant women registered(National/state/district/block wise),रजिस्टर थियल गर्भ वंती मायूनु जो कुल नंबर (राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)
Total Number of  lactating mothers registered(National/state/district/block wise),रजिस्टर थियल धाराइंदडु माउरुन जो कुल नंबर (राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)
Total Number of children (0-6months) registered(National/state/district/block wise),रजिस्टर थियल बा॒रन (0-6 महिना) जो कुल नंबर (राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)
Total Number of children (6months-3years) registered(National/state/district/ block wise),रजिस्टर थियल बा॒रन (6 महीना- 3 साल) जो कुल नंबर (राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)
Total Number of children (3-6years) registered(National/state/district/ block wise),रजिस्टर थियल बा॒रन (3- 6 साल) जो कुल नंबर (राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)
Maternal and child nutrition:,माउ एं बा॒र जी खोराक:
How many beneficiaries got THR in 21 days,21 दी॒न्हनु में केतरनु फ़ायदो वठंदड़नु खे टीएचआर मिली आहे
How many children breastfed exclusively in the first hour after delivery,केतरनु बा॒रनु खे डिलीवरी जे पहिरियें कलाक में माउ जो खीर दिनो वियो
How many lactating mothers are given HCM,केतरियुन धाराइंदडु माउरुन खे एचसीएम दि॒नी वेई आहे
Average level of calcium in children aged 3-6 years,केतरनु बा॒रनु खे डिलीवरी जे पहिरियें कलाक में माउ जो खीर दि॒नो वियो
Average level of iron in children aged 3-6years,3 - 6 सालनु जी उम्र वारनु बा॒रन में कैल्शियम जो सरासरी सतह
"Total number of vaccinations administered per month (block, district, state, national level)",3 - 6 सालनु जी उम्र वारनु बा॒रन में आयरन जो सरासरी सतह
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,हिक महीने में दि॒नल टीके जी खास रिपोर्ट (बीसीजी/ ओपीवी/ हेपेटाइटिस B/ रोटावायरस/ पोलियो/ नयुमाकोक्कल/ पेंटावेलंट)
AWC infrastructure:,आंगनवाड़ी मरकज़ इमारत:
"Number of AWCs (block, district, state, national level)",आंगनवाड़ी मरकज़ जो नंबर (राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)
"Total number of Balvatikas (block district, state, national level)",बा॒लवाटिका जो कुल नंबर ((राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)
"Total number of AWCs (block, district, state, national level) with clean drinking water",पीयण जे साफ पाणीअ वारन आंगनवाड़ी मरकज़ जो कुल नंबर ((राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)
"Total number of AWCs (block, district, state, national level) with working weighing scale",कम कंदड वज़न कांटे वारन आंगनवाड़ी मरकज़ जो कुल नंबर (राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)
"Total number of AWCs (block, district, state, national level) with electricity",बिजली वारन आंगनवाड़ी मरकज़ जो कुल नंबर (राष्ट्रीय/ राज्य/ जिला/ ब्लॉक मुजब)
Total number of AWCs that are government owned,आंगनवाड़ी मरकज़नु जो कुल नंबर जेके सरकार जी मालिकीअ जा आहिन
Total number of AWCs that are privately owned,आंगनवाड़ी मरकज़नु जो कुल नंबर जेके खानगी मालिकीअ जा आहिन
How to contact Poshan Tracker Team?,पोषण ट्रेकर टीम जो राबतो कियें कयो वञे?
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,पोषण ट्रेकर टीम खे support-poshantrackr@gov.in ते ईमेल करे राब्तो करे सघ॒बो आहे. सहकार एं मदद जे लाये असां हर दि॒हं 4:15 pm खां 5:15 pm ताईं वीडियो कांफ्रेंस ते बि मौजूद आहियूं.
Can a beneficiary register directly using application.,छा अप्लिकेशन खे डायरेक्टलि इस्तमाल करें फायदेमंद रजिस्ट्रेशन करे ता सचमुच।
Currently a beneficiary can register by the help of an AWW,हाणे जे लाए लाभकारी रजिस्ट्रेशन करे ता सघयु AWW जी मदद सा
Who is a beneficiary?,केर आ फायदेमंद?
There are 6 categories for beneficiaries,हिते छ: श्रेणियु आएन फायदे जे लाए
Pregnant Women,पेटअ वारी माई
Lactating Mother,ढुक्क डेयन वारी माई
Children from 0 to 6 months,बार 0 खा 6 महिनन जो
Children from 6 months to 3 years,बार 6 महिनन खा 3 सालन जो
Children from 3 years to 6 years,बार 3 सालन खा 6 सालन जो
Adolescent girls,किशोरी छोकरूयु
Can a beneficiary change his/her AWC?,छा लाभकारी बदलाव थी तो सघे उननजे AWC मे?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,छा AWW खे माइग्रेंट लाभकारी आप्शन इस्तमाल करे ता सघयु ताकी माइग्रेंट लाभकारी हिकAWC खा बे AWC खे डई सघयु आधार नंबर जे द्वारा।
What is the eligibility of a beneficiary?,छा आए लाभकारी जी पात्रता?
A beneficiary is eligible for THR for at least 21 days in a month.,हिक लाभकारी छा योग्य आए THR लाए घट में घट महिने जे 21 डियन जे लाए।
Who is eligible for Take Home Ration?,केर घर जो राशन वठण जे योग्य आ?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","पेटअ वारी माई, ढुक्क डेयन माई, बार 6 महिनन खा 3 साल ताई आऊं किशोरी छोकरूयु।"
Where can I enquire about take home ration?,किथे वनी मा घर जे राशन लाए पुछि ती सिगा?
Please contact your respective Anganwadi worker.,किरपा तांजे आदरणीय आंगनवाड़ी कार्यकर्ता सा सम्पर्क कयो।
Who is eligible for additional supplementary food.,केर अतिरिक्त पूरी रोटी जे योग्य आ।
Children who are identified as deficit on nutrition are eligible for additional food supplements.,बार जेका कुपोषित आएन उवे अतिरिक्त पूरी रोटी जे योग्य आ एन।
What is the eligibility of a beneficiary?,छा आए लाभकारी जी पात्रता?
A beneficiary is eligible for HCM for at least 21 days in a month.,हिक लाभकारी योग्य आए HCM लाए घट में घट महिने जे 21 डियन लाए।
Who is eligible for Hot Cooked Meal?,केर गर्म ठयल रोटी जे काबिल आ?
Children in the age group of 3 years to 6 years,बार देखा 3 सल खा 6 सालन जा आएन
Where can I enquire about Hot Cooked Meal?,छा मां पुछि ती सिघा गर्म ठयल रोटी जे बारे मे?
Please contact your respective Anganwadi Centre.,किरपा तांजे आंगनवाड़ी कार्यकर्ता सा सम्पर्क कयो।
Who is eligible for additional supplementary food?,केर अतिरिक्त पूरी रोटी जे योग्य आ?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,बार जेका कुपोषित आएन उवे अतिरिक्त पूरी रोटी जे योग्य आ एन।
Support,मदद
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल ऐप डाउनलोड कयो
Powered By,Powered By
About,जे बारे में
Resources,वसीला
Dashboard,डैश्बोर्ड
Helpdesk,हेल्पडेस्क
FAQ,घणो करे पूछण वणन वारा सवाल
Poshan Calculator,पोषण कैलकुलेटर
Terms of Service,टर्म्स ऑफ़ सर्विसेस
Privacy Policy,गोपनीयता नीति
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:, You need to enable JavaScript to run this app.
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (तंदुरुस्ती आईडी)
Language,बो॒ली
About,जे बारे में
Resources,वसीला
Resources,वसीला
Vaccination Schedule,टीकाकरण जो शेड्यूल
Dashboard,डैश्बोर्ड
Dashboard,डैश्बोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,हितभागी जो निस्तार
State Helpdesk,राज्य हेल्पडेस्क
FAQ,घणो करे पूछण वणन वारा सवाल
Poshan Calculator,पोषण कैलकुलेटर
Login,लॉगिन
