en,mai
How to Login in Poshan Tracker App?,पोषण ट्रैकर एप मे लॉगिन कोना करी?
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","AWW सभ कें लॉगिन स्क्रीन मे अपन मोबाइल नंबर प्रविष्ट करबाक आग्रह कएल जायत अछि। अहॉंक मोबाइल नंबर पर एक गोट OTP पठाओल जायत, एकर बाद अहॉं कें अपन MPIN सेट करबाक आवश्यकता होइत अछि।"
What is  MPIN?,MPIN की होइत अछि?
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,MPIN एक टा 4 अंकक पासकोड अछि जे पोषण ट्रैकर एपक पंजीकरण करबाक दरमियान आंगनवाड़ी कार्यकर्ता द्वारा सेट कएल जायत अछि।
How to set MPIN?,MPIN कोना सेट करी?
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.",संबंधित आंगनवाड़ी कार्यकर्ता अपन मोबाइल नंबर लेल OTPक आग्रह कए MPIN सेट कए सकैत छथि। यदि मोबाइल नंबर डेटाबेस पर पहिने सँ मौजूद अछि त' संबंधित आंगनवाड़ी व्यक्ति कें पंजीकृत मोबाइल नंबर पर 4 अंकक OTP प्राप्त होइत। OTP प्रविष्ट कएलाक पश्चात AWW आसानी सँ अनुकूलित MPIN सेट कए सकैत छथि।
When and how to use MPIN?,कखन आ कोना MPIN उपयोग करी?
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.",पोषण ट्रैकर एप मे लॉगन करबाक समय AWW सभ कें हुनका द्वारा सेट कएल MPIN सेट करवाक आवश्यकता होइत अछि। ई MPIN पोषण ट्रैकर एप चलेबाक लेल आ लाभार्थीक प्रपत्र सभ मे जानकारी प्रविष्ट करबाक लेल पासकोडक काज करत।
How to Reset MPIN?,MPIN कें रीसेट कोना करी?
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN",कोनो AWW/AWC उपयोगकर्ता द्वारा MPIN आसानी सँ रीसेट कएल जा सकैत अछि। अहॉं कें फॉरगॉट MPIN पर क्लिक करबाक आ अपन पंजीकृत मोबाइल नंबर प्रविष्ट करबाक आवश्यकता होइत। अहॉं कें अपन पंजीकृत मोबाइल नंबर पर OTP प्राप्त होइत आ अहॉं आसानी सँ अपन MPIN कें रीसेट कए सकब।
In How many languages the Poshan Tracker App is available?,पोषण ट्रैकर एप कतेक भाषा सभ मे उपलब्ध अछि?
Poshan Tracker App is available in 22 different languages,पोषण ट्रैकर एप 22 विभिन्न भाषा सभ मे उपलब्ध अछि।
The various languages available are:,उपलब्ध विभिन्न भाषा सभ अछि:
English,अंग्रेजी
Hindi,हिंदी
Gujarati,गुजराती
Punjabi,पंजाबी
Marathi,मराठी
Bangla,बांग्ला
Kannada,कन्नड़
Tamil,तमिल
Telugu,तेलगु
Malyalam,मलयालम
Odia,ओड़िया
Assamese,असमी
Nepali,Nepali
Dogri,Dogri
Konkani,Konkani
Sindhi,Sindhi
Bodo,Bodo
Maithili,Maithili
Manipuri,Manipuri
Santhali,Santhali
Urdu,Urdu
Kashmiri,Kashmiri
In how many languages AWW can enter the data while filling up the form?,प्रपत्र भरबाक समय AWW वा AWC कतेक भाषा सभ मे डेटा प्रविष्ट कए सकैत छथि?
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,AWW पपत्र भरबाक प्रक्रिया सिर्फ अंग्रेजी भाषा मे संपन्न कए सकैत छथि।
How many different forms are there in Poshan Tracker App?,पोषण ट्रैकर एप मे कतेक प्रकारक पपत्र उपलब्ध अछि?
There are 7 different types of forms for beneficiaries. This includes:,लाभार्थी सभ लेल 7 विभिन्न प्रकारक पपत्र सभ उपलब्ध अछि। एहि मे शामिल अछि:
Lactating mother,स्तनपान कराबै वाली माय
Pregnant women,गर्भवती स्त्री सभ
Child 0-6 Months,0-6 महीनाक नेना
Child 6 Months to 3 Years,6 महीना सँ 3 सालक नेना
Child  3 Years to 6 Years,3 साल सँ 6 सालक नेना
Adolescent Girls (11 Years-19 Years),किशोरी (11 साल सँ 19 साल)
What information to be added in AWC forms?,AWC प्रपत्र मे कोन जानकारी जोड़बाक चाहि?
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.","AWW कें कोनो खास आंगनवाड़ी केंद्रक आधारभूत संरचना सँ संबंधित विवरण प्रविष्ट करबाक आवश्यकता होइत अछि। एहि में संरचना, मूलभूत सुविधा सभ, व्यवस्था, सैनिटाइजेशन, पेयजल आदि शामिल अछि।"
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,यदि AWW सभ अपन मोबाइल नंबरक माध्यम सँ पजीकरण करबा मे असमर्थ होए त' ओ एप मे कोना साइन अप कए सकैत अछि?
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,यदि AWW सभ अपन पंजीकरण करबा मे असफल रहैत छथि त' 2 बातक संभावना अछि:
Their mobile number is not present in the data provided by the states to the MoWCD,हुनक मोबाइल नंबर राज्य द्वारा MoWCD कें उपलब्ध कराओल गेल डेटा मे उपस्थित नहि अछक।
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,ओ सिस्टम पर हाल मे जोड़ल गेल छथि आ हुनक मोबाइल नंबर स्टेट सेल द्वारा MoWCD कें एखन धरि उपलब्ध नहि कराओल गेल अछि।
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,उपरोक्त दुनू स्थिति में राज्य नोडल पदाधिकारी कें कोनो AWW कें जोड़/संपादन/ सक्रिय/निष्क्रिय करबाक कार्य शक्ति होइत अछि।
How can one access Poshan Tracker Dashboard?,कोनो व्यक्ति पोषण ट्रैकर डैशबोर्ड कें कोना एक्सेस कए सकैत छथि?
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,डैशबोर्ड पर साइन कए पोषण ट्रैकर डैशबोर्ड कें एक्सेस कएल जा सकैत अछि। डैशबोर्ड कें 
https://poshantracker.in/admin,https://poshantracker.in/admin
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard."," लिंक क्लिक कए एक्सेस कएल जा सकैत छथि। सिर्फ नामांकित राष्ट्रीय, राज्य, जिला, प्रोजेक्ट आ सेक्टर स्तरक नोडल अधिकारी सभ कें डैशबोर्ड एक्सेस करबाक अनूठा क्रेडेंशियल उपलब्ध कराओल गेल अछि।"
How one can add AWW/AWCs?,केयो AWW/AWCs कें कोना जोड़ि सकैत छथि?
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,"AWW/AWCs सभ कें सिर्फ नोडल स्तरक अधिकारी द्वारा जोड़ल जा सकैत अछि। ऊपर मे उल्लेखित पदानुक्रम कें कोनो व्यक्ति। जेना की राष्ट्रीय स्तरक उपयोगकर्ता राज्य, जिला, प्रोजेक्ट आ सेक्टर स्तरक उपयोगकर्ता बना सकैत छथि। राज्य स्तरक उपयोगकर्ता जिला, प्रोजेक्ट आ सेक्टर स्तरक उपयोगकर्ता बना सकैत छथि, जिला स्तरक उपयोगकर्ता प्रोजेक्ट आ सेक्टर स्तर उपयोगकर्ता बना सकैत छथि, प्रोजेक्ट स्तरक उपयोगकर्ता सेक्टर स्तरक उपयोगकर्ता बना सकैत छथि। सीए."
How many different types of reports can be generated over Poshan Tracker Dashboard?,पोषण ट्रैकर डैशबोर्ड पर कतेक प्रकारक रिपोर्ट उत्पन्न कएल जा सकैत अछि?
There are various reports that can be generated from,एहन विभिन्न रिपोर्ट भ' सकैत अछि जे उत्पन्न कएल जा सकैत अछि
General Reports:,सामान्य रिपोर्ट:
Number of app  downloads,एप डाउनलोड कें संख्या
Total number of Anganwadi centers registered,पंजीकृत आंगवाड़ीक कुल संख्या
Total number of beneficiaries registered (National/state/district/block wise),पंजीकृत लाभार्थीक कुल संख्या (राष्ट्रीय/राज्य/जिला/प्रखंड वार)
Total Number of pregnant women registered(National/state/district/block wise),पंजीकृत गर्भवती स्त्री सभक कुल संख्या (राष्ट्रीय/राज्य/जिला/प्रखंड वार)
Total Number of  lactating mothers registered(National/state/district/block wise),स्तनपान कराबै वला माता सभक कुल संख्या (राष्ट्रीय/राज्य/जिला/प्रखंड वार)
Total Number of children (0-6months) registered(National/state/district/block wise),नेना सभक कुल संख्या (0 सँ 6 महीना) (राष्ट्रीय/राज्य/जिला/प्रखंड वार)
Total Number of children (6months-3years) registered(National/state/district/ block wise),नेना सभक कुल संख्या (6 महीना सँ 3 साल) (राष्ट्रीय/राज्य/जिला/प्रखंड वार)
Total Number of children (3-6years) registered(National/state/district/ block wise),नेना सभक कुल संख्या (3 सँ 6 साल)(राष्ट्रीय/राज्य/जिला/प्रखंड वार)
Maternal and child nutrition:,मातृत्व आ बाल पोषण:
How many beneficiaries got THR in 21 days,21 दिन मे कतेक लाभार्थी सभ कें THR प्राप्त भेल
How many children breastfed exclusively in the first hour after delivery,प्रसव उपरांत पहिल घंटा मे कतेक नेना स्तनपान कएलक
How many lactating mothers are given HCM,स्तनपान कराबै वला कतेक माता सभ कें HCM देल गेल
Average level of calcium in children aged 3-6 years,प्रसव उपरांत पहिल घंटा मे कतेक नेना स्तनपान कएलक
Average level of iron in children aged 3-6years,3 सँ 6 साल कें नेना मे कैल्सियमक औसत स्तर
"Total number of vaccinations administered per month (block, district, state, national level)",3 सँ 6 साल कें नेना मे लौह तत्वक औसत स्तर
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,प्रति मास लगाओल गेल टीकाकरण विशिष्ट रिपोर्ट (BCG/OPV/हैपटाइटिस B/रोटावायरस /पोलियो /न्यूमोकोकल /पेंटावैलेंट)
AWC infrastructure:,AWC आधारभूत संरचना:
"Number of AWCs (block, district, state, national level)","AWC सभक संख्या (प्रखंड, जिला, राज्य, राष्ट्रीय स्तर)"
"Total number of Balvatikas (block district, state, national level)","बलवतिका कें कुल संख्या (प्रखंड, जिला, राज्य, राष्ट्रीय स्तर)"
"Total number of AWCs (block, district, state, national level) with clean drinking water","स्वच्छ पेयजल संग AWC सभक कुल संख्या (प्रखंड, जिला, राज्य, राष्ट्रीय स्तर)"
"Total number of AWCs (block, district, state, national level) with working weighing scale","कार्यकारी वजन पैमाना संग AWC सभक कुल संख्या (प्रखंड, जिला, राज्य, राष्ट्रीय स्तर)"
"Total number of AWCs (block, district, state, national level) with electricity","विद्युत संग AWC सभक कुल संख्या (प्रखंड, जिला, राज्य, राष्ट्रीय स्तर)"
Total number of AWCs that are government owned,सरकारक स्वामित्व वला AWC सभक कुल संख्या
Total number of AWCs that are privately owned,निजी स्वामित्व वला AWC सभक कुल संख्या
How to contact Poshan Tracker Team?,पोषण ट्रैकर टीमसँ केना संपर्क करी?
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,पोषण ट्रैकर टीमसँ सपोर्ट- poshantrackr@gov.in पर ईमेल पठाक संपर्क केल जा सकैछ। हैंडहोल्डिंग आ समर्थनक लेल हम प्रत्येक दिन 4:15 बजे सँ साँझ 5:15 बजे तक वीडियो सम्मेलनमे उपलब्ध अछि।
Can a beneficiary register directly using application.,की कोनो लाभार्थी आवेदनक उपयोग कएक सीधे पंजीकृत कए सकैछ।
Currently a beneficiary can register by the help of an AWW,वर्तमानमे एकटा लाभार्थी एकटा AWW केर मदतिसँ पंजीकरण कए सकैछ
Who is a beneficiary?,लाभार्थी के अछि?
There are 6 categories for beneficiaries,लाभार्थिसभक लेल 6टा श्रेणी अछि
Pregnant Women,गर्भवती महिलासभ
Lactating Mother,स्तनपान कराय बाली मायसभ
Children from 0 to 6 months,0 सँ 6 महीना धरि क बच्चासभ
Children from 6 months to 3 years,6 महीनासँ 3 बरख धरि क बच्चासभ
Children from 3 years to 6 years,3 बरखसँ 6 बरख धरि क बच्चासभ
Adolescent girls,किशोरी लड़िकीसभ
Can a beneficiary change his/her AWC?,की कोनो लाभार्थी अपन AWC बदल सकैछ?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,एकटा AWW एकटा लाभार्थीकेँ एकटा AWC से दोसर AWC क आधार पर हुनकर AADHAAR नंबरक आधार पर माइग्रेट करबाक लेल 'माइग्रेट लाभार्थी' विकल्पक उपयोग कए सकैछ।
What is the eligibility of a beneficiary?,एक लाभार्थी की योग्यता क्या है?
A beneficiary is eligible for THR for at least 21 days in a month.,एकटा लाभार्थी एक महीनामे कमसँ कम 21 दिनक लेल THR लेल योग्य अछि।
Who is eligible for Take Home Ration?,के घरक राशनक लेल योग्य छी?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","गर्भवती महिलासभ, स्तनपान कराय बाली मातासभ, 6 महीनासँ 3 साल तक क बच्चा आ किशोर लड़िकीसभ।"
Where can I enquire about take home ration?,हम घरक राशनक बारेमे पूछताछ कए सकैत छी?
Please contact your respective Anganwadi worker.,कृपया अपनसँ संबंधित आंगनवाड़ी कार्यकर्तासँ संपर्क करू।
Who is eligible for additional supplementary food.,के अतिरिक्त पूरक भोजनक लेल योग्य अछि।
Children who are identified as deficit on nutrition are eligible for additional food supplements.,"जे बच्चाकेँ पोषण पर कमीक रूपे चिन्हल जाइत अछि, ओ अतिरिक्त भोजनक खुराकक लेल योग्य अछि।"
What is the eligibility of a beneficiary?,एक लाभार्थी की योग्यता क्या है?
A beneficiary is eligible for HCM for at least 21 days in a month.,एकटा लाभार्थी एक महीनामे कमसँ कम 21 दिनक लेल एचसीएमक लेल योग्य छी।
Who is eligible for Hot Cooked Meal?,गर्म पाकल भोजनक लेल के योग्य अछि?
Children in the age group of 3 years to 6 years,3 बरखसँ 6 बरखक समूहमे नेनासभ
Where can I enquire about Hot Cooked Meal?,हम गर्म पाकल भोजनक बारेमे कतहसँ पूछताछ कए सकैत छी?
Please contact your respective Anganwadi Centre.,कृपया अपनसँ संबंधित आंगनवाड़ी केंद्रसँ संपर्क करू।
Who is eligible for additional supplementary food?,अतिरिक्त पूरक भोजनक लेल के योग्य अछि?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,"जे बच्चाकेँ पोषण पर कमीक रूपे चिन्हल जाइत अछि, ओ अतिरिक्त भोजनक खुराकक लेल योग्य अछि।"
Support,मदति
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल ऐप डाउनलोड करू
Powered By,Powered By
About,लगभग
Resources,साधन
Dashboard,डैशबोर्ड
Helpdesk,हेल्पडेस्क
FAQ,सदिखन पूछल जाय बला प्रश्न
Poshan Calculator,पोषण कैलकुलेटर
Terms of Service,सेवाक शर्तसभ
Privacy Policy,गोपनीयता नीति
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),आभा (स्वास्थ्य आईडी)
Language,भाषा
About,लगभग
Resources,साधन
Resources,साधन
Vaccination Schedule,टीकाकरण अनुसूची
Dashboard,डैशबोर्ड
Dashboard,डैशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,लाभार्थी निवारण
State Helpdesk,राज्य मदतिकेंद्र
FAQ,सदिखन पूछल जाय बला प्रश्न
Poshan Calculator,पोषण कैलकुलेटर
Login,लॉगिन करू
Poshan Calculator,पोषण कैलकुलेटर
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,पोषण कैलकुलेटरकेँ विश्व स्वास्थ्य संगठन (डब्ल्यूएचओ) माध्यमसँ परिभाषित मानक केर आधार पर बच्चाक विकासकेँ नापबाक लेल डिज़ाइन केल गएल अछि.
How to use Poshan Calculator?,पोषण कैलकुलेटरक उपयोग केना करिए?
Select Gender,लिंग चुनू
Enter Date of Birth,जन्म् तिथि एंटर करू
Enter Height in centimeter,सेंटीमीटरमे ऊंचाई एंटर करू
Enter Weight in kilogram,किलोग्राममे ओजन एंटर करू
Click on Show Results,परिणाम देखाउ’ पर क्लिक करू
Gender ,लिंग 
Boy,लड़िका
Girl,लड़िकी
Date of Birth ,जन्म तिथि 
Height (CM) ,ऊँचाई (सें.मी.) 
*Height should be between 38 to 150,*ऊँचाई 38 सँ 150 केर बीच होयबाक चाही
CM,सें.मी.
Weight (KG) ,वजन (कि.ग्रा.) 
*Weight should be between 0.90 to 58,*वजन 0.90 सँ 58 केर बीच होयबाक चाही
KG,कि.ग्रा.
Show Results,परिणाम सभ देखाउ
What is Poshan Calculator,पोषण कैलकुलेटर की अछि
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,पोषण कैलकुलेटर विश्व स्वास्थ्य संगठन (WHO) मानकक अनुसार नेनाक अलग-अलग स्वास्थ्य स्थितिक चिन्ह्बामे मदति करइत अछि.
WHO standards are :,WHO मानक अछि :
Stunting ( Height for Age)- ,स्टंटिंग (उमेरक लेल ऊंचाई)- 
0 months to 6 years,0 महीनासँ 6 बरख धरि
Severely Stunted,गंभीर रूप सँ अद्भुत बल प्रदर्शन
Moderately stunted,मध्यम रूपसँ बौनापन
Normal,सामान्य
Underweight (Weight for Age)- ,कम ओजन (उमेरक लेल ओजन)- 
0 months to 6 years,0 महीनासँ 6 बरख धरि
Severely Underweight,गंभीर रूपसँ ओजन
Moderately Underweight,मध्यम रूप सँ कम वजन
Normal,सामान्य
Wasting (Weight for Height)- ,बर्बाद करनाइ (ऊंचाईक लेल ओजन)- 
0 months to 5 years,0 महीनासँ 5 बरख धरि
Severely Wasted (SAM),गंभीर रूपसँ बर्बाद (एसएएम)
Moderately Wasted (MAM),मध्यम रूपसँ बर्बाद (एमएएम)
Normal,सामान्य
Overweight,बेसी ओजन
Obese,मोटा
Above standards are defined as per given above mentioned age brackets,उपरोक्त मानककेँ उपर्युक्त बएस वर्गक अनुसार परिभाषित केल गेल अछि
About Reference tables,संदर्भ तालिकासभक बारेमे
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,1997 आ 2003क बीच WHO मल्टिसेंटर ग्रोथ रेफरेंस स्टडी (MGRS) केल गेल छल ताकि दुनिया भरक नवजात अओर छोट बच्चासभक वृद्धि एवं विकासक मूल्यांकन करबाक लेल नव वृद्धि वक्र तैयार कएल जा सके.
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA).","MGRS व्यापक रूपे विभिन्न जातीय पृष्ठभूमि आ सांस्कृतिक व्यवस्थापन (ब्राजील, घाना, भारत, नॉर्वे, ओमान आ यूएसए)सँ लगभग 8500 बच्चासभसँ प्राथमिक वृद्धि आंकड़ा आ संबंधित जानकारी एकत्र केल।."
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development.,नव वृद्धि वक्रसभसँ एकटा ऐना एकल अंतर्राष्ट्रीय मानक भेटैत अछि जे जन्म से लेकर पांच बरख धरिक सभ नेनासभक लेल शारीरिक विकासक सर्वोत्तम विवरणक प्रतिनिधित्व करैत अछि आ स्तनपान करय बला शिशुकेँ वृद्धि एवं विकासक लेल आदर्श मॉडलक रूपमे स्थापित करैत अछि।.
How to revive your Health?,अपन स्वास्थ्यमे केना सुधार कएल जाय?
How to revive your health if you are Severely Wasted (SAM),अपन स्वास्थ्यमे सुधार केना करी यदि अहाँ गंभीर रूपसँ निर्बल (SAM) छथि
How to revive your health if you are Moderately Wasted (MAM),अपन स्वास्थ्यमे सुधार केना करी यदि अहाँ मध्यम रूपसँ निर्बल (SAM) छथि
How to revive your health if you are Underweight,अपन स्वास्थ्यमे सुधार केना करू यदि अहाँ ओजन कम अछि
Support,मदति
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल ऐप डाउनलोड करू
Powered By,Powered By
About,लगभग
Resources,साधन
Dashboard,डैशबोर्ड
Helpdesk,हेल्पडेस्क
FAQ,सदिखन पूछल जाय बला प्रश्न
Poshan Calculator,पोषण कैलकुलेटर
Terms of Service,सेवाक शर्तसभ
Privacy Policy,गोपनीयता नीति
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
JanAndolan,JanAndolan
ABHA (Health ID),आभा (स्वास्थ्य आईडी)
Language,भाषा
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
About,लगभग
Resources,साधन
Resources,साधन
Vaccination Schedule,टीकाकरण अनुसूची
Dashboard,डैशबोर्ड
Dashboard,डैशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,लाभार्थी निवारण
State Helpdesk,राज्य मदतिकेंद्र
FAQ,सदिखन पूछल जाय बला प्रश्न
Poshan Calculator,पोषण कैलकुलेटर
Login,लॉगिन करू
Terms of Service,सेवाक शर्तसभ
Welcome! The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at ,"स्वागत! निम्नलिखित सेवाक शर्तसभ (""शर्तसभ"") अछि जे "
https://poshantracker.in,https://poshantracker.in
", and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”)."," पर होस्ट कएल गेल पोषण ट्रैकर प्लेटफॉर्म आ लिंक कएल गेल समूचा संबद्ध साइटक अहाँक उपयोगकेँ नियंत्रित करइत अछि। एकरा लेल, एकर सहायक कंपनी, आ सहयोगी (सामूहिक रूपसँ, ""साइट"")।"
I. OWNERSHIP,I. स्वामित्व
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.","साइट आ समूचा डेटा, टेक्स्ट, डिज़ाइन, पन्ना, प्रिंट स्क्रीन, चित्र, कलाकृति, फोटू, ऑडियो आ वीडियो क्लिप, HTML कोड, स्रोत कोड, वा सॉफ़्टवेयर जे साइट पर रहइत अछि वा देखय योग्य वा अन्यथा खोजय योग्य अछि, आ बुक कएल गेल सभी प्रतिभागी साइटसँ, (सामूहिक रूपसँ, ""सामग्री"" बाजल जाइत अछि) महिला आ बाल विकास मंत्रालय आ हुनकर अधिकृत सेवा प्रदातासभक स्वामित्वमे अछि।"
II. CONSENT,II. अनुमति
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms. By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","हमर गोपनीयता नीति, ओपन एपीआई नीति आ कोनो सेहो अन नीतिसभ, नियम वा दिशानिर्देश जे साइट पर विशेष प्रस्ताव वा सुविधासभ पर लागू भ सकैछ, इ शर्तसभमे शामिल अछि। साइट पर जाकय वा उपयोग कएक, अहाँ समय-समय पर अपडेट कएल गेल ई शर्तसभसँ स्पष्ट रूपसँ सहमत होइत छी।"
"If you do not agree with any part of these terms, do not use the site. You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.","यदि अहाँ ई शर्तसभक कोनो भागसँ सहमत नहि छी, तँ साइटक उपयोग ने करू। यदि अहाँ बाध्यकारी अनुबंध बनबाक लेल लीगल ऐजक नहि छी त' अहाँ कोनो तरहसँ साइटक उपयोग नहि कए सकैत छी आ शर्तसभकेँ स्वीकार नहि कए सकैत छी।"
III. NOTICE REGARDING FUTURE CHANGES TO TERMS:,III. शर्तसभक लेल भविष्यक परिवर्तनसभक बारेमे सूचना:
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You take the responsibility to check these Terms of Use periodically for changes. Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.","हम अहाँक एना परिवर्तनक बारेमे विशेष रूपसँ सूचित कएले बगैर, कोनो काल ई शर्तसभक कोनो सेहो हिस्साकेँ बदलएक, संशोधित करएक, जोड़बाक या हटबाक बगैर शर्त अधिकार सुरक्षित रखइत छी। कोइयो परिवर्तन वा अपडेट तत्काल प्रभावी हएत। अहाँ बदलावसभक लेल समय -समय पर उपयोग बला ई शर्तसभक जांच करबाक जिम्मेदारी लेइत छी। प्लेटफ़ॉर्म पोस्टक अहाँ निरंतर उपयोग एहि तरहक संशोधनकेँ संशोधित शर्तसभक स्वीकृतिक गठन करएत।"
IV. ACCOUNT REGISTRATION,IV. खाता पंजीकरण
"You may browse the Site without registering for an account. You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.",अहाँ कोनो खाताक लेल पंजीकरण कएले बगैर साइटकेँ ब्राउज़ कए सकए छी। यदि अहाँ साइट द्वारा दएल जाय बला किछु सुविधा वा सेवाक उपयोग करएक छै त' अपन मोबाइल नंबरक साथ एकटा खाताक लेल पंजीकरण करए हएत।
"By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.","ई शर्तसभकेँ स्वीकार कएक, अहाँ हमरा अपन पहिचान जानकारी (आधार विवरण सहित) आ अहाँक खातामे पंजीकृत अन समूचा सदस्यक उपयोग करबाक लेल अधिकृत करबाक लेल स्पष्ट रूपसँ सहमत अछि।"
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure. Your registration or mobile number shall be kept confidential,अहाँ अपन व्यक्तिगत जानकारी आ पंजीकरण आ ई जानकारीकेँ सुरक्षित रखबामे विफल होमए क परिणामस्वरूप होमए बला सोचा गतिविधिसभक गोपनीयता बनाए रखबाक लेल पूरा तरह से जिम्मेदार अछि। अहाँक पंजीकरण वा मोबाइल नंबर गोपनीय राखल जाएत
You undertake that:,अहाँ ई वचन देत छी:
You have obtained consent from the concerned individuals for creating their records through your account.,अहाँ अपन खाताक माध्यमसँ अपन रिकॉर्ड बनबाक लेल संबंधित लोकनिसँ सहमति भेटा गेल अछि।
Your account or mobile number shall not include the name of another person with the intent to impersonate that person.,अहाँक खाता वा मोबाइल नंबरमे ओ लोकक रूप धारण करबाक इरादासँ कोनो अन लोकक नाम शामिल नहि हएत।
You shall not use another user's account without their permission.,अहाँ हुनकर अनुमतिक बगैर कोनो अन उपयोगकर्ताक खाताक उपयोग नहि करब।
